* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 12, 2025 5:56:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 64 Audio U12t (Deep)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 58.076 -7.6254
0.368865 58.103 -7.7033
0.371538 58.142 -7.8144
0.374230 58.187 -7.9404
0.376942 58.233 -8.0731
0.379673 58.281 -8.2093
0.382424 58.329 -8.3482
0.385196 58.377 -8.4894
0.387987 58.425 -8.6328
0.390798 58.474 -8.7784
0.393630 58.524 -8.9261
0.396483 58.573 -9.0759
0.399356 58.623 -9.2278
0.402250 58.674 -9.3818
0.405165 58.725 -9.5379
0.408101 58.776 -9.6959
0.411058 58.827 -9.8559
0.414037 58.879 -10.0178
0.417037 58.931 -10.1816
0.420059 58.984 -10.3473
0.423103 59.037 -10.5149
0.426169 59.090 -10.6842
0.429257 59.144 -10.8554
0.432368 59.198 -11.0282
0.435501 59.253 -11.2027
0.438656 59.308 -11.3789
0.441835 59.363 -11.5568
0.445037 59.419 -11.7362
0.448262 59.475 -11.9171
0.451510 59.531 -12.0996
0.454782 59.588 -12.2835
0.458077 59.646 -12.4689
0.461397 59.704 -12.6557
0.464740 59.762 -12.8438
0.468108 59.820 -13.0333
0.471500 59.879 -13.2241
0.474917 59.939 -13.4161
0.478358 59.999 -13.6094
0.481825 60.059 -13.8038
0.485316 60.120 -13.9994
0.488833 60.181 -14.1962
0.492375 60.243 -14.3940
0.495943 60.305 -14.5929
0.499537 60.368 -14.7929
0.503157 60.431 -14.9938
0.506803 60.494 -15.1958
0.510475 60.558 -15.3987
0.514175 60.622 -15.6026
0.517900 60.687 -15.8073
0.521653 60.753 -16.0130
0.525434 60.818 -16.2195
0.529241 60.885 -16.4269
0.533076 60.951 -16.6351
0.536939 61.019 -16.8442
0.540830 61.086 -17.0540
0.544749 61.155 -17.2647
0.548696 61.223 -17.4762
0.552673 61.293 -17.6885
0.556677 61.362 -17.9015
0.560711 61.433 -18.1153
0.564774 61.503 -18.3299
0.568867 61.575 -18.5079
0.572989 61.646 -18.6703
0.577141 61.719 -18.8331
0.581324 61.792 -18.9963
0.585536 61.865 -19.1599
0.589779 61.939 -19.3239
0.594053 62.013 -19.4884
0.598358 62.088 -19.6533
0.602694 62.164 -19.8187
0.607061 62.240 -19.9847
0.611460 62.316 -20.1511
0.615891 62.393 -20.3180
0.620354 62.471 -20.4856
0.624849 62.549 -20.6537
0.629377 62.628 -20.8225
0.633938 62.708 -20.9919
0.638532 62.788 -21.1621
0.643159 62.868 -21.3330
0.647819 62.949 -21.5048
0.652514 63.031 -21.6774
0.657242 63.113 -21.8509
0.662005 63.196 -22.0254
0.666802 63.280 -22.2009
0.671634 63.364 -22.3775
0.676501 63.449 -22.5553
0.681403 63.534 -22.7343
0.686341 63.620 -22.9146
0.691314 63.707 -23.0964
0.696324 63.794 -23.2796
0.701370 63.882 -23.4644
0.706452 63.970 -23.6509
0.711571 64.059 -23.8391
0.716728 64.149 -24.0293
0.721921 64.238 -24.2215
0.727153 64.326 -24.4161
0.732422 64.411 -24.6135
0.737729 64.490 -24.8145
0.743075 64.564 -25.0197
0.748460 64.637 -25.2293
0.753883 64.710 -25.4433
0.759346 64.782 -25.6615
0.764849 64.854 -25.8836
0.770391 64.926 -26.0472
0.775974 64.998 -26.1974
0.781597 65.070 -26.3503
0.787261 65.141 -26.5055
0.792966 65.212 -26.6629
0.798712 65.284 -26.8223
0.804500 65.355 -26.9833
0.810329 65.426 -27.1458
0.816201 65.496 -27.3094
0.822116 65.567 -27.4739
0.828073 65.637 -27.6392
0.834074 65.707 -27.8049
0.840118 65.777 -27.9709
0.846206 65.847 -28.1369
0.852338 65.916 -28.3026
0.858514 65.985 -28.4678
0.864735 66.054 -28.6324
0.871001 66.122 -28.7961
0.877313 66.190 -28.9587
0.883670 66.258 -29.1199
0.890074 66.326 -29.2797
0.896524 66.393 -29.4377
0.903020 66.460 -29.5937
0.909564 66.526 -29.7477
0.916155 66.592 -29.8993
0.922794 66.658 -30.0485
0.929481 66.723 -30.1950
0.936216 66.788 -30.3386
0.943000 66.853 -30.4793
0.949834 66.917 -30.6167
0.956717 66.980 -30.7509
0.963649 67.043 -30.8815
0.970632 67.106 -30.9665
0.977666 67.168 -31.0259
0.984750 67.229 -31.0809
0.991886 67.290 -31.1314
0.999074 67.350 -31.1772
1.006314 67.410 -31.2181
1.013606 67.469 -31.2542
1.020951 67.527 -31.2851
1.028349 67.585 -31.3109
1.035801 67.642 -31.3313
1.043307 67.699 -31.3463
1.050867 67.755 -31.3557
1.058482 67.810 -31.3595
1.066152 67.864 -31.3575
1.073878 67.918 -31.3496
1.081660 67.970 -31.3361
1.089498 68.022 -31.3174
1.097393 68.074 -31.2951
1.105345 68.124 -31.2720
1.113355 68.173 -31.2514
1.121423 68.222 -31.2350
1.129549 68.269 -31.2231
1.137734 68.316 -31.2157
1.145979 68.361 -31.2123
1.154283 68.406 -31.2124
1.162647 68.449 -31.2156
1.171072 68.491 -31.1762
1.179558 68.533 -31.1086
1.188106 68.573 -31.0417
1.196715 68.612 -30.9750
1.205387 68.649 -30.9079
1.214122 68.686 -30.8398
1.222920 68.721 -30.7701
1.231782 68.755 -30.6980
1.240708 68.787 -30.6228
1.249699 68.819 -30.5439
1.258754 68.848 -30.4606
1.267876 68.877 -30.3720
1.277063 68.904 -30.2774
1.286318 68.929 -30.1760
1.295639 68.953 -30.0670
1.305027 68.976 -29.9495
1.314484 68.997 -29.8226
1.324009 69.016 -29.6855
1.333604 69.034 -29.5372
1.343268 69.050 -29.3767
1.353002 69.064 -29.2031
1.362806 69.076 -29.0152
1.372681 69.087 -28.8061
1.382628 69.096 -28.5775
1.392647 69.102 -28.3314
1.402739 69.107 -28.0666
1.412904 69.110 -27.7819
1.423142 69.111 -27.4759
1.433455 69.110 -27.1477
1.443843 69.107 -26.7963
1.454305 69.101 -26.4218
1.464844 69.093 -26.0261
1.475459 69.080 -25.6143
1.486150 69.063 -25.1913
1.496920 69.040 -24.7595
1.507767 69.013 -24.3193
1.518693 68.980 -23.8703
1.529698 68.943 -23.4116
1.540783 68.901 -22.9422
1.551948 68.855 -22.4610
1.563194 68.805 -21.9670
1.574521 68.751 -21.4518
1.585931 68.694 -20.9188
1.597423 68.634 -20.3690
1.608999 68.571 -19.8012
1.620658 68.506 -19.2139
1.632402 68.439 -18.6055
1.644232 68.371 -17.9746
1.656146 68.301 -17.3194
1.668147 68.231 -16.6384
1.680235 68.161 -15.9299
1.692411 68.091 -15.1920
1.704675 68.022 -14.4229
1.717028 67.954 -13.6209
1.729470 67.887 -12.7841
1.742003 67.824 -11.9105
1.754626 67.763 -10.9983
1.767341 67.706 -10.0437
1.780147 67.653 -9.0288
1.793047 67.605 -7.9699
1.806040 67.563 -6.8657
1.819128 67.526 -5.7151
1.832310 67.494 -4.5181
1.845587 67.465 -3.2759
1.858961 67.439 -1.9895
1.872432 67.414 -0.6596
1.886001 67.390 0.7133
1.899667 67.367 2.1289
1.913433 67.346 3.5866
1.927299 67.326 5.0855
1.941265 67.309 6.6245
1.955332 67.293 8.2021
1.969501 67.281 9.8167
1.983773 67.271 11.4666
1.998148 67.264 13.1482
2.012627 67.260 14.8585
2.027212 67.261 16.5939
2.041902 67.266 18.3506
2.056698 67.275 20.1241
2.071602 67.289 21.9098
2.086614 67.309 23.7028
2.101734 67.334 25.4978
2.116964 67.366 27.2895
2.132304 67.404 29.0724
2.147756 67.450 30.8415
2.163320 67.503 32.5922
2.178996 67.564 34.2946
2.194786 67.635 35.9719
2.210690 67.716 37.6373
2.226710 67.808 39.2995
2.242845 67.912 40.9608
2.259098 68.027 42.6184
2.275468 68.152 44.2672
2.291957 68.288 45.9018
2.308566 68.432 47.5169
2.325295 68.584 49.1073
2.342145 68.744 50.6685
2.359117 68.910 52.1964
2.376212 69.082 53.6591
2.393431 69.258 55.0621
2.410775 69.438 56.4218
2.428244 69.619 57.7357
2.445840 69.802 59.0016
2.463564 69.985 60.2181
2.481416 70.167 61.3836
2.499397 70.346 62.4972
2.517509 70.521 63.5585
2.535752 70.692 64.5686
2.554127 70.858 65.5313
2.572635 71.021 66.4330
2.591277 71.182 67.2678
2.610055 71.343 68.0829
2.628968 71.505 68.8811
2.648019 71.667 69.6625
2.667208 71.831 70.4264
2.686535 71.994 71.1720
2.706003 72.158 71.8983
2.725612 72.322 72.6045
2.745363 72.484 73.2897
2.765257 72.646 73.9535
2.785295 72.807 74.5268
2.805478 72.965 75.0741
2.825808 73.122 75.5974
2.846285 73.276 76.0961
2.866910 73.426 76.5695
2.887685 73.574 77.0174
2.908611 73.717 77.4399
2.929688 73.856 77.8388
2.950917 73.992 78.2178
2.972301 74.124 78.5608
2.993839 74.252 78.8420
3.015534 74.378 79.1124
3.037386 74.499 79.3731
3.059396 74.618 79.6255
3.081565 74.734 79.8702
3.103896 74.847 80.1081
3.126388 74.957 80.3396
3.149043 75.064 80.5651
3.171862 75.169 80.7648
3.194847 75.271 80.9001
3.217998 75.370 81.0291
3.241317 75.468 81.1517
3.264805 75.563 81.2671
3.288463 75.656 81.3744
3.312293 75.745 81.4720
3.336295 75.832 81.5590
3.360471 75.915 81.6358
3.384822 75.995 81.6503
3.409350 76.071 81.6423
3.434056 76.144 81.6300
3.458940 76.214 81.6156
3.484005 76.281 81.6009
3.509252 76.345 81.5877
3.534681 76.407 81.5774
3.560295 76.466 81.5714
3.586094 76.523 81.5140
3.612081 76.578 81.4458
3.638255 76.631 81.3824
3.664620 76.682 81.3216
3.691175 76.731 81.2587
3.717923 76.776 81.1908
3.744864 76.819 81.1176
3.772001 76.858 81.0270
3.799335 76.894 80.8863
3.826866 76.928 80.7469
3.854597 76.959 80.6115
3.882529 76.987 80.4827
3.910664 77.014 80.3630
3.939002 77.038 80.2548
3.967546 77.061 80.1563
3.996296 77.082 80.0103
4.025255 77.101 79.8767
4.054423 77.119 79.7512
4.083804 77.134 79.6291
4.113396 77.146 79.5087
4.143204 77.155 79.3909
4.173227 77.162 79.2644
4.203468 77.167 79.1023
4.233928 77.170 78.9495
4.264609 77.172 78.8087
4.295512 77.172 78.6823
4.326639 77.172 78.5730
4.357992 77.170 78.4823
4.389572 77.168 78.3703
4.421380 77.165 78.2606
4.453419 77.160 78.1632
4.485691 77.153 78.0762
4.518196 77.145 77.9995
4.550936 77.135 77.9340
4.583914 77.124 77.8548
4.617131 77.113 77.7673
4.650589 77.102 77.6947
4.684289 77.091 77.6386
4.718233 77.081 77.6006
4.752424 77.072 77.5817
4.786862 77.063 77.5543
4.821549 77.054 77.5266
4.856488 77.045 77.5153
4.891680 77.037 77.5192
4.927127 77.029 77.5372
4.962831 77.021 77.5684
4.998794 77.015 77.5739
5.035017 77.010 77.5873
5.071503 77.007 77.6119
5.108253 77.006 77.6480
5.145270 77.007 77.6969
5.182555 77.010 77.7436
5.220110 77.014 77.7834
5.257937 77.021 77.8360
5.296038 77.029 77.8988
5.334415 77.039 77.9690
5.373071 77.051 78.0375
5.412006 77.065 78.0786
5.451224 77.082 78.1198
5.490725 77.101 78.1610
5.530514 77.122 78.2042
5.570590 77.147 78.2481
5.610957 77.174 78.2680
5.651616 77.203 78.2901
5.692570 77.235 78.3116
5.733821 77.269 78.3298
5.775370 77.304 78.3351
5.817221 77.341 78.3083
5.859375 77.380 78.2723
5.901834 77.420 78.2283
5.944602 77.462 78.1782
5.987679 77.507 78.1091
6.031068 77.553 78.0207
6.074771 77.600 77.9253
6.118792 77.648 77.8221
6.163131 77.697 77.7098
6.207792 77.746 77.5640
6.252776 77.795 77.4060
6.298086 77.845 77.2375
6.343725 77.896 77.0598
6.389694 77.947 76.8627
6.435996 77.998 76.6482
6.482634 78.049 76.4279
6.529610 78.101 76.2027
6.576926 78.151 75.9680
6.624585 78.201 75.7122
