* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jul 12, 2025 5:59:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 64 Audio U12t (Deep)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 46.646 15.5136
0.368865 46.681 15.4858
0.371538 46.732 15.4474
0.374230 46.789 15.4046
0.376942 46.848 15.3603
0.379673 46.909 15.3155
0.382424 46.970 15.2703
0.385196 47.032 15.2251
0.387987 47.094 15.1797
0.390798 47.157 15.1341
0.393630 47.220 15.0884
0.396483 47.283 15.0426
0.399356 47.347 14.9967
0.402250 47.412 14.9506
0.405165 47.477 14.9043
0.408101 47.542 14.8579
0.411058 47.608 14.8114
0.414037 47.674 14.7646
0.417037 47.741 14.7178
0.420059 47.808 14.6707
0.423103 47.876 14.6235
0.426169 47.944 14.5761
0.429257 48.013 14.5285
0.432368 48.083 14.4808
0.435501 48.152 14.4328
0.438656 48.223 14.3846
0.441835 48.293 14.3363
0.445037 48.365 14.2877
0.448262 48.437 14.2389
0.451510 48.509 14.1899
0.454782 48.582 14.1407
0.458077 48.655 14.0912
0.461397 48.729 14.0415
0.464740 48.804 13.9915
0.468108 48.879 13.9413
0.471500 48.954 13.8908
0.474917 49.030 13.8400
0.478358 49.107 13.7890
0.481825 49.184 13.7376
0.485316 49.262 13.6860
0.488833 49.340 13.6341
0.492375 49.419 13.5818
0.495943 49.499 13.5293
0.499537 49.579 13.4764
0.503157 49.659 13.4232
0.506803 49.741 13.3697
0.510475 49.823 13.3157
0.514175 49.905 13.2615
0.517900 49.988 13.2069
0.521653 50.072 13.1518
0.525434 50.156 13.0964
0.529241 50.241 13.0406
0.533076 50.326 12.9844
0.536939 50.412 12.9278
0.540830 50.499 12.8708
0.544749 50.586 12.8133
0.548696 50.674 12.7553
0.552673 50.763 12.6970
0.556677 50.852 12.6381
0.560711 50.942 12.5788
0.564774 51.032 12.5190
0.568867 51.123 12.4961
0.572989 51.215 12.4891
0.577141 51.308 12.4820
0.581324 51.401 12.4747
0.585536 51.495 12.4673
0.589779 51.589 12.4597
0.594053 51.684 12.4520
0.598358 51.780 12.4441
0.602694 51.877 12.4361
0.607061 51.974 12.4278
0.611460 52.072 12.4194
0.615891 52.171 12.4108
0.620354 52.270 12.4020
0.624849 52.370 12.3930
0.629377 52.471 12.3837
0.633938 52.573 12.3743
0.638532 52.675 12.3646
0.643159 52.778 12.3546
0.647819 52.882 12.3445
0.652514 52.987 12.3340
0.657242 53.092 12.3233
0.662005 53.198 12.3123
0.666802 53.305 12.3010
0.671634 53.413 12.2895
0.676501 53.521 12.2776
0.681403 53.630 12.2655
0.686341 53.740 12.2530
0.691314 53.851 12.2402
0.696324 53.963 12.2271
0.701370 54.075 12.2137
0.706452 54.188 12.1999
0.711571 54.302 12.1858
0.716728 54.417 12.1713
0.721921 54.532 12.1565
0.727153 54.646 12.1414
0.732422 54.759 12.1263
0.737729 54.867 12.1114
0.743075 54.972 12.0971
0.748460 55.077 12.0836
0.753883 55.181 12.0709
0.759346 55.286 12.0591
0.764849 55.391 12.0481
0.770391 55.496 12.1002
0.775974 55.601 12.1700
0.781597 55.706 12.2412
0.787261 55.812 12.3138
0.792966 55.918 12.3877
0.798712 56.024 12.4630
0.804500 56.130 12.5396
0.810329 56.237 12.6176
0.816201 56.344 12.6969
0.822116 56.451 12.7776
0.828073 56.558 12.8596
0.834074 56.666 12.9429
0.840118 56.773 13.0275
0.846206 56.881 13.1134
0.852338 56.989 13.2006
0.858514 57.098 13.2891
0.864735 57.206 13.3789
0.871001 57.315 13.4700
0.877313 57.424 13.5623
0.883670 57.534 13.6559
0.890074 57.643 13.7508
0.896524 57.753 13.8470
0.903020 57.863 13.9444
0.909564 57.973 14.0431
0.916155 58.083 14.1430
0.922794 58.194 14.2441
0.929481 58.304 14.3465
0.936216 58.415 14.4502
0.943000 58.527 14.5551
0.949834 58.638 14.6612
0.956717 58.750 14.7685
0.963649 58.862 14.8771
0.970632 58.974 15.0289
0.977666 59.086 15.2037
0.984750 59.199 15.3802
0.991886 59.312 15.5583
0.999074 59.425 15.7382
1.006314 59.539 15.9197
1.013606 59.652 16.1030
1.020951 59.766 16.2879
1.028349 59.880 16.4745
1.035801 59.995 16.6628
1.043307 60.109 16.8529
1.050867 60.224 17.0446
1.058482 60.340 17.2381
1.066152 60.455 17.4332
1.073878 60.571 17.6301
1.081660 60.687 17.8288
1.089498 60.804 18.0294
1.097393 60.920 18.2320
1.105345 61.037 18.4372
1.113355 61.155 18.6452
1.121423 61.272 18.8564
1.129549 61.390 19.0709
1.137734 61.508 19.2884
1.145979 61.626 19.5090
1.154283 61.744 19.7326
1.162647 61.862 19.9590
1.171072 61.980 20.2333
1.179558 62.098 20.5405
1.188106 62.217 20.8509
1.196715 62.335 21.1644
1.205387 62.454 21.4811
1.214122 62.572 21.8007
1.222920 62.691 22.1233
1.231782 62.809 22.4487
1.240708 62.928 22.7770
1.249699 63.046 23.1081
1.258754 63.164 23.4418
1.267876 63.282 23.7782
1.277063 63.400 24.1172
1.286318 63.518 24.4588
1.295639 63.635 24.8028
1.305027 63.752 25.1494
1.314484 63.869 25.4983
1.324009 63.986 25.8496
1.333604 64.102 26.2032
1.343268 64.217 26.5592
1.353002 64.333 26.9174
1.362806 64.448 27.2778
1.372681 64.562 27.6465
1.382628 64.676 28.0204
1.392647 64.790 28.3964
1.402739 64.902 28.7747
1.412904 65.014 29.1551
1.423142 65.126 29.5376
1.433455 65.237 29.9224
1.443843 65.347 30.3094
1.454305 65.456 30.6990
1.464844 65.564 31.0919
1.475459 65.670 31.4896
1.486150 65.775 31.8930
1.496920 65.879 32.3028
1.507767 65.981 32.7187
1.518693 66.081 33.1404
1.529698 66.180 33.5677
1.540783 66.277 34.0001
1.551948 66.373 34.4371
1.563194 66.468 34.8785
1.574521 66.562 35.3310
1.585931 66.654 35.7894
1.597423 66.745 36.2511
1.608999 66.835 36.7157
1.620658 66.925 37.1830
1.632402 67.013 37.6525
1.644232 67.101 38.1241
1.656146 67.188 38.5972
1.668147 67.275 39.0717
1.680235 67.361 39.5473
1.692411 67.448 40.0237
1.704675 67.534 40.5006
1.717028 67.620 40.9778
1.729470 67.706 41.4550
1.742003 67.793 41.9320
1.754626 67.880 42.4085
1.767341 67.968 42.8866
1.780147 68.057 43.3819
1.793047 68.147 43.8764
1.806040 68.238 44.3702
1.819128 68.330 44.8638
1.832310 68.423 45.3587
1.845587 68.517 45.8574
1.858961 68.611 46.3619
1.872432 68.706 46.8729
1.886001 68.801 47.3905
1.899667 68.895 47.9140
1.913433 68.990 48.4430
1.927299 69.085 48.9767
1.941265 69.180 49.5145
1.955332 69.275 50.0559
1.969501 69.370 50.6005
1.983773 69.465 51.1483
1.998148 69.560 51.6980
2.012627 69.654 52.2490
2.027212 69.749 52.8008
2.041902 69.843 53.3529
2.056698 69.938 53.9049
2.071602 70.032 54.4562
2.086614 70.126 55.0066
2.101734 70.220 55.5554
2.116964 70.314 56.1024
2.132304 70.407 56.6472
2.147756 70.500 57.1894
2.163320 70.593 57.7290
2.178996 70.685 58.2390
2.194786 70.777 58.7420
2.210690 70.869 59.2464
2.226710 70.960 59.7553
2.242845 71.051 60.2698
2.259098 71.142 60.7901
2.275468 71.232 61.3157
2.291957 71.322 61.8458
2.308566 71.411 62.3799
2.325295 71.500 62.9171
2.342145 71.589 63.4567
2.359117 71.676 63.9980
2.376212 71.764 64.5122
2.393431 71.851 65.0074
2.410775 71.938 65.5020
2.428244 72.024 65.9954
2.445840 72.109 66.4871
2.463564 72.195 66.9763
2.481416 72.279 67.4626
2.499397 72.363 67.9455
2.517509 72.447 68.4246
2.535752 72.530 68.8997
2.554127 72.612 69.3716
2.572635 72.694 69.8199
2.591277 72.775 70.2298
2.610055 72.855 70.6427
2.628968 72.935 71.0592
2.648019 73.014 71.4790
2.667208 73.091 71.9017
2.686535 73.168 72.3268
2.706003 73.245 72.7539
2.725612 73.320 73.1822
2.745363 73.395 73.6113
2.765257 73.469 74.0405
2.785295 73.542 74.4013
2.805478 73.614 74.7580
2.825808 73.686 75.1127
2.846285 73.757 75.4648
2.866910 73.828 75.8139
2.887685 73.898 76.1594
2.908611 73.967 76.5014
2.929688 74.035 76.8405
2.950917 74.103 77.1781
2.972301 74.170 77.4956
2.993839 74.236 77.7649
3.015534 74.300 78.0355
3.037386 74.364 78.3072
3.059396 74.427 78.5802
3.081565 74.489 78.8542
3.103896 74.549 79.1292
3.126388 74.609 79.4050
3.149043 74.668 79.6813
3.171862 74.727 79.9378
3.194847 74.784 80.1355
3.217998 74.840 80.3324
3.241317 74.896 80.5281
3.264805 74.951 80.7223
3.288463 75.005 80.9149
3.312293 75.059 81.1059
3.336295 75.111 81.2956
3.360471 75.162 81.4848
3.384822 75.212 81.6198
3.409350 75.260 81.7389
3.434056 75.308 81.8587
3.458940 75.355 81.9795
3.484005 75.400 82.1017
3.509252 75.445 82.2257
3.534681 75.488 82.3518
3.560295 75.531 82.4802
3.586094 75.573 82.5542
3.612081 75.614 82.6139
3.638255 75.655 82.6753
3.664620 75.694 82.7376
3.691175 75.733 82.7997
3.717923 75.771 82.8611
3.744864 75.807 82.9220
3.772001 75.843 82.9693
3.799335 75.877 82.9685
3.826866 75.910 82.9694
3.854597 75.942 82.9729
3.882529 75.973 82.9799
3.910664 76.004 82.9911
3.939002 76.033 83.0074
3.967546 76.062 83.0257
3.996296 76.091 82.9881
4.025255 76.118 82.9552
4.054423 76.145 82.9253
4.083804 76.170 82.8970
4.113396 76.195 82.8699
4.143204 76.218 82.8445
4.173227 76.241 82.8085
4.203468 76.262 82.7338
4.233928 76.283 82.6635
4.264609 76.303 82.5989
4.295512 76.323 82.5409
4.326639 76.342 82.4904
4.357992 76.361 82.4481
4.389572 76.379 82.3735
4.421380 76.397 82.2917
4.453419 76.414 82.2144
4.485691 76.431 82.1411
4.518196 76.446 82.0721
4.550936 76.461 82.0079
4.583914 76.476 81.9234
4.617131 76.491 81.8232
4.650589 76.505 81.7299
4.684289 76.519 81.6443
4.718233 76.534 81.5672
4.752424 76.549 81.4986
4.786862 76.564 81.4106
4.821549 76.579 81.3115
4.856488 76.594 81.2186
4.891680 76.609 81.1317
4.927127 76.624 81.0508
4.962831 76.640 80.9759
4.998794 76.655 80.8690
5.035017 76.672 80.7646
5.071503 76.688 80.6663
5.108253 76.705 80.5743
5.145270 76.723 80.4890
5.182555 76.742 80.3933
5.220110 76.761 80.2825
5.257937 76.780 80.1772
5.296038 76.800 80.0769
5.334415 76.820 79.9811
5.373071 76.842 79.8827
5.412006 76.864 79.7582
5.451224 76.886 79.6366
5.490725 76.910 79.5177
5.530514 76.934 79.4018
5.570590 76.959 79.2857
5.610957 76.986 79.1446
5.651616 77.013 79.0063
5.692570 77.040 78.8702
5.733821 77.069 78.7359
5.775370 77.097 78.5958
5.817221 77.127 78.4326
5.859375 77.157 78.2694
5.901834 77.188 78.1062
5.944602 77.219 77.9432
5.987679 77.251 77.7671
6.031068 77.284 77.5783
6.074771 77.317 77.3903
6.118792 77.351 77.2034
6.163131 77.385 77.0176
6.207792 77.419 76.8093
6.252776 77.453 76.5997
6.298086 77.487 76.3897
6.343725 77.522 76.1796
6.389694 77.556 75.9589
6.435996 77.592 75.7292
6.482634 77.627 75.5023
6.529610 77.662 75.2789
6.576926 77.698 75.0551
6.624585 77.734 74.8195
6.672590 77.770 74.5864
6.720942 77.806 74.3559
6.769645 77.842 74.1272
6.818700 77.879 73.8865
6.868111 77.916 73.6513
6.917881 77.954 73.4224
6.968010 77.993 73.1998
7.018504 78.032 72.9682
7.069362 78.071 72.7425
7.120590 78.111 72.5223
7.172189 78.152 72.3057
7.224161 78.194 72.0821
7.276511 78.238 71.8640
7.329239 78.282 71.6520
7.382350 78.328 71.4427
7.435845 78.376 71.2311
