* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 27, 2025 5:35:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L 7A Supernova
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 67.930 -97.0646
0.368865 67.954 -97.2827
0.371538 67.989 -97.5992
0.374230 68.028 -97.9622
0.376942 68.068 -98.3481
0.379673 68.110 -98.7484
0.382424 68.152 -99.1604
0.385196 68.194 -99.5834
0.387987 68.236 -100.0173
0.390798 68.279 -100.4619
0.393630 68.322 -100.9173
0.396483 68.366 -101.3836
0.399356 68.410 -101.8608
0.402250 68.454 -102.3489
0.405165 68.498 -102.8479
0.408101 68.543 -103.3579
0.411058 68.588 -103.8787
0.414037 68.634 -104.4105
0.417037 68.679 -104.9531
0.420059 68.725 -105.5065
0.423103 68.772 -106.0707
0.426169 68.819 -106.6456
0.429257 68.866 -107.2311
0.432368 68.913 -107.8271
0.435501 68.961 -108.4335
0.438656 69.009 -109.0502
0.441835 69.057 -109.6771
0.445037 69.106 -110.3139
0.448262 69.155 -110.9607
0.451510 69.205 -111.6170
0.454782 69.255 -112.2829
0.458077 69.305 -112.9580
0.461397 69.356 -113.6422
0.464740 69.407 -114.3353
0.468108 69.458 -115.0369
0.471500 69.510 -115.7468
0.474917 69.562 -116.4649
0.478358 69.614 -117.1907
0.481825 69.667 -117.9240
0.485316 69.720 -118.6644
0.488833 69.774 -119.4118
0.492375 69.828 -120.1658
0.495943 69.882 -120.9260
0.499537 69.937 -121.6921
0.503157 69.992 -122.4638
0.506803 70.048 -123.2407
0.510475 70.104 -124.0225
0.514175 70.160 -124.8088
0.517900 70.217 -125.5993
0.521653 70.274 -126.3936
0.525434 70.332 -127.1914
0.529241 70.390 -127.9924
0.533076 70.449 -128.7961
0.536939 70.508 -129.6022
0.540830 70.567 -130.4104
0.544749 70.627 -131.2204
0.548696 70.687 -132.0318
0.552673 70.747 -132.8443
0.556677 70.809 -133.6576
0.560711 70.870 -134.4714
0.564774 70.932 -135.2854
0.568867 70.994 -136.0620
0.572989 71.057 -136.8218
0.577141 71.121 -137.5806
0.581324 71.184 -138.3382
0.585536 71.249 -139.0943
0.589779 71.313 -139.8488
0.594053 71.378 -140.6014
0.598358 71.444 -141.3519
0.602694 71.510 -142.1002
0.607061 71.577 -142.8462
0.611460 71.644 -143.5896
0.615891 71.711 -144.3303
0.620354 71.779 -145.0683
0.624849 71.848 -145.8034
0.629377 71.917 -146.5356
0.633938 71.987 -147.2648
0.638532 72.057 -147.9909
0.643159 72.127 -148.7139
0.647819 72.198 -149.4339
0.652514 72.270 -150.1507
0.657242 72.342 -150.8644
0.662005 72.415 -151.5751
0.666802 72.488 -152.2827
0.671634 72.561 -152.9873
0.676501 72.636 -153.6890
0.681403 72.710 -154.3878
0.686341 72.786 -155.0838
0.691314 72.862 -155.7771
0.696324 72.938 -156.4678
0.701370 73.015 -157.1560
0.706452 73.092 -157.8419
0.711571 73.170 -158.5255
0.716728 73.249 -159.2070
0.721921 73.329 -159.8865
0.727153 73.411 -160.5638
0.732422 73.496 -161.2383
0.737729 73.587 -161.9090
0.743075 73.682 -162.5745
0.748460 73.779 -163.2340
0.753883 73.879 -163.8868
0.759346 73.981 -164.5328
0.764849 74.085 -165.1716
0.770391 74.190 -165.7407
0.775974 74.298 -166.2853
0.781597 74.407 -166.8217
0.787261 74.519 -167.3498
0.792966 74.631 -167.8694
0.798712 74.746 -168.3805
0.804500 74.863 -168.8830
0.810329 74.981 -169.3770
0.816201 75.101 -169.8624
0.822116 75.222 -170.3393
0.828073 75.346 -170.8078
0.834074 75.471 -171.2679
0.840118 75.597 -171.7197
0.846206 75.725 -172.1633
0.852338 75.854 -172.5988
0.858514 75.985 -173.0265
0.864735 76.117 -173.4463
0.871001 76.251 -173.8585
0.877313 76.386 -174.2633
0.883670 76.522 -174.6608
0.890074 76.660 -175.0513
0.896524 76.798 -175.4348
0.903020 76.938 -175.8118
0.909564 77.078 -176.1822
0.916155 77.220 -176.5464
0.922794 77.362 -176.9047
0.929481 77.506 -177.2572
0.936216 77.650 -177.6041
0.943000 77.794 -177.9457
0.949834 77.940 -178.2823
0.956717 78.085 -178.6141
0.963649 78.232 -178.9414
0.970632 78.378 -179.2223
0.977666 78.525 -179.4774
0.984750 78.671 -179.7283
0.991886 78.818 -179.9753
0.999074 78.964 179.7816
1.006314 79.111 179.5419
1.013606 79.257 179.3053
1.020951 79.402 179.0717
1.028349 79.547 178.8408
1.035801 79.691 178.6123
1.043307 79.834 178.3860
1.050867 79.976 178.1615
1.058482 80.117 177.9386
1.066152 80.257 177.7170
1.073878 80.395 177.4965
1.081660 80.531 177.2769
1.089498 80.666 177.0581
1.097393 80.799 176.8403
1.105345 80.931 176.6244
1.113355 81.062 176.4112
1.121423 81.193 176.2014
1.129549 81.324 175.9952
1.137734 81.454 175.7930
1.145979 81.583 175.5947
1.154283 81.713 175.4004
1.162647 81.841 175.2101
1.171072 81.970 175.0690
1.179558 82.098 174.9622
1.188106 82.226 174.8600
1.196715 82.353 174.7626
1.205387 82.479 174.6699
1.214122 82.606 174.5820
1.222920 82.731 174.4987
1.231782 82.856 174.4202
1.240708 82.981 174.3463
1.249699 83.104 174.2771
1.258754 83.227 174.2126
1.267876 83.350 174.1527
1.277063 83.472 174.0973
1.286318 83.593 174.0465
1.295639 83.713 174.0001
1.305027 83.833 173.9581
1.314484 83.952 173.9205
1.324009 84.069 173.8872
1.333604 84.187 173.8582
1.343268 84.303 173.8332
1.353002 84.418 173.8123
1.362806 84.532 173.7954
1.372681 84.646 173.7885
1.382628 84.758 173.7884
1.392647 84.869 173.7920
1.402739 84.980 173.7993
1.412904 85.089 173.8102
1.423142 85.197 173.8246
1.433455 85.304 173.8424
1.443843 85.409 173.8635
1.454305 85.514 173.8880
1.464844 85.616 173.9163
1.475459 85.717 173.9489
1.486150 85.815 173.9865
1.496920 85.911 174.0296
1.507767 86.005 174.0780
1.518693 86.096 174.1318
1.529698 86.185 174.1909
1.540783 86.271 174.2549
1.551948 86.355 174.3239
1.563194 86.437 174.3977
1.574521 86.517 174.4831
1.585931 86.595 174.5753
1.597423 86.671 174.6718
1.608999 86.745 174.7724
1.620658 86.818 174.8768
1.632402 86.889 174.9850
1.644232 86.959 175.0967
1.656146 87.027 175.2116
1.668147 87.094 175.3297
1.680235 87.160 175.4506
1.692411 87.226 175.5741
1.704675 87.290 175.7000
1.717028 87.354 175.8282
1.729470 87.417 175.9583
1.742003 87.480 176.0901
1.754626 87.544 176.2234
1.767341 87.607 176.3600
1.780147 87.670 176.5158
1.793047 87.734 176.6724
1.806040 87.799 176.8297
1.819128 87.865 176.9876
1.832310 87.930 177.1462
1.845587 87.996 177.3060
1.858961 88.062 177.4675
1.872432 88.127 177.6310
1.886001 88.191 177.7971
1.899667 88.254 177.9660
1.913433 88.316 178.1378
1.927299 88.377 178.3129
1.941265 88.438 178.4913
1.955332 88.497 178.6732
1.969501 88.556 178.8592
1.983773 88.614 179.0497
1.998148 88.670 179.2443
2.012627 88.726 179.4429
2.027212 88.781 179.6455
2.041902 88.836 179.8524
2.056698 88.889 -179.9366
2.071602 88.942 -179.7213
2.086614 88.994 -179.5018
2.101734 89.045 -179.2781
2.116964 89.095 -179.0502
2.132304 89.144 -178.8182
2.147756 89.193 -178.5822
2.163320 89.241 -178.3422
2.178996 89.288 -178.1259
2.194786 89.334 -177.9121
2.210690 89.379 -177.6957
2.226710 89.423 -177.4770
2.242845 89.466 -177.2561
2.259098 89.507 -177.0329
2.275468 89.548 -176.8068
2.291957 89.586 -176.5777
2.308566 89.624 -176.3451
2.325295 89.660 -176.1088
2.342145 89.695 -175.8685
2.359117 89.729 -175.6239
2.376212 89.762 -175.4030
2.393431 89.794 -175.1966
2.410775 89.824 -174.9856
2.428244 89.854 -174.7697
2.445840 89.882 -174.5489
2.463564 89.910 -174.3228
2.481416 89.937 -174.0915
2.499397 89.962 -173.8549
2.517509 89.987 -173.6128
2.535752 90.011 -173.3654
2.554127 90.034 -173.1131
2.572635 90.056 -172.8788
2.591277 90.077 -172.6815
2.610055 90.097 -172.4821
2.628968 90.115 -172.2807
2.648019 90.131 -172.0768
2.667208 90.146 -171.8701
2.686535 90.160 -171.6601
2.706003 90.172 -171.4464
2.725612 90.183 -171.2284
2.745363 90.193 -171.0059
2.765257 90.201 -170.7783
2.785295 90.209 -170.6134
2.805478 90.215 -170.4460
2.825808 90.221 -170.2729
2.846285 90.226 -170.0939
2.866910 90.230 -169.9088
2.887685 90.233 -169.7173
2.908611 90.236 -169.5195
2.929688 90.237 -169.3162
2.950917 90.238 -169.1087
2.972301 90.238 -168.9186
2.993839 90.236 -168.7753
3.015534 90.233 -168.6296
3.037386 90.229 -168.4813
3.059396 90.224 -168.3296
3.081565 90.217 -168.1741
3.103896 90.209 -168.0141
3.126388 90.201 -167.8491
3.149043 90.191 -167.6786
3.171862 90.181 -167.5220
3.194847 90.169 -167.4177
3.217998 90.158 -167.3067
3.241317 90.145 -167.1888
3.264805 90.132 -167.0636
3.288463 90.119 -166.9315
3.312293 90.105 -166.7936
3.336295 90.090 -166.6513
3.360471 90.074 -166.5054
3.384822 90.057 -166.4100
3.409350 90.039 -166.3272
3.434056 90.020 -166.2406
3.458940 90.000 -166.1496
3.484005 89.979 -166.0538
3.509252 89.958 -165.9527
3.534681 89.936 -165.8456
3.560295 89.914 -165.7322
3.586094 89.892 -165.6687
3.612081 89.869 -165.6145
3.638255 89.846 -165.5535
3.664620 89.823 -165.4859
3.691175 89.799 -165.4129
3.717923 89.775 -165.3355
3.744864 89.750 -165.2540
3.772001 89.725 -165.1823
3.799335 89.699 -165.1553
3.826866 89.673 -165.1239
3.854597 89.646 -165.0878
3.882529 89.619 -165.0464
3.910664 89.592 -164.9995
3.939002 89.565 -164.9465
3.967546 89.538 -164.8905
3.996296 89.510 -164.8895
4.025255 89.483 -164.8823
4.054423 89.455 -164.8696
4.083804 89.428 -164.8521
4.113396 89.400 -164.8302
4.143204 89.372 -164.8039
4.173227 89.343 -164.7865
4.203468 89.315 -164.8071
4.233928 89.287 -164.8232
4.264609 89.258 -164.8347
4.295512 89.230 -164.8412
4.326639 89.202 -164.8427
4.357992 89.173 -164.8390
4.389572 89.145 -164.8702
4.421380 89.118 -164.9106
4.453419 89.090 -164.9471
4.485691 89.062 -164.9797
4.518196 89.035 -165.0087
4.550936 89.007 -165.0338
4.583914 88.980 -165.0811
4.617131 88.953 -165.1465
4.650589 88.926 -165.2080
4.684289 88.899 -165.2657
4.718233 88.873 -165.3193
4.752424 88.847 -165.3691
4.786862 88.822 -165.4428
4.821549 88.797 -165.5315
4.856488 88.772 -165.6174
4.891680 88.748 -165.7005
4.927127 88.724 -165.7807
4.962831 88.700 -165.8578
4.998794 88.677 -165.9696
5.035017 88.654 -166.0821
5.071503 88.631 -166.1913
5.108253 88.608 -166.2974
5.145270 88.585 -166.4007
5.182555 88.563 -166.5184
5.220110 88.541 -166.6555
5.257937 88.519 -166.7905
5.296038 88.498 -166.9232
5.334415 88.477 -167.0534
5.373071 88.456 -167.1873
5.412006 88.435 -167.3474
5.451224 88.415 -167.5044
5.490725 88.394 -167.6585
5.530514 88.374 -167.8100
5.570590 88.354 -167.9633
5.610957 88.335 -168.1428
5.651616 88.316 -168.3204
5.692570 88.297 -168.4955
5.733821 88.278 -168.6677
5.775370 88.259 -168.8434
5.817221 88.241 -169.0392
5.859375 88.223 -169.2316
5.901834 88.205 -169.4211
5.944602 88.187 -169.6082
5.987679 88.170 -169.8064
6.031068 88.152 -170.0156
6.074771 88.135 -170.2217
6.118792 88.118 -170.4242
6.163131 88.102 -170.6228
6.207792 88.086 -170.8405
6.252776 88.070 -171.0560
6.298086 88.054 -171.2681
6.343725 88.038 -171.4772
6.389694 88.023 -171.6943
