* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 27, 2025 5:40:46 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R 7A Supernova
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 0.36621094 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
0.366211 68.716 -95.2192
0.368865 68.738 -95.4432
0.371538 68.770 -95.7692
0.374230 68.806 -96.1442
0.376942 68.844 -96.5444
0.379673 68.883 -96.9612
0.382424 68.922 -97.3917
0.385196 68.961 -97.8354
0.387987 69.000 -98.2921
0.390798 69.040 -98.7618
0.393630 69.080 -99.2448
0.396483 69.121 -99.7411
0.399356 69.161 -100.2508
0.402250 69.202 -100.7740
0.405165 69.244 -101.3108
0.408101 69.285 -101.8613
0.411058 69.327 -102.4255
0.414037 69.369 -103.0035
0.417037 69.412 -103.5953
0.420059 69.455 -104.2009
0.423103 69.498 -104.8203
0.426169 69.541 -105.4536
0.429257 69.585 -106.1006
0.432368 69.629 -106.7614
0.435501 69.673 -107.4359
0.438656 69.718 -108.1239
0.441835 69.763 -108.8254
0.445037 69.808 -109.5402
0.448262 69.854 -110.2682
0.451510 69.900 -111.0092
0.454782 69.946 -111.7630
0.458077 69.993 -112.5294
0.461397 70.040 -113.3081
0.464740 70.087 -114.0989
0.468108 70.135 -114.9015
0.471500 70.183 -115.7155
0.474917 70.231 -116.5406
0.478358 70.280 -117.3765
0.481825 70.329 -118.2228
0.485316 70.379 -119.0790
0.488833 70.428 -119.9447
0.492375 70.479 -120.8195
0.495943 70.529 -121.7030
0.499537 70.580 -122.5946
0.503157 70.631 -123.4939
0.506803 70.683 -124.4003
0.510475 70.735 -125.3133
0.514175 70.787 -126.2324
0.517900 70.840 -127.1571
0.521653 70.893 -128.0868
0.525434 70.947 -129.0209
0.529241 71.001 -129.9590
0.533076 71.055 -130.9004
0.536939 71.110 -131.8446
0.540830 71.165 -132.7911
0.544749 71.220 -133.7393
0.548696 71.276 -134.6888
0.552673 71.332 -135.6389
0.556677 71.389 -136.5892
0.560711 71.446 -137.5393
0.564774 71.504 -138.4885
0.568867 71.562 -139.3991
0.572989 71.620 -140.2917
0.577141 71.679 -141.1819
0.581324 71.738 -142.0691
0.585536 71.798 -142.9532
0.589779 71.858 -143.8336
0.594053 71.918 -144.7102
0.598358 71.979 -145.5826
0.602694 72.041 -146.4505
0.607061 72.103 -147.3138
0.611460 72.165 -148.1720
0.615891 72.228 -149.0252
0.620354 72.291 -149.8730
0.624849 72.355 -150.7154
0.629377 72.419 -151.5522
0.633938 72.483 -152.3833
0.638532 72.548 -153.2088
0.643159 72.614 -154.0284
0.647819 72.680 -154.8422
0.652514 72.746 -155.6502
0.657242 72.813 -156.4524
0.662005 72.881 -157.2488
0.666802 72.949 -158.0396
0.671634 73.017 -158.8247
0.676501 73.086 -159.6042
0.681403 73.155 -160.3784
0.686341 73.225 -161.1472
0.691314 73.296 -161.9110
0.696324 73.367 -162.6697
0.701370 73.438 -163.4235
0.706452 73.510 -164.1728
0.711571 73.583 -164.9176
0.716728 73.656 -165.6581
0.721921 73.731 -166.3945
0.727153 73.807 -167.1268
0.732422 73.889 -167.8546
0.737729 73.977 -168.5772
0.743075 74.071 -169.2934
0.748460 74.168 -170.0025
0.753883 74.268 -170.7038
0.759346 74.370 -171.3971
0.764849 74.474 -172.0821
0.770391 74.581 -172.6962
0.775974 74.690 -173.2846
0.781597 74.801 -173.8634
0.787261 74.914 -174.4326
0.792966 75.029 -174.9920
0.798712 75.147 -175.5416
0.804500 75.266 -176.0813
0.810329 75.387 -176.6110
0.816201 75.511 -177.1309
0.822116 75.636 -177.6408
0.828073 75.763 -178.1410
0.834074 75.892 -178.6314
0.840118 76.023 -179.1122
0.846206 76.156 -179.5835
0.852338 76.290 179.9546
0.858514 76.426 179.5019
0.864735 76.564 179.0583
0.871001 76.703 178.6236
0.877313 76.844 178.1976
0.883670 76.986 177.7801
0.890074 77.129 177.3708
0.896524 77.274 176.9697
0.903020 77.420 176.5764
0.909564 77.567 176.1907
0.916155 77.715 175.8123
0.922794 77.865 175.4411
0.929481 78.015 175.0768
0.936216 78.166 174.7190
0.943000 78.317 174.3676
0.949834 78.469 174.0223
0.956717 78.622 173.6828
0.963649 78.775 173.3489
0.970632 78.929 173.0622
0.977666 79.082 172.8024
0.984750 79.235 172.5477
0.991886 79.389 172.2979
0.999074 79.542 172.0527
1.006314 79.695 171.8120
1.013606 79.847 171.5752
1.020951 79.998 171.3423
1.028349 80.149 171.1129
1.035801 80.298 170.8867
1.043307 80.447 170.6635
1.050867 80.594 170.4429
1.058482 80.739 170.2248
1.066152 80.883 170.0087
1.073878 81.025 169.7944
1.081660 81.164 169.5817
1.089498 81.302 169.3704
1.097393 81.437 169.1605
1.105345 81.571 168.9525
1.113355 81.704 168.7469
1.121423 81.836 168.5441
1.129549 81.967 168.3445
1.137734 82.098 168.1481
1.145979 82.228 167.9551
1.154283 82.358 167.7657
1.162647 82.487 167.5799
1.171072 82.615 167.4427
1.179558 82.743 167.3395
1.188106 82.869 167.2408
1.196715 82.996 167.1465
1.205387 83.121 167.0568
1.214122 83.246 166.9716
1.222920 83.370 166.8911
1.231782 83.493 166.8153
1.240708 83.616 166.7442
1.249699 83.737 166.6779
1.258754 83.858 166.6163
1.267876 83.978 166.5596
1.277063 84.097 166.5076
1.286318 84.216 166.4605
1.295639 84.333 166.4182
1.305027 84.450 166.3807
1.314484 84.565 166.3481
1.324009 84.680 166.3203
1.333604 84.794 166.2972
1.343268 84.906 166.2789
1.353002 85.018 166.2654
1.362806 85.129 166.2565
1.372681 85.239 166.2585
1.382628 85.348 166.2680
1.392647 85.455 166.2822
1.402739 85.562 166.3010
1.412904 85.667 166.3243
1.423142 85.772 166.3522
1.433455 85.875 166.3845
1.443843 85.977 166.4213
1.454305 86.078 166.4624
1.464844 86.178 166.5081
1.475459 86.275 166.5587
1.486150 86.370 166.6144
1.496920 86.462 166.6753
1.507767 86.552 166.7414
1.518693 86.639 166.8126
1.529698 86.724 166.8889
1.540783 86.806 166.9700
1.551948 86.886 167.0560
1.563194 86.964 167.1466
1.574521 87.040 167.2490
1.585931 87.113 167.3581
1.597423 87.185 167.4716
1.608999 87.254 167.5892
1.620658 87.322 167.7109
1.632402 87.388 167.8366
1.644232 87.453 167.9660
1.656146 87.517 168.0990
1.668147 87.579 168.2354
1.680235 87.640 168.3752
1.692411 87.700 168.5180
1.704675 87.759 168.6638
1.717028 87.818 168.8124
1.729470 87.876 168.9636
1.742003 87.934 169.1173
1.754626 87.992 169.2732
1.767341 88.050 169.4332
1.780147 88.108 169.6133
1.793047 88.167 169.7951
1.806040 88.227 169.9787
1.819128 88.287 170.1638
1.832310 88.348 170.3506
1.845587 88.409 170.5392
1.858961 88.470 170.7299
1.872432 88.529 170.9232
1.886001 88.588 171.1193
1.899667 88.646 171.3183
1.913433 88.703 171.5206
1.927299 88.760 171.7262
1.941265 88.815 171.9353
1.955332 88.869 172.1482
1.969501 88.923 172.3652
1.983773 88.975 172.5869
1.998148 89.027 172.8128
2.012627 89.077 173.0428
2.027212 89.127 173.2772
2.041902 89.176 173.5159
2.056698 89.225 173.7591
2.071602 89.272 174.0067
2.086614 89.319 174.2588
2.101734 89.365 174.5154
2.116964 89.410 174.7766
2.132304 89.454 175.0423
2.147756 89.498 175.3126
2.163320 89.541 175.5872
2.178996 89.583 175.8388
2.194786 89.625 176.0885
2.210690 89.665 176.3416
2.226710 89.705 176.5977
2.242845 89.743 176.8568
2.259098 89.780 177.1189
2.275468 89.816 177.3843
2.291957 89.850 177.6533
2.308566 89.883 177.9260
2.325295 89.915 178.2028
2.342145 89.946 178.4838
2.359117 89.976 178.7693
2.376212 90.005 179.0311
2.393431 90.032 179.2785
2.410775 90.059 179.5305
2.428244 90.084 179.7872
2.445840 90.109 -179.9511
2.463564 90.133 -179.6844
2.481416 90.156 -179.4126
2.499397 90.178 -179.1355
2.517509 90.199 -178.8532
2.535752 90.220 -178.5657
2.554127 90.239 -178.2732
2.572635 90.258 -177.9985
2.591277 90.276 -177.7603
2.610055 90.292 -177.5192
2.628968 90.307 -177.2754
2.648019 90.321 -177.0285
2.667208 90.333 -176.7783
2.686535 90.344 -176.5246
2.706003 90.354 -176.2668
2.725612 90.362 -176.0049
2.745363 90.370 -175.7384
2.765257 90.376 -175.4672
2.785295 90.382 -175.2590
2.805478 90.386 -175.0486
2.825808 90.390 -174.8333
2.846285 90.393 -174.6127
2.866910 90.395 -174.3867
2.887685 90.397 -174.1553
2.908611 90.398 -173.9185
2.929688 90.398 -173.6767
2.950917 90.398 -173.4309
2.972301 90.396 -173.2025
2.993839 90.394 -173.0206
3.015534 90.390 -172.8361
3.037386 90.385 -172.6487
3.059396 90.379 -172.4581
3.081565 90.372 -172.2638
3.103896 90.364 -172.0654
3.126388 90.355 -171.8624
3.149043 90.345 -171.6545
3.171862 90.334 -171.4615
3.194847 90.323 -171.3215
3.217998 90.311 -171.1761
3.241317 90.299 -171.0249
3.264805 90.286 -170.8678
3.288463 90.273 -170.7051
3.312293 90.260 -170.5376
3.336295 90.245 -170.3663
3.360471 90.230 -170.1918
3.384822 90.213 -170.0683
3.409350 90.196 -169.9577
3.434056 90.178 -169.8438
3.458940 90.159 -169.7262
3.484005 90.140 -169.6046
3.509252 90.120 -169.4784
3.534681 90.099 -169.3473
3.560295 90.078 -169.2109
3.586094 90.057 -169.1257
3.612081 90.035 -169.0513
3.638255 90.013 -168.9714
3.664620 89.991 -168.8865
3.691175 89.969 -168.7975
3.717923 89.946 -168.7053
3.744864 89.922 -168.6101
3.772001 89.898 -168.5255
3.799335 89.874 -168.4868
3.826866 89.849 -168.4446
3.854597 89.824 -168.3985
3.882529 89.798 -168.3482
3.910664 89.772 -168.2932
3.939002 89.746 -168.2331
3.967546 89.720 -168.1710
3.996296 89.694 -168.1649
4.025255 89.667 -168.1539
4.054423 89.641 -168.1385
4.083804 89.614 -168.1197
4.113396 89.587 -168.0977
4.143204 89.559 -168.0725
4.173227 89.532 -168.0573
4.203468 89.504 -168.0809
4.233928 89.476 -168.1008
4.264609 89.448 -168.1166
4.295512 89.420 -168.1280
4.326639 89.391 -168.1348
4.357992 89.363 -168.1366
4.389572 89.335 -168.1738
4.421380 89.307 -168.2207
4.453419 89.279 -168.2645
4.485691 89.251 -168.3055
4.518196 89.222 -168.3435
4.550936 89.194 -168.3783
4.583914 89.165 -168.4356
4.617131 89.137 -168.5112
4.650589 89.109 -168.5830
4.684289 89.081 -168.6506
4.718233 89.053 -168.7138
4.752424 89.026 -168.7726
4.786862 88.999 -168.8551
4.821549 88.972 -168.9526
4.856488 88.945 -169.0474
4.891680 88.919 -169.1395
4.927127 88.892 -169.2285
4.962831 88.866 -169.3143
4.998794 88.840 -169.4344
5.035017 88.815 -169.5545
5.071503 88.789 -169.6707
5.108253 88.764 -169.7829
5.145270 88.739 -169.8913
5.182555 88.714 -170.0135
5.220110 88.689 -170.1543
5.257937 88.665 -170.2925
5.296038 88.641 -170.4279
5.334415 88.617 -170.5602
5.373071 88.593 -170.6956
5.412006 88.570 -170.8566
5.451224 88.546 -171.0139
5.490725 88.524 -171.1674
5.530514 88.501 -171.3176
5.570590 88.479 -171.4686
5.610957 88.457 -171.6451
5.651616 88.436 -171.8189
5.692570 88.415 -171.9897
5.733821 88.394 -172.1573
5.775370 88.374 -172.3283
5.817221 88.354 -172.5193
5.859375 88.334 -172.7067
5.901834 88.315 -172.8909
5.944602 88.296 -173.0723
5.987679 88.278 -173.2644
6.031068 88.260 -173.4671
6.074771 88.243 -173.6669
6.118792 88.225 -173.8635
6.163131 88.209 -174.0567
6.207792 88.193 -174.2699
6.252776 88.177 -174.4814
6.298086 88.162 -174.6900
6.343725 88.147 -174.8959
6.389694 88.132 -175.1104
6.435996 88.119 -175.3326
6.482634 88.105 -175.5518
6.529610 88.093 -175.7680
