* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 15, 2025 5:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Bluemi unit
* Measurement: L Chopin (AEX07)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.702 -166.1286
20.287556 94.694 -166.2862
20.434568 94.683 -166.6053
20.582645 94.674 -166.9997
20.731796 94.668 -167.4265
20.882027 94.667 -167.8626
21.033346 94.670 -168.2954
21.185763 94.677 -168.7184
21.339284 94.686 -169.1186
21.493917 94.696 -169.4911
21.649671 94.707 -169.8334
21.806553 94.716 -170.1451
21.964572 94.724 -170.4296
22.123737 94.730 -170.7089
22.284054 94.733 -170.9766
22.445534 94.735 -171.2346
22.608183 94.735 -171.4883
22.772012 94.735 -171.7432
22.937027 94.734 -172.0026
23.103238 94.734 -172.2882
23.270654 94.733 -172.5923
23.439282 94.733 -172.9002
23.609133 94.732 -173.2094
23.780215 94.730 -173.5164
23.952536 94.727 -173.8182
24.126106 94.721 -174.1357
24.300934 94.714 -174.4537
24.477028 94.706 -174.7638
24.654399 94.696 -175.0673
24.833055 94.686 -175.3661
25.013005 94.677 -175.6645
25.194260 94.670 -175.9846
25.376828 94.665 -176.3066
25.560719 94.663 -176.6313
25.745942 94.664 -176.9587
25.932508 94.668 -177.2883
26.120426 94.674 -177.6255
26.309705 94.682 -177.9660
26.500356 94.688 -178.3051
26.692388 94.694 -178.6419
26.885812 94.698 -178.9765
27.080638 94.699 -179.3087
27.276876 94.699 -179.6392
27.474535 94.696 -179.9709
27.673627 94.693 179.6949
27.874161 94.691 179.3571
28.076149 94.689 179.0184
28.279600 94.690 178.6817
28.484526 94.693 178.3438
28.690937 94.698 178.0078
28.898843 94.704 177.6769
29.108256 94.710 177.3573
29.319186 94.716 177.0513
29.531645 94.719 176.7581
29.745644 94.720 176.4769
29.961193 94.718 176.2057
30.178304 94.712 175.9385
30.396989 94.705 175.6724
30.617258 94.697 175.4035
30.839123 94.689 175.1291
31.062596 94.683 174.8457
31.287688 94.678 174.5509
31.514412 94.676 174.2561
31.742778 94.676 173.9662
31.972800 94.676 173.6853
32.204488 94.676 173.3994
32.437855 94.675 173.1202
32.672913 94.671 172.8451
32.909674 94.667 172.5674
33.148151 94.662 172.2689
33.388356 94.657 171.9493
33.630302 94.653 171.6147
33.874001 94.650 171.2692
34.119466 94.649 170.9142
34.366710 94.649 170.5586
34.615745 94.649 170.2188
34.866585 94.649 169.9004
35.119243 94.647 169.6017
35.373731 94.645 169.3190
35.630064 94.643 169.0489
35.888254 94.640 168.7827
36.148315 94.636 168.5114
36.410261 94.632 168.2281
36.674104 94.627 167.9296
36.939860 94.621 167.6151
37.207542 94.613 167.2899
37.477163 94.605 166.9561
37.748738 94.597 166.6184
38.022281 94.591 166.2827
38.297806 94.588 165.9562
38.575327 94.588 165.6404
38.854860 94.589 165.3369
39.136419 94.592 165.0437
39.420017 94.593 164.7574
39.705671 94.592 164.4745
39.993395 94.588 164.1902
40.283203 94.582 163.8961
40.575112 94.574 163.5959
40.869136 94.566 163.2911
41.165290 94.559 162.9802
41.463591 94.554 162.6684
41.764053 94.550 162.3631
42.066693 94.547 162.0640
42.371525 94.544 161.7650
42.678567 94.540 161.4706
42.987834 94.535 161.1772
43.299341 94.528 160.8759
43.613106 94.520 160.5712
43.929145 94.512 160.2635
44.247473 94.504 159.9502
44.568109 94.496 159.6342
44.891068 94.488 159.3161
45.216367 94.480 158.9943
45.544023 94.474 158.6706
45.874054 94.468 158.3497
46.206476 94.462 158.0368
46.541307 94.457 157.7362
46.878565 94.452 157.4482
47.218266 94.446 157.1669
47.560429 94.440 156.8844
47.905072 94.434 156.5947
48.252212 94.427 156.2954
48.601867 94.420 155.9916
48.954056 94.413 155.6902
49.308798 94.406 155.3921
49.666109 94.398 155.0993
50.026010 94.390 154.8070
50.388520 94.382 154.5065
50.753656 94.374 154.1999
51.121437 94.367 153.8885
51.491884 94.358 153.5759
51.865016 94.349 153.2677
52.240851 94.339 152.9646
52.619410 94.328 152.6687
53.000712 94.319 152.3810
53.384777 94.310 152.0956
53.771625 94.301 151.8107
54.161276 94.291 151.5201
54.553751 94.278 151.2220
54.949070 94.264 150.9234
55.347254 94.252 150.6292
55.748323 94.242 150.3444
56.152298 94.234 150.0628
56.559201 94.226 149.7736
56.969052 94.214 149.4726
57.381873 94.200 149.1603
57.797686 94.187 148.8476
58.216512 94.177 148.5383
58.638373 94.173 148.2288
59.063291 94.170 147.9149
59.491288 94.164 147.5999
59.922386 94.149 147.2965
60.356608 94.127 147.0128
60.793977 94.101 146.7483
61.234515 94.078 146.4862
61.678246 94.060 146.2098
62.125192 94.045 145.9169
62.575377 94.031 145.6191
63.028824 94.018 145.3307
63.485557 94.006 145.0523
63.945599 93.994 144.7736
64.408975 93.981 144.4809
64.875709 93.964 144.1767
65.345825 93.944 143.8710
65.819348 93.922 143.5775
66.296302 93.900 143.2952
66.776713 93.880 143.0126
67.260604 93.860 142.7189
67.748002 93.840 142.4180
68.238932 93.820 142.1270
68.733420 93.799 141.8587
69.231490 93.776 141.6089
69.733170 93.752 141.3608
70.238485 93.726 141.0995
70.747463 93.699 140.8239
71.260128 93.673 140.5414
71.776508 93.648 140.2588
72.296630 93.621 139.9781
72.820521 93.594 139.6988
73.348209 93.565 139.4195
73.879720 93.534 139.1416
74.415083 93.502 138.8655
74.954326 93.468 138.5928
75.497475 93.433 138.3218
76.044561 93.395 138.0512
76.595612 93.355 137.7781
77.150655 93.315 137.5065
77.709720 93.276 137.2399
78.272837 93.236 136.9792
78.840034 93.195 136.7253
79.411342 93.153 136.4810
79.986789 93.107 136.2487
80.566406 93.061 136.0242
81.150224 93.015 135.7971
81.738272 92.968 135.5602
82.330581 92.920 135.3172
82.927182 92.871 135.0744
83.528107 92.819 134.8271
84.133386 92.767 134.5658
84.743051 92.713 134.2932
85.357134 92.658 134.0298
85.975667 92.603 133.7877
86.598682 92.549 133.5558
87.226212 92.495 133.3220
87.858289 92.441 133.0892
88.494946 92.388 132.8668
89.136217 92.335 132.6584
89.782135 92.279 132.4631
90.432733 92.220 132.2791
91.088046 92.160 132.0925
91.748108 92.100 131.8820
92.412952 92.041 131.6432
93.082615 91.980 131.3962
93.757130 91.919 131.1674
94.436533 91.862 130.9650
95.120859 91.806 130.7772
95.810144 91.748 130.5854
96.504423 91.688 130.3817
97.203734 91.626 130.1743
97.908112 91.565 129.9773
98.617595 91.504 129.7985
99.332219 91.444 129.6303
100.052021 91.384 129.4507
100.777039 91.322 129.2451
101.507311 91.257 129.0278
102.242875 91.189 128.8298
102.983769 91.119 128.6647
103.730032 91.049 128.5166
104.481702 90.984 128.3694
105.238820 90.924 128.2195
106.001424 90.862 128.0594
106.769554 90.797 127.8737
107.543250 90.728 127.6668
108.322553 90.658 127.4678
109.107503 90.587 127.2959
109.898141 90.515 127.1474
110.694508 90.444 127.0113
111.496646 90.373 126.8795
112.304596 90.303 126.7415
113.118402 90.233 126.5912
113.938104 90.162 126.4343
114.763747 90.090 126.2822
115.595372 90.016 126.1382
116.433024 89.942 126.0027
117.276746 89.868 125.8777
118.126581 89.794 125.7660
118.982575 89.720 125.6686
119.844772 89.646 125.5768
120.713217 89.571 125.4787
121.587954 89.497 125.3766
122.469031 89.421 125.2800
123.356492 89.345 125.2024
124.250384 89.267 125.1465
125.150753 89.187 125.0905
126.057647 89.108 125.0158
126.971113 89.029 124.9295
127.891198 88.950 124.8470
128.817950 88.872 124.7822
129.751418 88.794 124.7360
130.691651 88.714 124.6972
131.638696 88.634 124.6518
132.592604 88.554 124.5978
133.553425 88.474 124.5458
134.521208 88.392 124.5063
135.496004 88.308 124.4743
136.477864 88.222 124.4391
137.466839 88.136 124.4004
138.462981 88.052 124.3719
139.466340 87.968 124.3561
140.476971 87.882 124.3365
141.494925 87.795 124.3184
142.520256 87.710 124.3278
143.553016 87.623 124.3596
144.593260 87.534 124.3818
145.641043 87.446 124.3958
146.696418 87.363 124.4304
147.759441 87.283 124.4966
148.830166 87.208 124.5943
149.908651 87.129 124.7006
150.994951 87.045 124.7738
152.089123 86.956 124.8188
153.191223 86.865 124.8779
154.301310 86.775 124.9846
155.419441 86.689 125.1318
156.545674 86.605 125.2767
157.680069 86.522 125.3969
158.822683 86.437 125.5081
159.973578 86.350 125.6215
161.132813 86.262 125.7424
162.300447 86.175 125.8750
163.476543 86.088 126.0189
164.661162 86.002 126.1617
165.854364 85.916 126.3069
167.056213 85.829 126.4586
168.266772 85.742 126.6163
169.486102 85.655 126.7889
170.714268 85.567 126.9838
171.951334 85.480 127.1998
173.197364 85.393 127.4272
174.452424 85.305 127.6649
175.716578 85.216 127.9109
176.989893 85.127 128.1486
178.272434 85.038 128.3805
179.564270 84.952 128.6208
180.865467 84.868 128.8701
182.176092 84.785 129.1281
183.496216 84.703 129.3972
184.825905 84.620 129.6751
186.165229 84.536 129.9612
187.514259 84.452 130.2617
188.873065 84.371 130.5948
190.241717 84.292 130.9526
191.620287 84.213 131.3122
193.008847 84.133 131.6762
194.407468 84.055 132.0445
195.816225 83.976 132.4100
197.235190 83.901 132.7888
198.664438 83.831 133.1875
200.104042 83.768 133.5618
201.554078 83.703 133.8713
203.014622 83.628 134.1464
204.485750 83.545 134.4587
205.967538 83.463 134.8336
207.460064 83.387 135.2563
208.963405 83.317 135.7056
210.477640 83.249 136.1781
212.002848 83.183 136.6921
213.539108 83.119 137.2306
215.086500 83.055 137.7626
216.645105 82.991 138.2740
218.215005 82.925 138.7635
219.796281 82.859 139.2508
221.389015 82.796 139.7614
222.993292 82.737 140.2852
224.609193 82.681 140.8169
226.236804 82.630 141.3466
227.876209 82.582 141.8645
229.527494 82.536 142.3683
231.190745 82.489 142.8672
232.866048 82.447 143.3828
234.553491 82.410 143.8946
236.253163 82.373 144.3786
237.965150 82.328 144.8873
239.689544 82.276 145.4267
241.426433 82.225 145.9602
243.175909 82.181 146.4710
244.938062 82.144 146.9575
246.712984 82.108 147.4456
248.500768 82.073 147.9576
250.301507 82.037 148.4954
252.115295 82.003 149.0545
253.942226 81.974 149.6229
255.782396 81.952 150.1699
257.635901 81.932 150.6702
259.502837 81.909 151.1301
261.383301 81.881 151.6049
263.277392 81.849 152.1282
265.185209 81.818 152.6676
267.106850 81.789 153.1818
269.042417 81.764 153.6742
270.992009 81.740 154.1768
272.955729 81.717 154.7079
274.933678 81.699 155.2628
276.925961 81.688 155.8188
278.932681 81.683 156.3677
280.953942 81.682 156.9243
282.989850 81.681 157.4879
285.040511 81.681 158.0341
287.106032 81.681 158.5741
289.186521 81.682 159.1265
291.282086 81.685 159.6693
293.392836 81.691 160.1868
295.518881 81.699 160.6816
297.660333 81.706 161.1509
299.817302 81.713 161.5981
301.989902 81.720 162.0349
304.178245 81.725 162.4555
306.382446 81.729 162.8441
308.602620 81.732 163.1937
310.838882 81.737 163.5196
313.091348 81.745 163.8954
315.360137 81.754 164.3457
317.645367 81.763 164.7748
319.947156 81.769 165.1399
322.265625 81.775 165.5318
324.600895 81.783 165.9933
326.953086 81.791 166.4688
329.322323 81.797 166.9373
331.708729 81.804 167.3872
334.112427 81.813 167.8105
336.533543 81.827 168.2134
338.972204 81.845 168.5999
341.428536 81.864 168.9727
343.902668 81.881 169.3328
346.394729 81.896 169.6792
348.904848 81.911 170.0172
351.433156 81.926 170.3515
353.979786 81.942 170.6788
356.544869 81.959 170.9977
359.128540 81.977 171.3082
361.730934 81.996 171.6105
364.352185 82.016 171.9122
366.992431 82.035 172.2215
369.651810 82.052 172.5282
372.330459 82.068 172.8277
375.028519 82.083 173.1232
377.746130 82.099 173.4155
380.483434 82.115 173.7061
383.240574 82.132 173.9926
386.017693 82.148 174.2764
388.814937 82.165 174.5498
391.632450 82.182 174.8128
394.470380 82.200 175.0732
397.328875 82.217 175.3389
400.208084 82.234 175.6048
