* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 15, 2025 5:24:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Bluemi unit
* Measurement: R Chopin (AEX07)
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.756 -166.2306
20.287556 94.754 -166.3749
20.434568 94.753 -166.6640
20.582645 94.753 -167.0114
20.731796 94.754 -167.3777
20.882027 94.756 -167.7477
21.033346 94.759 -168.1174
21.185763 94.762 -168.4871
21.339284 94.764 -168.8503
21.493917 94.767 -169.2049
21.649671 94.768 -169.5484
21.806553 94.769 -169.8785
21.964572 94.770 -170.1929
22.123737 94.769 -170.5073
22.284054 94.769 -170.8085
22.445534 94.769 -171.0913
22.608183 94.770 -171.3566
22.772012 94.772 -171.6068
22.937027 94.775 -171.8447
23.103238 94.777 -172.0946
23.270654 94.779 -172.3524
23.439282 94.780 -172.6097
23.609133 94.778 -172.8696
23.780215 94.775 -173.1342
23.952536 94.769 -173.4047
24.126106 94.761 -173.7041
24.300934 94.752 -174.0172
24.477028 94.742 -174.3338
24.654399 94.733 -174.6518
24.833055 94.725 -174.9695
25.013005 94.719 -175.2867
25.194260 94.717 -175.6227
25.376828 94.716 -175.9551
25.560719 94.719 -176.2837
25.745942 94.722 -176.6084
25.932508 94.727 -176.9292
26.120426 94.731 -177.2523
26.309705 94.736 -177.5744
26.500356 94.739 -177.8909
26.692388 94.742 -178.2013
26.885812 94.743 -178.5055
27.080638 94.743 -178.8030
27.276876 94.744 -179.0948
27.474535 94.744 -179.3840
27.673627 94.744 -179.6726
27.874161 94.745 -179.9625
28.076149 94.746 179.7483
28.279600 94.747 179.4616
28.484526 94.748 179.1737
28.690937 94.749 178.8864
28.898843 94.750 178.6017
29.108256 94.751 178.3239
29.319186 94.752 178.0532
29.531645 94.753 177.7864
29.745644 94.754 177.5210
29.961193 94.755 177.2543
30.178304 94.756 176.9811
30.396989 94.756 176.7012
30.617258 94.756 176.4143
30.839123 94.754 176.1219
31.062596 94.751 175.8239
31.287688 94.748 175.5193
31.514412 94.744 175.2192
31.742778 94.739 174.9264
31.972800 94.734 174.6426
32.204488 94.729 174.3525
32.437855 94.724 174.0687
32.672913 94.718 173.7917
32.909674 94.713 173.5200
33.148151 94.707 173.2402
33.388356 94.701 172.9546
33.630302 94.695 172.6677
33.874001 94.688 172.3769
34.119466 94.680 172.0739
34.366710 94.674 171.7573
34.615745 94.668 171.4348
34.866585 94.663 171.1098
35.119243 94.660 170.7843
35.373731 94.659 170.4643
35.630064 94.660 170.1586
35.888254 94.661 169.8694
36.148315 94.663 169.5944
36.410261 94.663 169.3275
36.674104 94.662 169.0604
36.939860 94.659 168.7844
37.207542 94.655 168.4966
37.477163 94.651 168.1945
37.748738 94.647 167.8818
38.022281 94.645 167.5681
38.297806 94.645 167.2664
38.575327 94.647 166.9828
38.854860 94.650 166.7206
39.136419 94.653 166.4760
39.420017 94.653 166.2405
39.705671 94.649 166.0039
39.993395 94.643 165.7565
40.283203 94.635 165.4871
40.575112 94.625 165.2009
40.869136 94.616 164.9044
41.165290 94.609 164.6020
41.463591 94.603 164.3039
41.764053 94.599 164.0200
42.066693 94.596 163.7487
42.371525 94.593 163.4799
42.678567 94.589 163.2127
42.987834 94.584 162.9395
43.299341 94.579 162.6492
43.613106 94.573 162.3480
43.929145 94.568 162.0411
44.247473 94.563 161.7330
44.568109 94.558 161.4342
44.891068 94.552 161.1504
45.216367 94.546 160.8792
45.544023 94.539 160.6157
45.874054 94.531 160.3519
46.206476 94.522 160.0800
46.541307 94.514 159.7965
46.878565 94.506 159.5042
47.218266 94.500 159.2098
47.560429 94.495 158.9225
47.905072 94.491 158.6481
48.252212 94.487 158.3848
48.601867 94.482 158.1270
48.954056 94.476 157.8673
49.308798 94.470 157.5968
49.666109 94.463 157.3176
50.026010 94.457 157.0331
50.388520 94.451 156.7446
50.753656 94.445 156.4592
51.121437 94.439 156.1783
51.491884 94.432 155.9020
51.865016 94.425 155.6324
52.240851 94.416 155.3660
52.619410 94.405 155.0996
53.000712 94.394 154.8289
53.384777 94.382 154.5474
53.771625 94.372 154.2624
54.161276 94.363 153.9835
54.553751 94.353 153.7205
54.949070 94.343 153.4761
55.347254 94.331 153.2362
55.748323 94.320 152.9849
56.152298 94.309 152.7118
56.559201 94.299 152.4241
56.969052 94.291 152.1429
57.381873 94.283 151.8775
57.797686 94.275 151.6204
58.216512 94.267 151.3457
58.638373 94.260 151.0365
59.063291 94.253 150.7059
59.491288 94.244 150.3932
59.922386 94.232 150.1346
60.356608 94.216 149.9307
60.793977 94.198 149.7505
61.234515 94.181 149.5514
61.678246 94.166 149.3127
62.125192 94.154 149.0450
62.575377 94.141 148.7713
63.028824 94.127 148.5068
63.485557 94.111 148.2504
63.945599 94.095 147.9975
64.408975 94.078 147.7451
64.875709 94.061 147.4979
65.345825 94.044 147.2531
65.819348 94.029 147.0073
66.296302 94.013 146.7549
66.776713 93.998 146.4964
67.260604 93.982 146.2358
67.748002 93.965 145.9799
68.238932 93.947 145.7354
68.733420 93.930 145.5038
69.231490 93.912 145.2801
69.733170 93.895 145.0546
70.238485 93.875 144.8195
70.747463 93.851 144.5759
71.260128 93.825 144.3311
71.776508 93.797 144.0922
72.296630 93.770 143.8607
72.820521 93.745 143.6319
73.348209 93.720 143.3966
73.879720 93.695 143.1507
74.415083 93.670 142.8973
74.954326 93.644 142.6488
75.497475 93.616 142.4150
76.044561 93.588 142.1980
76.595612 93.558 141.9885
77.150655 93.527 141.7819
77.709720 93.495 141.5755
78.272837 93.461 141.3644
78.840034 93.424 141.1414
79.411342 93.384 140.9078
79.986789 93.343 140.6771
80.566406 93.302 140.4626
81.150224 93.262 140.2633
81.738272 93.220 140.0678
82.330581 93.176 139.8729
82.927182 93.131 139.6883
83.528107 93.085 139.5201
84.133386 93.037 139.3616
84.743051 92.991 139.1996
85.357134 92.948 139.0298
85.975667 92.906 138.8535
86.598682 92.863 138.6682
87.226212 92.814 138.4712
87.858289 92.763 138.2643
88.494946 92.711 138.0549
89.136217 92.658 137.8525
89.782135 92.605 137.6623
90.432733 92.552 137.4861
91.088046 92.498 137.3236
91.748108 92.443 137.1693
92.412952 92.387 137.0125
93.082615 92.330 136.8440
93.757130 92.272 136.6670
94.436533 92.213 136.4921
95.120859 92.154 136.3228
95.810144 92.092 136.1541
96.504423 92.030 135.9835
97.203734 91.970 135.8092
97.908112 91.913 135.6279
98.617595 91.858 135.4492
99.332219 91.805 135.2964
100.052021 91.751 135.1753
100.777039 91.696 135.0625
101.507311 91.637 134.9363
102.242875 91.572 134.8008
102.983769 91.507 134.6678
103.730032 91.445 134.5298
104.481702 91.384 134.3825
105.238820 91.322 134.2525
106.001424 91.260 134.1683
106.769554 91.199 134.1087
107.543250 91.140 134.0230
108.322553 91.080 133.8952
109.107503 91.016 133.7551
109.898141 90.949 133.6353
110.694508 90.882 133.5394
111.496646 90.816 133.4560
112.304596 90.749 133.3778
113.118402 90.682 133.3039
113.938104 90.617 133.2290
114.763747 90.554 133.1474
115.595372 90.491 133.0593
116.433024 90.425 132.9698
117.276746 90.355 132.8904
118.126581 90.287 132.8410
118.982575 90.221 132.8225
119.844772 90.158 132.8047
120.713217 90.094 132.7705
121.587954 90.028 132.7331
122.469031 89.957 132.7039
123.356492 89.884 132.6806
124.250384 89.812 132.6511
125.150753 89.742 132.6085
126.057647 89.673 132.5653
126.971113 89.605 132.5359
127.891198 89.537 132.5178
128.817950 89.468 132.5051
129.751418 89.399 132.4952
130.691651 89.328 132.4898
131.638696 89.257 132.4895
132.592604 89.184 132.4979
133.553425 89.111 132.5172
134.521208 89.038 132.5480
135.496004 88.965 132.5865
136.477864 88.892 132.6342
137.466839 88.819 132.6963
138.462981 88.746 132.7670
139.466340 88.671 132.8363
140.476971 88.595 132.8897
141.494925 88.520 132.9142
142.520256 88.448 132.9198
143.553016 88.381 132.9276
144.593260 88.312 132.9941
145.641043 88.236 133.2059
146.696418 88.160 133.5235
147.759441 88.095 133.7488
148.830166 88.038 133.7796
149.908651 87.977 133.7361
150.994951 87.906 133.7554
152.089123 87.829 133.8448
153.191223 87.751 133.9494
154.301310 87.673 134.0670
155.419441 87.595 134.2209
156.545674 87.518 134.3930
157.680069 87.444 134.5510
158.822683 87.374 134.7018
159.973578 87.306 134.8736
161.132813 87.239 135.0865
162.300447 87.169 135.3216
163.476543 87.095 135.5356
164.661162 87.017 135.7027
165.854364 86.942 135.8414
167.056213 86.870 135.9995
168.266772 86.803 136.2016
169.486102 86.737 136.4361
170.714268 86.670 136.6788
171.951334 86.604 136.9250
173.197364 86.540 137.1671
174.452424 86.474 137.3981
175.716578 86.408 137.6374
176.989893 86.343 137.8909
178.272434 86.278 138.1462
179.564270 86.213 138.4102
180.865467 86.147 138.6863
182.176092 86.081 138.9733
183.496216 86.016 139.2650
184.825905 85.954 139.5529
186.165229 85.892 139.8387
187.514259 85.831 140.1355
188.873065 85.772 140.4487
190.241717 85.713 140.7771
191.620287 85.656 141.1169
193.008847 85.600 141.4596
194.407468 85.544 141.7979
195.816225 85.489 142.1327
197.235190 85.436 142.4707
198.664438 85.384 142.8191
200.104042 85.332 143.1794
201.554078 85.280 143.5411
203.014622 85.227 143.8986
204.485750 85.175 144.2559
205.967538 85.125 144.6255
207.460064 85.076 145.0154
208.963405 85.026 145.4108
210.477640 84.976 145.7950
212.002848 84.927 146.1779
213.539108 84.881 146.5624
215.086500 84.838 146.9465
216.645105 84.797 147.3291
218.215005 84.758 147.7133
219.796281 84.720 148.1021
221.389015 84.682 148.5014
222.993292 84.642 148.9044
224.609193 84.601 149.3032
226.236804 84.562 149.6985
227.876209 84.525 150.0894
229.527494 84.490 150.4865
231.190745 84.457 150.8950
232.866048 84.424 151.3135
234.553491 84.393 151.7361
236.253163 84.365 152.1438
237.965150 84.341 152.5385
239.689544 84.317 152.9402
241.426433 84.291 153.3448
243.175909 84.261 153.7521
244.938062 84.231 154.1677
246.712984 84.202 154.5842
248.500768 84.175 154.9978
250.301507 84.150 155.4310
252.115295 84.128 155.8827
253.942226 84.110 156.3208
255.782396 84.093 156.7343
257.635901 84.075 157.1621
259.502837 84.061 157.6320
261.383301 84.053 158.0574
263.277392 84.046 158.4094
265.185209 84.032 158.7841
267.106850 84.016 159.2254
269.042417 84.003 159.7041
270.992009 83.993 160.1597
272.955729 83.985 160.5583
274.933678 83.977 160.9329
276.925961 83.968 161.3135
278.932681 83.964 161.6898
280.953942 83.968 162.0636
282.989850 83.972 162.4576
285.040511 83.970 162.8813
287.106032 83.956 163.3148
289.186521 83.935 163.7274
291.282086 83.917 164.0978
293.392836 83.909 164.4464
295.518881 83.905 164.8654
297.660333 83.900 165.3918
299.817302 83.897 165.9557
301.989902 83.904 166.4687
304.178245 83.920 166.9193
306.382446 83.937 167.3331
308.602620 83.955 167.7599
310.838882 83.981 168.2465
313.091348 84.018 168.7353
315.360137 84.061 169.1417
317.645367 84.102 169.4772
319.947156 84.141 169.7799
322.265625 84.173 170.0301
324.600895 84.195 170.1779
326.953086 84.209 170.2462
329.322323 84.218 170.3029
331.708729 84.224 170.3987
334.112427 84.230 170.5399
336.533543 84.237 170.7144
338.972204 84.244 170.9114
341.428536 84.248 171.1289
343.902668 84.252 171.3527
346.394729 84.258 171.5742
348.904848 84.268 171.8061
351.433156 84.279 172.0443
353.979786 84.290 172.2655
356.544869 84.300 172.4729
359.128540 84.310 172.6910
361.730934 84.320 172.9243
364.352185 84.330 173.1574
366.992431 84.337 173.3822
369.651810 84.343 173.6048
372.330459 84.350 173.8362
375.028519 84.359 174.0720
377.746130 84.368 174.3035
380.483434 84.377 174.5243
383.240574 84.386 174.7335
386.017693 84.393 174.9406
388.814937 84.402 175.1521
391.632450 84.414 175.3652
394.470380 84.426 175.5698
397.328875 84.440 175.7710
