* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 16, 2025 9:42:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Konoka (01, T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.923	20.9151
20.600000	88.950	20.5286
20.900000	88.978	20.0854
21.200001	89.005	19.6515
21.400000	89.022	19.3743
21.799999	89.054	18.8532
22.000000	89.069	18.6037
22.400000	89.092	18.0744
22.700001	89.106	17.6876
23.000000	89.118	17.3050
23.299999	89.128	16.8859
23.600000	89.136	16.4746
24.000000	89.146	15.9437
24.299999	89.153	15.5145
24.700001	89.159	14.9551
25.000000	89.164	14.5477
25.400000	89.172	13.9713
25.799999	89.182	13.4125
26.200001	89.193	12.8586
26.500000	89.203	12.4435
26.900000	89.216	11.9021
27.200001	89.226	11.5076
27.600000	89.239	10.9988
28.000000	89.253	10.5113
28.500000	89.270	9.9460
29.000000	89.286	9.4082
29.500000	89.297	8.8999
30.000000	89.303	8.4105
30.400000	89.306	8.0295
30.700001	89.307	7.7531
31.100000	89.307	7.3922
31.500000	89.305	7.0289
32.000000	89.301	6.5883
32.500000	89.296	6.1246
33.000000	89.291	5.6698
33.500000	89.285	5.1981
34.000000	89.277	4.7351
34.500000	89.267	4.2627
35.000000	89.257	3.7991
35.500000	89.250	3.3395
36.000000	89.245	2.8945
36.500000	89.241	2.4595
37.000000	89.236	2.0333
37.500000	89.230	1.6297
38.200001	89.217	1.1128
38.700001	89.207	0.7691
39.500000	89.192	0.1985
40.000000	89.183	-0.1715
40.599998	89.169	-0.6026
41.200001	89.152	-0.9981
41.799999	89.134	-1.3860
42.500000	89.114	-1.8531
43.099998	89.095	-2.2532
43.700001	89.078	-2.6557
44.400002	89.062	-3.1290
45.000000	89.048	-3.5241
45.500000	89.032	-3.8320
46.200001	89.004	-4.2370
46.799999	88.980	-4.5843
47.500000	88.957	-4.9955
48.200001	88.935	-5.3891
48.700001	88.918	-5.6567
49.400002	88.893	-6.0263
50.000000	88.870	-6.3416
50.799999	88.839	-6.7599
51.500000	88.814	-7.1174
52.200001	88.789	-7.4683
53.000000	88.756	-7.8692
53.799999	88.722	-8.2736
54.500000	88.694	-8.6100
55.200001	88.666	-8.9235
56.000000	88.634	-9.2963
57.000000	88.592	-9.8044
58.000000	88.544	-10.2575
59.000000	88.536	-10.7349
60.000000	88.533	-11.2364
60.799999	88.472	-11.5275
61.500000	88.406	-11.7514
62.200001	88.362	-12.0142
63.000000	88.323	-12.3394
64.000000	88.268	-12.7278
65.000000	88.215	-13.1219
66.000000	88.159	-13.5219
67.000000	88.103	-13.9015
68.000000	88.045	-14.2651
69.000000	87.986	-14.6242
70.000000	87.923	-14.9616
71.000000	87.856	-15.2579
72.000000	87.787	-15.5027
73.000000	87.723	-15.7218
74.000000	87.660	-15.9505
75.000000	87.599	-16.1467
76.199997	87.533	-16.3675
77.500000	87.468	-16.5937
78.800003	87.412	-16.8859
80.000000	87.349	-17.1762
81.199997	87.297	-17.4343
82.500000	87.235	-17.6125
83.800003	87.195	-17.8200
85.000000	87.173	-17.7347
86.199997	87.364	-17.3133
87.500000	87.972	-19.2598
88.500000	88.296	-25.0951
90.000000	87.261	-33.8916
91.199997	86.057	-33.1898
92.500000	85.532	-33.5880
93.800003	84.763	-39.3025
95.000000	82.895	-43.1257
96.199997	80.787	-19.5000
97.500000	82.300	24.3899
98.800003	85.330	27.0928
100.000000	87.002	19.1706
101.500000	87.867	9.6249
103.000000	88.139	3.3251
104.400002	88.228	-0.4690
106.000000	88.253	-3.5107
107.500000	88.240	-5.6579
109.000000	88.215	-7.3293
110.599998	88.187	-8.6593
112.000000	88.154	-9.5087
113.800003	88.092	-10.3420
115.000000	88.040	-10.8410
117.199997	87.940	-11.8452
118.000000	87.907	-12.2750
120.599998	87.830	-13.7092
122.000000	87.796	-14.3418
124.099998	87.717	-15.1122
125.000000	87.674	-15.4523
126.500000	87.606	-16.0518
128.000000	87.547	-16.5960
131.500000	87.391	-17.4407
132.000000	87.370	-17.5347
134.000000	87.297	-17.8476
136.000000	87.240	-18.0811
138.000000	87.198	-18.3155
140.000000	87.172	-18.5642
143.000000	87.162	-19.0739
145.000000	87.164	-19.5228
147.500000	87.157	-20.2381
150.000000	87.135	-21.0211
152.500000	87.106	-21.8473
155.000000	87.073	-22.6690
157.500000	87.054	-23.5353
160.000000	87.047	-24.6378
162.500000	87.017	-26.0899
165.000000	86.932	-27.7395
167.500000	86.804	-29.3722
170.000000	86.654	-31.1366
172.500000	86.429	-33.3139
175.000000	86.031	-35.5290
177.500000	85.450	-36.7521
180.000000	84.834	-36.2048
182.500000	84.353	-34.1081
185.000000	84.095	-31.4834
187.500000	84.013	-29.4343
190.000000	83.980	-28.2091
192.500000	83.927	-27.3034
195.000000	83.881	-26.3461
197.500000	83.867	-25.5680
200.000000	83.850	-25.0570
203.000000	83.821	-24.4468
206.000000	83.803	-23.9258
209.000000	83.788	-23.6032
212.000000	83.757	-23.4345
214.000000	83.723	-23.3630
218.000000	83.631	-23.1434
220.000000	83.583	-22.9621
224.000000	83.494	-22.5240
227.000000	83.435	-22.1721
230.000000	83.383	-21.8494
233.000000	83.337	-21.5512
236.000000	83.291	-21.2888
240.000000	83.226	-20.9364
243.000000	83.177	-20.6522
247.000000	83.116	-20.2790
250.000000	83.074	-19.9943
254.000000	83.021	-19.6124
258.000000	82.979	-19.2400
262.000000	82.953	-18.8940
265.000000	82.946	-18.6933
269.000000	82.942	-18.5898
272.000000	82.935	-18.6663
276.000000	82.905	-18.9509
280.000000	82.834	-19.3820
285.000000	82.672	-19.8342
290.000000	82.460	-19.8439
295.000000	82.253	-19.3775
300.000000	82.079	-18.6538
304.000000	81.966	-17.9942
307.000000	81.894	-17.5026
311.000000	81.811	-16.8693
315.000000	81.738	-16.2712
320.000000	81.655	-15.5827
325.000000	81.575	-14.9585
330.000000	81.488	-14.3902
335.000000	81.392	-13.8533
340.000000	81.282	-13.3244
345.000000	81.151	-12.7582
350.000000	80.991	-12.1118
355.000000	80.788	-11.2663
360.000000	80.534	-9.9248
365.000000	80.265	-7.5055
370.000000	80.133	-3.5192
375.000000	80.344	1.1609
382.000000	81.102	4.6462
387.000000	81.593	4.3902
395.000000	81.987	2.4438
400.000000	82.057	1.3949
406.000000	82.062	0.5782
412.000000	82.039	0.1769
418.000000	82.016	0.0471
425.000000	81.996	0.0482
431.000000	81.980	0.1300
437.000000	81.965	0.2891
444.000000	81.951	0.5522
450.000000	81.944	0.8321
455.000000	81.942	1.1005
462.000000	81.950	1.5045
468.000000	81.969	1.8651
475.000000	82.005	2.2947
482.000000	82.059	2.7076
487.000000	82.112	2.9671
494.000000	82.211	3.2406
500.000000	82.323	3.3298
508.000000	82.514	3.0481
515.000000	82.706	2.1375
522.000000	82.865	0.2685
530.000000	82.864	-3.0705
538.000000	82.521	-6.5913
545.000000	81.968	-8.2941
552.000000	81.361	-7.9483
560.000000	80.830	-5.7031
570.000000	80.502	-2.2244
580.000000	80.395	0.6346
590.000000	80.361	2.8747
600.000000	80.353	4.7694
608.000000	80.360	6.1149
615.000000	80.371	7.2051
622.000000	80.386	8.2407
630.000000	80.410	9.3653
640.000000	80.451	10.6505
650.000000	80.498	11.8090
660.000000	80.544	12.8730
670.000000	80.589	13.8699
680.000000	80.634	14.8122
690.000000	80.678	15.6975
700.000000	80.717	16.5353
710.000000	80.750	17.3685
720.000000	80.782	18.2354
730.000000	80.820	19.1115
740.000000	80.862	19.9718
750.000000	80.906	20.8172
762.000000	80.962	21.8090
775.000000	81.025	22.8623
788.000000	81.091	23.9036
800.000000	81.156	24.8598
812.000000	81.225	25.8048
825.000000	81.301	26.8103
838.000000	81.383	27.8016
850.000000	81.462	28.7034
862.000000	81.545	29.5907
875.000000	81.638	30.5357
885.000000	81.713	31.2510
900.000000	81.830	32.2977
912.000000	81.926	33.1115
925.000000	82.035	33.9769
938.000000	82.148	34.8192
950.000000	82.257	35.5793
962.000000	82.369	36.3238
975.000000	82.493	37.1073
988.000000	82.623	37.8685
1000.000000	82.746	38.5446
1015.000000	82.906	39.3412
1030.000000	83.073	40.0609
1044.000000	83.228	40.6649
1060.000000	83.406	41.2915
1075.000000	83.568	41.7935
1090.000000	83.721	42.2766
1106.000000	83.884	42.8385
1120.000000	84.034	43.3382
1138.000000	84.233	43.9277
1150.000000	84.368	44.2852
1172.000000	84.627	44.9237
1180.000000	84.733	45.1193
1206.000000	85.028	45.1169
1220.000000	85.143	45.3283
