* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 16, 2025 9:49:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.940	9.4260
20.600000	88.950	9.0952
20.900000	88.960	8.7148
21.200001	88.969	8.3396
21.400000	88.974	8.0965
21.799999	88.982	7.6311
22.000000	88.983	7.4049
22.400000	88.978	6.9202
22.700001	88.969	6.5695
23.000000	88.959	6.2267
23.299999	88.949	5.8503
23.600000	88.939	5.4821
24.000000	88.928	5.0063
24.299999	88.920	4.6149
24.700001	88.907	4.1013
25.000000	88.896	3.7252
25.400000	88.882	3.1879
25.799999	88.869	2.6672
26.200001	88.859	2.1535
26.500000	88.853	1.7720
26.900000	88.847	1.2818
27.200001	88.843	0.9303
27.600000	88.838	0.4816
28.000000	88.832	0.0520
28.500000	88.826	-0.4522
29.000000	88.818	-0.9428
29.500000	88.807	-1.4103
30.000000	88.792	-1.8552
30.400000	88.778	-2.1946
30.700001	88.765	-2.4368
31.100000	88.748	-2.7494
31.500000	88.731	-3.0629
32.000000	88.708	-3.4425
32.500000	88.683	-3.8511
33.000000	88.656	-4.2588
33.500000	88.627	-4.6856
34.000000	88.597	-5.0961
34.500000	88.568	-5.5075
35.000000	88.541	-5.9124
35.500000	88.518	-6.3238
36.000000	88.496	-6.7230
36.500000	88.474	-7.0982
37.000000	88.451	-7.4508
37.500000	88.426	-7.7894
38.200001	88.390	-8.2641
38.700001	88.363	-8.5937
39.500000	88.322	-9.0901
40.000000	88.299	-9.3794
40.599998	88.273	-9.7240
41.200001	88.242	-10.0729
41.799999	88.203	-10.4382
42.500000	88.156	-10.8668
