* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 17, 2025 12:57:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B, 500filt)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	89.031	8.2570
20.600000	89.041	7.9175
20.900000	89.051	7.5259
21.200001	89.058	7.1402
21.400000	89.062	6.8914
21.799999	89.066	6.4192
22.000000	89.066	6.1915
22.400000	89.060	5.7056
22.700001	89.051	5.3542
23.000000	89.041	5.0098
23.299999	89.029	4.6306
23.600000	89.016	4.2587
24.000000	89.000	3.7782
24.299999	88.988	3.3858
24.700001	88.973	2.8770
25.000000	88.962	2.5096
25.400000	88.948	1.9888
25.799999	88.935	1.4855
26.200001	88.922	0.9849
26.500000	88.915	0.6088
26.900000	88.906	0.1205
27.200001	88.900	-0.2322
27.600000	88.893	-0.6831
28.000000	88.886	-1.1130
28.500000	88.876	-1.6113
29.000000	88.864	-2.0874
29.500000	88.852	-2.5358
30.000000	88.840	-2.9684
30.400000	88.828	-3.3094
30.700001	88.817	-3.5595
31.100000	88.799	-3.8867
31.500000	88.779	-4.2114
32.000000	88.752	-4.5904
32.500000	88.726	-4.9834
33.000000	88.697	-5.3744
33.500000	88.668	-5.7951
34.000000	88.639	-6.2085
34.500000	88.611	-6.6203
35.000000	88.585	-7.0178
35.500000	88.559	-7.4226
36.000000	88.533	-7.8282
36.500000	88.509	-8.2234
37.000000	88.486	-8.5966
37.500000	88.463	-8.9449
38.200001	88.427	-9.4184
38.700001	88.402	-9.7493
39.500000	88.361	-10.2642
40.000000	88.333	-10.5744
40.599998	88.297	-10.9450
41.200001	88.258	-11.3009
41.799999	88.220	-11.6446
42.500000	88.175	-12.0432
43.099998	88.137	-12.3901
43.700001	88.099	-12.7510
44.400002	88.051	-13.1837
45.000000	88.006	-13.5529
45.500000	87.972	-13.8400
46.200001	87.932	-14.1947
46.799999	87.900	-14.4831
47.500000	87.858	-14.8474
48.200001	87.811	-15.2294
48.700001	87.778	-15.4917
49.400002	87.733	-15.8392
50.000000	87.693	-16.1288
50.799999	87.637	-16.5253
51.500000	87.587	-16.8743
52.200001	87.539	-17.2115
53.000000	87.479	-17.5923
53.799999	87.414	-17.9829
54.500000	87.361	-18.3158
55.200001	87.313	-18.6503
56.000000	87.256	-19.0481
57.000000	87.170	-19.5197
58.000000	87.079	-20.0094
59.000000	86.990	-20.4026
60.000000	86.896	-20.6861
60.799999	86.815	-21.1384
61.500000	86.739	-21.6381
62.200001	86.655	-22.0346
63.000000	86.551	-22.3433
64.000000	86.415	-22.6607
65.000000	86.279	-22.8767
66.000000	86.145	-22.9918
67.000000	86.017	-23.0301
68.000000	85.903	-23.0202
69.000000	85.798	-22.9880
70.000000	85.699	-22.9372
71.000000	85.608	-22.9384
72.000000	85.516	-23.0068
73.000000	85.424	-23.1093
74.000000	85.331	-23.3000
75.000000	85.230	-23.5399
76.199997	85.095	-23.8460
77.500000	84.924	-24.2157
78.800003	84.745	-24.6693
80.000000	84.541	-25.0634
81.199997	84.342	-25.2353
82.500000	84.145	-25.6281
83.800003	83.932	-26.0904
85.000000	83.859	-26.3225
86.199997	84.131	-28.6723
87.500000	84.733	-37.7312
88.500000	84.981	-53.0264
90.000000	83.112	-88.7721
91.199997	80.720	133.9155
92.500000	82.197	70.9709
93.800003	84.986	51.7731
95.000000	86.436	37.6750
96.199997	87.291	27.2996
97.500000	87.901	19.0193
98.800003	88.311	12.8787
100.000000	88.548	8.6252
101.500000	88.683	4.8337
103.000000	88.678	2.1384
104.400002	88.599	0.1172
106.000000	88.486	-1.7928
107.500000	88.373	-3.1289
109.000000	88.230	-4.1610
110.599998	88.047	-5.3221
112.000000	87.900	-6.4725
113.800003	87.755	-7.8943
115.000000	87.681	-8.7030
117.199997	87.550	-9.8445
118.000000	87.496	-10.2097
120.599998	87.312	-11.2896
122.000000	87.217	-11.7518
124.099998	87.093	-12.2577
125.000000	87.048	-12.4015
126.500000	86.976	-12.6351
128.000000	86.914	-12.9160
131.500000	86.788	-13.3707
132.000000	86.772	-13.4280
134.000000	86.715	-13.6567
136.000000	86.649	-13.8540
138.000000	86.576	-13.9658
140.000000	86.511	-13.8558
143.000000	86.476	-13.3993
145.000000	86.489	-13.0630
147.500000	86.536	-12.6642
150.000000	86.620	-12.2549
152.500000	86.753	-11.8544
155.000000	86.946	-11.5596
157.500000	87.206	-11.4614
160.000000	87.549	-11.6992
162.500000	87.988	-12.6210
165.000000	88.484	-14.7233
167.500000	88.955	-18.2697
170.000000	89.319	-23.2916
172.500000	89.480	-29.7594
175.000000	89.294	-37.2882
177.500000	88.638	-44.4554
180.000000	87.598	-49.2693
182.500000	86.443	-50.8759
185.000000	85.426	-49.8423
187.500000	84.687	-47.4264
190.000000	84.225	-44.9370
192.500000	83.930	-42.9728
195.000000	83.702	-41.5470
197.500000	83.477	-40.3835
200.000000	83.241	-38.9775
