* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.000
* Format: 512k Log Swept Sine, 1 sweep at -1.7 dBFS with no timing reference
* Dated: May 17, 2025 1:11:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B, 500, 25?
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.932	9.2229
20.600000	88.942	8.8659
20.900000	88.950	8.4569
21.200001	88.955	8.0593
21.400000	88.958	7.8077
21.799999	88.962	7.3438
22.000000	88.963	7.1260
22.400000	88.961	6.6642
22.700001	88.956	6.3275
23.000000	88.950	5.9906
23.299999	88.942	5.6115
23.600000	88.933	5.2350
24.000000	88.919	4.7476
24.299999	88.907	4.3516
24.700001	88.891	3.8383
25.000000	88.878	3.4647
25.400000	88.864	2.9296
25.799999	88.851	2.4100
26.200001	88.841	1.9007
26.500000	88.835	1.5275
26.900000	88.828	1.0532
27.200001	88.823	0.7132
27.600000	88.818	0.2719
28.000000	88.812	-0.1626
28.500000	88.804	-0.6797
29.000000	88.795	-1.1694
29.500000	88.784	-1.6124
30.000000	88.771	-2.0261
30.400000	88.757	-2.3537
30.700001	88.746	-2.5995
31.100000	88.729	-2.9296
31.500000	88.709	-3.2634
32.000000	88.683	-3.6529
32.500000	88.656	-4.0476
33.000000	88.630	-4.4330
33.500000	88.605	-4.8513
34.000000	88.577	-5.2750
34.500000	88.549	-5.7074
35.000000	88.521	-6.1192
35.500000	88.495	-6.5145
36.000000	88.472	-6.8864
36.500000	88.450	-7.2442
37.000000	88.425	-7.5994
37.500000	88.398	-7.9545
38.200001	88.363	-8.4540
38.700001	88.340	-8.7987
39.500000	88.302	-9.3158
40.000000	88.276	-9.6064
40.599998	88.243	-9.9349
41.200001	88.208	-10.2626
41.799999	88.172	-10.6174
42.500000	88.129	-11.0407
43.099998	88.090	-11.3846
43.700001	88.049	-11.7447
44.400002	88.002	-12.2086
45.000000	87.965	-12.5912
45.500000	87.935	-12.8554
46.200001	87.892	-13.1594
46.799999	87.855	-13.4303
47.500000	87.813	-13.7911
48.200001	87.769	-14.1507
48.700001	87.736	-14.3925
49.400002	87.691	-14.7270
50.000000	87.652	-15.0136
50.799999	87.599	-15.3899
51.500000	87.553	-15.7191
52.200001	87.506	-16.0605
53.000000	87.453	-16.4462
53.799999	87.398	-16.8059
54.500000	87.346	-17.1064
55.200001	87.293	-17.4146
56.000000	87.232	-17.7893
57.000000	87.154	-18.2806
58.000000	87.078	-18.7521
59.000000	86.977	-19.1932
60.000000	86.863	-19.6710
60.799999	86.810	-20.0615
61.500000	86.776	-20.3848
62.200001	86.726	-20.7133
63.000000	86.648	-21.1114
64.000000	86.543	-21.6173
65.000000	86.426	-22.1363
66.000000	86.296	-22.6827
67.000000	86.146	-23.1971
68.000000	85.975	-23.6040
69.000000	85.787	-23.8516
70.000000	85.591	-23.8985
71.000000	85.405	-23.7462
72.000000	85.238	-23.4374
73.000000	85.089	-23.0262
74.000000	84.959	-22.6175
75.000000	84.843	-22.2367
76.199997	84.718	-21.8412
77.500000	84.579	-21.5544
78.800003	84.428	-21.3676
80.000000	84.256	-21.1709
81.199997	84.098	-20.7064
82.500000	83.960	-20.4105
83.800003	83.825	-20.1429
85.000000	83.842	-19.7897
86.199997	84.156	-21.5768
87.500000	84.630	-29.3274
88.500000	84.737	-42.1158
90.000000	82.718	-73.3610
91.199997	80.557	58.3683
92.500000	82.849	61.9111
93.800003	85.891	46.2966
95.000000	87.217	32.0601
96.199997	87.865	21.7388
97.500000	88.304	13.8810
98.800003	88.588	8.2505
100.000000	88.733	4.4254
101.500000	88.783	1.0217
103.000000	88.726	-1.4279
104.400002	88.629	-3.2228
106.000000	88.514	-4.7914
107.500000	88.401	-5.7623
109.000000	88.258	-6.4688
110.599998	88.080	-7.3161
112.000000	87.936	-8.2161
113.800003	87.794	-9.4404
115.000000	87.725	-10.1868
117.199997	87.609	-11.2459
118.000000	87.559	-11.5656
120.599998	87.375	-12.5659
122.000000	87.278	-13.0280
124.099998	87.146	-13.5339
125.000000	87.096	-13.6757
126.500000	87.015	-13.8696
128.000000	86.942	-14.0650
131.500000	86.814	-14.3196
132.000000	86.801	-14.3482
134.000000	86.765	-14.5014
136.000000	86.738	-14.7930
138.000000	86.712	-15.1548
140.000000	86.660	-15.4827
143.000000	86.555	-15.6782
145.000000	86.499	-15.5600
147.500000	86.466	-15.2211
150.000000	86.478	-14.7633
152.500000	86.543	-14.2879
155.000000	86.658	-13.8805
157.500000	86.817	-13.6269
160.000000	87.025	-13.5167
162.500000	87.302	-13.5936
165.000000	87.663	-14.1256
167.500000	88.096	-15.4427
170.000000	88.586	-17.8079
172.500000	89.098	-21.7711
175.000000	89.476	-27.9862
177.500000	89.463	-35.9805
180.000000	88.928	-43.7932
182.500000	87.979	-49.4338
185.000000	86.868	-52.0827
187.500000	85.842	-52.1980
190.000000	85.029	-50.9119
192.500000	84.420	-49.1671
195.000000	83.966	-47.4238
197.500000	83.600	-45.8909
