* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 17, 2025 1:31:09 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B, AT filt)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.863	6.9578
20.600000	88.869	6.5955
20.900000	88.876	6.1885
21.200001	88.882	5.7945
21.400000	88.886	5.5416
21.799999	88.891	5.0571
22.000000	88.890	4.8195
22.400000	88.883	4.3078
22.700001	88.872	3.9363
23.000000	88.860	3.5758
23.299999	88.847	3.1864
23.600000	88.834	2.8088
24.000000	88.817	2.3207
24.299999	88.804	1.9167
24.700001	88.786	1.3808
25.000000	88.772	0.9864
25.400000	88.754	0.4281
25.799999	88.737	-0.1054
26.200001	88.724	-0.6242
26.500000	88.716	-1.0069
26.900000	88.706	-1.4997
27.200001	88.699	-1.8559
27.600000	88.689	-2.3158
28.000000	88.679	-2.7613
28.500000	88.668	-3.2876
29.000000	88.657	-3.7969
29.500000	88.642	-4.2754
30.000000	88.622	-4.7255
30.400000	88.604	-5.0707
30.700001	88.588	-5.3224
31.100000	88.567	-5.6587
31.500000	88.544	-6.0091
32.000000	88.514	-6.4418
32.500000	88.483	-6.8875
33.000000	88.452	-7.3007
33.500000	88.423	-7.7134
34.000000	88.396	-8.1185
34.500000	88.368	-8.5454
35.000000	88.339	-8.9712
35.500000	88.307	-9.3900
36.000000	88.275	-9.7899
36.500000	88.245	-10.1839
37.000000	88.219	-10.5812
37.500000	88.196	-10.9677
38.200001	88.161	-11.4665
38.700001	88.131	-11.7912
39.500000	88.079	-12.3128
40.000000	88.048	-12.6459
40.599998	88.011	-13.0376
41.200001	87.972	-13.4031
41.799999	87.932	-13.7679
42.500000	87.881	-14.2115
43.099998	87.836	-14.5857
43.700001	87.795	-14.9477
44.400002	87.758	-15.3645
45.000000	87.726	-15.7262
45.500000	87.691	-16.0215
46.200001	87.634	-16.4111
46.799999	87.588	-16.7331
47.500000	87.540	-17.1103
48.200001	87.491	-17.4785
48.700001	87.455	-17.7312
49.400002	87.406	-18.0827
50.000000	87.363	-18.3913
50.799999	87.305	-18.8133
51.500000	87.254	-19.1676
52.200001	87.204	-19.4982
53.000000	87.143	-19.8666
53.799999	87.083	-20.2539
54.500000	87.033	-20.6001
55.200001	86.979	-20.9383
56.000000	86.914	-21.3416
57.000000	86.842	-21.8662
58.000000	86.770	-22.2984
59.000000	86.680	-22.8656
60.000000	86.590	-23.5635
60.799999	86.528	-23.8873
61.500000	86.475	-24.0696
62.200001	86.418	-24.3318
63.000000	86.351	-24.7172
64.000000	86.263	-25.2039
65.000000	86.173	-25.7368
66.000000	86.080	-26.2851
67.000000	85.981	-26.8461
68.000000	85.880	-27.4527
69.000000	85.775	-28.0890
70.000000	85.667	-28.7352
71.000000	85.556	-29.4224
72.000000	85.434	-30.1855
73.000000	85.303	-30.9924
74.000000	85.166	-31.8843
75.000000	85.015	-32.8799
76.199997	84.823	-34.1986
77.500000	84.579	-35.9058
78.800003	84.290	-37.7895
80.000000	84.014	-39.9588
81.199997	83.704	-43.0594
82.500000	83.200	-48.3894
83.800003	82.105	-55.7187
85.000000	80.154	-59.7225
86.199997	78.352	-52.3458
87.500000	80.129	-45.4841
88.500000	82.754	-66.3073
90.000000	85.117	-164.7494
91.199997	85.605	113.5325
92.500000	85.971	80.4984
93.800003	88.166	63.9477
95.000000	89.524	45.8887
96.199997	89.725	31.0372
97.500000	89.629	20.8789
98.800003	89.574	14.3243
100.000000	89.542	9.7583
101.500000	89.452	5.0981
103.000000	89.310	1.2377
104.400002	89.153	-1.7374
106.000000	88.976	-4.4154
107.500000	88.819	-6.1003
109.000000	88.641	-7.0054
110.599998	88.397	-7.5509
112.000000	88.160	-8.1680
113.800003	87.922	-9.3511
115.000000	87.834	-10.0877
117.199997	87.738	-10.8920
118.000000	87.700	-11.1453
120.599998	87.611	-12.2510
122.000000	87.592	-12.8067
124.099998	87.560	-13.6362
125.000000	87.553	-14.0620
126.500000	87.556	-14.7544
128.000000	87.547	-15.3923
