* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 21, 2025 7:58:29 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B, AT, G)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.953	9.2989
20.600000	88.965	8.9362
20.900000	88.976	8.5241
21.200001	88.986	8.1261
21.400000	88.992	7.8747
21.799999	89.000	7.4089
22.000000	89.001	7.1886
22.400000	88.995	6.7206
22.700001	88.987	6.3816
23.000000	88.979	6.0463
23.299999	88.969	5.6722
23.600000	88.961	5.3014
24.000000	88.949	4.8181
24.299999	88.939	4.4218
24.700001	88.924	3.9077
25.000000	88.912	3.5378
25.400000	88.899	3.0166
25.799999	88.887	2.5159
26.200001	88.879	2.0189
26.500000	88.873	1.6450
26.900000	88.865	1.1577
27.200001	88.859	0.8049
27.600000	88.852	0.3540
28.000000	88.846	-0.0747
28.500000	88.839	-0.5710
29.000000	88.833	-1.0490
29.500000	88.822	-1.5046
30.000000	88.809	-1.9426
30.400000	88.797	-2.2816
30.700001	88.787	-2.5273
31.100000	88.772	-2.8500
31.500000	88.755	-3.1790
32.000000	88.731	-3.5780
32.500000	88.705	-3.9919
33.000000	88.676	-4.3824
33.500000	88.647	-4.7805
34.000000	88.618	-5.1736
34.500000	88.592	-5.5889
35.000000	88.569	-6.0033
35.500000	88.547	-6.4061
36.000000	88.525	-6.7755
36.500000	88.503	-7.1225
37.000000	88.481	-7.4719
37.500000	88.459	-7.8338
38.200001	88.427	-8.3484
38.700001	88.401	-8.6902
39.500000	88.358	-9.1827
40.000000	88.332	-9.4645
40.599998	88.298	-9.7949
41.200001	88.263	-10.1248
41.799999	88.227	-10.4806
42.500000	88.184	-10.9217
43.099998	88.148	-11.2805
43.700001	88.111	-11.6175
44.400002	88.069	-12.0174
45.000000	88.031	-12.3782
45.500000	87.999	-12.6664
46.200001	87.956	-13.0187
46.799999	87.923	-13.2966
47.500000	87.886	-13.6363
48.200001	87.845	-13.9847
48.700001	87.813	-14.2285
49.400002	87.767	-14.5713
50.000000	87.728	-14.8674
50.799999	87.679	-15.2471
51.500000	87.636	-15.5514
52.200001	87.591	-15.8498
53.000000	87.536	-16.2066
53.799999	87.485	-16.5629
54.500000	87.442	-16.8618
55.200001	87.396	-17.1731
56.000000	87.336	-17.5246
57.000000	87.264	-17.9125
