* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 21, 2025 8:15:27 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Konoka (11, T300B, AT, Y)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.888	8.0345
20.600000	88.896	7.7038
20.900000	88.903	7.3265
21.200001	88.908	6.9559
21.400000	88.912	6.7154
21.799999	88.917	6.2519
22.000000	88.918	6.0252
22.400000	88.914	5.5398
22.700001	88.906	5.1924
23.000000	88.895	4.8577
23.299999	88.882	4.4929
23.600000	88.869	4.1365
24.000000	88.851	3.6705
24.299999	88.839	3.2810
24.700001	88.823	2.7670
25.000000	88.811	2.3939
25.400000	88.796	1.8711
25.799999	88.782	1.3758
26.200001	88.770	0.8894
26.500000	88.762	0.5229
26.900000	88.754	0.0398
27.200001	88.748	-0.3157
27.600000	88.741	-0.7768
28.000000	88.734	-1.2178
28.500000	88.724	-1.7219
29.000000	88.713	-2.1925
29.500000	88.700	-2.6294
30.000000	88.684	-3.0503
30.400000	88.669	-3.3840
30.700001	88.656	-3.6305
31.100000	88.638	-3.9566
31.500000	88.619	-4.2847
32.000000	88.594	-4.6717
32.500000	88.568	-5.0697
33.000000	88.540	-5.4576
33.500000	88.510	-5.8713
34.000000	88.479	-6.2821
34.500000	88.450	-6.6969
35.000000	88.423	-7.0960
35.500000	88.398	-7.4967
36.000000	88.371	-7.8968
36.500000	88.341	-8.2893
37.000000	88.310	-8.6581
37.500000	88.284	-8.9932
38.200001	88.255	-9.4431
38.700001	88.232	-9.7680
39.500000	88.189	-10.2795
40.000000	88.159	-10.5708
40.599998	88.120	-10.9047
41.200001	88.078	-11.2287
41.799999	88.037	-11.5452
42.500000	87.995	-11.9052
