* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -17.3 dBFS with no timing reference
* Dated: Mar 20, 2026 10:29:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Daiso 6088
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	106.728	165.4525
20.600000	106.727	165.2901
20.900000	106.723	165.0782
21.200001	106.718	164.8615
21.400000	106.714	164.7213
21.799999	106.704	164.4604
22.000000	106.698	164.3362
22.400000	106.681	164.0502
22.700001	106.666	163.8396
23.000000	106.650	163.6278
23.299999	106.635	163.3758
23.600000	106.621	163.1309
24.000000	106.604	162.8279
24.299999	106.590	162.5767
24.700001	106.570	162.2632
25.000000	106.553	162.0421
25.400000	106.530	161.7095
25.799999	106.507	161.3840
26.200001	106.485	161.0518
26.500000	106.469	160.7961
26.900000	106.451	160.4576
27.200001	106.439	160.2069
27.600000	106.427	159.8772
28.000000	106.419	159.5563
28.500000	106.409	159.1922
29.000000	106.393	158.8631
29.500000	106.371	158.5755
30.000000	106.347	158.3051
30.400000	106.328	158.0842
30.700001	106.314	157.9148
31.100000	106.296	157.6822
31.500000	106.276	157.4408
32.000000	106.246	157.1619
32.500000	106.213	156.8770
33.000000	106.180	156.6037
33.500000	106.150	156.2963
34.000000	106.122	155.9789
34.500000	106.093	155.6502
35.000000	106.064	155.3421
35.500000	106.037	155.0409
36.000000	106.011	154.7369
36.500000	105.986	154.4174
37.000000	105.958	154.0936
37.500000	105.929	153.7968
38.200001	105.891	153.4447
38.700001	105.866	153.2204
39.500000	105.824	152.8351
40.000000	105.793	152.5755
40.599998	105.753	152.2637
41.200001	105.714	151.9747
41.799999	105.676	151.6943
42.500000	105.634	151.3611
43.099998	105.598	151.0740
43.700001	105.559	150.7863
44.400002	105.514	150.4627
45.000000	105.475	150.1938
45.500000	105.443	149.9691
46.200001	105.400	149.6492
46.799999	105.363	149.3778
47.500000	105.321	149.0802
48.200001	105.277	148.8003
48.700001	105.245	148.6013
49.400002	105.201	148.3195
50.000000	105.163	148.0835
50.799999	105.112	147.7718
51.500000	105.066	147.4989
52.200001	105.021	147.2336
53.000000	104.970	146.9471
53.799999	104.918	146.6637
54.500000	104.871	146.4115
55.200001	104.824	146.1562
56.000000	104.773	145.8672
57.000000	104.709	145.5244
58.000000	104.643	145.1946
59.000000	104.580	144.8736
60.000000	104.516	144.5638
60.799999	104.464	144.3206
61.500000	104.419	144.1176
62.200001	104.373	143.9171
63.000000	104.322	143.6821
64.000000	104.258	143.3975
65.000000	104.193	143.1251
66.000000	104.125	142.8492
67.000000	104.060	142.5868
68.000000	103.996	142.3303
69.000000	103.932	142.0786
70.000000	103.868	141.8400
71.000000	103.803	141.6080
72.000000	103.739	141.3804
73.000000	103.676	141.1571
74.000000	103.612	140.9390
75.000000	103.548	140.7290
76.199997	103.473	140.4797
77.500000	103.391	140.2155
78.800003	103.311	139.9595
80.000000	103.237	139.7336
81.199997	103.162	139.5222
82.500000	103.081	139.3018
83.800003	103.001	139.0835
85.000000	102.927	138.8850
86.199997	102.853	138.6960
87.500000	102.774	138.4992
88.500000	102.713	138.3527
90.000000	102.621	138.1464
91.199997	102.549	137.9879
92.500000	102.472	137.8172
93.800003	102.395	137.6570
95.000000	102.324	137.5160
96.199997	102.254	137.3796
97.500000	102.178	137.2347
98.800003	102.104	137.0916
100.000000	102.035	136.9657
101.500000	101.950	136.8170
103.000000	101.865	136.6713
104.400002	101.786	136.5475
106.000000	101.695	136.4188
