* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -17.3 dBFS with no timing reference
* Dated: Mar 20, 2026 10:24:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Daiso 6088
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	107.093	160.9541
20.600000	107.081	160.7851
20.900000	107.066	160.5640
21.200001	107.052	160.3271
21.400000	107.043	160.1648
21.799999	107.029	159.8410
22.000000	107.020	159.6794
22.400000	106.996	159.3173
22.700001	106.974	159.0567
23.000000	106.950	158.8055
23.299999	106.925	158.5260
23.600000	106.901	158.2630
24.000000	106.869	157.9400
24.299999	106.843	157.6665
24.700001	106.805	157.3009
25.000000	106.777	157.0227
25.400000	106.744	156.6021
25.799999	106.717	156.2010
26.200001	106.695	155.8288
26.500000	106.678	155.5681
26.900000	106.652	155.2388
27.200001	106.630	154.9900
27.600000	106.599	154.6368
28.000000	106.571	154.2618
28.500000	106.543	153.8133
29.000000	106.519	153.4125
29.500000	106.490	153.0686
30.000000	106.456	152.7447
30.400000	106.429	152.4855
30.700001	106.409	152.2963
31.100000	106.380	152.0523
31.500000	106.349	151.8083
32.000000	106.306	151.5112
32.500000	106.260	151.1759
33.000000	106.216	150.8423
33.500000	106.175	150.5019
34.000000	106.134	150.1839
34.500000	106.091	149.8546
35.000000	106.047	149.5167
35.500000	106.005	149.1675
36.000000	105.966	148.8329
36.500000	105.928	148.5181
37.000000	105.890	148.2138
37.500000	105.852	147.9143
38.200001	105.799	147.4996
38.700001	105.760	147.2224
39.500000	105.698	146.8102
40.000000	105.657	146.5641
40.599998	105.607	146.2629
41.200001	105.556	145.9616
41.799999	105.504	145.6580
42.500000	105.443	145.3070
43.099998	105.391	145.0152
43.700001	105.339	144.7228
44.400002	105.279	144.3829
45.000000	105.228	144.0944
45.500000	105.186	143.8589
46.200001	105.128	143.5400
46.799999	105.078	143.2748
47.500000	105.020	142.9757
48.200001	104.961	142.6912
48.700001	104.920	142.4930
49.400002	104.862	142.2147
50.000000	104.812	141.9803
50.799999	104.744	141.6776
51.500000	104.685	141.4207
52.200001	104.626	141.1645
53.000000	104.559	140.8754
53.799999	104.492	140.5935
54.500000	104.434	140.3549
55.200001	104.377	140.1223
56.000000	104.310	139.8590
57.000000	104.226	139.5357
58.000000	104.144	139.2300
59.000000	104.062	138.9338
60.000000	103.982	138.6392
60.799999	103.918	138.4162
61.500000	103.863	138.2319
62.200001	103.806	138.0509
63.000000	103.742	137.8489
64.000000	103.662	137.6067
65.000000	103.583	137.3660
66.000000	103.503	137.1269
67.000000	103.423	136.8970
68.000000	103.344	136.6747
69.000000	103.266	136.4618
70.000000	103.188	136.2607
71.000000	103.110	136.0661
72.000000	103.034	135.8781
73.000000	102.958	135.6982
74.000000	102.883	135.5213
75.000000	102.807	135.3513
76.199997	102.718	135.1571
77.500000	102.622	134.9538
78.800003	102.526	134.7542
80.000000	102.440	134.5780
81.199997	102.353	134.4172
82.500000	102.258	134.2585
83.800003	102.164	134.1029
85.000000	102.079	133.9648
86.199997	101.994	133.8297
87.500000	101.902	133.6949
