* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.3 dBFS with no timing reference
* Dated: Jun 15, 2025 6:16:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Daiso 7301
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 91.772 -159.1969
20.287556 91.793 -159.3063
20.434568 91.821 -159.5543
20.582645 91.851 -159.8650
20.731796 91.878 -160.1988
20.882027 91.900 -160.5307
21.033346 91.915 -160.8463
21.185763 91.924 -161.1378
21.339284 91.927 -161.3923
21.493917 91.924 -161.6080
21.649671 91.917 -161.7876
21.806553 91.908 -161.9376
21.964572 91.899 -162.0710
22.123737 91.892 -162.2196
22.284054 91.889 -162.3857
22.445534 91.892 -162.5788
22.608183 91.901 -162.8076
22.772012 91.917 -163.0769
22.937027 91.939 -163.3851
23.103238 91.963 -163.7437
23.270654 91.989 -164.1335
23.439282 92.013 -164.5260
23.609133 92.031 -164.9056
23.780215 92.043 -165.2592
23.952536 92.048 -165.5763
24.126106 92.044 -165.8766
24.300934 92.034 -166.1472
24.477028 92.020 -166.3859
24.654399 92.006 -166.6040
24.833055 91.994 -166.8127
25.013005 91.987 -167.0264
25.194260 91.988 -167.2729
25.376828 91.997 -167.5353
25.560719 92.013 -167.8126
25.745942 92.033 -168.0995
25.932508 92.055 -168.3889
26.120426 92.076 -168.6794
26.309705 92.093 -168.9633
26.500356 92.105 -169.2348
26.692388 92.111 -169.4968
26.885812 92.113 -169.7560
27.080638 92.112 -170.0197
27.276876 92.111 -170.2954
27.474535 92.111 -170.5883
27.673627 92.114 -170.8971
27.874161 92.120 -171.2137
28.076149 92.128 -171.5226
28.279600 92.136 -171.8055
28.484526 92.142 -172.0540
28.690937 92.144 -172.2589
28.898843 92.143 -172.4202
29.108256 92.138 -172.5453
29.319186 92.133 -172.6529
29.531645 92.129 -172.7690
29.745644 92.129 -172.9185
29.961193 92.134 -173.1192
30.178304 92.145 -173.3815
30.396989 92.161 -173.6991
30.617258 92.179 -174.0551
30.839123 92.195 -174.4252
31.062596 92.209 -174.7881
31.287688 92.216 -175.1271
31.514412 92.218 -175.4245
31.742778 92.215 -175.6802
31.972800 92.209 -175.9054
32.204488 92.202 -176.1317
32.437855 92.196 -176.3631
32.672913 92.191 -176.6092
32.909674 92.187 -176.8738
33.148151 92.184 -177.1630
33.388356 92.179 -177.4618
33.630302 92.174 -177.7513
33.874001 92.166 -178.0222
34.119466 92.159 -178.2784
34.366710 92.152 -178.5245
34.615745 92.147 -178.7630
34.866585 92.144 -179.0041
35.119243 92.144 -179.2584
35.373731 92.143 -179.5288
35.630064 92.142 -179.8082
35.888254 92.139 179.9099
36.148315 92.134 179.6324
36.410261 92.127 179.3647
36.674104 92.119 179.1087
36.939860 92.113 178.8626
37.207542 92.110 178.6255
37.477163 92.109 178.3908
37.748738 92.110 178.1543
38.022281 92.112 177.9140
38.297806 92.113 177.6711
38.575327 92.113 177.4236
38.854860 92.110 177.1731
39.136419 92.104 176.9207
39.420017 92.096 176.6697
39.705671 92.087 176.4242
39.993395 92.077 176.1863
40.283203 92.067 175.9510
40.575112 92.056 175.7209
40.869136 92.046 175.4923
41.165290 92.036 175.2570
41.463591 92.027 175.0145
41.764053 92.018 174.7699
42.066693 92.007 174.5235
42.371525 91.996 174.2723
42.678567 91.983 174.0238
42.987834 91.970 173.7766
43.299341 91.956 173.5231
43.613106 91.944 173.2701
43.929145 91.935 173.0219
44.247473 91.928 172.7808
44.568109 91.922 172.5530
44.891068 91.916 172.3375
45.216367 91.908 172.1249
45.544023 91.898 171.9048
45.874054 91.886 171.6693
46.206476 91.872 171.4161
46.541307 91.859 171.1508
46.878565 91.847 170.8835
47.218266 91.836 170.6227
47.560429 91.825 170.3721
47.905072 91.812 170.1301
48.252212 91.798 169.8920
48.601867 91.782 169.6567
48.954056 91.766 169.4266
49.308798 91.749 169.2020
49.666109 91.733 168.9870
50.026010 91.717 168.7788
50.388520 91.700 168.5678
50.753656 91.684 168.3522
51.121437 91.667 168.1292
51.491884 91.650 167.8991
51.865016 91.633 167.6661
52.240851 91.617 167.4300
52.619410 91.601 167.1938
53.000712 91.585 166.9631
53.384777 91.569 166.7411
53.771625 91.554 166.5353
54.161276 91.539 166.3405
54.553751 91.523 166.1440
54.949070 91.505 165.9342
55.347254 91.486 165.7038
55.748323 91.468 165.4628
56.152298 91.452 165.2239
56.559201 91.439 164.9946
56.969052 91.426 164.7737
57.381873 91.413 164.5526
57.797686 91.397 164.3372
58.216512 91.379 164.1429
58.638373 91.361 163.9849
59.063291 91.343 163.8585
59.491288 91.324 163.7333
59.922386 91.303 163.5692
60.356608 91.278 163.3411
60.793977 91.250 163.0615
61.234515 91.223 162.7649
61.678246 91.199 162.4875
62.125192 91.176 162.2481
62.575377 91.154 162.0423
63.028824 91.130 161.8521
63.485557 91.106 161.6567
63.945599 91.081 161.4448
64.408975 91.057 161.2153
64.875709 91.034 160.9842
65.345825 91.009 160.7642
65.819348 90.984 160.5619
66.296302 90.957 160.3680
66.776713 90.930 160.1703
67.260604 90.906 159.9632
67.748002 90.883 159.7516
68.238932 90.861 159.5430
68.733420 90.839 159.3391
69.231490 90.815 159.1392
69.733170 90.790 158.9441
70.238485 90.765 158.7554
70.747463 90.739 158.5715
71.260128 90.713 158.3856
71.776508 90.685 158.1914
72.296630 90.656 157.9890
72.820521 90.628 157.7853
73.348209 90.600 157.5875
73.879720 90.573 157.4003
74.415083 90.546 157.2205
74.954326 90.519 157.0416
75.497475 90.492 156.8575
76.044561 90.465 156.6718
76.595612 90.439 156.4891
77.150655 90.411 156.3129
77.709720 90.383 156.1357
78.272837 90.356 155.9494
78.840034 90.328 155.7548
79.411342 90.301 155.5599
79.986789 90.272 155.3697
80.566406 90.242 155.1844
81.150224 90.212 155.0049
81.738272 90.181 154.8345
82.330581 90.149 154.6751
82.927182 90.117 154.5246
83.528107 90.084 154.3760
84.133386 90.051 154.2177
84.743051 90.017 154.0375
85.357134 89.985 153.8421
85.975667 89.953 153.6562
86.598682 89.923 153.4992
87.226212 89.894 153.3656
87.858289 89.863 153.2327
88.494946 89.830 153.0815
89.136217 89.796 152.9066
89.782135 89.764 152.7157
90.432733 89.732 152.5304
91.088046 89.700 152.3709
91.748108 89.665 152.2322
92.412952 89.631 152.0931
93.082615 89.596 151.9437
93.757130 89.562 151.7910
94.436533 89.529 151.6387
95.120859 89.496 151.4830
95.810144 89.461 151.3239
96.504423 89.425 151.1669
97.203734 89.389 151.0137
97.908112 89.352 150.8609
98.617595 89.317 150.7094
99.332219 89.280 150.5642
100.052021 89.242 150.4230
100.777039 89.205 150.2756
101.507311 89.170 150.1140
102.242875 89.139 149.9427
102.983769 89.108 149.7828
103.730032 89.075 149.6565
104.481702 89.038 149.5638
105.238820 88.997 149.4739
106.001424 88.956 149.3564
106.769554 88.916 149.2117
107.543250 88.876 149.0659
108.322553 88.836 148.9393
109.107503 88.797 148.8309
109.898141 88.758 148.7258
110.694508 88.720 148.6064
111.496646 88.682 148.4681
112.304596 88.643 148.3256
113.118402 88.603 148.1967
113.938104 88.563 148.0810
114.763747 88.521 147.9717
115.595372 88.478 147.8699
116.433024 88.436 147.7788
117.276746 88.396 147.6846
118.126581 88.357 147.5727
118.982575 88.318 147.4537
119.844772 88.278 147.3416
120.713217 88.238 147.2330
121.587954 88.198 147.1232
122.469031 88.155 147.0100
123.356492 88.111 146.9011
124.250384 88.067 146.8086
125.150753 88.024 146.7258
126.057647 87.982 146.6380
126.971113 87.941 146.5465
127.891198 87.900 146.4575
128.817950 87.858 146.3740
129.751418 87.816 146.2914
130.691651 87.772 146.2047
131.638696 87.729 146.1121
132.592604 87.686 146.0197
133.553425 87.643 145.9310
134.521208 87.599 145.8412
135.496004 87.555 145.7439
136.477864 87.510 145.6498
137.466839 87.464 145.5749
138.462981 87.417 145.5201
139.466340 87.368 145.4720
140.476971 87.320 145.4101
141.494925 87.275 145.3340
142.520256 87.232 145.2680
143.553016 87.187 145.2175
144.593260 87.138 145.1586
145.641043 87.089 145.0771
146.696418 87.043 144.9981
147.759441 86.997 144.9539
148.830166 86.946 144.9276
149.908651 86.893 144.8855
150.994951 86.842 144.8260
152.089123 86.793 144.7709
153.191223 86.742 144.7170
154.301310 86.692 144.6584
155.419441 86.645 144.6053
156.545674 86.600 144.5542
157.680069 86.553 144.5091
158.822683 86.504 144.4901
159.973578 86.452 144.4999
161.132813 86.395 144.5152
162.300447 86.337 144.4917
163.476543 86.281 144.4464
164.661162 86.227 144.4168
165.854364 86.171 144.3850
167.056213 86.115 144.3344
168.266772 86.059 144.2763
169.486102 86.002 144.2205
170.714268 85.945 144.1772
171.951334 85.886 144.1541
173.197364 85.825 144.1478
174.452424 85.761 144.1522
175.716578 85.695 144.1686
176.989893 85.625 144.2113
178.272434 85.555 144.2735
179.564270 85.485 144.3392
180.865467 85.415 144.4066
182.176092 85.344 144.4865
183.496216 85.271 144.5844
184.825905 85.194 144.6879
186.165229 85.112 144.7850
187.514259 85.024 144.9046
188.873065 84.926 145.0852
190.241717 84.817 145.3537
191.620287 84.700 145.7311
193.008847 84.578 146.2332
194.407468 84.453 146.9074
195.816225 84.335 147.8763
197.235190 84.251 149.2376
198.664438 84.237 150.9221
200.104042 84.311 152.6537
201.554078 84.475 154.0805
203.014622 84.714 154.9502
204.485750 84.991 155.0861
205.967538 85.253 154.4389
207.460064 85.448 153.2596
208.963405 85.555 151.9525
210.477640 85.588 150.7870
212.002848 85.569 149.8753
213.539108 85.513 149.2702
215.086500 85.427 148.9004
216.645105 85.325 148.6362
218.215005 85.224 148.3234
219.796281 85.134 147.8710
221.389015 85.057 147.4291
222.993292 84.979 147.1486
224.609193 84.894 147.0382
226.236804 84.807 146.9936
227.876209 84.727 146.9405
229.527494 84.658 146.9212
231.190745 84.597 146.9512
232.866048 84.536 147.0374
234.553491 84.462 147.1796
236.253163 84.378 147.2564
237.965150 84.300 147.2680
239.689544 84.238 147.2965
241.426433 84.185 147.4004
243.175909 84.131 147.5441
244.938062 84.076 147.6457
246.712984 84.025 147.6796
248.500768 83.980 147.7040
250.301507 83.934 147.7432
252.115295 83.885 147.7582
253.942226 83.832 147.7550
255.782396 83.782 147.7418
257.635901 83.734 147.7249
259.502837 83.684 147.7170
261.383301 83.632 147.7294
263.277392 83.577 147.7775
265.185209 83.520 147.8546
267.106850 83.464 147.9409
269.042417 83.408 148.0266
270.992009 83.353 148.1105
272.955729 83.303 148.1819
274.933678 83.254 148.2542
276.925961 83.200 148.3577
278.932681 83.141 148.4871
280.953942 83.084 148.6217
282.989850 83.031 148.7561
285.040511 82.982 148.8862
287.106032 82.932 149.0159
289.186521 82.880 149.1409
291.282086 82.824 149.2448
293.392836 82.770 149.3369
295.518881 82.716 149.4529
297.660333 82.661 149.5974
299.817302 82.605 149.7491
301.989902 82.550 149.8928
304.178245 82.496 150.0300
306.382446 82.446 150.1821
308.602620 82.398 150.3610
310.838882 82.349 150.5421
313.091348 82.297 150.6991
315.360137 82.247 150.8534
317.645367 82.196 151.0317
319.947156 82.142 151.2263
322.265625 82.085 151.4097
324.600895 82.030 151.5898
326.953086 81.976 151.7736
329.322323 81.923 151.9512
331.708729 81.869 152.1252
334.112427 81.816 152.3042
336.533543 81.765 152.4929
338.972204 81.714 152.6895
341.428536 81.663 152.8808
343.902668 81.613 153.0696
346.394729 81.564 153.2700
348.904848 81.514 153.4872
351.433156 81.466 153.7147
353.979786 81.417 153.9533
356.544869 81.366 154.1902
359.128540 81.312 154.3661
361.730934 81.258 154.4632
364.352185 81.209 154.5841
366.992431 81.162 154.8399
369.651810 81.112 155.1781
372.330459 81.061 155.4886
375.028519 81.010 155.7612
377.746130 80.956 156.0147
380.483434 80.903 156.2636
383.240574 80.853 156.5180
386.017693 80.804 156.7703
388.814937 80.755 157.0132
391.632450 80.705 157.2584
394.470380 80.654 157.4977
