* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -13.3 dBFS with no timing reference
* Dated: Jun 15, 2025 6:19:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Daiso 7301
* Smoothing: 1/24 octave
* Frequency Step: 96 ppo
* Start Frequency: 20.141602 Hz
*
* Freq(Hz) SPL(dB) Phase(degrees)
20.141602 94.346 -158.6884
20.287556 94.346 -158.7642
20.434568 94.346 -158.9523
20.582645 94.345 -159.1839
20.731796 94.343 -159.4301
20.882027 94.341 -159.6843
21.033346 94.338 -159.9482
21.185763 94.336 -160.2274
21.339284 94.335 -160.5196
21.493917 94.336 -160.8248
21.649671 94.338 -161.1408
21.806553 94.343 -161.4642
21.964572 94.348 -161.7889
22.123737 94.354 -162.1263
22.284054 94.360 -162.4577
22.445534 94.365 -162.7720
22.608183 94.369 -163.0661
22.772012 94.371 -163.3379
22.937027 94.371 -163.5881
23.103238 94.369 -163.8401
23.270654 94.365 -164.0904
23.439282 94.361 -164.3324
23.609133 94.356 -164.5720
23.780215 94.354 -164.8143
23.952536 94.353 -165.0636
24.126106 94.355 -165.3450
24.300934 94.359 -165.6451
24.477028 94.365 -165.9542
24.654399 94.373 -166.2698
24.833055 94.381 -166.5889
25.013005 94.388 -166.9091
25.194260 94.393 -167.2472
25.376828 94.396 -167.5780
25.560719 94.396 -167.8991
25.745942 94.393 -168.2087
25.932508 94.389 -168.5064
26.120426 94.384 -168.7996
26.309705 94.380 -169.0876
26.500356 94.377 -169.3701
26.692388 94.375 -169.6515
26.885812 94.375 -169.9369
27.080638 94.376 -170.2296
27.276876 94.379 -170.5327
27.474535 94.383 -170.8479
27.673627 94.387 -171.1733
27.874161 94.390 -171.5037
28.076149 94.394 -171.8290
28.279600 94.397 -172.1384
28.484526 94.400 -172.4295
28.690937 94.403 -172.6972
28.898843 94.406 -172.9415
29.108256 94.410 -173.1644
29.319186 94.414 -173.3758
29.531645 94.418 -173.5902
29.745644 94.421 -173.8207
29.961193 94.424 -174.0769
30.178304 94.425 -174.3654
30.396989 94.424 -174.6823
30.617258 94.422 -175.0183
30.839123 94.418 -175.3595
31.062596 94.413 -175.6943
31.287688 94.408 -176.0139
31.514412 94.403 -176.3039
31.742778 94.399 -176.5635
31.972800 94.396 -176.7996
32.204488 94.395 -177.0382
32.437855 94.396 -177.2786
32.672913 94.398 -177.5283
32.909674 94.401 -177.7923
33.148151 94.404 -178.0814
33.388356 94.405 -178.3864
33.630302 94.404 -178.6939
33.874001 94.400 -178.9980
34.119466 94.393 -179.3022
34.366710 94.383 -179.6070
34.615745 94.372 -179.9082
34.866585 94.361 179.7921
35.119243 94.351 179.4902
35.373731 94.344 179.1885
35.630064 94.339 178.8962
35.888254 94.335 178.6180
36.148315 94.333 178.3565
36.410261 94.330 178.1097
36.674104 94.327 177.8720
36.939860 94.324 177.6351
37.207542 94.322 177.3941
37.477163 94.321 177.1434
37.748738 94.323 176.8833
38.022281 94.325 176.6187
38.297806 94.328 176.3578
38.575327 94.329 176.1015
38.854860 94.327 175.8491
39.136419 94.321 175.5950
39.420017 94.312 175.3333
39.705671 94.304 175.0620
39.993395 94.297 174.7827
40.283203 94.293 174.4964
40.575112 94.292 174.2161
40.869136 94.292 173.9475
41.165290 94.291 173.6851
41.463591 94.288 173.4240
41.764053 94.282 173.1583
42.066693 94.274 172.8770
42.371525 94.268 172.5710
42.678567 94.264 172.2506
42.987834 94.263 171.9242
43.299341 94.264 171.5964
43.613106 94.266 171.2836
43.929145 94.268 170.9930
44.247473 94.269 170.7242
44.568109 94.269 170.4787
44.891068 94.269 170.2534
45.216367 94.269 170.0398
45.544023 94.269 169.8297
45.874054 94.267 169.6149
46.206476 94.262 169.3885
46.541307 94.253 169.1467
46.878565 94.244 168.8898
47.218266 94.233 168.6194
47.560429 94.224 168.3387
47.905072 94.215 168.0508
48.252212 94.208 167.7584
48.601867 94.202 167.4685
48.954056 94.198 167.1913
49.308798 94.196 166.9336
49.666109 94.195 166.7036
50.026010 94.194 166.4968
50.388520 94.189 166.2950
50.753656 94.180 166.0829
51.121437 94.168 165.8457
51.491884 94.155 165.5814
51.865016 94.143 165.3039
52.240851 94.135 165.0289
52.619410 94.129 164.7688
53.000712 94.123 164.5238
53.384777 94.116 164.2798
53.771625 94.108 164.0305
54.161276 94.100 163.7750
54.553751 94.094 163.5237
54.949070 94.088 163.2899
55.347254 94.080 163.0716
55.748323 94.071 162.8570
56.152298 94.061 162.6277
56.559201 94.053 162.3766
56.969052 94.047 162.1184
57.381873 94.041 161.8729
57.797686 94.035 161.6559
58.216512 94.026 161.4583
58.638373 94.015 161.2555
59.063291 94.006 161.0256
59.491288 93.996 160.7653
59.922386 93.986 160.4899
60.356608 93.973 160.2169
60.793977 93.958 159.9588
61.234515 93.942 159.7158
61.678246 93.927 159.4862
62.125192 93.915 159.2725
62.575377 93.905 159.0745
63.028824 93.896 158.8829
63.485557 93.887 158.6776
63.945599 93.875 158.4437
64.408975 93.859 158.1806
64.875709 93.842 157.9095
65.345825 93.824 157.6492
65.819348 93.807 157.4097
66.296302 93.792 157.1843
66.776713 93.777 156.9633
67.260604 93.763 156.7417
67.748002 93.751 156.5195
68.238932 93.740 156.2971
68.733420 93.729 156.0721
69.231490 93.716 155.8433
69.733170 93.699 155.6127
70.238485 93.681 155.3829
70.747463 93.663 155.1553
71.260128 93.646 154.9319
71.776508 93.627 154.7170
72.296630 93.608 154.5135
72.820521 93.587 154.3185
73.348209 93.566 154.1218
73.879720 93.544 153.9177
74.415083 93.520 153.7063
74.954326 93.497 153.4939
75.497475 93.474 153.2838
76.044561 93.451 153.0770
76.595612 93.429 152.8695
77.150655 93.407 152.6642
77.709720 93.384 152.4651
78.272837 93.360 152.2740
78.840034 93.335 152.0853
79.411342 93.310 151.8915
79.986789 93.286 151.6933
80.566406 93.260 151.5002
81.150224 93.233 151.3163
81.738272 93.204 151.1281
82.330581 93.175 150.9177
82.927182 93.147 150.6904
83.528107 93.119 150.4771
84.133386 93.091 150.3029
84.743051 93.062 150.1521
85.357134 93.030 149.9857
85.975667 92.996 149.7859
86.598682 92.957 149.5728
87.226212 92.917 149.3723
87.858289 92.881 149.1844
88.494946 92.849 148.9969
89.136217 92.819 148.8151
89.782135 92.785 148.6499
90.432733 92.746 148.4986
91.088046 92.706 148.3466
91.748108 92.670 148.1828
92.412952 92.637 148.0042
93.082615 92.605 147.8125
93.757130 92.571 147.6169
94.436533 92.535 147.4284
95.120859 92.498 147.2492
95.810144 92.462 147.0748
96.504423 92.427 146.9062
97.203734 92.391 146.7474
97.908112 92.355 146.5929
98.617595 92.320 146.4362
99.332219 92.286 146.2805
100.052021 92.252 146.1235
100.777039 92.214 145.9545
101.507311 92.174 145.7781
102.242875 92.134 145.6137
102.983769 92.094 145.4614
103.730032 92.054 145.3030
104.481702 92.014 145.1395
105.238820 91.974 144.9854
106.001424 91.933 144.8414
106.769554 91.893 144.6986
107.543250 91.852 144.5523
108.322553 91.812 144.3976
109.107503 91.772 144.2346
109.898141 91.732 144.0728
110.694508 91.692 143.9177
111.496646 91.653 143.7678
112.304596 91.614 143.6229
113.118402 91.576 143.4871
113.938104 91.536 143.3636
114.763747 91.497 143.2493
115.595372 91.455 143.1309
116.433024 91.413 143.0035
117.276746 91.369 142.8716
118.126581 91.324 142.7345
118.982575 91.278 142.5884
119.844772 91.235 142.4355
120.713217 91.193 142.2895
121.587954 91.150 142.1674
122.469031 91.107 142.0630
123.356492 91.063 141.9528
124.250384 91.020 141.8251
125.150753 90.977 141.6898
126.057647 90.935 141.5638
126.971113 90.892 141.4500
127.891198 90.848 141.3322
128.817950 90.803 141.2000
129.751418 90.759 141.0631
130.691651 90.715 140.9414
131.638696 90.670 140.8391
132.592604 90.624 140.7466
133.553425 90.578 140.6520
134.521208 90.533 140.5521
135.496004 90.487 140.4518
136.477864 90.441 140.3570
137.466839 90.394 140.2665
138.462981 90.347 140.1732
139.466340 90.301 140.0717
140.476971 90.257 139.9587
141.494925 90.213 139.8393
142.520256 90.167 139.7242
143.553016 90.121 139.6205
144.593260 90.073 139.5323
145.641043 90.023 139.4493
146.696418 89.972 139.3581
147.759441 89.920 139.2646
148.830166 89.868 139.1754
149.908651 89.814 139.0900
150.994951 89.762 139.0003
152.089123 89.709 138.9085
153.191223 89.658 138.8225
154.301310 89.608 138.7477
155.419441 89.559 138.6881
156.545674 89.512 138.6401
157.680069 89.465 138.5888
158.822683 89.418 138.5267
159.973578 89.370 138.4549
161.132813 89.321 138.3790
162.300447 89.267 138.2976
163.476543 89.209 138.2107
164.661162 89.150 138.1324
165.854364 89.092 138.0840
167.056213 89.036 138.0565
168.266772 88.980 138.0260
169.486102 88.923 137.9823
170.714268 88.867 137.9346
171.951334 88.810 137.8925
173.197364 88.755 137.8568
174.452424 88.703 137.8275
175.716578 88.650 137.8040
176.989893 88.590 137.7797
178.272434 88.520 137.7405
179.564270 88.448 137.6945
180.865467 88.376 137.6619
182.176092 88.302 137.6556
183.496216 88.223 137.6759
184.825905 88.140 137.7234
186.165229 88.053 137.8005
187.514259 87.964 137.9142
188.873065 87.869 138.0782
190.241717 87.768 138.3165
191.620287 87.665 138.6625
193.008847 87.563 139.1535
194.407468 87.470 139.8108
195.816225 87.396 140.6328
197.235190 87.355 141.5898
198.664438 87.360 142.6000
200.104042 87.417 143.5269
201.554078 87.516 144.2121
203.014622 87.631 144.5473
204.485750 87.735 144.5032
205.967538 87.813 144.1562
207.460064 87.856 143.7007
208.963405 87.870 143.3011
210.477640 87.867 142.9875
212.002848 87.859 142.7485
213.539108 87.859 142.5406
215.086500 87.870 142.3083
216.645105 87.883 142.0163
218.215005 87.887 141.6453
219.796281 87.876 141.2004
221.389015 87.848 140.7306
222.993292 87.804 140.2792
224.609193 87.750 139.8528
226.236804 87.690 139.4802
227.876209 87.627 139.2208
229.527494 87.560 139.0775
231.190745 87.489 138.9881
232.866048 87.414 138.8976
234.553491 87.339 138.8037
236.253163 87.267 138.7379
237.965150 87.198 138.7071
239.689544 87.130 138.6832
241.426433 87.064 138.6453
243.175909 86.999 138.5992
244.938062 86.935 138.5732
246.712984 86.872 138.5778
248.500768 86.809 138.5897
250.301507 86.748 138.6053
252.115295 86.691 138.6400
253.942226 86.635 138.6906
255.782396 86.579 138.7444
257.635901 86.524 138.8057
259.502837 86.468 138.8677
261.383301 86.410 138.9286
263.277392 86.354 138.9903
265.185209 86.303 139.0537
267.106850 86.255 139.1006
269.042417 86.204 139.1232
270.992009 86.146 139.1550
272.955729 86.087 139.2261
274.933678 86.035 139.3044
276.925961 85.989 139.3375
278.932681 85.946 139.3232
280.953942 85.904 139.2958
282.989850 85.861 139.3166
285.040511 85.811 139.3977
287.106032 85.751 139.4846
289.186521 85.689 139.5842
291.282086 85.634 139.7128
293.392836 85.584 139.8156
295.518881 85.532 139.8755
297.660333 85.478 139.9335
299.817302 85.422 140.0150
301.989902 85.368 140.1154
304.178245 85.316 140.2305
306.382446 85.268 140.3533
308.602620 85.224 140.4546
310.838882 85.180 140.5232
313.091348 85.131 140.5883
315.360137 85.078 140.6757
317.645367 85.026 140.7876
319.947156 84.975 140.9056
322.265625 84.924 141.0123
324.600895 84.871 141.1133
326.953086 84.815 141.2201
329.322323 84.755 141.3332
331.708729 84.695 141.4464
334.112427 84.635 141.5646
336.533543 84.578 141.6888
338.972204 84.524 141.8132
341.428536 84.474 141.9368
343.902668 84.425 142.0704
346.394729 84.377 142.2192
348.904848 84.331 142.3656
351.433156 84.285 142.4853
353.979786 84.240 142.5849
356.544869 84.194 142.7137
359.128540 84.146 142.8846
361.730934 84.095 143.0561
364.352185 84.042 143.2070
366.992431 83.987 143.3644
369.651810 83.931 143.5244
372.330459 83.875 143.6639
375.028519 83.821 143.7903
377.746130 83.769 143.9204
380.483434 83.716 144.0674
383.240574 83.664 144.2358
386.017693 83.614 144.4182
388.814937 83.566 144.6061
391.632450 83.517 144.7913
394.470380 83.467 144.9668
