* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 11, 2025 8:06:39 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Quintet (S&S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.228	170.6567
20.600000	91.224	170.1734
20.900000	91.216	169.6273
21.200001	91.207	169.0872
21.400000	91.199	168.7356
21.799999	91.182	168.0564
22.000000	91.172	167.7246
22.400000	91.146	167.0304
22.700001	91.124	166.5241
23.000000	91.101	166.0270
23.299999	91.077	165.4977
23.600000	91.052	164.9778
24.000000	91.019	164.3016
24.299999	90.993	163.7618
24.700001	90.958	163.0540
25.000000	90.932	162.5358
25.400000	90.898	161.8135
25.799999	90.867	161.1109
26.200001	90.838	160.4149
26.500000	90.818	159.8949
26.900000	90.791	159.2162
27.200001	90.771	158.7206
27.600000	90.746	158.0779
28.000000	90.720	157.4556
28.500000	90.688	156.7194
29.000000	90.657	156.0113
29.500000	90.623	155.3368
30.000000	90.588	154.6843
30.400000	90.557	154.1729
30.700001	90.533	153.7983
31.100000	90.498	153.3072
31.500000	90.462	152.8169
32.000000	90.416	152.2228
32.500000	90.368	151.6078
33.000000	90.320	150.9984
33.500000	90.271	150.3689
34.000000	90.222	149.7509
34.500000	90.174	149.1311
35.000000	90.127	148.5251
35.500000	90.081	147.9229
36.000000	90.037	147.3343
36.500000	89.994	146.7592
37.000000	89.952	146.1956
37.500000	89.909	145.6475
38.200001	89.849	144.9063
38.700001	89.804	144.4053
39.500000	89.731	143.6319
40.000000	89.685	143.1518
40.599998	89.630	142.5684
41.200001	89.575	141.9985
41.799999	89.519	141.4403
42.500000	89.451	140.7905
43.099998	89.393	140.2419
43.700001	89.339	139.7117
44.400002	89.278	139.1150
45.000000	89.223	138.5930
45.500000	89.176	138.1462
46.200001	89.108	137.5320
46.799999	89.052	137.0326
47.500000	88.989	136.4703
48.200001	88.926	135.9196
48.700001	88.881	135.5325
49.400002	88.818	134.9949
50.000000	88.763	134.5410
50.799999	88.691	133.9506
51.500000	88.629	133.4479
52.200001	88.567	132.9442
53.000000	88.497	132.3669
53.799999	88.426	131.8070
54.500000	88.365	131.3370
55.200001	88.302	130.8629
56.000000	88.233	130.3152
57.000000	88.149	129.6673
58.000000	88.062	129.0331
59.000000	87.986	128.5243
60.000000	87.914	128.0821
60.799999	87.842	127.5401
61.500000	87.775	127.0040
62.200001	87.715	126.5445
63.000000	87.650	126.0964
64.000000	87.568	125.5411
65.000000	87.487	124.9987
66.000000	87.407	124.4576
67.000000	87.328	123.9216
68.000000	87.251	123.4012
69.000000	87.174	122.8986
70.000000	87.097	122.4096
71.000000	87.020	121.9275
72.000000	86.946	121.4505
73.000000	86.873	120.9833
74.000000	86.800	120.5334
75.000000	86.726	120.0956
76.199997	86.639	119.5664
77.500000	86.547	118.9935
78.800003	86.458	118.4274
80.000000	86.376	117.9272
81.199997	86.294	117.4391
82.500000	86.208	116.9202
83.800003	86.122	116.4114
85.000000	86.044	115.9507
86.199997	85.967	115.5014
87.500000	85.884	115.0247
88.500000	85.822	114.6564
90.000000	85.729	114.1113
91.199997	85.655	113.6943
92.500000	85.577	113.2497
93.800003	85.501	112.8126
95.000000	85.431	112.4147
96.199997	85.363	112.0145
97.500000	85.291	111.5903
98.800003	85.219	111.1853
100.000000	85.152	110.8133
101.500000	85.069	110.3455
103.000000	84.989	109.8886
104.400002	84.917	109.4740
106.000000	84.835	108.9979
107.500000	84.758	108.5649
109.000000	84.682	108.1496
110.599998	84.604	107.7100
112.000000	84.537	107.3237
113.800003	84.450	106.8470
115.000000	84.392	106.5359
117.199997	84.292	105.9683
118.000000	84.256	105.7639
120.599998	84.143	105.0856
122.000000	84.083	104.7273
124.099998	83.992	104.2157
125.000000	83.953	104.0011
126.500000	83.891	103.6476
128.000000	83.830	103.2997
131.500000	83.691	102.5105
132.000000	83.672	102.3972
134.000000	83.591	101.9444
136.000000	83.512	101.4831
138.000000	83.439	101.0628
140.000000	83.368	100.6597
143.000000	83.248	100.1064
145.000000	83.171	99.7177
147.500000	83.094	99.1838
150.000000	83.020	98.7640
152.500000	82.927	98.4678
155.000000	82.853	98.2508
157.500000	82.817	98.0715
160.000000	82.802	97.7239
162.500000	82.781	97.0932
165.000000	82.741	96.4556
167.500000	82.686	95.8572
