* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 11, 2025 8:16:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Quintet (S&S)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.905	172.7944
20.600000	90.904	172.3161
20.900000	90.901	171.7782
21.200001	90.896	171.2469
21.400000	90.891	170.8997
21.799999	90.879	170.2226
22.000000	90.870	169.8882
22.400000	90.848	169.1847
22.700001	90.828	168.6715
23.000000	90.808	168.1709
23.299999	90.787	167.6421
23.600000	90.765	167.1257
24.000000	90.735	166.4548
24.299999	90.712	165.9168
24.700001	90.680	165.2076
25.000000	90.656	164.6869
25.400000	90.626	163.9633
25.799999	90.598	163.2646
26.200001	90.573	162.5787
26.500000	90.555	162.0690
26.900000	90.532	161.4055
27.200001	90.515	160.9211
27.600000	90.492	160.2913
28.000000	90.470	159.6786
28.500000	90.444	158.9491
29.000000	90.417	158.2418
29.500000	90.387	157.5635
30.000000	90.354	156.9045
30.400000	90.326	156.3867
30.700001	90.303	156.0068
31.100000	90.272	155.5082
31.500000	90.240	155.0101
32.000000	90.196	154.4081
32.500000	90.150	153.7900
33.000000	90.105	153.1836
33.500000	90.059	152.5607
34.000000	90.015	151.9484
34.500000	89.971	151.3322
35.000000	89.930	150.7317
35.500000	89.890	150.1398
36.000000	89.850	149.5632
36.500000	89.807	148.9942
37.000000	89.764	148.4285
37.500000	89.721	147.8759
38.200001	89.664	147.1364
38.700001	89.624	146.6400
39.500000	89.558	145.8683
40.000000	89.516	145.3871
40.599998	89.465	144.8051
41.200001	89.412	144.2402
41.799999	89.358	143.6900
42.500000	89.296	143.0491
43.099998	89.243	142.4981
43.700001	89.189	141.9564
44.400002	89.128	141.3563
45.000000	89.077	140.8476
45.500000	89.034	140.4109
46.200001	88.973	139.7927
46.799999	88.921	139.2821
47.500000	88.862	138.7139
48.200001	88.803	138.1598
48.700001	88.761	137.7697
49.400002	88.702	137.2314
50.000000	88.652	136.7778
50.799999	88.584	136.1818
51.500000	88.525	135.6755
52.200001	88.466	135.1755
53.000000	88.398	134.6097
53.799999	88.330	134.0544
54.500000	88.271	133.5726
55.200001	88.213	133.0963
56.000000	88.146	132.5704
57.000000	88.064	131.9328
58.000000	87.982	131.2989
59.000000	87.920	130.6119
60.000000	87.865	129.9234
60.799999	87.791	129.4764
61.500000	87.717	129.1251
62.200001	87.654	128.7524
63.000000	87.591	128.3075
64.000000	87.513	127.7585
65.000000	87.438	127.2075
66.000000	87.362	126.6671
67.000000	87.287	126.1354
68.000000	87.212	125.6131
69.000000	87.138	125.1031
70.000000	87.066	124.6048
71.000000	86.995	124.1227
72.000000	86.925	123.6489
73.000000	86.855	123.1779
74.000000	86.785	122.7123
75.000000	86.715	122.2544
76.199997	86.633	121.7189
77.500000	86.547	121.1502
78.800003	86.460	120.5856
80.000000	86.381	120.0833
81.199997	86.304	119.5923
82.500000	86.221	119.0710
83.800003	86.137	118.5591
85.000000	86.061	118.0929
86.199997	85.988	117.6364
87.500000	85.909	117.1459
88.500000	85.850	116.7721
90.000000	85.763	116.2215
91.199997	85.693	115.7949
92.500000	85.620	115.3471
93.800003	85.550	114.9097
95.000000	85.485	114.5043
96.199997	85.419	114.1007
97.500000	85.346	113.6720
98.800003	85.276	113.2490
100.000000	85.215	112.8615
101.500000	85.138	112.3881
103.000000	85.062	111.9313
104.400002	84.993	111.5106
106.000000	84.914	111.0375
107.500000	84.841	110.6037
109.000000	84.770	110.1797
110.599998	84.695	109.7361
112.000000	84.629	109.3476
113.800003	84.549	108.8543
115.000000	84.497	108.5360
117.199997	84.404	107.9444
118.000000	84.370	107.7317
120.599998	84.262	107.0645
122.000000	84.205	106.7042
124.099998	84.121	106.1751
125.000000	84.086	105.9575
126.500000	84.029	105.5983
128.000000	83.971	105.2388
131.500000	83.844	104.4196
132.000000	83.827	104.3044
134.000000	83.756	103.8490
136.000000	83.688	103.4104
138.000000	83.623	102.9480
140.000000	83.557	102.4893
143.000000	83.457	101.8638
145.000000	83.393	101.4542
147.500000	83.318	100.9432
150.000000	83.245	100.4294
152.500000	83.174	99.9263
155.000000	83.104	99.4310
157.500000	83.038	98.9484
160.000000	82.974	98.4756
162.500000	82.912	98.0014
165.000000	82.852	97.5366
167.500000	82.794	97.0824
170.000000	82.736	96.6295
172.500000	82.680	96.1829
175.000000	82.626	95.7475
177.500000	82.573	95.3211
180.000000	82.522	94.9042
182.500000	82.475	94.4842
185.000000	82.428	94.0630
187.500000	82.381	93.6343
190.000000	82.336	93.2133
192.500000	82.292	92.8085
195.000000	82.250	92.4119
197.500000	82.208	92.0173
200.000000	82.168	91.6268
203.000000	82.121	91.1534
206.000000	82.075	90.6936
209.000000	82.030	90.2459
212.000000	81.988	89.8139
214.000000	81.961	89.5333
218.000000	81.905	88.9742
220.000000	81.880	88.6993
224.000000	81.835	88.1741
