* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 12, 2025 3:59:00 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Quintet (T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.464	171.7456
20.600000	91.460	171.2606
20.900000	91.454	170.7169
21.200001	91.446	170.1841
21.400000	91.440	169.8395
21.799999	91.427	169.1757
22.000000	91.419	168.8504
22.400000	91.396	168.1641
22.700001	91.376	167.6592
23.000000	91.354	167.1618
23.299999	91.331	166.6324
23.600000	91.307	166.1141
24.000000	91.275	165.4420
24.299999	91.250	164.9047
24.700001	91.217	164.1973
25.000000	91.193	163.6774
25.400000	91.163	162.9537
25.799999	91.134	162.2551
26.200001	91.106	161.5697
26.500000	91.087	161.0599
26.900000	91.061	160.3935
27.200001	91.042	159.9045
27.600000	91.018	159.2674
28.000000	90.995	158.6490
28.500000	90.968	157.9171
29.000000	90.940	157.2090
29.500000	90.907	156.5277
30.000000	90.873	155.8673
30.400000	90.843	155.3545
30.700001	90.820	154.9823
31.100000	90.789	154.4959
31.500000	90.755	154.0070
32.000000	90.711	153.4079
32.500000	90.665	152.7888
33.000000	90.618	152.1863
33.500000	90.571	151.5725
34.000000	90.525	150.9650
34.500000	90.480	150.3421
35.000000	90.436	149.7278
35.500000	90.393	149.1255
36.000000	90.349	148.5471
36.500000	90.308	147.9811
37.000000	90.268	147.4172
37.500000	90.229	146.8649
38.200001	90.171	146.1295
38.700001	90.126	145.6380
39.500000	90.057	144.8659
40.000000	90.016	144.3802
40.599998	89.965	143.7965
41.200001	89.910	143.2337
41.799999	89.852	142.6853
42.500000	89.788	142.0463
43.099998	89.734	141.4950
43.700001	89.680	140.9414
44.400002	89.618	140.3184
45.000000	89.568	139.8077
45.500000	89.526	139.3869
46.200001	89.464	138.7883
46.799999	89.409	138.2710
47.500000	89.346	137.6858
48.200001	89.286	137.1309
48.700001	89.243	136.7458
49.400002	89.184	136.2100
50.000000	89.132	135.7543
50.799999	89.063	135.1506
51.500000	89.001	134.6373
52.200001	88.940	134.1430
53.000000	88.871	133.5878
53.799999	88.804	133.0310
54.500000	88.744	132.5530
55.200001	88.684	132.0801
56.000000	88.617	131.5393
57.000000	88.533	130.8875
58.000000	88.455	130.2539
59.000000	88.360	129.6647
60.000000	88.257	129.1144
60.799999	88.201	128.6147
61.500000	88.162	128.1626
62.200001	88.113	127.7449
63.000000	88.050	127.2924
64.000000	87.975	126.7207
65.000000	87.898	126.1708
66.000000	87.821	125.6377
67.000000	87.744	125.1085
68.000000	87.667	124.5829
69.000000	87.593	124.0660
70.000000	87.520	123.5641
71.000000	87.448	123.0797
72.000000	87.376	122.6055
73.000000	87.304	122.1392
74.000000	87.233	121.6814
75.000000	87.163	121.2269
76.199997	87.079	120.6934
77.500000	86.990	120.1201
78.800003	86.902	119.5577
80.000000	86.822	119.0485
81.199997	86.744	118.5488
82.500000	86.660	118.0235
83.800003	86.578	117.5056
85.000000	86.503	117.0387
86.199997	86.429	116.5828
87.500000	86.349	116.0947
88.500000	86.288	115.7283
90.000000	86.199	115.1856
91.199997	86.128	114.7491
92.500000	86.052	114.2870
93.800003	85.977	113.8516
95.000000	85.910	113.4558
96.199997	85.844	113.0554
