* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: May 12, 2025 4:03:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Quintet (T300B)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.175	173.7862
20.600000	91.174	173.2977
20.900000	91.172	172.7487
21.200001	91.166	172.2118
21.400000	91.162	171.8658
21.799999	91.150	171.2026
22.000000	91.142	170.8788
22.400000	91.122	170.1959
22.700001	91.105	169.6930
23.000000	91.087	169.1971
23.299999	91.068	168.6698
23.600000	91.048	168.1553
24.000000	91.021	167.4919
24.299999	90.999	166.9636
24.700001	90.969	166.2689
25.000000	90.946	165.7567
25.400000	90.919	165.0382
25.799999	90.893	164.3386
26.200001	90.870	163.6490
26.500000	90.854	163.1365
26.900000	90.833	162.4697
27.200001	90.817	161.9827
27.600000	90.796	161.3492
28.000000	90.776	160.7328
28.500000	90.751	159.9999
29.000000	90.725	159.2920
29.500000	90.697	158.6172
30.000000	90.666	157.9671
30.400000	90.639	157.4601
30.700001	90.618	157.0892
31.100000	90.589	156.6028
31.500000	90.557	156.1163
32.000000	90.516	155.5284
32.500000	90.474	154.9230
33.000000	90.431	154.3230
33.500000	90.388	153.6974
34.000000	90.345	153.0790
34.500000	90.303	152.4623
35.000000	90.261	151.8683
35.500000	90.221	151.2817
36.000000	90.183	150.7049
36.500000	90.146	150.1378
37.000000	90.109	149.5850
37.500000	90.071	149.0504
38.200001	90.017	148.3099
38.700001	89.978	147.7875
39.500000	89.913	146.9839
40.000000	89.872	146.5129
40.599998	89.822	145.9568
41.200001	89.772	145.4020
41.799999	89.722	144.8469
42.500000	89.662	144.2109
43.099998	89.610	143.6709
43.700001	89.559	143.1208
44.400002	89.501	142.4902
45.000000	89.449	141.9763
45.500000	89.405	141.5599
46.200001	89.347	140.9710
46.799999	89.300	140.4564
47.500000	89.247	139.8672
48.200001	89.190	139.3073
48.700001	89.149	138.9193
49.400002	89.092	138.3823
50.000000	89.042	137.9307
50.799999	88.976	137.3359
51.500000	88.920	136.8218
52.200001	88.866	136.3167
53.000000	88.802	135.7488
53.799999	88.735	135.1887
54.500000	88.677	134.7178
55.200001	88.620	134.2581
56.000000	88.556	133.7349
57.000000	88.478	133.0898
58.000000	88.399	132.4320
59.000000	88.329	131.9056
60.000000	88.262	131.4588
60.799999	88.198	130.9203
61.500000	88.140	130.3844
62.200001	88.084	129.9170
63.000000	88.024	129.4570
64.000000	87.948	128.8962
65.000000	87.875	128.3463
66.000000	87.803	127.7981
67.000000	87.731	127.2726
68.000000	87.660	126.7573
69.000000	87.589	126.2460
70.000000	87.519	125.7445
71.000000	87.450	125.2504
72.000000	87.381	124.7717
73.000000	87.314	124.3001
74.000000	87.246	123.8310
75.000000	87.179	123.3723
76.199997	87.100	122.8351
77.500000	87.016	122.2664
78.800003	86.934	121.6988
80.000000	86.858	121.1906
81.199997	86.783	120.7004
82.500000	86.703	120.1725
83.800003	86.624	119.6517
85.000000	86.552	119.1804
86.199997	86.481	118.7151
87.500000	86.405	118.2249
88.500000	86.348	117.8538
90.000000	86.263	117.3072
91.199997	86.198	116.8806
92.500000	86.127	116.4348
93.800003	86.056	115.9773
95.000000	85.991	115.5478
96.199997	85.927	115.1363
97.500000	85.859	114.7118
98.800003	85.793	114.2918
100.000000	85.733	113.9070
101.500000	85.659	113.4397
103.000000	85.586	112.9793
104.400002	85.519	112.5523
106.000000	85.445	112.0717
107.500000	85.375	111.6259
109.000000	85.307	111.1900
110.599998	85.235	110.7427
112.000000	85.173	110.3542
113.800003	85.096	109.8500
115.000000	85.047	109.5225
117.199997	84.956	108.9269
118.000000	84.924	108.7112
120.599998	84.822	108.0439
122.000000	84.768	107.6980
124.099998	84.689	107.1694
125.000000	84.656	106.9394
126.500000	84.601	106.5654
128.000000	84.545	106.2033
131.500000	84.420	105.3636
132.000000	84.403	105.2453
134.000000	84.335	104.7723
136.000000	84.269	104.3114
138.000000	84.208	103.8843
140.000000	84.146	103.4794
143.000000	84.053	102.8185
145.000000	83.995	102.3713
147.500000	83.922	101.8351
150.000000	83.852	101.3195
152.500000	83.786	100.8112
155.000000	83.722	100.3106
157.500000	83.660	99.8181
160.000000	83.599	99.3288
162.500000	83.539	98.8462
165.000000	83.482	98.3728
167.500000	83.425	97.9099
170.000000	83.371	97.4482
172.500000	83.319	96.9960
175.000000	83.268	96.5503
177.500000	83.220	96.1053
180.000000	83.174	95.6669
182.500000	83.127	95.2506
185.000000	83.082	94.8287
187.500000	83.039	94.4015
190.000000	82.999	93.9879
192.500000	82.959	93.5764
195.000000	82.920	93.1668
197.500000	82.881	92.7663
200.000000	82.846	92.3699
203.000000	82.804	91.8889
206.000000	82.762	91.4190
209.000000	82.722	90.9580
212.000000	82.685	90.4958
214.000000	82.661	90.1951
218.000000	82.615	89.6082
220.000000	82.594	89.3152
224.000000	82.552	88.7322
227.000000	82.522	88.2993
230.000000	82.493	87.8717
233.000000	82.464	87.4508
236.000000	82.436	87.0339
240.000000	82.402	86.4840
243.000000	82.377	86.0774
247.000000	82.347	85.5458
250.000000	82.326	85.1543
254.000000	82.298	84.6408
258.000000	82.272	84.1285
262.000000	82.247	83.6208
265.000000	82.229	83.2399
269.000000	82.206	82.7388
272.000000	82.190	82.3704
276.000000	82.170	81.8853
280.000000	82.152	81.4078
285.000000	82.131	80.8147
290.000000	82.112	80.2315
295.000000	82.095	79.6651
300.000000	82.078	79.0974
304.000000	82.065	78.6584
307.000000	82.056	78.3344
311.000000	82.044	77.9060
315.000000	82.033	77.4839
320.000000	82.021	76.9619
325.000000	82.011	76.4461
330.000000	82.002	75.9313
335.000000	81.995	75.4259
340.000000	81.988	74.9248
345.000000	81.982	74.4351
350.000000	81.976	73.9637
355.000000	81.969	73.4918
360.000000	81.963	73.0155
365.000000	81.957	72.5571
370.000000	81.952	72.1033
375.000000	81.948	71.6541
382.000000	81.944	71.0393
387.000000	81.941	70.6148
395.000000	81.936	69.9520
400.000000	81.934	69.5492
406.000000	81.932	69.0758
412.000000	81.929	68.6129
418.000000	81.928	68.1588
425.000000	81.926	67.6420
431.000000	81.925	67.2123
437.000000	81.926	66.7975
444.000000	81.926	66.3247
450.000000	81.928	65.9263
455.000000	81.931	65.5950
462.000000	81.935	65.1280
468.000000	81.937	64.7263
475.000000	81.938	64.2697
482.000000	81.936	63.8414
487.000000	81.934	63.5467
494.000000	81.932	63.1427
500.000000	81.932	62.8079
508.000000	81.932	62.3858
515.000000	81.932	62.0316
522.000000	81.932	61.6830
530.000000	81.932	61.3012
538.000000	81.933	60.9338
545.000000	81.933	60.6191
552.000000	81.933	60.3162
560.000000	81.933	59.9874
570.000000	81.932	59.6018
580.000000	81.931	59.2368
590.000000	81.931	58.8980
600.000000	81.931	58.5745
608.000000	81.931	58.3347
615.000000	81.931	58.1401
622.000000	81.931	57.9600
630.000000	81.931	57.7684
640.000000	81.931	57.5442
650.000000	81.931	57.3418
660.000000	81.932	57.1623
670.000000	81.933	57.0055
680.000000	81.935	56.8744
690.000000	81.938	56.7631
700.000000	81.941	56.6745
710.000000	81.945	56.6052
720.000000	81.949	56.5584
730.000000	81.954	56.5378
740.000000	81.960	56.5403
750.000000	81.968	56.5656
762.000000	81.979	56.6249
775.000000	81.996	56.7219
788.000000	82.017	56.8497
800.000000	82.039	56.9912
812.000000	82.064	57.1518
825.000000	82.095	57.3536
838.000000	82.129	57.5806
850.000000	82.163	57.8200
862.000000	82.201	58.0929
875.000000	82.249	58.4280
885.000000	82.291	58.7094
900.000000	82.364	59.1579
912.000000	82.432	59.5271
925.000000	82.516	59.9266
938.000000	82.609	60.3137
950.000000	82.704	60.6497
962.000000	82.806	60.9557
975.000000	82.925	61.2477
988.000000	83.050	61.4941
1000.000000	83.169	61.6741
1015.000000	83.323	61.8336
1030.000000	83.479	61.9208
1044.000000	83.626	61.9441
1060.000000	83.795	61.8998
1075.000000	83.952	61.7890
1090.000000	84.107	61.6154
1106.000000	84.269	61.3742
1120.000000	84.406	61.1228
1138.000000	84.577	60.7469
1150.000000	84.687	60.4674
1172.000000	84.880	59.8999
1180.000000	84.947	59.6785
1206.000000	85.154	58.9158
1220.000000	85.259	58.4854
1241.000000	85.407	57.8180
1250.000000	85.468	57.5271
1265.000000	85.564	57.0381
1280.000000	85.655	56.5473
1315.000000	85.846	55.4112
1320.000000	85.872	55.2538
1340.000000	85.969	54.6373
1360.000000	86.060	54.0372
1380.000000	86.146	53.4542
1400.000000	86.226	52.8890
1430.000000	86.339	52.0857
1450.000000	86.409	51.5798
1475.000000	86.493	50.9780
1500.000000	86.573	50.4111
1525.000000	86.650	49.8813
1550.000000	86.726	49.3856
1575.000000	86.801	48.9212
1600.000000	86.875	48.4873
1625.000000	86.949	48.0786
1650.000000	87.022	47.6958
1675.000000	87.096	47.3321
1700.000000	87.171	46.9847
1725.000000	87.247	46.6532
1750.000000	87.325	46.3377
1775.000000	87.404	46.0295
1800.000000	87.485	45.7293
1825.000000	87.567	45.4344
1850.000000	87.652	45.1409
1875.000000	87.739	44.8499
1900.000000	87.828	44.5604
1925.000000	87.918	44.2661
1950.000000	88.011	43.9672
1975.000000	88.105	43.6619
2000.000000	88.200	43.3464
2030.000000	88.317	42.9548
2060.000000	88.435	42.5446
2090.000000	88.556	42.1146
2120.000000	88.678	41.6632
2140.000000	88.760	41.3471
2180.000000	88.924	40.6781
2200.000000	89.006	40.3253
2240.000000	89.172	39.5765
2270.000000	89.296	38.9787
2300.000000	89.420	38.3442
2330.000000	89.542	37.6739
2360.000000	89.663	36.9681
2400.000000	89.821	35.9704
2430.000000	89.937	35.1801
2470.000000	90.085	34.0746
2500.000000	90.192	33.2026
2540.000000	90.328	31.9791
2580.000000	90.453	30.6971
2620.000000	90.568	29.3689
2650.000000	90.647	28.3450
2690.000000	90.743	26.9415
2720.000000	90.806	25.8631
2760.000000	90.879	24.3979
2800.000000	90.937	22.9117
2850.000000	90.989	21.0449
2900.000000	91.018	19.1890
2950.000000	91.027	17.3648
3000.000000	91.016	15.5864
3040.000000	90.994	14.2056
3070.000000	90.971	13.1970
3110.000000	90.931	11.8930
3150.000000	90.883	10.6381
3200.000000	90.811	9.1467
3250.000000	90.728	7.7447
3300.000000	90.637	6.4363
3350.000000	90.540	5.2240
3400.000000	90.438	4.1080
3450.000000	90.333	3.0877
3500.000000	90.227	2.1555
3550.000000	90.123	1.3051
3600.000000	90.020	0.5292
3650.000000	89.922	-0.1831
3700.000000	89.827	-0.8407
3750.000000	89.736	-1.4547
3820.000000	89.612	-2.2529
3870.000000	89.525	-2.7881
3950.000000	89.388	-3.5800
4000.000000	89.301	-4.0190
4060.000000	89.196	-4.4692
4120.000000	89.096	-4.8188
4180.000000	89.005	-5.0635
4250.000000	88.920	-5.2486
4310.000000	88.869	-5.3712
4370.000000	88.837	-5.5095
4440.000000	88.823	-5.7276
4500.000000	88.827	-5.9958
4550.000000	88.842	-6.3000
4620.000000	88.873	-6.8801
4680.000000	88.905	-7.5440
4750.000000	88.938	-8.5198
4820.000000	88.958	-9.7004
4870.000000	88.961	-10.6604
4940.000000	88.944	-12.1535
5000.000000	88.904	-13.5509
5080.000000	88.808	-15.5270
5150.000000	88.680	-17.3092
5220.000000	88.509	-19.0866
5300.000000	88.261	-21.0448
5380.000000	87.958	-22.8395
5450.000000	87.652	-24.2104
5520.000000	87.315	-25.3570
5600.000000	86.898	-26.3572
5700.000000	86.342	-27.0944
5800.000000	85.767	-27.2267
5900.000000	85.190	-26.7580
6000.000000	84.625	-25.7032
6080.000000	84.191	-24.4342
6150.000000	83.831	-23.0202
6220.000000	83.496	-21.3249
6300.000000	83.153	-19.0553
6400.000000	82.798	-15.7755
6500.000000	82.544	-12.0827
6600.000000	82.412	-8.0853
6700.000000	82.428	-3.9802
6800.000000	82.606	-0.0744
6900.000000	82.941	3.2670
7000.000000	83.401	5.6860
7100.000000	83.932	6.9322
7200.000000	84.471	6.9400
7300.000000	84.963	5.8245
7400.000000	85.377	3.7820
7500.000000	85.694	0.9743
7620.000000	85.929	-3.3255
7750.000000	85.946	-9.0602
7880.000000	85.604	-15.5001
8000.000000	84.887	-21.0933
8120.000000	83.801	-25.0336
8250.000000	82.369	-26.1800
8380.000000	80.941	-23.7463
8500.000000	79.833	-19.1650
8620.000000	78.967	-13.5201
8750.000000	78.223	-6.6532
8850.000000	77.775	-0.6100
9000.000000	77.405	9.7192
9120.000000	77.443	18.4481
9250.000000	77.820	27.5240
9380.000000	78.498	35.6265
9500.000000	79.342	41.9387
9620.000000	80.351	46.9441
