* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 29, 2025 9:02:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Aria (Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.166	-136.9286
20.600000	94.196	-137.7688
20.900000	94.227	-138.6736
21.200001	94.259	-139.5700
21.400000	94.280	-140.1578
21.799999	94.323	-141.3069
22.000000	94.343	-141.8681
22.400000	94.379	-142.9667
22.700001	94.403	-143.7733
23.000000	94.425	-144.5674
23.299999	94.446	-145.3493
23.600000	94.466	-146.1176
24.000000	94.493	-147.1178
24.299999	94.511	-147.8488
24.700001	94.534	-148.7997
25.000000	94.549	-149.4978
25.400000	94.566	-150.4123
25.799999	94.582	-151.3094
26.200001	94.596	-152.1871
26.500000	94.606	-152.8312
26.900000	94.618	-153.6709
27.200001	94.625	-154.2877
27.600000	94.634	-155.0960
28.000000	94.641	-155.8904
28.500000	94.649	-156.8635
29.000000	94.654	-157.8109
29.500000	94.658	-158.7309
30.000000	94.659	-159.6268
30.400000	94.659	-160.3288
30.700001	94.658	-160.8468
31.100000	94.656	-161.5250
31.500000	94.653	-162.1870
32.000000	94.647	-162.9913
32.500000	94.641	-163.7733
33.000000	94.634	-164.5381
33.500000	94.626	-165.2879
34.000000	94.617	-166.0215
34.500000	94.607	-166.7382
35.000000	94.595	-167.4404
35.500000	94.582	-168.1315
36.000000	94.569	-168.8118
36.500000	94.555	-169.4777
37.000000	94.538	-170.1248
37.500000	94.521	-170.7519
38.200001	94.497	-171.6019
38.700001	94.481	-172.1953
39.500000	94.453	-173.1280
40.000000	94.434	-173.7000
40.599998	94.411	-174.3711
41.200001	94.385	-175.0234
41.799999	94.358	-175.6566
42.500000	94.326	-176.3689
43.099998	94.299	-176.9575
43.700001	94.272	-177.5373
44.400002	94.240	-178.2177
45.000000	94.212	-178.7951
45.500000	94.188	-179.2562
46.200001	94.152	-179.8639
46.799999	94.121	179.6320
47.500000	94.085	179.0433
48.200001	94.050	178.4637
48.700001	94.024	178.0638
49.400002	93.987	177.5184
50.000000	93.955	177.0558
50.799999	93.912	176.4512
51.500000	93.874	175.9405
52.200001	93.836	175.4393
53.000000	93.793	174.8744
53.799999	93.749	174.3309
54.500000	93.708	173.8784
55.200001	93.668	173.4443
56.000000	93.624	172.9524
57.000000	93.570	172.3255
58.000000	93.516	171.7264
59.000000	93.452	171.0970
60.000000	93.385	170.4763
60.799999	93.342	170.1154
61.500000	93.308	169.8409
62.200001	93.272	169.5233
63.000000	93.226	169.1261
64.000000	93.169	168.6517
65.000000	93.111	168.1891
66.000000	93.054	167.7404
67.000000	92.997	167.3111
68.000000	92.940	166.8964
69.000000	92.883	166.4946
70.000000	92.825	166.1087
71.000000	92.768	165.7389
72.000000	92.713	165.3796
73.000000	92.658	165.0233
74.000000	92.602	164.6741
75.000000	92.546	164.3447
76.199997	92.480	163.9673
77.500000	92.408	163.5712
78.800003	92.336	163.1881
80.000000	92.268	162.8466
81.199997	92.203	162.5189
82.500000	92.133	162.1858
83.800003	92.065	161.8668
85.000000	92.002	161.5787
86.199997	91.939	161.3020
87.500000	91.870	161.0191
88.500000	91.817	160.8059
90.000000	91.738	160.4886
91.199997	91.676	160.2482
92.500000	91.608	160.0089
93.800003	91.541	159.7801
95.000000	91.479	159.5875
96.199997	91.417	159.4039
97.500000	91.351	159.2123
98.800003	91.287	159.0319
100.000000	91.229	158.8763
101.500000	91.158	158.6978
103.000000	91.089	158.5319
104.400002	91.025	158.3735
106.000000	90.953	158.1818
107.500000	90.885	158.0107
109.000000	90.817	157.8461
110.599998	90.743	157.6760
112.000000	90.677	157.5430
113.800003	90.592	157.3852
115.000000	90.536	157.2858
117.199997	90.432	157.1344
118.000000	90.395	157.0916
120.599998	90.269	156.9720
122.000000	90.200	156.9243
124.099998	90.097	156.9329
125.000000	90.055	156.9669
126.500000	89.987	157.0571
128.000000	89.925	157.1822
131.500000	89.812	157.5695
132.000000	89.801	157.6216
134.000000	89.772	157.7635
136.000000	89.753	157.7453
138.000000	89.723	157.5908
140.000000	89.679	157.3847
143.000000	89.586	157.1375
145.000000	89.519	157.0321
147.500000	89.439	156.9348
150.000000	89.359	156.8729
152.500000	89.280	156.8366
155.000000	89.198	156.8227
157.500000	89.115	156.8019
160.000000	89.032	156.8016
162.500000	88.952	156.8362
165.000000	88.873	156.8955
167.500000	88.796	156.9778
170.000000	88.723	157.0873
172.500000	88.652	157.2210
175.000000	88.586	157.3762
177.500000	88.527	157.5214
180.000000	88.472	157.6492
182.500000	88.422	157.7676
185.000000	88.377	157.8654
187.500000	88.330	157.9247
190.000000	88.278	157.9678
192.500000	88.223	158.0140
195.000000	88.167	158.0689
197.500000	88.109	158.1353
200.000000	88.052	158.2135
203.000000	87.986	158.3300
206.000000	87.917	158.4658
209.000000	87.851	158.6321
212.000000	87.786	158.8087
214.000000	87.743	158.9133
218.000000	87.663	159.1195
220.000000	87.625	159.2233
224.000000	87.548	159.4517
227.000000	87.492	159.6319
230.000000	87.437	159.8179
233.000000	87.386	160.0119
236.000000	87.338	160.1968
240.000000	87.275	160.4520
243.000000	87.228	160.6334
247.000000	87.167	160.8750
250.000000	87.122	161.0610
254.000000	87.062	161.3078
258.000000	87.004	161.5550
262.000000	86.947	161.8062
265.000000	86.905	161.9945
269.000000	86.851	162.2419
272.000000	86.811	162.4295
276.000000	86.759	162.6819
280.000000	86.706	162.9405
285.000000	86.644	163.2634
290.000000	86.584	163.5966
295.000000	86.524	163.9318
300.000000	86.466	164.2624
304.000000	86.422	164.5300
307.000000	86.390	164.7299
311.000000	86.347	164.9964
315.000000	86.305	165.2729
320.000000	86.256	165.6237
325.000000	86.208	165.9711
330.000000	86.162	166.3128
335.000000	86.118	166.6506
340.000000	86.076	166.9825
345.000000	86.034	167.3116
350.000000	85.993	167.6442
355.000000	85.953	167.9792
360.000000	85.914	168.3112
365.000000	85.877	168.6414
370.000000	85.840	168.9741
375.000000	85.804	169.3105
382.000000	85.756	169.7768
387.000000	85.723	170.1097
395.000000	85.671	170.6418
400.000000	85.640	170.9738
406.000000	85.604	171.3737
412.000000	85.570	171.7725
418.000000	85.538	172.1699
425.000000	85.501	172.6335
431.000000	85.470	173.0246
437.000000	85.441	173.4142
444.000000	85.409	173.8720
450.000000	85.382	174.2653
455.000000	85.360	174.5894
462.000000	85.331	175.0417
468.000000	85.306	175.4301
475.000000	85.279	175.8807
482.000000	85.253	176.3277
487.000000	85.235	176.6462
494.000000	85.211	177.0909
500.000000	85.191	177.4752
508.000000	85.166	177.9904
515.000000	85.145	178.4420
522.000000	85.125	178.8944
530.000000	85.104	179.4115
538.000000	85.085	179.9279
545.000000	85.070	-179.6233
552.000000	85.056	-179.1756
560.000000	85.042	-178.6693
570.000000	85.026	-178.0484
580.000000	85.012	-177.4340
590.000000	84.999	-176.8266
600.000000	84.985	-176.2206
608.000000	84.975	-175.7336
615.000000	84.967	-175.3064
622.000000	84.960	-174.8769
630.000000	84.952	-174.3829
640.000000	84.945	-173.7609
650.000000	84.938	-173.1378
660.000000	84.934	-172.5139
670.000000	84.931	-171.8880
680.000000	84.930	-171.2580
690.000000	84.931	-170.6268
700.000000	84.934	-169.9969
710.000000	84.940	-169.3637
720.000000	84.947	-168.7270
730.000000	84.956	-168.0894
740.000000	84.968	-167.4507
750.000000	84.981	-166.8115
762.000000	85.000	-166.0428
775.000000	85.025	-165.2091
788.000000	85.054	-164.3758
800.000000	85.084	-163.6080
812.000000	85.118	-162.8429
825.000000	85.159	-162.0169
838.000000	85.205	-161.1953
850.000000	85.252	-160.4476
862.000000	85.302	-159.7060
875.000000	85.361	-158.9093
885.000000	85.409	-158.3059
900.000000	85.487	-157.4187
912.000000	85.554	-156.7276
925.000000	85.632	-155.9978
938.000000	85.713	-155.2891
950.000000	85.792	-154.6565
962.000000	85.875	-154.0478
975.000000	85.968	-153.4168
988.000000	86.064	-152.8165
1000.000000	86.156	-152.2911
1015.000000	86.273	-151.6748
1030.000000	86.394	-151.1059
1044.000000	86.508	-150.6171
1060.000000	86.639	-150.1074
1075.000000	86.764	-149.6797
1090.000000	86.889	-149.3018
1106.000000	87.021	-148.9495
1120.000000	87.137	-148.6839
1138.000000	87.282	-148.3971
1150.000000	87.377	-148.2383
1172.000000	87.546	-148.0130
1180.000000	87.606	-147.9510
1206.000000	87.789	-147.8114
1220.000000	87.879	-147.7562
1241.000000	88.007	-147.6575
1250.000000	88.062	-147.6086
1265.000000	88.152	-147.5305
1280.000000	88.243	-147.4662
1315.000000	88.447	-147.3779
1320.000000	88.475	-147.3705
1340.000000	88.584	-147.3503
1360.000000	88.689	-147.3398
1380.000000	88.789	-147.3329
1400.000000	88.887	-147.3282
1430.000000	89.029	-147.3241
1450.000000	89.122	-147.3208
1475.000000	89.234	-147.3129
1500.000000	89.345	-147.3044
1525.000000	89.454	-147.2940
1550.000000	89.562	-147.2826
1575.000000	89.669	-147.2722
1600.000000	89.776	-147.2642
1625.000000	89.882	-147.2597
1650.000000	89.989	-147.2599
1675.000000	90.096	-147.2666
1700.000000	90.205	-147.2823
1725.000000	90.313	-147.3071
1750.000000	90.422	-147.3411
1775.000000	90.531	-147.3869
1800.000000	90.640	-147.4460
1825.000000	90.749	-147.5191
1850.000000	90.858	-147.6072
1875.000000	90.968	-147.7104
1900.000000	91.078	-147.8315
1925.000000	91.188	-147.9706
1950.000000	91.299	-148.1283
1975.000000	91.410	-148.3050
2000.000000	91.520	-148.5011
2030.000000	91.650	-148.7623
2060.000000	91.779	-149.0530
2090.000000	91.907	-149.3727
2120.000000	92.033	-149.7222
2140.000000	92.116	-149.9714
2180.000000	92.281	-150.5108
2200.000000	92.362	-150.8002
