* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 29, 2025 9:06:50 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Aria (Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.199	-136.4196
20.600000	94.229	-137.2627
20.900000	94.261	-138.1668
21.200001	94.294	-139.0592
21.400000	94.316	-139.6438
21.799999	94.361	-140.7885
22.000000	94.382	-141.3490
22.400000	94.422	-142.4482
22.700001	94.448	-143.2543
23.000000	94.471	-144.0454
23.299999	94.493	-144.8224
23.600000	94.514	-145.5863
24.000000	94.541	-146.5857
24.299999	94.560	-147.3212
24.700001	94.583	-148.2825
25.000000	94.599	-148.9880
25.400000	94.618	-149.9077
25.799999	94.635	-150.8043
26.200001	94.650	-151.6804
26.500000	94.661	-152.3253
26.900000	94.675	-153.1699
27.200001	94.683	-153.7917
27.600000	94.694	-154.6055
28.000000	94.702	-155.4022
28.500000	94.710	-156.3757
29.000000	94.716	-157.3249
29.500000	94.720	-158.2488
30.000000	94.721	-159.1472
30.400000	94.722	-159.8488
30.700001	94.722	-160.3658
31.100000	94.721	-161.0435
31.500000	94.720	-161.7081
32.000000	94.716	-162.5209
32.500000	94.711	-163.3159
33.000000	94.704	-164.0952
33.500000	94.697	-164.8590
34.000000	94.688	-165.6056
34.500000	94.679	-166.3339
35.000000	94.668	-167.0446
35.500000	94.655	-167.7387
36.000000	94.641	-168.4172
36.500000	94.627	-169.0805
37.000000	94.612	-169.7287
37.500000	94.597	-170.3612
38.200001	94.574	-171.2230
38.700001	94.557	-171.8273
39.500000	94.526	-172.7788
40.000000	94.506	-173.3557
40.599998	94.483	-174.0210
41.200001	94.460	-174.6642
41.799999	94.435	-175.2994
42.500000	94.404	-176.0304
43.099998	94.378	-176.6379
43.700001	94.352	-177.2314
44.400002	94.319	-177.9203
45.000000	94.288	-178.5004
45.500000	94.263	-178.9636
46.200001	94.231	-179.5794
46.799999	94.204	179.9065
47.500000	94.169	179.3101
48.200001	94.133	178.7269
48.700001	94.107	178.3219
49.400002	94.070	177.7660
50.000000	94.038	177.2975
50.799999	93.996	176.6898
51.500000	93.958	176.1749
52.200001	93.919	175.6715
53.000000	93.877	175.1125
53.799999	93.833	174.5676
54.500000	93.793	174.0983
55.200001	93.753	173.6445
56.000000	93.709	173.1464
57.000000	93.654	172.5388
58.000000	93.600	171.9468
59.000000	93.549	171.2897
60.000000	93.494	170.6464
60.799999	93.445	170.2768
61.500000	93.402	169.9938
62.200001	93.361	169.6693
63.000000	93.315	169.2695
64.000000	93.258	168.7943
65.000000	93.201	168.3294
66.000000	93.144	167.8762
67.000000	93.087	167.4368
68.000000	93.030	167.0127
69.000000	92.974	166.6071
70.000000	92.918	166.2174
71.000000	92.861	165.8370
72.000000	92.804	165.4630
73.000000	92.747	165.1071
74.000000	92.691	164.7699
75.000000	92.635	164.4366
76.199997	92.569	164.0440
77.500000	92.498	163.6387
78.800003	92.428	163.2491
80.000000	92.364	162.9034
81.199997	92.299	162.5694
82.500000	92.228	162.2220
83.800003	92.158	161.8971
85.000000	92.094	161.6078
86.199997	92.031	161.3261
87.500000	91.963	161.0339
88.500000	91.911	160.8177
90.000000	91.833	160.5026
91.199997	91.772	160.2585
92.500000	91.705	160.0150
93.800003	91.637	159.7764
95.000000	91.577	159.5634
96.199997	91.518	159.3619
97.500000	91.454	159.1590
98.800003	91.390	158.9669
100.000000	91.331	158.7924
101.500000	91.258	158.5883
103.000000	91.186	158.3951
104.400002	91.120	158.2240
106.000000	91.044	158.0456
107.500000	90.975	157.8929
109.000000	90.906	157.7347
110.599998	90.835	157.5704
112.000000	90.774	157.4391
113.800003	90.696	157.2791
115.000000	90.644	157.1810
117.199997	90.550	157.0106
118.000000	90.516	156.9488
120.599998	90.402	156.7586
122.000000	90.340	156.6633
124.099998	90.250	156.5444
125.000000	90.211	156.4999
126.500000	90.146	156.4324
128.000000	90.081	156.3717
131.500000	89.925	156.2472
132.000000	89.902	156.2311
134.000000	89.810	156.1802
136.000000	89.713	156.1732
138.000000	89.610	156.2142
140.000000	89.501	156.3764
143.000000	89.351	157.0567
145.000000	89.301	157.7749
147.500000	89.324	158.5176
150.000000	89.376	158.5449
152.500000	89.393	158.0423
155.000000	89.356	157.5684
157.500000	89.287	157.2108
160.000000	89.204	157.0168
162.500000	89.120	156.8724
165.000000	89.036	156.7844
167.500000	88.953	156.7493
170.000000	88.873	156.7522
172.500000	88.796	156.7788
175.000000	88.722	156.8312
177.500000	88.650	156.8991
180.000000	88.581	156.9819
182.500000	88.512	157.0637
185.000000	88.445	157.1467
187.500000	88.382	157.2490
190.000000	88.319	157.3602
192.500000	88.257	157.4675
195.000000	88.197	157.5726
197.500000	88.138	157.6871
200.000000	88.081	157.8012
203.000000	88.012	157.9365
206.000000	87.945	158.0824
209.000000	87.880	158.2299
212.000000	87.816	158.3761
214.000000	87.773	158.4987
218.000000	87.691	158.7544
220.000000	87.651	158.8849
224.000000	87.576	159.1459
227.000000	87.522	159.3382
230.000000	87.469	159.5440
233.000000	87.417	159.7368
236.000000	87.365	159.9044
240.000000	87.296	160.1509
243.000000	87.246	160.3505
247.000000	87.181	160.6347
250.000000	87.135	160.8503
254.000000	87.077	161.1355
258.000000	87.023	161.4186
262.000000	86.974	161.6912
265.000000	86.939	161.8808
269.000000	86.889	162.1165
272.000000	86.850	162.2940
276.000000	86.798	162.5410
280.000000	86.748	162.7874
285.000000	86.689	163.0964
290.000000	86.629	163.4059
295.000000	86.571	163.7172
300.000000	86.514	164.0320
304.000000	86.470	164.2911
307.000000	86.437	164.4845
311.000000	86.394	164.7445
315.000000	86.352	165.0093
320.000000	86.302	165.3431
325.000000	86.253	165.6750
330.000000	86.206	166.0102
335.000000	86.161	166.3441
340.000000	86.116	166.6758
345.000000	86.073	167.0101
350.000000	86.031	167.3432
355.000000	85.990	167.6729
360.000000	85.950	168.0041
365.000000	85.912	168.3394
370.000000	85.874	168.6758
375.000000	85.838	169.0125
382.000000	85.790	169.4819
387.000000	85.757	169.8154
395.000000	85.706	170.3475
400.000000	85.676	170.6854
406.000000	85.641	171.0927
412.000000	85.607	171.4950
418.000000	85.574	171.8835
425.000000	85.537	172.3349
431.000000	85.507	172.7198
437.000000	85.478	173.1074
444.000000	85.445	173.5567
450.000000	85.418	173.9419
455.000000	85.397	174.2625
462.000000	85.367	174.7083
468.000000	85.343	175.0835
475.000000	85.315	175.5224
482.000000	85.289	175.9658
487.000000	85.270	176.2838
494.000000	85.246	176.7270
500.000000	85.225	177.1019
508.000000	85.200	177.6021
515.000000	85.179	178.0434
522.000000	85.159	178.4819
530.000000	85.137	178.9822
538.000000	85.117	179.4817
545.000000	85.100	179.9162
552.000000	85.083	-179.6487
560.000000	85.066	-179.1505
570.000000	85.046	-178.5296
580.000000	85.028	-177.9117
590.000000	85.012	-177.2903
600.000000	84.997	-176.6712
608.000000	84.986	-176.1774
615.000000	84.978	-175.7435
622.000000	84.970	-175.3089
630.000000	84.963	-174.8119
640.000000	84.955	-174.1920
650.000000	84.949	-173.5684
660.000000	84.944	-172.9411
670.000000	84.940	-172.3151
680.000000	84.939	-171.6902
690.000000	84.940	-171.0641
700.000000	84.942	-170.4348
710.000000	84.946	-169.8054
720.000000	84.953	-169.1741
730.000000	84.962	-168.5424
740.000000	84.972	-167.9113
750.000000	84.985	-167.2759
762.000000	85.003	-166.5117
775.000000	85.026	-165.6834
788.000000	85.053	-164.8554
800.000000	85.081	-164.0908
812.000000	85.113	-163.3284
825.000000	85.152	-162.5092
838.000000	85.196	-161.6947
850.000000	85.240	-160.9480
862.000000	85.287	-160.2097
875.000000	85.343	-159.4196
885.000000	85.388	-158.8175
900.000000	85.460	-157.9232
912.000000	85.521	-157.2159
925.000000	85.593	-156.4570
938.000000	85.671	-155.7085
950.000000	85.748	-155.0383
962.000000	85.830	-154.3936
975.000000	85.923	-153.7225
988.000000	86.019	-153.0829
1000.000000	86.111	-152.5223
1015.000000	86.231	-151.8622
1030.000000	86.354	-151.2511
1044.000000	86.473	-150.7250
1060.000000	86.610	-150.1765
1075.000000	86.742	-149.7176
1090.000000	86.875	-149.3156
1106.000000	87.017	-148.9504
1120.000000	87.141	-148.6866
1138.000000	87.296	-148.4270
1150.000000	87.397	-148.3024
1172.000000	87.569	-148.1495
1180.000000	87.627	-148.1052
1206.000000	87.807	-147.9490
1220.000000	87.901	-147.8633
1241.000000	88.043	-147.7631
1250.000000	88.103	-147.7351
1265.000000	88.201	-147.7082
1280.000000	88.295	-147.7016
1315.000000	88.501	-147.7283
1320.000000	88.528	-147.7346
1340.000000	88.636	-147.7622
1360.000000	88.738	-147.7909
1380.000000	88.837	-147.8169
1400.000000	88.932	-147.8394
1430.000000	89.070	-147.8698
1450.000000	89.161	-147.8859
1475.000000	89.271	-147.8998
1500.000000	89.379	-147.9093
1525.000000	89.485	-147.9143
1550.000000	89.591	-147.9157
1575.000000	89.695	-147.9153
1600.000000	89.800	-147.9157
1625.000000	89.906	-147.9205
1650.000000	90.013	-147.9305
1675.000000	90.119	-147.9466
