* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, L, volume: no control
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 31, 2025 8:28:18 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Aria (Vent blocked, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.424	-178.5590
20.600000	97.421	-179.3391
20.900000	97.419	179.8731
21.200001	97.421	179.1403
21.400000	97.424	178.6776
21.799999	97.430	177.7935
22.000000	97.434	177.3660
22.400000	97.442	176.5378
22.700001	97.448	175.9474
23.000000	97.455	175.3920
23.299999	97.462	174.8748
23.600000	97.466	174.3916
24.000000	97.466	173.7800
24.299999	97.462	173.3278
24.700001	97.453	172.7137
25.000000	97.444	172.2419
25.400000	97.435	171.6078
25.799999	97.429	170.9862
26.200001	97.425	170.3904
26.500000	97.422	169.9611
26.900000	97.417	169.4062
27.200001	97.412	168.9984
27.600000	97.404	168.4619
28.000000	97.395	167.9346
28.500000	97.385	167.2921
29.000000	97.374	166.6692
29.500000	97.364	166.0635
30.000000	97.353	165.4734
30.400000	97.343	165.0123
30.700001	97.336	164.6727
31.100000	97.326	164.2277
31.500000	97.315	163.7908
32.000000	97.302	163.2564
32.500000	97.289	162.7361
33.000000	97.274	162.2311
33.500000	97.260	161.7405
34.000000	97.245	161.2624
34.500000	97.230	160.7950
35.000000	97.214	160.3371
35.500000	97.198	159.8890
36.000000	97.181	159.4517
36.500000	97.163	159.0266
37.000000	97.145	158.6130
37.500000	97.127	158.2089
38.200001	97.103	157.6544
38.700001	97.084	157.2664
39.500000	97.052	156.6655
40.000000	97.031	156.3057
40.599998	97.006	155.8895
41.200001	96.980	155.4857
41.799999	96.954	155.0899
42.500000	96.922	154.6370
43.099998	96.894	154.2585
43.700001	96.865	153.8910
44.400002	96.831	153.4748
45.000000	96.800	153.1253
45.500000	96.774	152.8382
46.200001	96.735	152.4465
46.799999	96.700	152.1249
47.500000	96.658	151.7656
48.200001	96.614	151.4189
48.700001	96.582	151.1778
49.400002	96.536	150.8492
50.000000	96.494	150.5752
50.799999	96.437	150.2199
51.500000	96.385	149.9221
52.200001	96.330	149.6406
53.000000	96.265	149.3326
53.799999	96.202	149.0213
