* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, L, volume: no control
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 31, 2025 8:30:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Aria (Vent blocked, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	97.205	-177.9158
20.600000	97.195	-178.7100
20.900000	97.190	-179.5239
21.200001	97.190	179.7199
21.400000	97.193	179.2482
21.799999	97.201	178.3645
22.000000	97.205	177.9445
22.400000	97.211	177.1368
22.700001	97.215	176.5594
23.000000	97.218	176.0107
23.299999	97.220	175.4930
23.600000	97.221	175.0036
24.000000	97.218	174.3806
24.299999	97.212	173.9218
24.700001	97.201	173.3056
25.000000	97.191	172.8371
25.400000	97.179	172.2094
25.799999	97.169	171.5905
26.200001	97.161	170.9908
26.500000	97.155	170.5565
26.900000	97.146	169.9972
27.200001	97.139	169.5900
27.600000	97.128	169.0592
28.000000	97.116	168.5376
28.500000	97.101	167.8953
29.000000	97.085	167.2668
29.500000	97.069	166.6586
30.000000	97.052	166.0715
30.400000	97.038	165.6129
30.700001	97.028	165.2733
31.100000	97.013	164.8263
31.500000	96.998	164.3877
32.000000	96.979	163.8546
32.500000	96.958	163.3380
33.000000	96.936	162.8340
33.500000	96.915	162.3408
34.000000	96.893	161.8601
34.500000	96.871	161.3922
35.000000	96.848	160.9352
35.500000	96.823	160.4873
36.000000	96.797	160.0488
36.500000	96.771	159.6215
37.000000	96.744	159.2057
37.500000	96.716	158.8004
38.200001	96.675	158.2487
38.700001	96.644	157.8656
39.500000	96.592	157.2721
40.000000	96.559	156.9141
40.599998	96.517	156.4970
41.200001	96.474	156.0915
41.799999	96.429	155.6961
42.500000	96.376	155.2485
43.099998	96.327	154.8769
43.700001	96.277	154.5157
44.400002	96.217	154.1080
45.000000	96.163	153.7711
45.500000	96.117	153.4991
46.200001	96.052	153.1309
46.799999	95.996	152.8278
47.500000	95.931	152.4878
48.200001	95.865	152.1580
48.700001	95.817	151.9283
49.400002	95.749	151.6164
50.000000	95.690	151.3559
50.799999	95.613	151.0127
51.500000	95.544	150.7203
52.200001	95.476	150.4353
53.000000	95.400	150.1134
53.799999	95.321	149.8184
54.500000	95.251	149.5905
55.200001	95.184	149.3535
56.000000	95.116	149.0503
57.000000	95.030	148.6928
58.000000	94.938	148.3808
59.000000	94.848	148.0721
60.000000	94.759	147.7816
60.799999	94.689	147.5603
61.500000	94.627	147.3724
62.200001	94.566	147.1924
63.000000	94.497	146.9944
64.000000	94.411	146.7551
65.000000	94.326	146.5262
66.000000	94.242	146.3082
67.000000	94.159	146.1016
68.000000	94.077	145.9055
69.000000	93.996	145.7179
70.000000	93.915	145.5384
71.000000	93.835	145.3678
72.000000	93.756	145.2072
73.000000	93.677	145.0553
74.000000	93.600	144.9103
75.000000	93.524	144.7713
76.199997	93.433	144.6161
77.500000	93.336	144.4615
78.800003	93.240	144.3150
80.000000	93.153	144.1913
81.199997	93.067	144.0783
82.500000	92.974	143.9622
83.800003	92.884	143.8526
85.000000	92.801	143.7610
86.199997	92.719	143.6789
87.500000	92.631	143.5974
88.500000	92.564	143.5397
90.000000	92.465	143.4637
91.199997	92.388	143.4099
92.500000	92.305	143.3557
93.800003	92.223	143.3119
95.000000	92.147	143.2794
96.199997	92.073	143.2491
97.500000	91.993	143.2189
98.800003	91.914	143.1935
100.000000	91.843	143.1790
101.500000	91.754	143.1687
103.000000	91.667	143.1655
104.400002	91.587	143.1698
106.000000	91.496	143.1786
107.500000	91.412	143.1925
109.000000	91.329	143.2137
110.599998	91.242	143.2470
112.000000	91.167	143.2812
113.800003	91.071	143.3291
115.000000	91.008	143.3648
117.199997	90.893	143.4376
118.000000	90.852	143.4688
120.599998	90.719	143.5892
122.000000	90.649	143.6592
124.099998	90.543	143.7786
125.000000	90.498	143.8373
126.500000	90.424	143.9413
128.000000	90.350	144.0535
131.500000	90.182	144.3502
132.000000	90.159	144.3965
134.000000	90.064	144.5927
136.000000	89.967	144.8125
138.000000	89.867	145.0880
140.000000	89.770	145.4881
143.000000	89.645	146.2636
145.000000	89.615	146.9149
147.500000	89.672	147.6122
150.000000	89.726	147.5153
152.500000	89.693	146.8894
155.000000	89.589	146.4957
157.500000	89.472	146.4032
160.000000	89.362	146.4606
162.500000	89.262	146.5758
165.000000	89.169	146.7257
167.500000	89.077	146.9234
170.000000	88.990	147.1341
172.500000	88.907	147.3594
175.000000	88.829	147.5804
177.500000	88.753	147.7924
180.000000	88.680	148.0321
182.500000	88.610	148.3022
185.000000	88.547	148.5683
187.500000	88.488	148.8107
190.000000	88.430	149.0313
192.500000	88.373	149.2313
195.000000	88.315	149.4163
197.500000	88.255	149.6030
200.000000	88.195	149.8049
203.000000	88.125	150.0712
206.000000	88.058	150.3440
209.000000	87.990	150.6182
212.000000	87.926	150.8867
214.000000	87.887	151.0695
218.000000	87.810	151.4367
220.000000	87.772	151.6135
224.000000	87.699	151.9586
227.000000	87.644	152.2087
230.000000	87.590	152.4501
233.000000	87.536	152.6808
236.000000	87.481	152.9176
240.000000	87.409	153.2471
243.000000	87.355	153.4998
247.000000	87.286	153.8433
250.000000	87.236	154.1038
254.000000	87.170	154.4542
258.000000	87.108	154.8045
262.000000	87.048	155.1511
265.000000	87.004	155.4088
269.000000	86.946	155.7546
272.000000	86.903	156.0161
276.000000	86.848	156.3652
280.000000	86.795	156.7102
285.000000	86.730	157.1394
290.000000	86.668	157.5687
295.000000	86.608	157.9942
300.000000	86.550	158.4178
304.000000	86.504	158.7593
307.000000	86.471	159.0152
311.000000	86.429	159.3542
315.000000	86.388	159.6909
320.000000	86.339	160.1067
325.000000	86.291	160.5207
330.000000	86.244	160.9277
335.000000	86.198	161.3249
340.000000	86.154	161.7188
345.000000	86.111	162.1156
350.000000	86.070	162.5122
355.000000	86.030	162.9049
360.000000	85.991	163.2939
365.000000	85.952	163.6807
370.000000	85.916	164.0654
375.000000	85.880	164.4487
382.000000	85.832	164.9813
387.000000	85.799	165.3572
395.000000	85.747	165.9556
400.000000	85.717	166.3304
406.000000	85.681	166.7773
412.000000	85.646	167.2159
418.000000	85.613	167.6530
425.000000	85.576	168.1607
431.000000	85.546	168.5936
437.000000	85.518	169.0250
444.000000	85.486	169.5242
450.000000	85.460	169.9454
455.000000	85.439	170.2922
462.000000	85.411	170.7683
468.000000	85.387	171.1728
475.000000	85.360	171.6453
482.000000	85.333	172.1188
487.000000	85.315	172.4573
494.000000	85.291	172.9278
500.000000	85.271	173.3274
508.000000	85.246	173.8581
515.000000	85.224	174.3217
522.000000	85.204	174.7830
530.000000	85.182	175.3066
538.000000	85.162	175.8291
545.000000	85.144	176.2849
552.000000	85.128	176.7374
560.000000	85.110	177.2517
570.000000	85.090	177.8947
580.000000	85.071	178.5340
590.000000	85.054	179.1724
600.000000	85.039	179.8086
608.000000	85.027	-179.6834
615.000000	85.019	-179.2404
622.000000	85.010	-178.7979
630.000000	85.002	-178.2910
640.000000	84.993	-177.6573
650.000000	84.986	-177.0260
660.000000	84.980	-176.3933
670.000000	84.975	-175.7574
680.000000	84.972	-175.1207
690.000000	84.971	-174.4823
700.000000	84.972	-173.8414
710.000000	84.975	-173.1985
720.000000	84.980	-172.5555
730.000000	84.988	-171.9154
740.000000	84.997	-171.2783
750.000000	85.009	-170.6428
762.000000	85.026	-169.8792
775.000000	85.047	-169.0551
788.000000	85.072	-168.2323
800.000000	85.098	-167.4727
812.000000	85.128	-166.7147
825.000000	85.163	-165.8955
838.000000	85.203	-165.0796
850.000000	85.244	-164.3309
862.000000	85.288	-163.5869
875.000000	85.340	-162.7894
885.000000	85.383	-162.1825
900.000000	85.453	-161.2825
912.000000	85.513	-160.5726
925.000000	85.583	-159.8172
938.000000	85.658	-159.0769
950.000000	85.731	-158.4076
962.000000	85.808	-157.7543
975.000000	85.896	-157.0664
988.000000	85.990	-156.4015
1000.000000	86.081	-155.8108
1015.000000	86.200	-155.1080
1030.000000	86.327	-154.4557
1044.000000	86.452	-153.9033
1060.000000	86.600	-153.3492
1075.000000	86.743	-152.9166
1090.000000	86.887	-152.5785
1106.000000	87.038	-152.3258
1120.000000	87.164	-152.1908
1138.000000	87.311	-152.0938
1150.000000	87.400	-152.0386
1172.000000	87.555	-151.9191
1180.000000	87.610	-151.8799
1206.000000	87.787	-151.8081
1220.000000	87.877	-151.8025
1241.000000	88.004	-151.8185
1250.000000	88.056	-151.8308
1265.000000	88.139	-151.8562
1280.000000	88.218	-151.8844
1315.000000	88.390	-151.9474
1320.000000	88.414	-151.9556
1340.000000	88.505	-151.9862
1360.000000	88.593	-152.0140
1380.000000	88.678	-152.0376
1400.000000	88.760	-152.0558
1430.000000	88.880	-152.0749
1450.000000	88.958	-152.0837
1475.000000	89.054	-152.0902
1500.000000	89.148	-152.0922
1525.000000	89.241	-152.0910
1550.000000	89.334	-152.0887
1575.000000	89.426	-152.0869
1600.000000	89.517	-152.0859
1625.000000	89.609	-152.0863
1650.000000	89.700	-152.0900
1675.000000	89.791	-152.1007
1700.000000	89.883	-152.1179
1725.000000	89.974	-152.1414
1750.000000	90.066	-152.1729
1775.000000	90.158	-152.2137
1800.000000	90.250	-152.2665
1825.000000	90.342	-152.3304
1850.000000	90.434	-152.4046
1875.000000	90.526	-152.4918
1900.000000	90.618	-152.5921
1925.000000	90.710	-152.7065
1950.000000	90.802	-152.8357
1975.000000	90.893	-152.9783
2000.000000	90.984	-153.1352
2030.000000	91.092	-153.3438
2060.000000	91.199	-153.5737
2090.000000	91.303	-153.8224
2120.000000	91.407	-154.0849
2140.000000	91.475	-154.2686
2180.000000	91.611	-154.6617
2200.000000	91.678	-154.8729
2240.000000	91.810	-155.3241
2270.000000	91.906	-155.6886
2300.000000	92.001	-156.0749
2330.000000	92.092	-156.4792
2360.000000	92.181	-156.9007
2400.000000	92.294	-157.4854
2430.000000	92.376	-157.9337
2470.000000	92.481	-158.5466
2500.000000	92.557	-159.0258
2540.000000	92.652	-159.6859
2580.000000	92.741	-160.3536
2620.000000	92.824	-161.0234
2650.000000	92.883	-161.5252
2690.000000	92.957	-162.1922
2720.000000	93.010	-162.6874
2760.000000	93.078	-163.3363
2800.000000	93.143	-163.9708
2850.000000	93.225	-164.7499
2900.000000	93.307	-165.5296
2950.000000	93.393	-166.3311
3000.000000	93.479	-167.1842
3040.000000	93.547	-167.9182
3070.000000	93.594	-168.4999
3110.000000	93.649	-169.3021
3150.000000	93.697	-170.1057
3200.000000	93.751	-171.0842
3250.000000	93.804	-172.0687
3300.000000	93.853	-173.0920
3350.000000	93.894	-174.1351
3400.000000	93.928	-175.1855
3450.000000	93.956	-176.2419
3500.000000	93.978	-177.3079
3550.000000	93.994	-178.3798
3600.000000	94.004	-179.4515
3650.000000	94.008	179.4745
3700.000000	94.007	178.3926
3750.000000	94.001	177.3049
3820.000000	93.983	175.7704
3870.000000	93.964	174.6637
3950.000000	93.918	172.8660
4000.000000	93.879	171.7309
4060.000000	93.820	170.3701
4120.000000	93.749	169.0237
4180.000000	93.665	167.7007
4250.000000	93.554	166.2029
4310.000000	93.449	164.9580
4370.000000	93.335	163.7378
4440.000000	93.192	162.3416
4500.000000	93.057	161.1740
4550.000000	92.937	160.2261
4620.000000	92.755	158.9447
4680.000000	92.586	157.8978
4750.000000	92.375	156.7572
4820.000000	92.151	155.7180
4870.000000	91.982	155.0412
4940.000000	91.738	154.1943
5000.000000	91.520	153.5724
5080.000000	91.224	152.9005
5150.000000	90.959	152.4595
5220.000000	90.693	152.1532
5300.000000	90.390	151.9710
5380.000000	90.089	151.9646
5450.000000	89.831	152.0942
5520.000000	89.579	152.3477
5600.000000	89.302	152.7849
5700.000000	88.975	153.5329
5800.000000	88.671	154.4742
5900.000000	88.394	155.5896
6000.000000	88.145	156.8593
6080.000000	87.968	157.9692
6150.000000	87.830	159.0028
6220.000000	87.709	160.0895
6300.000000	87.593	161.3866
6400.000000	87.482	163.0627
6500.000000	87.411	164.7621
6600.000000	87.378	166.4720
6700.000000	87.386	168.1825
6800.000000	87.439	169.8640
6900.000000	87.541	171.4756
7000.000000	87.696	172.9694
7100.000000	87.905	174.2771
7200.000000	88.169	175.3123
7300.000000	88.484	175.9897
7400.000000	88.846	176.2322
7500.000000	89.248	175.9503
7620.000000	89.770	174.7631
7750.000000	90.355	172.1944
7880.000000	90.900	168.0488
8000.000000	91.284	162.7196
8120.000000	91.456	156.1116
8250.000000	91.312	148.1492
8380.000000	90.789	140.3351
8500.000000	90.009	134.0731
8620.000000	89.025	129.1868
8750.000000	87.829	125.6180
