* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 30, 2025 8:50:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Aria (Vent filter, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.661	-139.9935
20.600000	94.686	-140.8335
20.900000	94.711	-141.7336
21.200001	94.736	-142.6215
21.400000	94.754	-143.2028
21.799999	94.788	-144.3400
22.000000	94.805	-144.8968
22.400000	94.834	-145.9895
22.700001	94.854	-146.7929
23.000000	94.872	-147.5834
23.299999	94.888	-148.3611
23.600000	94.904	-149.1255
24.000000	94.924	-150.1227
24.299999	94.937	-150.8532
24.700001	94.953	-151.8032
25.000000	94.963	-152.4978
25.400000	94.976	-153.4028
25.799999	94.987	-154.2896
26.200001	94.997	-155.1645
26.500000	95.002	-155.8130
26.900000	95.008	-156.6613
27.200001	95.011	-157.2787
27.600000	95.014	-158.0719
28.000000	95.016	-158.8382
28.500000	95.018	-159.7886
29.000000	95.015	-160.7595
29.500000	95.010	-161.7343
30.000000	95.003	-162.6576
30.400000	95.000	-163.3338
30.700001	94.997	-163.8089
31.100000	94.993	-164.4221
31.500000	94.987	-165.0381
32.000000	94.976	-165.8293
32.500000	94.964	-166.6267
33.000000	94.951	-167.4011
33.500000	94.937	-168.1440
34.000000	94.923	-168.8660
34.500000	94.908	-169.5746
35.000000	94.892	-170.2685
35.500000	94.875	-170.9473
36.000000	94.857	-171.6162
36.500000	94.838	-172.2776
37.000000	94.817	-172.9246
37.500000	94.795	-173.5484
38.200001	94.765	-174.3851
38.700001	94.743	-174.9680
39.500000	94.709	-175.8821
40.000000	94.685	-176.4362
40.599998	94.655	-177.0852
41.200001	94.625	-177.7231
41.799999	94.594	-178.3470
42.500000	94.559	-179.0493
43.099998	94.527	-179.6351
43.700001	94.495	179.7893
44.400002	94.458	179.1442
45.000000	94.425	178.6194
45.500000	94.398	178.1875
46.200001	94.359	177.5671
46.799999	94.325	177.0309
47.500000	94.284	176.4357
48.200001	94.243	175.8773
48.700001	94.214	175.4872
49.400002	94.173	174.9467
50.000000	94.138	174.4960
50.799999	94.089	173.9141
51.500000	94.047	173.4141
52.200001	94.003	172.9268
53.000000	93.955	172.3920
53.799999	93.908	171.8692
54.500000	93.866	171.4184
55.200001	93.823	170.9809
56.000000	93.775	170.5000
57.000000	93.716	169.9225
58.000000	93.654	169.3549
59.000000	93.580	168.8237
60.000000	93.499	168.3411
60.799999	93.455	167.9294
61.500000	93.426	167.5523
62.200001	93.389	167.1926
63.000000	93.342	166.8069
64.000000	93.283	166.3398
65.000000	93.222	165.8951
66.000000	93.161	165.4689
67.000000	93.100	165.0556
68.000000	93.038	164.6556
69.000000	92.978	164.2665
70.000000	92.918	163.8918
71.000000	92.858	163.5332
72.000000	92.797	163.1819
73.000000	92.737	162.8374
74.000000	92.678	162.5191
75.000000	92.619	162.2198
76.199997	92.549	161.8514
77.500000	92.473	161.4642
78.800003	92.397	161.0995
80.000000	92.328	160.7798
81.199997	92.260	160.4691
82.500000	92.186	160.1472
83.800003	92.113	159.8465
85.000000	92.045	159.5754
86.199997	91.978	159.3099
87.500000	91.907	159.0377
88.500000	91.855	158.8365
90.000000	91.779	158.5450
91.199997	91.713	158.3365
92.500000	91.638	158.1257
93.800003	91.566	157.9091
95.000000	91.502	157.7177
96.199997	91.441	157.5376
97.500000	91.375	157.3486
98.800003	91.307	157.1658
100.000000	91.245	157.0061
101.500000	91.169	156.8167
103.000000	91.093	156.6373
104.400002	91.022	156.4843
106.000000	90.941	156.3170
107.500000	90.865	156.1709
109.000000	90.790	156.0417
110.599998	90.711	155.9130
112.000000	90.642	155.8108
113.800003	90.551	155.6978
115.000000	90.490	155.6326
117.199997	90.378	155.5508
118.000000	90.338	155.5357
120.599998	90.209	155.5502
122.000000	90.142	155.6165
124.099998	90.051	155.7510
125.000000	90.017	155.8087
126.500000	89.966	155.8966
128.000000	89.919	155.9606
131.500000	89.810	156.0425
132.000000	89.794	156.0548
134.000000	89.729	156.1298
136.000000	89.673	156.2465
138.000000	89.635	156.3796
140.000000	89.615	156.5343
143.000000	89.581	156.4583
145.000000	89.538	156.2020
147.500000	89.470	155.8933
150.000000	89.384	155.6264
152.500000	89.289	155.4992
155.000000	89.195	155.4622
157.500000	89.105	155.4583
160.000000	89.022	155.4848
162.500000	88.942	155.5189
165.000000	88.864	155.5632
167.500000	88.788	155.6143
170.000000	88.713	155.6778
172.500000	88.639	155.7502
175.000000	88.567	155.8327
177.500000	88.497	155.9240
180.000000	88.426	156.0164
182.500000	88.357	156.1127
185.000000	88.292	156.2324
187.500000	88.229	156.3621
190.000000	88.166	156.4911
192.500000	88.104	156.6171
195.000000	88.042	156.7478
197.500000	87.982	156.8889
200.000000	87.923	157.0369
203.000000	87.854	157.2223
206.000000	87.786	157.4140
209.000000	87.720	157.6273
212.000000	87.656	157.8537
214.000000	87.614	158.0095
218.000000	87.538	158.3389
220.000000	87.505	158.5031
224.000000	87.442	158.8078
