* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 2M Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 30, 2025 8:52:15 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Aria (Vent filter, Velvet)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.752	-144.2230
20.600000	94.770	-145.0551
20.900000	94.787	-145.9501
21.200001	94.805	-146.8369
21.400000	94.818	-147.4192
21.799999	94.843	-148.5605
22.000000	94.856	-149.1191
22.400000	94.877	-150.2132
22.700001	94.890	-151.0142
23.000000	94.901	-151.7990
23.299999	94.910	-152.5677
23.600000	94.919	-153.3204
24.000000	94.930	-154.3000
24.299999	94.937	-155.0179
24.700001	94.944	-155.9554
25.000000	94.948	-156.6445
25.400000	94.952	-157.5446
25.799999	94.955	-158.4232
26.200001	94.956	-159.2805
26.500000	94.956	-159.9100
26.900000	94.953	-160.7317
27.200001	94.951	-161.3343
27.600000	94.947	-162.1190
28.000000	94.944	-162.8849
28.500000	94.936	-163.8255
29.000000	94.921	-164.7581
29.500000	94.901	-165.6773
30.000000	94.884	-166.5615
30.400000	94.874	-167.2330
30.700001	94.870	-167.7176
31.100000	94.864	-168.3490
31.500000	94.856	-168.9760
32.000000	94.839	-169.7616
32.500000	94.819	-170.5378
33.000000	94.797	-171.2873
33.500000	94.776	-172.0074
34.000000	94.754	-172.7099
34.500000	94.731	-173.4046
35.000000	94.707	-174.0897
35.500000	94.684	-174.7572
36.000000	94.659	-175.4037
36.500000	94.633	-176.0314
37.000000	94.605	-176.6435
37.500000	94.578	-177.2411
38.200001	94.543	-178.0542
38.700001	94.517	-178.6209
39.500000	94.469	-179.5117
40.000000	94.438	179.9406
40.599998	94.402	179.2995
41.200001	94.367	178.6819
41.799999	94.331	178.0848
42.500000	94.287	177.4048
43.099998	94.249	176.8370
43.700001	94.211	176.2852
44.400002	94.166	175.6511
45.000000	94.129	175.1096
45.500000	94.098	174.6688
46.200001	94.053	174.0858
46.799999	94.012	173.6127
47.500000	93.964	173.0683
48.200001	93.917	172.5268
48.700001	93.884	172.1495
49.400002	93.838	171.6376
50.000000	93.797	171.2082
50.799999	93.743	170.6462
51.500000	93.695	170.1718
52.200001	93.646	169.7128
53.000000	93.592	169.1977
53.799999	93.539	168.6985
54.500000	93.492	168.2811
55.200001	93.444	167.8702
56.000000	93.389	167.4111
57.000000	93.321	166.8751
58.000000	93.251	166.3378
59.000000	93.187	165.8806
60.000000	93.125	165.4906
60.799999	93.069	165.0615
61.500000	93.017	164.6472
62.200001	92.968	164.2937
63.000000	92.915	163.9495
64.000000	92.850	163.5208
65.000000	92.783	163.1090
66.000000	92.717	162.7106
67.000000	92.652	162.3257
68.000000	92.586	161.9575
69.000000	92.521	161.5992
70.000000	92.457	161.2562
71.000000	92.392	160.9315
72.000000	92.328	160.6129
73.000000	92.265	160.2964
74.000000	92.202	159.9938
75.000000	92.139	159.7036
76.199997	92.064	159.3753
77.500000	91.984	159.0362
78.800003	91.905	158.7112
80.000000	91.833	158.4240
81.199997	91.761	158.1496
82.500000	91.682	157.8685
83.800003	91.605	157.5994
85.000000	91.535	157.3569
86.199997	91.466	157.1223
87.500000	91.392	156.8849
88.500000	91.334	156.7114
90.000000	91.247	156.4573
91.199997	91.181	156.2756
92.500000	91.113	156.0917
93.800003	91.043	155.9094
95.000000	90.977	155.7474
96.199997	90.912	155.5939
97.500000	90.844	155.4382
98.800003	90.777	155.2885
100.000000	90.715	155.1562
101.500000	90.639	155.0014
103.000000	90.562	154.8547
104.400002	90.492	154.7300
106.000000	90.412	154.5990
107.500000	90.338	154.4819
109.000000	90.265	154.3751
110.599998	90.189	154.2765
112.000000	90.123	154.1934
113.800003	90.039	154.0931
115.000000	89.983	154.0331
117.199997	89.880	153.9386
118.000000	89.844	153.9116
120.599998	89.726	153.8310
122.000000	89.663	153.7830
124.099998	89.568	153.7360
125.000000	89.529	153.7240
126.500000	89.463	153.7083
128.000000	89.397	153.7019
131.500000	89.244	153.7428
132.000000	89.223	153.7534
134.000000	89.134	153.8086
136.000000	89.043	153.8910
138.000000	88.958	153.9949
140.000000	88.883	154.1660
143.000000	88.799	154.4697
145.000000	88.757	154.6109
147.500000	88.706	154.6855
150.000000	88.645	154.6796
152.500000	88.570	154.6836
155.000000	88.486	154.7114
157.500000	88.396	154.7812
160.000000	88.306	154.9710
162.500000	88.229	155.3145
165.000000	88.186	155.7180
167.500000	88.180	155.9371
170.000000	88.167	155.8274
172.500000	88.119	155.6303
175.000000	88.050	155.5175
177.500000	87.975	155.4673
180.000000	87.901	155.4812
182.500000	87.827	155.5557
185.000000	87.755	155.6716
187.500000	87.686	155.7924
190.000000	87.620	155.9171
192.500000	87.557	156.0525
195.000000	87.496	156.1980
197.500000	87.436	156.3606
200.000000	87.378	156.5277
203.000000	87.310	156.7279
206.000000	87.247	156.9344
209.000000	87.188	157.1512
212.000000	87.131	157.3437
214.000000	87.094	157.4541
218.000000	87.020	157.6844
220.000000	86.983	157.8085
224.000000	86.910	158.0735
227.000000	86.858	158.2631
230.000000	86.806	158.4543
233.000000	86.752	158.6488
236.000000	86.699	158.8537
240.000000	86.632	159.1385
243.000000	86.585	159.3590
247.000000	86.525	159.6576
250.000000	86.483	159.8750
254.000000	86.429	160.1521
258.000000	86.375	160.4181
262.000000	86.322	160.6724
265.000000	86.282	160.8633
269.000000	86.229	161.1209
272.000000	86.189	161.3192
276.000000	86.138	161.5870
280.000000	86.088	161.8534
285.000000	86.028	162.1928
290.000000	85.968	162.5338
295.000000	85.910	162.8750
300.000000	85.854	163.2222
304.000000	85.811	163.5011
307.000000	85.779	163.7101
311.000000	85.737	163.9873
315.000000	85.697	164.2640
320.000000	85.649	164.6107
325.000000	85.602	164.9611
330.000000	85.557	165.3117
335.000000	85.513	165.6601
340.000000	85.471	166.0070
345.000000	85.430	166.3521
350.000000	85.391	166.6998
355.000000	85.352	167.0466
360.000000	85.315	167.3943
365.000000	85.279	167.7382
370.000000	85.243	168.0765
375.000000	85.209	168.4144
382.000000	85.163	168.8852
387.000000	85.132	169.2222
395.000000	85.083	169.7617
400.000000	85.054	170.0965
406.000000	85.020	170.4937
412.000000	84.988	170.8874
418.000000	84.957	171.2778
425.000000	84.923	171.7375
431.000000	84.894	172.1297
437.000000	84.867	172.5158
444.000000	84.836	172.9730
450.000000	84.812	173.3562
455.000000	84.792	173.6683
462.000000	84.765	174.1047
468.000000	84.742	174.4811
475.000000	84.716	174.9201
482.000000	84.692	175.3580
487.000000	84.675	175.6718
