* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Sep 19, 2026 7:51:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Chu 3 (Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.327	-171.5471
20.600000	86.330	-171.8601
20.900000	86.334	-172.2404
21.200001	86.343	-172.6186
21.400000	86.351	-172.8565
21.799999	86.371	-173.2826
22.000000	86.381	-173.4752
22.400000	86.392	-173.8778
22.700001	86.395	-174.1656
23.000000	86.393	-174.4518
23.299999	86.388	-174.7792
23.600000	86.383	-175.1028
24.000000	86.376	-175.5191
24.299999	86.372	-175.8622
24.700001	86.370	-176.3061
25.000000	86.368	-176.6276
25.400000	86.367	-177.0912
25.799999	86.365	-177.5382
26.200001	86.364	-177.9787
26.500000	86.365	-178.3068
26.900000	86.369	-178.7316
27.200001	86.373	-179.0406
27.600000	86.380	-179.4429
28.000000	86.385	-179.8353
28.500000	86.389	179.7056
29.000000	86.391	179.2722
29.500000	86.396	178.8754
30.000000	86.402	178.4955
30.400000	86.404	178.1877
30.700001	86.402	177.9553
31.100000	86.393	177.6473
31.500000	86.378	177.3514
32.000000	86.359	177.0463
32.500000	86.347	176.7723
33.000000	86.346	176.5038
33.500000	86.351	176.1486
34.000000	86.352	175.7207
34.500000	86.343	175.2518
35.000000	86.326	174.8196
35.500000	86.308	174.4367
36.000000	86.295	174.0917
36.500000	86.284	173.7573
37.000000	86.273	173.4277
37.500000	86.262	173.1166
38.200001	86.246	172.7053
38.700001	86.238	172.4203
39.500000	86.226	171.9714
40.000000	86.217	171.7091
40.599998	86.206	171.4043
41.200001	86.195	171.1053
41.799999	86.184	170.8073
42.500000	86.169	170.4765
43.099998	86.153	170.2098
43.700001	86.136	169.9380
44.400002	86.112	169.6107
45.000000	86.088	169.3204
45.500000	86.068	169.0677
46.200001	86.042	168.6906
46.799999	86.025	168.3509
47.500000	86.011	167.9766
48.200001	86.000	167.6786
48.700001	85.988	167.5013
49.400002	85.962	167.2280
50.000000	85.940	166.9426
50.799999	85.919	166.5742
51.500000	85.899	166.3231
52.200001	85.871	166.0663
53.000000	85.846	165.7249
53.799999	85.821	165.4111
54.500000	85.790	165.1559
55.200001	85.763	164.8838
56.000000	85.746	164.5911
