* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.5 dBFS with no timing reference
* Dated: Sep 19, 2026 7:56:52 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Chu 3 (Spring)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	86.112	-172.7538
20.600000	86.125	-172.9455
20.900000	86.125	-173.2114
21.200001	86.113	-173.5387
21.400000	86.103	-173.7879
21.799999	86.090	-174.3154
22.000000	86.089	-174.5695
22.400000	86.095	-175.0437
22.700001	86.102	-175.3123
23.000000	86.107	-175.5253
23.299999	86.106	-175.7564
23.600000	86.101	-175.9953
24.000000	86.091	-176.3547
24.299999	86.083	-176.7025
24.700001	86.074	-177.1993
25.000000	86.070	-177.5803
25.400000	86.071	-178.1299
25.799999	86.080	-178.6486
26.200001	86.098	-179.1195
26.500000	86.115	-179.4312
26.900000	86.132	-179.7853
27.200001	86.138	179.9776
27.600000	86.133	179.6575
28.000000	86.115	179.2968
28.500000	86.089	178.8001
29.000000	86.077	178.2986
29.500000	86.082	177.8724
30.000000	86.100	177.5235
30.400000	86.113	177.2700
30.700001	86.120	177.0849
31.100000	86.120	176.8392
31.500000	86.113	176.5937
32.000000	86.096	176.3140
32.500000	86.074	176.0031
33.000000	86.055	175.6483
33.500000	86.042	175.2197
34.000000	86.036	174.8025
34.500000	86.032	174.4440
35.000000	86.022	174.1581
35.500000	86.006	173.8694
36.000000	85.991	173.5294
36.500000	85.983	173.1463
37.000000	85.980	172.7766
37.500000	85.977	172.4701
38.200001	85.967	172.1274
38.700001	85.962	171.8977
39.500000	85.953	171.4836
40.000000	85.939	171.2086
40.599998	85.913	170.8961
41.200001	85.887	170.6303
41.799999	85.869	170.3759
42.500000	85.859	170.0310
43.099998	85.850	169.6907
43.700001	85.835	169.3353
44.400002	85.812	168.9442
45.000000	85.791	168.6379
45.500000	85.773	168.3990
46.200001	85.749	168.0783
46.799999	85.729	167.8121
47.500000	85.708	167.5206
48.200001	85.691	167.2483
48.700001	85.677	167.0527
49.400002	85.656	166.7711
50.000000	85.638	166.5336
50.799999	85.618	166.2079
51.500000	85.595	165.9118
52.200001	85.567	165.6388
53.000000	85.538	165.3443
53.799999	85.516	164.9881
54.500000	85.495	164.6583
55.200001	85.473	164.3895
56.000000	85.448	164.1443
57.000000	85.416	163.8590
58.000000	85.389	163.5470
59.000000	85.352	163.1749
60.000000	85.311	162.9019
60.799999	85.290	162.7074
61.500000	85.273	162.4575
62.200001	85.249	162.1732
63.000000	85.219	161.9068
64.000000	85.189	161.6621
65.000000	85.152	161.3653
66.000000	85.109	160.9992
67.000000	85.067	160.7213
68.000000	85.025	160.5231
69.000000	84.992	160.2965
70.000000	84.964	160.0468
71.000000	84.932	159.7689
72.000000	84.898	159.4746
73.000000	84.862	159.1958
74.000000	84.826	158.9326
75.000000	84.789	158.6918
76.199997	84.743	158.4228
77.500000	84.694	158.1354
78.800003	84.647	157.8676
80.000000	84.606	157.6298
81.199997	84.565	157.3801
82.500000	84.522	157.1321
83.800003	84.474	156.9272
85.000000	84.422	156.7257
86.199997	84.371	156.4807
87.500000	84.322	156.1893
88.500000	84.289	155.9802
90.000000	84.238	155.7476
91.199997	84.190	155.5725
92.500000	84.140	155.3408
93.800003	84.096	155.1422
95.000000	84.052	154.9872
96.199997	84.006	154.8109
97.500000	83.958	154.6197
98.800003	83.908	154.4423
100.000000	83.865	154.2720
101.500000	83.812	154.0835
103.000000	83.758	153.9023
104.400002	83.706	153.7372
106.000000	83.647	153.5374
107.500000	83.592	153.3553
109.000000	83.538	153.1801
110.599998	83.481	153.0062
112.000000	83.431	152.8602
113.800003	83.368	152.6838
115.000000	83.327	152.5704
117.199997	83.250	152.3714
118.000000	83.221	152.3032
120.599998	83.129	152.0930
122.000000	83.080	151.9868
124.099998	83.008	151.8256
125.000000	82.978	151.7579
126.500000	82.928	151.6498
128.000000	82.877	151.5435
131.500000	82.762	151.3260
132.000000	82.746	151.2984
134.000000	82.683	151.1885
136.000000	82.618	151.0817
138.000000	82.554	150.9754
140.000000	82.490	150.8819
143.000000	82.396	150.7442
145.000000	82.334	150.6527
147.500000	82.256	150.5605
150.000000	82.177	150.4860
152.500000	82.098	150.4175
155.000000	82.024	150.3505
157.500000	81.949	150.2812
160.000000	81.873	150.2218
162.500000	81.792	150.1729
165.000000	81.707	150.1359
167.500000	81.621	150.1068
170.000000	81.537	150.0729
172.500000	81.452	150.0411
175.000000	81.364	150.0247
177.500000	81.273	150.0280
180.000000	81.177	150.0544
182.500000	81.074	150.1094
185.000000	80.962	150.2054
187.500000	80.840	150.4476
190.000000	80.721	150.9741
192.500000	80.645	151.8503
195.000000	80.653	152.7402
197.500000	80.720	153.1219
200.000000	80.773	152.9485
203.000000	80.774	152.4956
206.000000	80.727	152.1273
209.000000	80.659	151.9079
212.000000	80.585	151.7908
214.000000	80.535	151.7595
218.000000	80.435	151.7768
220.000000	80.387	151.8106
224.000000	80.300	151.9113
227.000000	80.243	152.0005
230.000000	80.185	152.0796
233.000000	80.124	152.1504
236.000000	80.066	152.2363
240.000000	79.989	152.3689
243.000000	79.929	152.4608
247.000000	79.852	152.6059
250.000000	79.794	152.7281
254.000000	79.718	152.8957
258.000000	79.642	153.0676
262.000000	79.567	153.2591
265.000000	79.512	153.4028
269.000000	79.439	153.5977
272.000000	79.386	153.7456
276.000000	79.317	153.9538
280.000000	79.247	154.1687
285.000000	79.162	154.4374
290.000000	79.079	154.7177
295.000000	78.999	154.9998
300.000000	78.919	155.2827
304.000000	78.855	155.5161
307.000000	78.810	155.7081
311.000000	78.751	155.9677
315.000000	78.693	156.2238
320.000000	78.623	156.5398
325.000000	78.554	156.8586
330.000000	78.487	157.1807
335.000000	78.421	157.5267
340.000000	78.357	157.8934
345.000000	78.299	158.2831
350.000000	78.249	158.6560
355.000000	78.200	158.9763
360.000000	78.150	159.2672
365.000000	78.097	159.5571
370.000000	78.042	159.8603
375.000000	77.987	160.1837
382.000000	77.915	160.6537
387.000000	77.866	160.9890
395.000000	77.789	161.5292
400.000000	77.741	161.8607
406.000000	77.686	162.2650
412.000000	77.633	162.6736
418.000000	77.582	163.0869
425.000000	77.525	163.5671
431.000000	77.477	163.9726
437.000000	77.431	164.3829
444.000000	77.378	164.8643
450.000000	77.334	165.2811
455.000000	77.299	165.6320
462.000000	77.251	166.1219
468.000000	77.210	166.5405
