* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Sep 12, 2026 8:57:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Chu 3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.788	-170.1397
20.600000	85.807	-170.3963
20.900000	85.826	-170.7083
21.200001	85.842	-171.0352
21.400000	85.851	-171.2570
21.799999	85.867	-171.6923
22.000000	85.872	-171.9013
22.400000	85.875	-172.3306
22.700001	85.876	-172.6176
23.000000	85.877	-172.8839
23.299999	85.880	-173.1823
23.600000	85.884	-173.4824
24.000000	85.889	-173.8933
24.299999	85.892	-174.2540
24.700001	85.892	-174.7391
25.000000	85.889	-175.0939
25.400000	85.884	-175.5941
25.799999	85.880	-176.0650
26.200001	85.879	-176.5186
26.500000	85.881	-176.8507
26.900000	85.886	-177.2734
27.200001	85.890	-177.5748
27.600000	85.898	-177.9594
28.000000	85.906	-178.3272
28.500000	85.915	-178.7523
29.000000	85.924	-179.1588
29.500000	85.930	-179.5434
30.000000	85.935	-179.9170
30.400000	85.936	179.7902
30.700001	85.935	179.5787
31.100000	85.933	179.3053
31.500000	85.929	179.0316
32.000000	85.923	178.7053
32.500000	85.914	178.3571
33.000000	85.903	178.0183
33.500000	85.891	177.6609
34.000000	85.880	177.3076
34.500000	85.871	176.9400
35.000000	85.864	176.5808
35.500000	85.859	176.2277
36.000000	85.854	175.8881
36.500000	85.849	175.5547
37.000000	85.843	175.2283
37.500000	85.838	174.9235
38.200001	85.831	174.5276
38.700001	85.825	174.2495
39.500000	85.810	173.7844
40.000000	85.798	173.5077
40.599998	85.784	173.2055
41.200001	85.773	172.9249
41.799999	85.763	172.6310
42.500000	85.748	172.2711
43.099998	85.732	171.9680
43.700001	85.716	171.6645
44.400002	85.700	171.3130
45.000000	85.685	171.0187
45.500000	85.673	170.7772
46.200001	85.655	170.4381
46.799999	85.641	170.1489
47.500000	85.626	169.8279
48.200001	85.610	169.5292
48.700001	85.597	169.3210
49.400002	85.580	169.0265
50.000000	85.565	168.7755
50.799999	85.543	168.4454
51.500000	85.524	168.1644
52.200001	85.506	167.8917
53.000000	85.483	167.5928
53.799999	85.459	167.2952
54.500000	85.440	167.0278
55.200001	85.422	166.7624
56.000000	85.399	166.4756
57.000000	85.369	166.1295
58.000000	85.340	165.7778
59.000000	85.309	165.4375
60.000000	85.280	165.1068
60.799999	85.256	164.8481
61.500000	85.235	164.6353
62.200001	85.213	164.4291
63.000000	85.188	164.1888
64.000000	85.157	163.8861
65.000000	85.125	163.5962
66.000000	85.092	163.3087
67.000000	85.059	163.0237
68.000000	85.027	162.7500
69.000000	84.995	162.4857
70.000000	84.963	162.2271
71.000000	84.930	161.9762
72.000000	84.897	161.7315
73.000000	84.864	161.4872
74.000000	84.831	161.2427
75.000000	84.799	161.0015
76.199997	84.760	160.7204
77.500000	84.717	160.4330
78.800003	84.675	160.1404
80.000000	84.635	159.8704
81.199997	84.594	159.6205
82.500000	84.549	159.3613
83.800003	84.505	159.1061
85.000000	84.464	158.8752
86.199997	84.423	158.6458
87.500000	84.377	158.4051
88.500000	84.343	158.2268
90.000000	84.292	157.9648
91.199997	84.251	157.7657
92.500000	84.206	157.5587
93.800003	84.161	157.3565
95.000000	84.119	157.1667
96.199997	84.077	156.9768
97.500000	84.033	156.7783
98.800003	83.987	156.5868
100.000000	83.946	156.4162
101.500000	83.895	156.2098
103.000000	83.844	156.0104
104.400002	83.797	155.8341
106.000000	83.742	155.6394
107.500000	83.689	155.4616
109.000000	83.639	155.2857
110.599998	83.585	155.1051
112.000000	83.537	154.9514
113.800003	83.476	154.7588
115.000000	83.435	154.6361
117.199997	83.361	154.4216
118.000000	83.334	154.3465
120.599998	83.246	154.1127
122.000000	83.201	153.9863
124.099998	83.133	153.8058
125.000000	83.103	153.7342
126.500000	83.055	153.6247
128.000000	83.007	153.5150
131.500000	82.893	153.2478
132.000000	82.876	153.2112
134.000000	82.808	153.0783
136.000000	82.739	152.9774
138.000000	82.670	152.9008
140.000000	82.601	152.8367
143.000000	82.500	152.7937
145.000000	82.437	152.8359
147.500000	82.367	152.9543
150.000000	82.311	153.0469
152.500000	82.263	153.0312
155.000000	82.213	152.9513
157.500000	82.160	152.8570
160.000000	82.102	152.7644
162.500000	82.038	152.6691
165.000000	81.970	152.5726
167.500000	81.899	152.4848
170.000000	81.828	152.4128
172.500000	81.755	152.3553
175.000000	81.682	152.3041
177.500000	81.610	152.2589
180.000000	81.538	152.2317
182.500000	81.467	152.2271
185.000000	81.397	152.2315
187.500000	81.327	152.2374
190.000000	81.258	152.2464
192.500000	81.190	152.2683
195.000000	81.124	152.2994
197.500000	81.058	152.3369
200.000000	80.996	152.3815
203.000000	80.925	152.4332
206.000000	80.858	152.4875
209.000000	80.793	152.5524
212.000000	80.727	152.6188
214.000000	80.684	152.6646
218.000000	80.599	152.7714
220.000000	80.556	152.8279
224.000000	80.472	152.9523
227.000000	80.410	153.0542
230.000000	80.348	153.1606
233.000000	80.287	153.2737
236.000000	80.227	153.3991
240.000000	80.149	153.5851
243.000000	80.091	153.7286
247.000000	80.014	153.9334
250.000000	79.959	154.1010
254.000000	79.888	154.3365
258.000000	79.820	154.5635
262.000000	79.754	154.7769
265.000000	79.706	154.9286
269.000000	79.643	155.1222
272.000000	79.595	155.2633
276.000000	79.531	155.4459
280.000000	79.466	155.6329
285.000000	79.384	155.8816
290.000000	79.303	156.1547
295.000000	79.225	156.4469
300.000000	79.150	156.7551
304.000000	79.094	156.9938
307.000000	79.053	157.1577
311.000000	78.997	157.3710
315.000000	78.942	157.5917
320.000000	78.873	157.8782
325.000000	78.806	158.1630
330.000000	78.741	158.4603
335.000000	78.676	158.7713
340.000000	78.613	159.0811
345.000000	78.551	159.3962
350.000000	78.491	159.7156
355.000000	78.432	160.0411
360.000000	78.374	160.3710
365.000000	78.318	160.6987
370.000000	78.264	161.0287
375.000000	78.210	161.3634
382.000000	78.137	161.8427
387.000000	78.087	162.1853
395.000000	78.008	162.7280
400.000000	77.960	163.0679
406.000000	77.905	163.4807
412.000000	77.851	163.8954
418.000000	77.798	164.3116
425.000000	77.738	164.8026
431.000000	77.689	165.2250
437.000000	77.642	165.6472
444.000000	77.587	166.1395
450.000000	77.541	166.5620
455.000000	77.505	166.9177
462.000000	77.455	167.4211
468.000000	77.413	167.8557
475.000000	77.366	168.3593
482.000000	77.320	168.8625
487.000000	77.289	169.2231
494.000000	77.246	169.7324
500.000000	77.210	170.1698
508.000000	77.165	170.7556
515.000000	77.127	171.2750
522.000000	77.091	171.8009
530.000000	77.051	172.4055
538.000000	77.014	173.0163
545.000000	76.983	173.5533
552.000000	76.954	174.0918
560.000000	76.923	174.7128
570.000000	76.888	175.5082
580.000000	76.859	176.3038
590.000000	76.836	177.0823
600.000000	76.818	177.8470
608.000000	76.804	178.4450
615.000000	76.794	178.9542
622.000000	76.784	179.4554
630.000000	76.774	-179.9732
640.000000	76.762	-179.2646
650.000000	76.750	-178.5567
660.000000	76.740	-177.8504
670.000000	76.732	-177.1412
680.000000	76.725	-176.4272
690.000000	76.719	-175.7060
700.000000	76.715	-174.9767
710.000000	76.712	-174.2487
720.000000	76.712	-173.5204
730.000000	76.715	-172.7867
740.000000	76.721	-172.0501
750.000000	76.728	-171.3108
762.000000	76.741	-170.4247
775.000000	76.759	-169.4642
788.000000	76.781	-168.5007
800.000000	76.803	-167.6132
812.000000	76.828	-166.7285
825.000000	76.857	-165.7721
838.000000	76.892	-164.8212
850.000000	76.929	-163.9561
862.000000	76.970	-163.1041
875.000000	77.019	-162.1917
885.000000	77.061	-161.4996
900.000000	77.128	-160.4745
912.000000	77.186	-159.6650
925.000000	77.252	-158.8020
938.000000	77.325	-157.9581
950.000000	77.397	-157.2010
962.000000	77.474	-156.4663
975.000000	77.560	-155.7018
988.000000	77.650	-154.9685
1000.000000	77.734	-154.3229
1015.000000	77.839	-153.5630
1030.000000	77.946	-152.8554
1044.000000	78.048	-152.2459
1060.000000	78.167	-151.5982
1075.000000	78.278	-151.0304
1090.000000	78.390	-150.5182
1106.000000	78.511	-150.0342
1120.000000	78.616	-149.6504
1138.000000	78.749	-149.2045
1150.000000	78.836	-148.9410
1172.000000	78.994	-148.5213
1180.000000	79.050	-148.3866
1206.000000	79.224	-148.0051
1220.000000	79.314	-147.8317
1241.000000	79.447	-147.6103
1250.000000	79.504	-147.5260
1265.000000	79.599	-147.4006
1280.000000	79.692	-147.2884
1315.000000	79.899	-147.0617
1320.000000	79.927	-147.0334
1340.000000	80.039	-146.9271
1360.000000	80.146	-146.8270
1380.000000	80.250	-146.7321
1400.000000	80.350	-146.6443
1430.000000	80.492	-146.5016
1450.000000	80.582	-146.4086
1475.000000	80.692	-146.2902
1500.000000	80.798	-146.1578
1525.000000	80.901	-146.0134
1550.000000	81.004	-145.8495
1575.000000	81.107	-145.6570
1600.000000	81.214	-145.4249
1625.000000	81.334	-145.1764
1650.000000	81.467	-144.9579
1675.000000	81.606	-144.8201
1700.000000	81.740	-144.7623
1725.000000	81.868	-144.7455
1750.000000	81.989	-144.7336
1775.000000	82.106	-144.7159
1800.000000	82.221	-144.6877
1825.000000	82.336	-144.6573
1850.000000	82.452	-144.6305
1875.000000	82.568	-144.6083
1900.000000	82.684	-144.5906
1925.000000	82.802	-144.5827
1950.000000	82.920	-144.5866
1975.000000	83.038	-144.6026
2000.000000	83.156	-144.6331
2030.000000	83.298	-144.6863
2060.000000	83.439	-144.7581
2090.000000	83.581	-144.8492
2120.000000	83.725	-144.9602
2140.000000	83.822	-145.0467
2180.000000	84.018	-145.2492
2200.000000	84.118	-145.3690
2240.000000	84.322	-145.6693
2270.000000	84.475	-145.9563
2300.000000	84.627	-146.2942
2330.000000	84.776	-146.6745
2360.000000	84.923	-147.0905
2400.000000	85.115	-147.6974
2430.000000	85.257	-148.1946
2470.000000	85.444	-148.9181
2500.000000	85.580	-149.5101
2540.000000	85.753	-150.3710
2580.000000	85.918	-151.3147
2620.000000	86.073	-152.3359
2650.000000	86.182	-153.1492
2690.000000	86.317	-154.2926
2720.000000	86.409	-155.1878
2760.000000	86.519	-156.4210
2800.000000	86.613	-157.6814
2850.000000	86.710	-159.2665
2900.000000	86.784	-160.8442
2950.000000	86.838	-162.3864
3000.000000	86.872	-163.8594
3040.000000	86.891	-164.9616
3070.000000	86.903	-165.7313
3110.000000	86.926	-166.6906
3150.000000	86.964	-167.6348
3200.000000	87.035	-168.9446
3250.000000	87.105	-170.5306
3300.000000	87.145	-172.3602
3350.000000	87.139	-174.2700
3400.000000	87.094	-176.1276
3450.000000	87.022	-177.8927
3500.000000	86.930	-179.5794
3550.000000	86.819	178.8028
3600.000000	86.689	177.2666
3650.000000	86.542	175.8311
3700.000000	86.381	174.5072
3750.000000	86.209	173.2930
3820.000000	85.953	171.7771
3870.000000	85.762	170.8247
3950.000000	85.450	169.5325
4000.000000	85.255	168.8554
4060.000000	85.025	168.1069
4120.000000	84.791	167.3545
4180.000000	84.540	166.5999
4250.000000	84.207	165.8775
4310.000000	83.897	165.5726
4370.000000	83.591	165.6131
4440.000000	83.265	165.9740
4500.000000	83.018	166.3961
4550.000000	82.829	166.7561
4620.000000	82.575	167.2585
4680.000000	82.359	167.7275
4750.000000	82.109	168.3772
4820.000000	81.866	169.1771
4870.000000	81.702	169.8415
4940.000000	81.491	170.8717
5000.000000	81.327	171.8109
5080.000000	81.128	173.1135
5150.000000	80.974	174.2912
5220.000000	80.840	175.4755
5300.000000	80.706	176.7942
5380.000000	80.584	178.0895
5450.000000	80.485	179.2331
5520.000000	80.395	-179.6003
5600.000000	80.302	-178.2320
5700.000000	80.208	-176.4654
5800.000000	80.142	-174.6459
5900.000000	80.106	-172.7969
6000.000000	80.101	-170.9410
6080.000000	80.121	-169.4601
6150.000000	80.158	-168.1786
6220.000000	80.214	-166.9280
6300.000000	80.302	-165.5648
6400.000000	80.441	-164.0061
6500.000000	80.610	-162.6471
6600.000000	80.804	-161.5195
6700.000000	81.015	-160.6351
6800.000000	81.237	-159.9949
6900.000000	81.465	-159.5905
7000.000000	81.691	-159.4005
7100.000000	81.913	-159.3803
7200.000000	82.132	-159.4803
7300.000000	82.354	-159.6593
7400.000000	82.592	-159.8940
7500.000000	82.863	-160.2084
7620.000000	83.258	-160.8791
7750.000000	83.789	-162.4323
7880.000000	84.384	-165.5298
8000.000000	84.876	-170.2271
8120.000000	85.161	-176.6369
8250.000000	85.090	175.3000
8380.000000	84.575	167.4383
8500.000000	83.774	161.4749
8620.000000	82.783	157.2999
8750.000000	81.635	154.8394
8850.000000	80.769	154.2145
9000.000000	79.574	154.8082
9120.000000	78.724	156.1881
9250.000000	77.902	158.2912
9380.000000	77.175	160.8663
9500.000000	76.582	163.5733
9620.000000	76.061	166.5306
9750.000000	75.574	169.9476
9880.000000	75.165	173.5255
10000.000000	74.854	176.9190
10150.000000	74.546	-178.7680
10300.000000	74.333	-174.4243
10440.000000	74.221	-170.3988
10600.000000	74.200	-165.9056
10750.000000	74.294	-161.8980
10900.000000	74.508	-158.2678
11060.000000	74.872	-155.2272
11200.000000	75.261	-153.9002
11380.000000	75.573	-154.7392
11500.000000	75.405	-155.6235
11720.000000	74.766	-148.7440
11800.000000	74.943	-143.6637
12060.000000	77.118	-133.6496
12200.000000	78.631	-133.7385
12410.000000	80.875	-140.2353
12500.000000	81.709	-145.4216
12650.000000	82.704	-156.8887
12800.000000	83.003	-170.4671
13150.000000	81.049	162.5571
13200.000000	80.592	160.0322
13400.000000	78.689	153.3022
13600.000000	76.937	150.5477
13800.000000	75.449	150.0258
