* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -10.8 dBFS with no timing reference
* Dated: Sep 12, 2026 9:00:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Chu 3
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.817	-172.1120
20.600000	85.829	-172.3863
20.900000	85.841	-172.7234
21.200001	85.852	-173.0721
21.400000	85.862	-173.3005
21.799999	85.884	-173.7202
22.000000	85.894	-173.9068
22.400000	85.907	-174.2756
22.700001	85.908	-174.5217
23.000000	85.902	-174.7667
23.299999	85.892	-175.0685
23.600000	85.881	-175.3892
24.000000	85.872	-175.8235
24.299999	85.869	-176.1745
24.700001	85.869	-176.5954
25.000000	85.870	-176.8759
25.400000	85.870	-177.2824
25.799999	85.868	-177.7076
26.200001	85.865	-178.1726
26.500000	85.864	-178.5311
26.900000	85.865	-178.9741
27.200001	85.868	-179.2643
27.600000	85.875	-179.6052
28.000000	85.885	-179.9303
28.500000	85.896	179.6513
29.000000	85.901	179.2133
29.500000	85.902	178.8243
30.000000	85.902	178.5012
30.400000	85.903	178.2582
30.700001	85.904	178.0667
31.100000	85.903	177.7855
31.500000	85.896	177.4783
32.000000	85.882	177.1200
32.500000	85.868	176.7839
33.000000	85.858	176.4873
33.500000	85.852	176.1660
34.000000	85.846	175.8247
34.500000	85.839	175.4510
35.000000	85.829	175.0794
35.500000	85.817	174.7173
36.000000	85.803	174.3811
36.500000	85.792	174.0663
37.000000	85.785	173.7628
37.500000	85.781	173.4695
38.200001	85.771	173.0691
38.700001	85.759	172.7943
39.500000	85.738	172.3677
40.000000	85.728	172.1230
40.599998	85.718	171.8529
41.200001	85.706	171.5947
41.799999	85.695	171.3090
42.500000	85.680	170.9352
43.099998	85.665	170.6095
43.700001	85.647	170.2880
44.400002	85.629	169.9297
45.000000	85.614	169.6445
45.500000	85.602	169.4215
46.200001	85.580	169.1133
46.799999	85.562	168.8381
47.500000	85.545	168.5149
48.200001	85.532	168.2202
48.700001	85.522	168.0338
49.400002	85.504	167.7935
50.000000	85.484	167.5865
50.799999	85.453	167.2697
51.500000	85.431	166.9691
52.200001	85.414	166.6979
53.000000	85.391	166.4335
53.799999	85.358	166.1318
54.500000	85.335	165.8236
55.200001	85.321	165.5545
56.000000	85.302	165.3252
57.000000	85.262	165.0063
58.000000	85.231	164.6342
59.000000	85.204	164.3229
60.000000	85.171	164.0117
60.799999	85.146	163.7563
61.500000	85.123	163.5386
62.200001	85.100	163.3212
63.000000	85.074	163.0830
64.000000	85.043	162.8057
65.000000	85.010	162.5264
66.000000	84.977	162.2416
67.000000	84.942	161.9514
68.000000	84.909	161.6698
69.000000	84.875	161.4085
70.000000	84.841	161.1578
71.000000	84.808	160.9147
72.000000	84.774	160.6719
73.000000	84.739	160.4288
74.000000	84.703	160.1942
75.000000	84.669	159.9697
76.199997	84.627	159.7115
77.500000	84.582	159.4310
78.800003	84.538	159.1466
80.000000	84.495	158.8918
81.199997	84.453	158.6483
82.500000	84.407	158.3946
83.800003	84.361	158.1464
85.000000	84.317	157.9196
86.199997	84.274	157.7003
87.500000	84.227	157.4689
88.500000	84.191	157.2914
90.000000	84.138	157.0356
91.199997	84.095	156.8401
92.500000	84.049	156.6317
93.800003	84.003	156.4334
95.000000	83.960	156.2534
96.199997	83.918	156.0717
97.500000	83.871	155.8837
98.800003	83.825	155.7054
100.000000	83.782	155.5460
101.500000	83.728	155.3469
103.000000	83.675	155.1536
104.400002	83.624	154.9781
106.000000	83.567	154.7874
107.500000	83.513	154.6165
109.000000	83.460	154.4476
110.599998	83.403	154.2723
112.000000	83.352	154.1289
113.800003	83.286	153.9556
115.000000	83.243	153.8477
117.199997	83.165	153.6652
118.000000	83.136	153.6024
120.599998	83.043	153.4152
122.000000	82.995	153.3246
124.099998	82.924	153.1958
125.000000	82.895	153.1442
126.500000	82.847	153.0597
128.000000	82.799	152.9766
131.500000	82.686	152.7715
132.000000	82.670	152.7424
134.000000	82.604	152.6312
136.000000	82.537	152.5279
138.000000	82.468	152.4486
140.000000	82.398	152.3879
143.000000	82.291	152.3763
145.000000	82.223	152.4366
147.500000	82.148	152.5491
150.000000	82.088	152.6595
152.500000	82.041	152.7172
155.000000	81.996	152.7117
157.500000	81.949	152.6560
160.000000	81.898	152.5643
162.500000	81.837	152.4513
165.000000	81.769	152.3346
167.500000	81.695	152.2397
170.000000	81.620	152.1788
172.500000	81.545	152.1489
175.000000	81.470	152.1373
177.500000	81.396	152.1475
180.000000	81.324	152.1779
182.500000	81.256	152.2175
185.000000	81.192	152.2529
187.500000	81.129	152.2872
190.000000	81.068	152.3184
192.500000	81.009	152.3444
195.000000	80.949	152.3674
197.500000	80.889	152.3840
200.000000	80.829	152.4039
203.000000	80.761	152.4335
206.000000	80.695	152.4780
