* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 25, 2025 4:43:33 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (ANC, Std, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.759	98.8548
20.600000	93.644	94.7525
20.900000	93.508	90.2740
21.200001	93.370	85.8054
21.400000	93.278	82.8722
21.799999	93.094	77.1509
22.000000	92.999	74.3614
22.400000	92.802	68.8885
22.700001	92.650	64.8427
23.000000	92.498	60.8318
23.299999	92.349	56.8627
23.600000	92.205	52.9541
24.000000	92.015	47.8647
24.299999	91.872	44.1426
24.700001	91.679	39.2871
25.000000	91.534	35.7090
25.400000	91.347	31.0089
25.799999	91.170	26.3901
26.200001	91.002	21.8570
26.500000	90.881	18.5120
26.900000	90.722	14.1186
27.200001	90.606	10.8699
27.600000	90.457	6.5972
28.000000	90.314	2.3875
28.500000	90.146	-2.8047
29.000000	89.988	-7.9474
29.500000	89.838	-13.0519
30.000000	89.700	-18.1002
30.400000	89.599	-22.0831
30.700001	89.529	-25.0360
31.100000	89.442	-28.9343
31.500000	89.359	-32.8005
32.000000	89.261	-37.6071
32.500000	89.167	-42.3960
33.000000	89.080	-47.1691
33.500000	89.001	-51.9237
34.000000	88.928	-56.6612
34.500000	88.860	-61.3900
35.000000	88.799	-66.1182
35.500000	88.747	-70.8448
36.000000	88.707	-75.5585
36.500000	88.675	-80.2489
37.000000	88.644	-84.9195
37.500000	88.611	-89.5883
38.200001	88.565	-96.1584
38.700001	88.540	-100.8827
39.500000	88.517	-108.4739
40.000000	88.506	-113.2250
40.599998	88.489	-118.9293
41.200001	88.469	-124.6418
41.799999	88.449	-130.3745
42.500000	88.428	-137.1000
43.099998	88.415	-142.8831
43.700001	88.403	-148.6528
44.400002	88.382	-155.3526
45.000000	88.356	-161.0951
45.500000	88.331	-165.8965
46.200001	88.297	-172.6201
46.799999	88.269	-178.3508
47.500000	88.230	174.9924
48.200001	88.186	168.3237
48.700001	88.154	163.5587
49.400002	88.110	156.9260
50.000000	88.068	151.2839
50.799999	88.006	143.7808
51.500000	87.952	137.2321
52.200001	87.900	130.7370
53.000000	87.837	123.3729
53.799999	87.772	116.0345
54.500000	87.718	109.6467
55.200001	87.665	103.2962
56.000000	87.604	96.0601
57.000000	87.529	87.0618
58.000000	87.454	78.1162
59.000000	87.382	69.1864
60.000000	87.312	60.3267
60.799999	87.257	53.2816
61.500000	87.212	47.1288
62.200001	87.170	40.9925
63.000000	87.120	34.0087
64.000000	87.060	25.3218
65.000000	87.002	16.6660
66.000000	86.946	8.0281
67.000000	86.890	-0.5776
68.000000	86.835	-9.1575
69.000000	86.782	-17.7220
70.000000	86.731	-26.2609
71.000000	86.681	-34.7717
72.000000	86.633	-43.2587
73.000000	86.586	-51.7262
74.000000	86.539	-60.1764
75.000000	86.493	-68.6045
76.199997	86.439	-78.6879
77.500000	86.385	-89.5769
78.800003	86.329	-100.4018
80.000000	86.276	-110.3474
81.199997	86.225	-120.3073
82.500000	86.171	-131.0718
83.800003	86.117	-141.7737
85.000000	86.067	-151.6195
86.199997	86.017	-161.4327
87.500000	85.963	-172.0266
88.500000	85.921	179.8466
90.000000	85.859	167.6943
91.199997	85.809	158.0054
92.500000	85.755	147.5383
93.800003	85.703	137.1081
95.000000	85.653	127.5115
96.199997	85.603	117.9405
97.500000	85.550	107.6096
98.800003	85.496	97.3156
100.000000	85.445	87.8408
101.500000	85.383	76.0259
103.000000	85.321	64.2612
104.400002	85.264	53.3284
106.000000	85.198	40.8722
107.500000	85.135	29.2328
109.000000	85.073	17.6455
110.599998	85.006	5.3353
112.000000	84.947	-5.4010
113.800003	84.873	-19.1467
115.000000	84.824	-28.2740
117.199997	84.733	-44.9478
118.000000	84.701	-50.9929
120.599998	84.593	-70.5701
122.000000	84.537	-81.0490
124.099998	84.454	-96.7003
125.000000	84.418	-103.3867
126.500000	84.358	-114.4984
128.000000	84.298	-125.5800
131.500000	84.160	-151.3038
132.000000	84.140	-154.9598
134.000000	84.060	-169.5394
136.000000	83.982	175.9553
138.000000	83.906	161.5308
140.000000	83.832	147.1792
143.000000	83.725	125.7947
145.000000	83.655	111.6342
147.500000	83.569	94.0261
150.000000	83.480	76.5132
152.500000	83.394	59.0768
155.000000	83.309	41.7155
157.500000	83.225	24.4508
160.000000	83.140	7.2670
162.500000	83.058	-9.8400
165.000000	82.976	-26.8650
167.500000	82.894	-43.7922
170.000000	82.814	-60.6344
172.500000	82.736	-77.3931
175.000000	82.660	-94.0771
177.500000	82.586	-110.7048
180.000000	82.516	-127.2579
182.500000	82.445	-143.7280
185.000000	82.371	-160.1324
187.500000	82.297	-176.4554
190.000000	82.226	167.3167
192.500000	82.160	151.1575
195.000000	82.095	135.0447
197.500000	82.033	118.9835
200.000000	81.974	102.9982
203.000000	81.903	83.9169
206.000000	81.830	64.9397
209.000000	81.758	46.0304
212.000000	81.689	27.2394
214.000000	81.643	14.7665
218.000000	81.544	-10.0872
220.000000	81.497	-22.4375
224.000000	81.416	-46.9957
227.000000	81.369	-65.3539
230.000000	81.336	-83.6862
233.000000	81.313	-101.9420
236.000000	81.289	-120.1195
240.000000	81.258	-144.2695
243.000000	81.242	-162.2990
247.000000	81.234	173.7466
250.000000	81.234	155.8370
254.000000	81.243	132.0416
258.000000	81.257	108.3350
262.000000	81.277	84.7213
265.000000	81.295	67.0793
269.000000	81.322	43.6320
272.000000	81.345	26.0918
276.000000	81.383	2.8064
280.000000	81.434	-20.3816
285.000000	81.508	-49.2726
290.000000	81.590	-78.0847
295.000000	81.680	-106.7878
300.000000	81.774	-135.4146
304.000000	81.853	-158.2795
307.000000	81.915	-175.3833
311.000000	82.000	161.8711
315.000000	82.087	139.1738
320.000000	82.198	110.8550
325.000000	82.309	82.6384
330.000000	82.424	54.4956
335.000000	82.540	26.4072
340.000000	82.656	-1.5764
345.000000	82.771	-29.4705
350.000000	82.882	-57.3213
355.000000	82.991	-85.1040
360.000000	83.099	-112.7632
365.000000	83.204	-140.3308
370.000000	83.305	-167.8679
375.000000	83.404	164.6921
382.000000	83.536	126.4458
387.000000	83.628	99.2244
395.000000	83.765	55.8708
400.000000	83.844	28.8845
406.000000	83.935	-3.3926
412.000000	84.019	-35.5486
418.000000	84.092	-67.5557
425.000000	84.158	-104.7109
431.000000	84.210	-136.2710
437.000000	84.268	-167.4722
444.000000	84.341	156.6204
450.000000	84.398	126.2109
455.000000	84.436	101.0112
462.000000	84.477	65.8591
468.000000	84.509	35.8896
475.000000	84.544	1.1133
482.000000	84.574	-33.4468
487.000000	84.592	-58.0112
494.000000	84.614	-92.2532
500.000000	84.632	-121.4321
508.000000	84.649	-160.0645
515.000000	84.661	166.3115
522.000000	84.679	132.8513
530.000000	84.697	94.8435
538.000000	84.706	57.0549
545.000000	84.706	24.1487
552.000000	84.706	-8.5542
560.000000	84.704	-45.6641
570.000000	84.703	-91.7610
580.000000	84.711	-137.5947
590.000000	84.705	176.8796
600.000000	84.682	131.6211
608.000000	84.660	95.6606
615.000000	84.636	64.4136
622.000000	84.604	33.3389
630.000000	84.561	-1.9934
640.000000	84.506	-45.8579
650.000000	84.446	-89.3279
660.000000	84.378	-132.4810
670.000000	84.321	-175.3884
680.000000	84.264	141.8318
690.000000	84.175	98.9614
700.000000	84.073	55.8306
710.000000	83.987	12.8623
720.000000	83.906	-29.6777
730.000000	83.822	-71.9512
740.000000	83.742	-113.9697
750.000000	83.667	-155.6860
762.000000	83.576	154.6196
775.000000	83.486	101.2031
788.000000	83.405	48.2935
800.000000	83.330	-0.1689
812.000000	83.252	-48.3359
825.000000	83.179	-100.1309
838.000000	83.111	-151.4570
850.000000	83.050	161.4824
862.000000	82.996	114.7422
875.000000	82.946	64.5327
885.000000	82.909	26.1401
900.000000	82.862	-31.0732
912.000000	82.836	-76.4834
925.000000	82.814	-125.3081
938.000000	82.795	-173.8618
950.000000	82.788	141.6279
962.000000	82.791	97.4443
975.000000	82.799	49.8696
988.000000	82.813	2.5415
1000.000000	82.835	-40.8901
1015.000000	82.874	-94.7695
1030.000000	82.917	-148.3052
1044.000000	82.965	162.0112
1060.000000	83.033	105.7041
1075.000000	83.102	53.2769
1090.000000	83.172	1.0952
1106.000000	83.257	-54.2173
1120.000000	83.339	-102.2456
1138.000000	83.442	-163.6255
1150.000000	83.512	155.6538
1172.000000	83.649	81.6401
1180.000000	83.700	54.9067
1206.000000	83.855	-31.5508
1220.000000	83.940	-77.7715
1241.000000	84.070	-146.5044
1250.000000	84.122	-175.8042
1265.000000	84.205	135.5327
1280.000000	84.288	87.1885
1315.000000	84.471	-24.2534
1320.000000	84.493	-40.0723
1340.000000	84.567	-103.0596
1360.000000	84.638	-165.0664
1380.000000	84.731	134.6421
1400.000000	84.817	75.7285
1430.000000	84.930	-11.6265
1450.000000	85.003	-69.1714
1475.000000	85.085	-140.5552
1500.000000	85.169	148.9067
1525.000000	85.239	79.2632
1550.000000	85.293	10.2964
1575.000000	85.356	-57.7100
1600.000000	85.434	-124.8154
1625.000000	85.528	168.6431
1650.000000	85.647	102.7944
1675.000000	85.781	37.7285
1700.000000	85.900	-26.8706
1725.000000	86.002	-90.8682
1750.000000	86.086	-153.9771
1775.000000	86.152	143.6250
1800.000000	86.208	81.8022
1825.000000	86.282	20.7710
1850.000000	86.382	-39.4048
1875.000000	86.509	-99.1001
1900.000000	86.665	-158.3433
1925.000000	86.840	143.0664
1950.000000	87.007	84.9849
1975.000000	87.146	27.2241
2000.000000	87.257	-30.0952
