* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 25, 2025 5:00:18 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (ANC, Std, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.485	146.8005
20.600000	94.382	142.9975
20.900000	94.263	138.8486
21.200001	94.143	134.7247
21.400000	94.062	132.0280
21.799999	93.894	126.7804
22.000000	93.804	124.2204
22.400000	93.611	119.1833
22.700001	93.459	115.4513
23.000000	93.307	111.7587
23.299999	93.159	108.1277
23.600000	93.014	104.5846
24.000000	92.822	100.0199
24.299999	92.675	96.7066
24.700001	92.474	92.3975
25.000000	92.322	89.2262
25.400000	92.122	85.0718
25.799999	91.931	81.0170
26.200001	91.747	77.0740
26.500000	91.612	74.1854
26.900000	91.436	70.4099
27.200001	91.308	67.6273
27.600000	91.144	63.9828
28.000000	90.988	60.4194
28.500000	90.804	56.0735
29.000000	90.628	51.8116
29.500000	90.463	47.5947
30.000000	90.312	43.4245
30.400000	90.202	40.1449
30.700001	90.126	37.7281
31.100000	90.028	34.5612
31.500000	89.934	31.4415
32.000000	89.821	27.5710
32.500000	89.714	23.7052
33.000000	89.617	19.8464
33.500000	89.531	16.0117
34.000000	89.451	12.2038
34.500000	89.377	8.4070
35.000000	89.310	4.6094
35.500000	89.253	0.8189
36.000000	89.205	-2.9480
36.500000	89.166	-6.6869
37.000000	89.131	-10.4117
37.500000	89.095	-14.1442
38.200001	89.047	-19.4122
38.700001	89.020	-23.2110
39.500000	88.991	-29.3363
40.000000	88.977	-33.1829
40.599998	88.957	-37.8091
41.200001	88.935	-42.4437
41.799999	88.910	-47.0978
42.500000	88.882	-52.5811
43.099998	88.860	-57.3229
43.700001	88.840	-62.0646
44.400002	88.810	-67.5746
45.000000	88.775	-72.3143
45.500000	88.745	-76.2934
46.200001	88.706	-81.8741
46.799999	88.676	-86.6244
47.500000	88.637	-92.1287
48.200001	88.590	-97.6228
48.700001	88.555	-101.5420
49.400002	88.505	-107.0078
50.000000	88.460	-111.6690
50.799999	88.393	-117.8584
51.500000	88.333	-123.2493
52.200001	88.275	-128.6054
53.000000	88.206	-134.6891
53.799999	88.137	-140.7494
54.500000	88.080	-146.0159
55.200001	88.023	-151.2364
56.000000	87.956	-157.1758
57.000000	87.876	-164.5732
58.000000	87.798	-171.9323
59.000000	87.725	-179.2881
60.000000	87.660	173.4341
60.799999	87.604	167.6729
61.500000	87.552	162.6356
62.200001	87.503	157.6010
63.000000	87.449	151.8660
64.000000	87.385	144.7223
65.000000	87.325	137.6060
66.000000	87.265	130.5172
67.000000	87.208	123.4510
68.000000	87.154	116.4095
69.000000	87.100	109.3857
70.000000	87.046	102.3743
71.000000	86.994	95.3915
72.000000	86.945	88.4410
73.000000	86.897	81.5030
74.000000	86.851	74.5723
75.000000	86.806	67.6544
76.199997	86.747	59.3755
77.500000	86.683	50.4445
78.800003	86.620	41.5699
80.000000	86.562	33.4311
81.199997	86.508	25.3202
82.500000	86.453	16.5785
83.800003	86.400	7.8886
85.000000	86.352	-0.0836
86.199997	86.305	-8.0017
87.500000	86.252	-16.5302
88.500000	86.211	-23.0578
90.000000	86.148	-32.8133
91.199997	86.096	-40.6117
92.500000	86.039	-49.0474
93.800003	85.984	-57.4500
95.000000	85.934	-65.1655
96.199997	85.883	-72.8527
97.500000	85.828	-81.1579
98.800003	85.774	-89.4375
100.000000	85.723	-97.0522
101.500000	85.659	-106.5350
103.000000	85.595	-115.9761
104.400002	85.536	-124.7545
106.000000	85.469	-134.7441
107.500000	85.406	-144.0610
109.000000	85.343	-153.3453
110.599998	85.277	-163.2181
112.000000	85.218	-171.8163
113.800003	85.144	177.1799
115.000000	85.094	169.8677
117.199997	85.000	156.5215
118.000000	84.966	151.6899
120.599998	84.859	136.0742
122.000000	84.803	127.7275
124.099998	84.724	115.2261
125.000000	84.691	109.8678
126.500000	84.636	100.9446
128.000000	84.577	92.0350
131.500000	84.431	71.2867
132.000000	84.411	68.3226
134.000000	84.328	56.4778
136.000000	84.246	44.6584
138.000000	84.167	32.8835
140.000000	84.091	21.1694
143.000000	83.982	3.7316
145.000000	83.907	-7.8468
147.500000	83.816	-22.2688
150.000000	83.728	-36.6031
152.500000	83.641	-50.8666
155.000000	83.555	-65.0710
157.500000	83.470	-79.2046
160.000000	83.385	-93.2708
162.500000	83.302	-107.2557
165.000000	83.220	-121.1885
167.500000	83.139	-135.0618
170.000000	83.060	-148.8478
172.500000	82.982	-162.5696
175.000000	82.906	-176.2546
177.500000	82.831	170.1171
180.000000	82.756	156.5496
182.500000	82.681	143.0559
185.000000	82.607	129.6348
187.500000	82.534	116.2664
190.000000	82.464	102.9475
192.500000	82.396	89.6897
195.000000	82.331	76.4961
197.500000	82.267	63.3535
200.000000	82.202	50.2651
203.000000	82.122	34.6647
206.000000	82.044	19.1476
209.000000	81.970	3.7343
212.000000	81.897	-11.6205
214.000000	81.850	-21.8260
218.000000	81.766	-42.0790
220.000000	81.730	-52.1460
224.000000	81.663	-72.2258
227.000000	81.618	-87.2134
230.000000	81.575	-102.1252
233.000000	81.536	-116.9735
236.000000	81.502	-131.7743
240.000000	81.467	-151.4025
243.000000	81.445	-166.0647
247.000000	81.417	174.4688
250.000000	81.395	159.9708
254.000000	81.371	140.7811
258.000000	81.361	121.7473
262.000000	81.361	102.9551
265.000000	81.364	89.0098
269.000000	81.369	70.5922
272.000000	81.376	56.8892
276.000000	81.402	38.6924
280.000000	81.454	20.5197
285.000000	81.536	-2.2003
290.000000	81.623	-24.8728
295.000000	81.710	-47.4323
300.000000	81.806	-69.9749
304.000000	81.892	-87.9744
307.000000	81.958	-101.4368
311.000000	82.047	-119.3478
315.000000	82.133	-137.2355
320.000000	82.245	-159.5764
325.000000	82.363	178.1589
330.000000	82.478	155.9626
335.000000	82.592	133.8300
340.000000	82.707	111.7566
345.000000	82.823	89.7375
350.000000	82.937	67.7856
355.000000	83.044	45.8969
360.000000	83.148	24.0697
365.000000	83.255	2.2957
370.000000	83.363	-19.4059
375.000000	83.465	-41.0061
382.000000	83.593	-71.1421
387.000000	83.687	-92.5918
395.000000	83.850	-126.8184
400.000000	83.941	-148.2256
406.000000	84.028	-173.9968
412.000000	84.102	160.1123
418.000000	84.175	134.1724
425.000000	84.260	104.0579
431.000000	84.325	78.4031
437.000000	84.386	52.8330
444.000000	84.454	23.1609
450.000000	84.506	-2.1331
455.000000	84.546	-23.1250
462.000000	84.600	-52.3914
468.000000	84.645	-77.3740
475.000000	84.694	-106.3750
482.000000	84.734	-135.2449
487.000000	84.761	-155.7998
494.000000	84.800	175.5601
500.000000	84.833	151.1445
508.000000	84.868	118.7363
515.000000	84.895	90.4856
522.000000	84.920	62.3789
530.000000	84.949	30.4536
538.000000	84.973	-1.2969
545.000000	84.986	-28.9490
552.000000	84.994	-56.4978
560.000000	85.003	-87.8198
570.000000	85.012	-126.7095
580.000000	85.004	-165.3601
590.000000	84.985	156.2185
600.000000	84.963	118.0796
608.000000	84.942	87.7749
615.000000	84.916	61.3821
622.000000	84.883	35.0952
630.000000	84.844	5.2124
640.000000	84.794	-31.8596
650.000000	84.735	-68.6594
660.000000	84.665	-105.2490
670.000000	84.592	-141.5923
680.000000	84.520	-177.6250
690.000000	84.441	146.6338
700.000000	84.351	111.0964
710.000000	84.260	75.7844
720.000000	84.172	40.7605
730.000000	84.083	6.0403
740.000000	83.989	-28.4463
750.000000	83.892	-62.7380
762.000000	83.786	-103.5598
775.000000	83.684	-147.3242
788.000000	83.566	169.3162
800.000000	83.449	129.8481
812.000000	83.371	91.3408
825.000000	83.310	50.8503
838.000000	83.229	10.8958
850.000000	83.153	-25.7988
862.000000	83.086	-62.1523
875.000000	83.025	-101.1309
885.000000	82.982	-130.8982
900.000000	82.920	-175.2612
912.000000	82.879	149.5535
925.000000	82.849	111.8132
938.000000	82.826	74.3926
950.000000	82.806	40.0498
962.000000	82.790	5.9170
975.000000	82.787	-30.7451
988.000000	82.795	-67.0625
1000.000000	82.806	-100.3545
1015.000000	82.821	-141.7446
1030.000000	82.847	177.1733
1044.000000	82.886	139.2144
1060.000000	82.939	96.2148
1075.000000	82.989	56.1318
1090.000000	83.044	16.2998
1106.000000	83.115	-25.7725
1120.000000	83.186	-62.2520
1138.000000	83.277	-108.8579
1150.000000	83.337	-139.7729
1172.000000	83.457	164.0415
1180.000000	83.504	143.8052
1206.000000	83.660	78.5435
1220.000000	83.741	43.6348
1241.000000	83.883	-8.3750
1250.000000	83.953	-30.6001
1265.000000	84.054	-67.8862
1280.000000	84.125	-105.8638
1315.000000	84.300	164.6660
1320.000000	84.328	152.0215
1340.000000	84.445	101.7891
1360.000000	84.556	51.9385
1380.000000	84.657	2.3354
1400.000000	84.756	-46.8994
1430.000000	84.908	-119.7646
1450.000000	85.001	-167.8838
1475.000000	85.104	132.3208
1500.000000	85.207	73.2090
1525.000000	85.308	14.8740
1550.000000	85.397	-43.0176
1575.000000	85.476	-100.4688
1600.000000	85.558	-157.1704
1625.000000	85.638	146.8247
1650.000000	85.709	91.2065
1675.000000	85.775	36.0498
1700.000000	85.845	-18.3833
1725.000000	85.922	-72.1255
1750.000000	85.999	-125.4277
1775.000000	86.076	-178.3442
1800.000000	86.162	129.3511
1825.000000	86.256	77.7354
1850.000000	86.351	26.5547
1875.000000	86.445	-24.3477
1900.000000	86.544	-74.7930
1925.000000	86.655	-124.5908
1950.000000	86.775	-173.8496
1975.000000	86.895	137.1846
2000.000000	87.013	88.4473
2030.000000	87.157	30.5752
2060.000000	87.310	-26.4360
2090.000000	87.468	-82.8765
2120.000000	87.626	-139.0513
2140.000000	87.732	-176.2656
2180.000000	87.940	110.2905
2200.000000	88.037	74.0381
2240.000000	88.203	2.0371
2270.000000	88.311	-51.5391
2300.000000	88.416	-104.4170
2330.000000	88.522	-156.4878
2360.000000	88.624	151.9658
2400.000000	88.748	83.6646
2430.000000	88.836	33.0059
2470.000000	88.947	-33.3853
2500.000000	89.013	-82.2905
2540.000000	89.110	-145.3906
2580.000000	89.216	154.3267
2620.000000	89.305	95.4258
2650.000000	89.365	51.9341
2690.000000	89.429	-5.5259
2720.000000	89.464	-48.2607
2760.000000	89.496	-104.3501
2800.000000	89.514	-159.1719
2850.000000	89.513	133.5117
2900.000000	89.482	67.1431
2950.000000	89.439	2.3887
3000.000000	89.389	-60.6011
3040.000000	89.336	-110.2363
3070.000000	89.289	-147.0918
3110.000000	89.223	164.5488
3150.000000	89.158	117.3340
3200.000000	89.076	59.6221
3250.000000	88.984	2.7666
3300.000000	88.881	-53.0693
3350.000000	88.772	-107.3389
3400.000000	88.643	-160.2012
3450.000000	88.476	147.8135
3500.000000	88.274	96.8633
3550.000000	88.059	47.5654
3600.000000	87.851	-0.0693
3650.000000	87.663	-46.6133
3700.000000	87.503	-92.3086
3750.000000	87.377	-136.8096
3820.000000	87.252	163.1992
3870.000000	87.183	121.4551
3950.000000	87.090	54.9521
4000.000000	87.015	12.1328
4060.000000	86.933	-39.5752
4120.000000	86.866	-90.2666
4180.000000	86.796	-140.1240
4250.000000	86.718	163.4424
4310.000000	86.656	116.9199
4370.000000	86.592	71.5674
4440.000000	86.507	19.6416
4500.000000	86.435	-23.5557
4550.000000	86.382	-58.2812
4620.000000	86.318	-105.2734
4680.000000	86.267	-144.6191
4750.000000	86.217	170.5713
4820.000000	86.188	127.6240
4870.000000	86.183	98.1602
4940.000000	86.193	58.0801
5000.000000	86.217	24.4531
5080.000000	86.280	-18.9648
5150.000000	86.373	-55.1104
5220.000000	86.492	-89.8252
5300.000000	86.643	-128.5391
5380.000000	86.799	-166.1719
5450.000000	86.935	162.3721
5520.000000	87.058	132.3203
5600.000000	87.155	99.0869
5700.000000	87.179	58.9365
5800.000000	87.093	21.6367
5900.000000	86.935	-12.3447
6000.000000	86.736	-44.1182
6080.000000	86.541	-67.9512
6150.000000	86.347	-87.0938
6220.000000	86.145	-104.5107
6300.000000	85.910	-122.7246
6400.000000	85.621	-143.5859
6500.000000	85.360	-161.9307
6600.000000	85.152	-177.1211
6700.000000	85.000	170.3037
6800.000000	84.901	159.5146
6900.000000	84.863	150.7617
7000.000000	84.901	144.6631
7100.000000	85.015	140.8701
7200.000000	85.197	138.5488
7300.000000	85.443	137.6494
7400.000000	85.762	138.7754
7500.000000	86.158	141.9082
7620.000000	86.709	147.0967
7750.000000	87.345	153.8516
7880.000000	87.917	164.8389
8000.000000	88.286	-177.1074
8120.000000	88.316	-154.4404
8250.000000	87.875	-127.2207
8380.000000	87.010	-94.9922
8500.000000	85.976	-59.3516
8620.000000	84.842	-18.9980
8750.000000	83.590	28.7461
8850.000000	82.651	68.6729
9000.000000	81.324	134.6777
9120.000000	80.341	-168.3047
9250.000000	79.352	-104.2158
9380.000000	78.444	-37.3945
9500.000000	77.682	28.1621
9620.000000	76.985	97.4453
9750.000000	76.292	174.8652
9880.000000	75.654	-106.4844
10000.000000	75.114	-31.5957
10150.000000	74.508	67.5352
10300.000000	73.964	171.4512
10440.000000	73.500	-90.5293
10600.000000	73.025	23.4541
10750.000000	72.641	136.2080
10900.000000	72.316	-105.1309
11060.000000	72.024	23.0869
11200.000000	71.815	135.6426
11380.000000	71.625	-74.4795
11500.000000	71.551	31.0693
11720.000000	71.511	-130.4287
11800.000000	71.523	-59.0981
12060.000000	71.666	177.3438
12200.000000	71.829	-49.8369
12410.000000	72.187	-178.6216
12500.000000	72.361	-111.0942
12650.000000	72.698	8.8457
12800.000000	73.120	140.6348
13150.000000	74.441	109.9668
13200.000000	74.673	157.7471
13400.000000	75.735	-14.6011
13600.000000	77.075	175.0562
13800.000000	78.762	17.7314
14000.000000	80.761	-133.6689
14300.000000	83.578	171.3999
14500.000000	84.333	-42.8457
14750.000000	83.223	133.3613
15000.000000	80.514	63.4619
15250.000000	77.481	-21.7393
15500.000000	74.841	-97.2227
15750.000000	72.698	-159.5513
16000.000000	70.937	147.3147
16250.000000	69.457	103.5090
16500.000000	68.200	52.2163
16750.000000	67.123	-49.0730
17000.000000	66.195	-18.3428
17250.000000	65.411	-67.6108
17500.000000	64.742	-169.2349
17750.000000	64.051	-109.4780
18000.000000	63.031	-130.9390
18250.000000	61.228	-179.7771
18500.000000	58.322	139.1934
18750.000000	54.259	110.9534
19000.000000	49.524	104.4678
19250.000000	47.695	128.6353
19500.000000	49.668	161.9136
19750.000000	51.488	96.6401
20000.000000	52.317	108.3945
