* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 6:07:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (Classic, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.659	-134.7550
20.600000	91.638	-137.1871
20.900000	91.612	-139.8183
21.200001	91.586	-142.4433
21.400000	91.569	-144.1794
21.799999	91.537	-147.6167
22.000000	91.521	-149.3185
22.400000	91.489	-152.6908
22.700001	91.462	-155.1946
23.000000	91.434	-157.6784
23.299999	91.405	-160.1434
23.600000	91.375	-162.5902
24.000000	91.336	-165.8251
24.299999	91.307	-168.2310
24.700001	91.269	-171.4120
25.000000	91.241	-173.7776
25.400000	91.202	-176.9043
25.799999	91.162	-179.9997
26.200001	91.121	176.9351
26.500000	91.090	174.6547
26.900000	91.049	171.6379
27.200001	91.019	169.3929
27.600000	90.980	166.4244
28.000000	90.942	163.4850
28.500000	90.894	159.8484
29.000000	90.845	156.2456
29.500000	90.795	152.6707
30.000000	90.747	149.1269
30.400000	90.709	146.3172
30.700001	90.679	144.2240
31.100000	90.639	141.4483
31.500000	90.598	138.6863
32.000000	90.549	135.2529
32.500000	90.504	131.8475
33.000000	90.461	128.4732
33.500000	90.417	125.1232
34.000000	90.371	121.7906
34.500000	90.324	118.4797
35.000000	90.279	115.1982
35.500000	90.235	111.9425
36.000000	90.192	108.6992
36.500000	90.150	105.4650
37.000000	90.110	102.2565
37.500000	90.073	99.0935
38.200001	90.019	94.7263
38.700001	89.976	91.6060
39.500000	89.904	86.5695
40.000000	89.864	83.4271
40.599998	89.821	79.7061
41.200001	89.779	76.0360
41.799999	89.734	72.3817
42.500000	89.681	68.1174
43.099998	89.638	64.4825
43.700001	89.594	60.8828
44.400002	89.538	56.7176
45.000000	89.492	53.1614
45.500000	89.459	50.2050
46.200001	89.419	46.0798
46.799999	89.384	42.5602
47.500000	89.338	38.4787
48.200001	89.292	34.4260
48.700001	89.261	31.5454
49.400002	89.219	27.5267
50.000000	89.182	24.0930
50.799999	89.133	19.5336
51.500000	89.094	15.5610
52.200001	89.056	11.5973
53.000000	89.010	7.0879
53.799999	88.963	2.5967
54.500000	88.926	-1.3339
55.200001	88.889	-5.2282
56.000000	88.847	-9.6286
57.000000	88.797	-15.1666
58.000000	88.739	-20.6866
59.000000	88.731	-26.3544
60.000000	88.756	-32.0406
60.799999	88.694	-36.2258
61.500000	88.607	-39.7916
62.200001	88.549	-43.4764
63.000000	88.512	-47.7750
64.000000	88.460	-53.1044
65.000000	88.414	-58.4144
66.000000	88.369	-63.7264
67.000000	88.325	-69.0154
68.000000	88.284	-74.2767
69.000000	88.243	-79.5247
70.000000	88.204	-84.7403
71.000000	88.162	-89.9337
72.000000	88.120	-95.1133
73.000000	88.082	-100.2820
74.000000	88.048	-105.4397
75.000000	88.008	-110.5724
76.199997	87.958	-116.7163
77.500000	87.911	-123.3412
78.800003	87.863	-129.9075
80.000000	87.814	-135.9581
81.199997	87.766	-141.9838
82.500000	87.719	-148.4702
83.800003	87.674	-154.9370
85.000000	87.633	-160.8901
86.199997	87.593	-166.8238
87.500000	87.548	-173.2243
88.500000	87.512	-178.1213
90.000000	87.462	174.5739
91.199997	87.422	168.7340
92.500000	87.379	162.4418
93.800003	87.336	156.1806
95.000000	87.298	150.4069
96.199997	87.258	144.6528
97.500000	87.216	138.4504
98.800003	87.174	132.2673
100.000000	87.133	126.5727
101.500000	87.082	119.5010
103.000000	87.034	112.4560
104.400002	86.988	105.8871
106.000000	86.935	98.4202
