* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 7:16:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (Classic, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.334	-96.1109
20.600000	92.310	-98.0854
20.900000	92.282	-100.2151
21.200001	92.252	-102.3327
21.400000	92.234	-103.7299
21.799999	92.197	-106.4915
22.000000	92.179	-107.8573
22.400000	92.140	-110.5617
22.700001	92.109	-112.5662
23.000000	92.077	-114.5498
23.299999	92.045	-116.5119
23.600000	92.013	-118.4531
24.000000	91.972	-121.0117
24.299999	91.941	-122.9116
24.700001	91.899	-125.4221
25.000000	91.867	-127.2882
25.400000	91.824	-129.7515
25.799999	91.781	-132.1839
26.200001	91.739	-134.5854
26.500000	91.707	-136.3683
26.900000	91.665	-138.7248
27.200001	91.632	-140.4778
27.600000	91.588	-142.7948
28.000000	91.543	-145.0855
28.500000	91.487	-147.9098
29.000000	91.433	-150.6976
29.500000	91.380	-153.4627
30.000000	91.328	-156.2107
30.400000	91.286	-158.3915
30.700001	91.255	-160.0126
31.100000	91.212	-162.1524
31.500000	91.171	-164.2698
32.000000	91.121	-166.8953
32.500000	91.073	-169.5061
33.000000	91.024	-172.1024
33.500000	90.974	-174.6798
34.000000	90.923	-177.2360
34.500000	90.873	-179.7702
35.000000	90.826	177.7212
35.500000	90.778	175.2419
36.000000	90.731	172.7902
36.500000	90.685	170.3608
37.000000	90.643	167.9499
37.500000	90.602	165.5536
38.200001	90.542	162.2064
38.700001	90.495	159.8101
39.500000	90.423	155.9927
40.000000	90.383	153.6457
40.599998	90.339	150.8692
41.200001	90.292	148.1054
41.799999	90.241	145.3396
42.500000	90.179	142.1370
43.099998	90.130	139.4243
43.700001	90.083	136.7151
44.400002	90.028	133.5331
45.000000	89.980	130.8157
45.500000	89.942	128.5874
46.200001	89.895	125.5250
46.799999	89.855	122.9197
47.500000	89.806	119.8721
48.200001	89.758	116.8249
48.700001	89.725	114.6610
49.400002	89.679	111.6565
50.000000	89.640	109.1008
50.799999	89.588	105.7067
51.500000	89.542	102.7365
52.200001	89.497	99.7655
53.000000	89.449	96.3926
53.799999	89.401	93.0483
54.500000	89.357	90.1254
55.200001	89.313	87.2266
56.000000	89.268	83.9532
57.000000	89.210	79.8418
58.000000	89.154	75.7594
59.000000	89.088	71.4106
60.000000	89.021	66.9150
60.799999	88.989	63.8859
61.500000	88.965	61.4670
62.200001	88.936	58.8570
63.000000	88.896	55.6667
64.000000	88.847	51.7108
65.000000	88.800	47.7808
66.000000	88.751	43.8952
67.000000	88.701	40.0129
68.000000	88.654	36.1279
69.000000	88.609	32.2636
70.000000	88.566	28.4093
71.000000	88.522	24.5823
72.000000	88.476	20.7752
73.000000	88.429	16.9736
74.000000	88.384	13.1922
75.000000	88.342	9.4241
