* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 6:07:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (Monitor, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.309	-140.2638
20.600000	85.284	-142.4644
20.900000	85.253	-144.8549
21.200001	85.222	-147.2422
21.400000	85.201	-148.8186
21.799999	85.161	-151.9293
22.000000	85.141	-153.4649
22.400000	85.101	-156.5057
22.700001	85.070	-158.7680
23.000000	85.040	-161.0192
23.299999	85.010	-163.2599
23.600000	84.980	-165.4884
24.000000	84.939	-168.4378
24.299999	84.907	-170.6331
24.700001	84.864	-173.5389
25.000000	84.832	-175.7020
25.400000	84.792	-178.5606
25.799999	84.756	178.6138
26.200001	84.720	175.8176
26.500000	84.693	173.7321
26.900000	84.658	170.9547
27.200001	84.632	168.8713
27.600000	84.600	166.1016
28.000000	84.569	163.3616
28.500000	84.529	160.0045
29.000000	84.483	156.7148
29.500000	84.434	153.4490
30.000000	84.389	150.1753
30.400000	84.359	147.5569
30.700001	84.339	145.6048
31.100000	84.312	143.0274
31.500000	84.283	140.4788
32.000000	84.245	137.3159
32.500000	84.210	134.1588
33.000000	84.177	131.0070
33.500000	84.142	127.8788
34.000000	84.103	124.7906
34.500000	84.063	121.7411
35.000000	84.029	118.7108
35.500000	84.002	115.6771
36.000000	83.977	112.6314
36.500000	83.949	109.5844
37.000000	83.920	106.5517
37.500000	83.893	103.5390
38.200001	83.861	99.3496
38.700001	83.839	96.3851
39.500000	83.798	91.7198
40.000000	83.774	88.8408
40.599998	83.751	85.3773
41.200001	83.731	81.8764
41.799999	83.709	78.3623
42.500000	83.679	74.3106
43.099998	83.655	70.8842
43.700001	83.632	67.4503
44.400002	83.605	63.4032
45.000000	83.584	59.9615
45.500000	83.569	57.1605
46.200001	83.547	53.3162
46.799999	83.529	50.0122
47.500000	83.511	46.1185
48.200001	83.496	42.2471
48.700001	83.484	39.5055
49.400002	83.465	35.6602
50.000000	83.452	32.3436
50.799999	83.440	27.9364
51.500000	83.428	24.1346
52.200001	83.416	20.3793
53.000000	83.401	16.0712
53.799999	83.384	11.7358
54.500000	83.372	7.9836
55.200001	83.363	4.2118
56.000000	83.355	-0.1358
57.000000	83.351	-5.3782
58.000000	83.327	-10.6860
59.000000	83.299	-15.4699
60.000000	83.291	-19.7886
60.799999	83.293	-24.3898
61.500000	83.295	-28.8621
62.200001	83.287	-32.8728
63.000000	83.274	-37.0068
64.000000	83.275	-42.2572
65.000000	83.268	-47.4700
66.000000	83.259	-52.6525
67.000000	83.254	-57.8083
68.000000	83.247	-62.9267
69.000000	83.240	-68.0306
70.000000	83.235	-73.1332
71.000000	83.235	-78.2623
72.000000	83.234	-83.3829
73.000000	83.230	-88.4749
74.000000	83.227	-93.5612
75.000000	83.227	-98.6232
76.199997	83.229	-104.6221
77.500000	83.227	-111.0961
78.800003	83.215	-117.5893
80.000000	83.209	-123.6058
81.199997	83.204	-129.6008
82.500000	83.202	-136.0607
83.800003	83.209	-142.4725
85.000000	83.206	-148.3802
86.199997	83.197	-154.2648
87.500000	83.195	-160.6217
88.500000	83.195	-165.5071
90.000000	83.191	-172.8102
91.199997	83.186	-178.6512
92.500000	83.180	175.0654
93.800003	83.183	168.8138
95.000000	83.185	163.0446
96.199997	83.182	157.2933
97.500000	83.177	151.1027
98.800003	83.172	144.9576
100.000000	83.164	139.2739
101.500000	83.155	132.1705
103.000000	83.154	125.1140
104.400002	83.149	118.5467
106.000000	83.141	111.0656
107.500000	83.135	104.0859
109.000000	83.127	97.1281
110.599998	83.119	89.7341
112.000000	83.112	83.2957
113.800003	83.110	75.0389
115.000000	83.108	69.5430
117.199997	83.093	59.5219
118.000000	83.086	55.8910
120.599998	83.067	44.1038
122.000000	83.057	37.7345
124.099998	83.048	28.2833
125.000000	83.044	24.2764
126.500000	83.036	17.6073
128.000000	83.028	10.9443
131.500000	83.000	-4.5550
132.000000	82.996	-6.7663
134.000000	82.981	-15.5691
