* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 7:15:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (Monitor, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	85.908	-99.8817
20.600000	85.878	-101.5966
20.900000	85.842	-103.4523
21.200001	85.806	-105.3018
21.400000	85.783	-106.5232
21.799999	85.739	-108.9352
22.000000	85.718	-110.1265
22.400000	85.674	-112.4834
22.700001	85.640	-114.2332
23.000000	85.607	-115.9710
23.299999	85.574	-117.6973
23.600000	85.541	-119.4106
24.000000	85.499	-121.6692
24.299999	85.467	-123.3415
24.700001	85.424	-125.5446
25.000000	85.391	-127.1819
25.400000	85.349	-129.3527
25.799999	85.308	-131.5116
26.200001	85.269	-133.6521
26.500000	85.240	-135.2399
26.900000	85.201	-137.3304
27.200001	85.172	-138.8817
27.600000	85.133	-140.9375
28.000000	85.094	-142.9863
28.500000	85.047	-145.5345
29.000000	85.000	-148.0493
29.500000	84.954	-150.5188
30.000000	84.908	-152.9554
30.400000	84.873	-154.8970
30.700001	84.848	-156.3535
31.100000	84.816	-158.2944
31.500000	84.785	-160.2260
32.000000	84.745	-162.6117
32.500000	84.705	-164.9544
33.000000	84.667	-167.2612
33.500000	84.631	-169.5579
34.000000	84.597	-171.8672
34.500000	84.563	-174.1810
35.000000	84.527	-176.4602
35.500000	84.493	-178.6784
36.000000	84.460	179.1396
36.500000	84.428	176.9352
37.000000	84.396	174.6815
37.500000	84.365	172.4160
38.200001	84.326	169.3370
38.700001	84.303	167.2165
39.500000	84.266	163.8446
40.000000	84.238	161.7078
40.599998	84.200	159.1335
41.200001	84.165	156.5836
41.799999	84.136	154.0688
42.500000	84.111	151.1544
43.099998	84.091	148.6530
43.700001	84.068	146.1667
44.400002	84.038	143.3299
45.000000	84.012	140.9311
45.500000	83.993	138.9044
46.200001	83.970	135.9909
46.799999	83.951	133.4763
47.500000	83.930	130.6042
48.200001	83.911	127.7977
48.700001	83.898	125.8071
49.400002	83.875	123.0190
50.000000	83.856	120.6276
50.799999	83.836	117.4600
51.500000	83.821	114.7150
52.200001	83.801	111.9606
53.000000	83.781	108.7910
53.799999	83.767	105.6266
54.500000	83.749	102.8576
55.200001	83.733	100.1299
56.000000	83.723	97.0690
57.000000	83.704	93.1638
58.000000	83.687	89.3618
59.000000	83.660	85.1833
60.000000	83.612	80.5472
60.799999	83.611	77.7121
61.500000	83.630	75.6804
62.200001	83.635	73.3503
63.000000	83.623	70.3290
64.000000	83.611	66.6187
65.000000	83.600	62.8839
66.000000	83.590	59.1467
67.000000	83.582	55.4313
68.000000	83.574	51.7101
69.000000	83.570	48.0072
70.000000	83.568	44.2890
71.000000	83.564	40.5858
72.000000	83.557	36.8923
73.000000	83.544	33.1940
74.000000	83.533	29.5219
75.000000	83.527	25.8463
76.199997	83.520	21.4221
77.500000	83.507	16.7031
78.800003	83.499	11.9523
80.000000	83.490	7.5392
81.199997	83.482	3.2310
82.500000	83.476	-1.3962
83.800003	83.468	-6.0709
85.000000	83.463	-10.4001
86.199997	83.457	-14.7026
87.500000	83.450	-19.3481
88.500000	83.444	-22.9324
90.000000	83.434	-28.2790
91.199997	83.423	-32.4960
92.500000	83.410	-37.0929
93.800003	83.403	-41.6902
95.000000	83.396	-45.8592
96.199997	83.385	-50.0222
97.500000	83.377	-54.5488
98.800003	83.372	-59.1072
100.000000	83.370	-63.2830
101.500000	83.361	-68.4449
103.000000	83.348	-73.6245
104.400002	83.338	-78.4586
106.000000	83.327	-83.9802
107.500000	83.316	-89.1095
109.000000	83.303	-94.1659
110.599998	83.286	-99.5402
112.000000	83.273	-104.2634
113.800003	83.258	-110.3011
115.000000	83.248	-114.3132
117.199997	83.234	-121.6562
118.000000	83.228	-124.2797
120.599998	83.198	-132.7550
122.000000	83.183	-137.3299
124.099998	83.168	-144.1606
125.000000	83.161	-147.0845
126.500000	83.148	-151.9644
128.000000	83.133	-156.8395
131.500000	83.096	-168.0732
132.000000	83.090	-169.6658
