* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 28, 2025 5:11:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (POP Style, ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	92.268	15.1831
20.600000	92.263	14.2164
20.900000	92.255	13.1815
21.200001	92.247	12.1647
21.400000	92.242	11.5027
21.799999	92.234	10.2184
22.000000	92.230	9.5953
22.400000	92.219	8.3832
22.700001	92.209	7.5007
23.000000	92.197	6.6391
23.299999	92.185	5.7979
23.600000	92.171	4.9775
24.000000	92.152	3.9156
24.299999	92.136	3.1421
24.700001	92.113	2.1375
25.000000	92.094	1.4009
25.400000	92.067	0.4368
25.799999	92.039	-0.5093
26.200001	92.011	-1.4375
26.500000	91.991	-2.1198
26.900000	91.963	-3.0071
27.200001	91.941	-3.6533
27.600000	91.912	-4.4875
28.000000	91.881	-5.2924
28.500000	91.843	-6.2651
29.000000	91.806	-7.2099
29.500000	91.768	-8.1309
30.000000	91.730	-9.0263
30.400000	91.699	-9.7238
30.700001	91.676	-10.2378
31.100000	91.646	-10.9146
31.500000	91.616	-11.5857
32.000000	91.577	-12.4177
32.500000	91.538	-13.2363
33.000000	91.496	-14.0339
33.500000	91.455	-14.8092
34.000000	91.415	-15.5683
34.500000	91.374	-16.3183
35.000000	91.333	-17.0623
35.500000	91.290	-17.8013
36.000000	91.247	-18.5370
36.500000	91.206	-19.2696
37.000000	91.166	-19.9937
37.500000	91.128	-20.6994
38.200001	91.075	-21.6463
38.700001	91.039	-22.3001
39.500000	90.984	-23.3272
40.000000	90.949	-23.9561
40.599998	90.906	-24.6887
41.200001	90.863	-25.3987
41.799999	90.821	-26.0974
42.500000	90.771	-26.9059
43.099998	90.729	-27.5873
43.700001	90.690	-28.2571
44.400002	90.646	-29.0402
45.000000	90.606	-29.7199
45.500000	90.570	-30.2780
46.200001	90.525	-31.0152
46.799999	90.492	-31.6106
47.500000	90.454	-32.3069
48.200001	90.414	-33.0210
48.700001	90.384	-33.5263
49.400002	90.341	-34.2141
50.000000	90.307	-34.7923
50.799999	90.265	-35.5602
51.500000	90.225	-36.2330
52.200001	90.187	-36.8958
53.000000	90.153	-37.6303
53.799999	90.095	-38.4009
54.500000	90.018	-39.1249
55.200001	89.966	-39.7954
56.000000	89.963	-40.4407
57.000000	89.946	-41.2504
58.000000	89.900	-42.1125
59.000000	89.864	-42.9776
60.000000	89.814	-43.8824
60.799999	89.773	-44.5853
61.500000	89.737	-45.1848
62.200001	89.699	-45.7741
63.000000	89.658	-46.4184
64.000000	89.612	-47.1870
65.000000	89.567	-47.9240
66.000000	89.524	-48.6212
67.000000	89.486	-49.2888
68.000000	89.451	-49.9176
69.000000	89.419	-50.5028
70.000000	89.390	-51.0507
71.000000	89.356	-51.5793
72.000000	89.317	-52.0960
73.000000	89.275	-52.5961
74.000000	89.232	-53.0998
75.000000	89.189	-53.6107
76.199997	89.142	-54.2168
77.500000	89.094	-54.8635
78.800003	89.047	-55.4806
80.000000	89.001	-56.0460
81.199997	88.951	-56.6089
82.500000	88.897	-57.2082
83.800003	88.843	-57.7947
85.000000	88.795	-58.3295
86.199997	88.750	-58.8563
87.500000	88.701	-59.4002
88.500000	88.661	-59.8040
90.000000	88.601	-60.4298
91.199997	88.552	-60.9667
92.500000	88.494	-61.5076
93.800003	88.437	-62.0112
95.000000	88.385	-62.4618
96.199997	88.339	-62.8888
97.500000	88.295	-63.3436
98.800003	88.251	-63.8301
100.000000	88.209	-64.3197
101.500000	88.155	-64.9746
103.000000	88.095	-65.6578
104.400002	88.032	-66.3173
106.000000	87.954	-67.1249
107.500000	87.879	-67.9500
109.000000	87.805	-68.8211
110.599998	87.733	-69.7821
112.000000	87.675	-70.6130
113.800003	87.597	-71.6238
115.000000	87.544	-72.2820
117.199997	87.445	-73.4706
118.000000	87.408	-73.9023
120.599998	87.293	-75.3182
122.000000	87.231	-76.0789
124.099998	87.136	-77.2035
125.000000	87.095	-77.6653
126.500000	87.027	-78.4383
128.000000	86.959	-79.2104
131.500000	86.798	-80.9899
132.000000	86.776	-81.2442
134.000000	86.686	-82.2483
136.000000	86.595	-83.1978
138.000000	86.500	-84.0907
140.000000	86.407	-85.0388
143.000000	86.265	-86.4878
145.000000	86.173	-87.4251
147.500000	86.064	-88.5304
150.000000	85.950	-89.6182
152.500000	85.836	-90.7164
155.000000	85.723	-91.7963
157.500000	85.607	-92.7966
160.000000	85.495	-93.8092
162.500000	85.384	-94.8208
165.000000	85.274	-95.8045
167.500000	85.165	-96.7587
170.000000	85.059	-97.6937
172.500000	84.952	-98.6288
175.000000	84.839	-99.5585
177.500000	84.733	-100.4586
180.000000	84.634	-101.3773
182.500000	84.531	-102.2325
185.000000	84.425	-103.0462
187.500000	84.317	-103.8477
190.000000	84.219	-104.5974
192.500000	84.134	-105.3423
195.000000	84.050	-106.1499
197.500000	83.954	-106.9821
200.000000	83.849	-107.7426
203.000000	83.725	-108.4985
206.000000	83.607	-108.9760
209.000000	83.511	-109.2841
212.000000	83.438	-109.4514
214.000000	83.389	-109.4306
218.000000	83.273	-109.2338
220.000000	83.211	-109.1082
224.000000	83.095	-108.8827
227.000000	83.016	-108.7308
230.000000	82.936	-108.5614
233.000000	82.862	-108.3932
236.000000	82.800	-108.1419
240.000000	82.724	-107.8029
243.000000	82.664	-107.5540
247.000000	82.581	-107.2320
250.000000	82.527	-106.9694
254.000000	82.458	-106.5715
258.000000	82.395	-106.1644
262.000000	82.340	-105.7554
265.000000	82.304	-105.4184
269.000000	82.262	-104.9683
272.000000	82.234	-104.6501
276.000000	82.197	-104.3016
280.000000	82.165	-103.9655
285.000000	82.128	-103.4654
290.000000	82.089	-102.9745
295.000000	82.052	-102.4963
300.000000	82.021	-102.0109
304.000000	81.997	-101.5988
307.000000	81.979	-101.2499
311.000000	81.964	-100.7831
315.000000	81.968	-100.4161
320.000000	81.974	-100.2397
325.000000	81.954	-100.4123
330.000000	81.912	-100.9426
335.000000	81.872	-101.8538
340.000000	81.850	-102.9163
345.000000	81.837	-103.9198
350.000000	81.820	-104.9171
355.000000	81.800	-105.9294
360.000000	81.782	-106.9621
365.000000	81.766	-108.0094
370.000000	81.751	-109.0563
375.000000	81.735	-110.1209
382.000000	81.706	-111.6385
387.000000	81.686	-112.7203
395.000000	81.652	-114.4571
400.000000	81.627	-115.5461
406.000000	81.597	-116.8725
412.000000	81.570	-118.2173
418.000000	81.540	-119.5458
425.000000	81.500	-121.0657
431.000000	81.468	-122.3608
437.000000	81.437	-123.6500
444.000000	81.396	-125.1650
450.000000	81.363	-126.4606
455.000000	81.336	-127.5182
462.000000	81.297	-128.9651
468.000000	81.266	-130.2072
475.000000	81.233	-131.6846
482.000000	81.200	-133.1436
487.000000	81.177	-134.1811
494.000000	81.145	-135.6256
500.000000	81.118	-136.8621
508.000000	81.082	-138.4912
515.000000	81.053	-139.8759
522.000000	81.031	-141.2213
530.000000	81.023	-142.7531
538.000000	81.030	-144.3652
545.000000	81.035	-145.8478
552.000000	81.037	-147.3722
560.000000	81.035	-149.1491
570.000000	81.027	-151.3781
580.000000	81.016	-153.6123
590.000000	81.003	-155.8527
600.000000	80.988	-158.0963
608.000000	80.975	-159.8855
615.000000	80.963	-161.4566
622.000000	80.949	-163.0647
630.000000	80.916	-164.8842
640.000000	80.857	-166.6810
650.000000	80.834	-167.6284
660.000000	80.846	-167.7251
670.000000	80.839	-167.3641
680.000000	80.814	-166.9677
690.000000	80.789	-166.5324
700.000000	80.764	-166.0441
710.000000	80.739	-165.5060
720.000000	80.715	-164.9228
730.000000	80.689	-164.2972
740.000000	80.663	-163.6219
750.000000	80.637	-162.8850
762.000000	80.609	-161.9342
775.000000	80.582	-160.8338
788.000000	80.555	-159.6347
800.000000	80.533	-158.4622
812.000000	80.516	-157.2314
825.000000	80.502	-155.8158
838.000000	80.495	-154.3232
850.000000	80.493	-152.8808
862.000000	80.496	-151.3784
875.000000	80.506	-149.6946
885.000000	80.519	-148.3638
900.000000	80.545	-146.3042
912.000000	80.575	-144.6013
925.000000	80.615	-142.7126
938.000000	80.662	-140.7901
950.000000	80.713	-138.9901
962.000000	80.769	-137.1616
975.000000	80.837	-135.1471
988.000000	80.925	-133.1247
1000.000000	81.034	-131.5273
1015.000000	81.158	-130.6425
1030.000000	81.233	-131.1825
1044.000000	81.318	-132.4762
1060.000000	81.446	-134.1207
1075.000000	81.575	-135.7165
1090.000000	81.709	-137.3752
1106.000000	81.855	-139.2114
1120.000000	81.985	-140.8719
1138.000000	82.152	-143.0790
1150.000000	82.266	-144.5906
1172.000000	82.476	-147.4490
1180.000000	82.554	-148.5234
1206.000000	82.805	-152.1441
1220.000000	82.937	-154.1575
1241.000000	83.132	-157.2599
1250.000000	83.214	-158.6204
1265.000000	83.348	-160.9237
1280.000000	83.478	-163.2695
1315.000000	83.762	-168.9081
1320.000000	83.800	-169.7288
1340.000000	83.947	-173.0383
1360.000000	84.086	-176.3852
1380.000000	84.215	-179.7643
1400.000000	84.336	176.8347
1430.000000	84.503	171.6978
1450.000000	84.605	168.2603
1475.000000	84.722	163.9513
1500.000000	84.828	159.6369
1525.000000	84.924	155.3282
1550.000000	85.013	151.0237
1575.000000	85.094	146.7232
1600.000000	85.167	142.4327
1625.000000	85.234	138.1549
1650.000000	85.296	133.8986
1675.000000	85.352	129.6726
1700.000000	85.405	125.4734
1725.000000	85.453	121.2947
1750.000000	85.499	117.1349
1775.000000	85.542	112.9952
1800.000000	85.583	108.8760
1825.000000	85.622	104.7763
1850.000000	85.659	100.6938
1875.000000	85.695	96.6251
1900.000000	85.729	92.5668
1925.000000	85.762	88.5222
1950.000000	85.791	84.5042
1975.000000	85.806	80.6009
2000.000000	85.789	77.3206
2030.000000	85.793	76.0859
2060.000000	85.869	78.3989
2090.000000	85.918	82.3539
2120.000000	85.951	86.7426
2140.000000	85.976	89.7979
2180.000000	86.038	96.1747
2200.000000	86.075	99.5112
2240.000000	86.175	106.5731
2270.000000	86.300	112.2457
2300.000000	86.502	118.1057
2330.000000	86.794	123.7769
2360.000000	87.138	128.8281
2400.000000	87.553	134.4930
2430.000000	87.769	138.3441
2470.000000	87.930	143.6602
2500.000000	87.987	148.0491
2540.000000	88.026	154.5713
2580.000000	88.076	161.8661
2620.000000	88.194	169.7739
2650.000000	88.351	175.8379
2690.000000	88.635	-176.3957
2720.000000	88.864	-170.9976
2760.000000	89.136	-164.2882
2800.000000	89.336	-157.8654
2850.000000	89.474	-149.8627
2900.000000	89.495	-141.5234
2950.000000	89.430	-132.5537
3000.000000	89.323	-122.8361
3040.000000	89.238	-114.5832
3070.000000	89.183	-108.2233
3110.000000	89.125	-99.7735
3150.000000	89.088	-92.4186
3200.000000	88.971	-88.1879
3250.000000	88.813	-89.0219
3300.000000	88.724	-91.2125
3350.000000	88.668	-93.5915
3400.000000	88.618	-96.0533
3450.000000	88.562	-98.5511
3500.000000	88.499	-101.0405
3550.000000	88.433	-103.5123
3600.000000	88.362	-105.9737
3650.000000	88.285	-108.4211
3700.000000	88.202	-110.8423
3750.000000	88.112	-113.2225
3820.000000	87.979	-116.4694
3870.000000	87.882	-118.7259
3950.000000	87.724	-122.2251
4000.000000	87.627	-124.3458
4060.000000	87.513	-126.8269
4120.000000	87.403	-129.2389
4180.000000	87.299	-131.5923
4250.000000	87.184	-134.2752
4310.000000	87.094	-136.5237
4370.000000	87.012	-138.7318
4440.000000	86.928	-141.2722
4500.000000	86.867	-143.4333
4550.000000	86.823	-145.2292
4620.000000	86.776	-147.7455
4680.000000	86.748	-149.9282
4750.000000	86.732	-152.5456
4820.000000	86.730	-155.2775
4870.000000	86.737	-157.3195
4940.000000	86.754	-160.3313
5000.000000	86.770	-163.0790
5080.000000	86.786	-167.0105
5150.000000	86.779	-170.7066
5220.000000	86.739	-174.6139
5300.000000	86.636	-179.2515
5380.000000	86.462	176.0747
5450.000000	86.249	172.0975
5520.000000	85.990	168.3402
5600.000000	85.655	164.3957
5700.000000	85.213	159.9886
5800.000000	84.769	156.0481
5900.000000	84.325	152.5038
6000.000000	83.886	149.3958
6080.000000	83.547	147.2775
6150.000000	83.266	145.7577
6220.000000	82.997	144.8994
6300.000000	82.698	146.7009
6400.000000	82.452	159.6802
6500.000000	82.327	-176.9579
6600.000000	82.240	-150.6582
6700.000000	82.215	-123.7197
6800.000000	82.261	-96.4309
6900.000000	82.379	-68.8594
7000.000000	82.570	-41.0547
7100.000000	82.837	-13.0778
7200.000000	83.185	14.9733
7300.000000	83.617	42.9893
7400.000000	84.136	70.8188
7500.000000	84.740	98.1894
7620.000000	85.549	129.8522
7750.000000	86.436	161.8421
7880.000000	87.141	-169.2682
8000.000000	87.409	-145.0129
8120.000000	87.160	-121.4000
8250.000000	86.325	-93.9406
8380.000000	85.100	-62.6864
8500.000000	83.830	-30.2560
8620.000000	82.567	4.9946
8750.000000	81.282	45.5187
8850.000000	80.371	77.9155
9000.000000	79.130	128.0001
9120.000000	78.235	169.1120
9250.000000	77.352	-145.4706
9380.000000	76.550	-99.2383
9500.000000	75.877	-55.8839
9620.000000	75.267	-11.8553
9750.000000	74.683	36.6519
9880.000000	74.194	82.8239
10000.000000	73.772	113.6975
10150.000000	73.230	136.6409
10300.000000	72.773	154.2195
10440.000000	72.415	170.0317
10600.000000	72.072	-171.8829
10750.000000	71.815	-154.8651
10900.000000	71.624	-137.8223
11060.000000	71.487	-119.6865
11200.000000	71.420	-103.8696
11380.000000	71.406	-83.6062
11500.000000	71.443	-70.1392
11720.000000	71.606	-45.4712
11800.000000	71.698	-36.4761
12060.000000	72.156	-7.2019
12200.000000	72.516	8.4303
12410.000000	73.213	31.5449
12500.000000	73.576	41.3064
12650.000000	74.277	57.3413
12800.000000	75.117	73.0201
13150.000000	77.802	107.0768
13200.000000	78.290	111.3955
13400.000000	80.508	125.8828
13600.000000	82.895	133.1967
13800.000000	84.708	131.4193
14000.000000	85.104	124.0516
14300.000000	82.929	119.4888
14500.000000	80.718	126.9158
14750.000000	78.312	145.2925
15000.000000	76.720	168.3369
15250.000000	75.956	-167.7744
15500.000000	75.976	-145.3489
15750.000000	76.781	-127.7502
16000.000000	77.939	-121.1403
16250.000000	78.048	-127.4138
16500.000000	75.838	-136.6720
16750.000000	71.618	-136.3362
17000.000000	66.557	-122.7743
17250.000000	61.525	-99.4761
17500.000000	56.797	-69.9446
17750.000000	52.384	-33.0275
18000.000000	48.652	15.8276
18250.000000	46.299	67.7168
18500.000000	44.856	109.2585
18750.000000	43.714	155.9252
19000.000000	43.791	-145.2329
19250.000000	45.158	-98.5022
19500.000000	46.725	-64.3066
19750.000000	47.911	-31.5051
20000.000000	48.527	4.3566
