* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 28, 2025 5:37:54 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (POP Style, ASMR)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.654	4.1992
20.600000	91.651	3.1054
20.900000	91.646	1.9354
21.200001	91.643	0.7842
21.400000	91.641	0.0319
21.799999	91.639	-1.4361
22.000000	91.638	-2.1523
22.400000	91.632	-3.5505
22.700001	91.624	-4.5700
23.000000	91.612	-5.5649
23.299999	91.598	-6.5363
23.600000	91.584	-7.4857
24.000000	91.564	-8.7217
24.299999	91.549	-9.6303
24.700001	91.528	-10.8232
25.000000	91.511	-11.7061
25.400000	91.486	-12.8676
25.799999	91.462	-14.0062
26.200001	91.436	-15.1146
26.500000	91.417	-15.9226
26.900000	91.390	-16.9683
27.200001	91.370	-17.7315
27.600000	91.341	-18.7274
28.000000	91.314	-19.7057
28.500000	91.280	-20.9098
29.000000	91.248	-22.0918
29.500000	91.215	-23.2476
30.000000	91.182	-24.3788
30.400000	91.153	-25.2717
30.700001	91.131	-25.9367
31.100000	91.100	-26.8177
31.500000	91.070	-27.6890
32.000000	91.033	-28.7587
32.500000	90.997	-29.8065
33.000000	90.960	-30.8423
33.500000	90.921	-31.8758
34.000000	90.879	-32.9070
34.500000	90.835	-33.9297
35.000000	90.790	-34.9424
35.500000	90.748	-35.9495
36.000000	90.709	-36.9513
36.500000	90.673	-37.9389
37.000000	90.639	-38.9030
37.500000	90.603	-39.8439
38.200001	90.551	-41.1343
38.700001	90.516	-42.0402
39.500000	90.461	-43.4626
40.000000	90.426	-44.3400
40.599998	90.384	-45.3792
41.200001	90.344	-46.3927
41.799999	90.308	-47.3874
42.500000	90.264	-48.5559
43.099998	90.222	-49.5617
43.700001	90.181	-50.5438
44.400002	90.139	-51.6594
45.000000	90.110	-52.6178
45.500000	90.085	-53.4163
46.200001	90.044	-54.4973
46.799999	90.003	-55.3822
47.500000	89.956	-56.4086
48.200001	89.917	-57.4618
48.700001	89.890	-58.2219
49.400002	89.852	-59.2712
50.000000	89.820	-60.1488
50.799999	89.778	-61.3091
51.500000	89.743	-62.3345
52.200001	89.709	-63.3647
53.000000	89.669	-64.5341
53.799999	89.626	-65.6740
54.500000	89.589	-66.6301
55.200001	89.554	-67.5741
56.000000	89.520	-68.6738
57.000000	89.484	-70.0749
58.000000	89.438	-71.5192
59.000000	89.394	-72.7540
60.000000	89.355	-73.8575
60.799999	89.306	-75.0179
61.500000	89.258	-76.1124
62.200001	89.217	-77.0715
63.000000	89.179	-78.0403
64.000000	89.139	-79.2321
65.000000	89.104	-80.3660
66.000000	89.073	-81.4548
67.000000	89.044	-82.4877
68.000000	89.016	-83.4472
69.000000	88.985	-84.3468
70.000000	88.947	-85.2235
71.000000	88.904	-86.1181
72.000000	88.860	-87.0308
73.000000	88.819	-87.9572
74.000000	88.782	-88.8818
75.000000	88.747	-89.7857
76.199997	88.703	-90.8628
77.500000	88.652	-92.0169
78.800003	88.602	-93.1537
80.000000	88.558	-94.1706
81.199997	88.514	-95.1633
82.500000	88.467	-96.2401
83.800003	88.417	-97.3318
85.000000	88.370	-98.3225
86.199997	88.324	-99.2797
87.500000	88.275	-100.3207
88.500000	88.238	-101.1348
90.000000	88.179	-102.3327
91.199997	88.131	-103.2329
92.500000	88.080	-104.1788
93.800003	88.031	-105.1383
95.000000	87.993	-106.0445
96.199997	87.957	-106.9666
97.500000	87.915	-107.9981
98.800003	87.871	-109.0805
100.000000	87.826	-110.1372
101.500000	87.762	-111.5094
103.000000	87.691	-112.9459
104.400002	87.618	-114.3321
106.000000	87.535	-115.9669
107.500000	87.463	-117.5543
109.000000	87.400	-119.1261
110.599998	87.339	-120.7699
112.000000	87.283	-122.1597
113.800003	87.202	-123.9373
115.000000	87.148	-125.1355
117.199997	87.053	-127.3250
118.000000	87.017	-128.1302
120.599998	86.907	-130.6941
122.000000	86.845	-132.0216
124.099998	86.752	-134.0140
125.000000	86.713	-134.8857
126.500000	86.646	-136.3499
128.000000	86.579	-137.7957
131.500000	86.424	-141.1290
132.000000	86.401	-141.6000
134.000000	86.309	-143.4710
136.000000	86.225	-145.3323
138.000000	86.137	-147.1075
140.000000	86.047	-148.9456
143.000000	85.915	-151.6595
145.000000	85.824	-153.4129
147.500000	85.709	-155.6198
150.000000	85.598	-157.8361
152.500000	85.487	-160.0111
155.000000	85.372	-162.1622
157.500000	85.258	-164.3210
160.000000	85.147	-166.4254
162.500000	85.037	-168.5119
165.000000	84.925	-170.5887
167.500000	84.811	-172.6191
170.000000	84.698	-174.6086
172.500000	84.588	-176.5765
175.000000	84.480	-178.5359
177.500000	84.369	179.5350
180.000000	84.267	177.6038
182.500000	84.173	175.7098
185.000000	84.084	173.8316
187.500000	83.995	171.9435
190.000000	83.895	170.0290
192.500000	83.783	168.1641
195.000000	83.666	166.4531
197.500000	83.561	164.9531
200.000000	83.472	163.6695
203.000000	83.378	162.3150
206.000000	83.315	161.1642
209.000000	83.256	160.1896
212.000000	83.180	159.4233
214.000000	83.124	158.9522
218.000000	83.019	157.8895
220.000000	82.961	157.3884
224.000000	82.841	156.4037
227.000000	82.759	155.6482
230.000000	82.680	155.0162
233.000000	82.604	154.4854
236.000000	82.533	153.9316
240.000000	82.455	153.1884
243.000000	82.409	152.6935
247.000000	82.353	151.9907
250.000000	82.310	151.4409
254.000000	82.244	150.7018
258.000000	82.176	150.0242
262.000000	82.118	149.4105
265.000000	82.081	148.9573
269.000000	82.034	148.4185
272.000000	82.004	148.0331
276.000000	81.971	147.5065
280.000000	81.935	146.9324
285.000000	81.891	146.2314
290.000000	81.852	145.6234
295.000000	81.813	144.9855
300.000000	81.785	144.4758
304.000000	81.790	144.0359
307.000000	81.803	143.5519
311.000000	81.816	142.6284
315.000000	81.802	141.3792
320.000000	81.748	139.3517
325.000000	81.693	136.8000
330.000000	81.667	134.0524
335.000000	81.656	131.3983
340.000000	81.642	128.7315
345.000000	81.628	126.0726
350.000000	81.615	123.3936
355.000000	81.599	120.6832
360.000000	81.583	118.0012
365.000000	81.571	115.3094
370.000000	81.559	112.5775
375.000000	81.544	109.8231
382.000000	81.522	105.9670
387.000000	81.507	103.2190
395.000000	81.479	98.8126
400.000000	81.458	96.0752
406.000000	81.431	92.7764
412.000000	81.403	89.4570
418.000000	81.376	86.1505
425.000000	81.340	82.3042
431.000000	81.310	79.0050
437.000000	81.278	75.7451
444.000000	81.238	71.9609
450.000000	81.207	68.7243
455.000000	81.181	66.0337
462.000000	81.142	62.2666
468.000000	81.110	59.0602
475.000000	81.077	55.3344
482.000000	81.045	51.6119
487.000000	81.022	48.9602
494.000000	80.986	45.2737
500.000000	80.950	42.1518
508.000000	80.912	38.1065
515.000000	80.901	34.6411
522.000000	80.910	31.0997
530.000000	80.924	26.8951
538.000000	80.932	22.5928
545.000000	80.932	18.8323
552.000000	80.929	15.0809
560.000000	80.924	10.7759
570.000000	80.919	5.3990
580.000000	80.912	0.0138
590.000000	80.902	-5.3867
600.000000	80.890	-10.8022
608.000000	80.861	-15.1810
615.000000	80.806	-18.7561
622.000000	80.754	-21.7580
630.000000	80.744	-24.3189
640.000000	80.782	-26.2651
650.000000	80.788	-27.4468
660.000000	80.767	-28.5422
670.000000	80.744	-29.5829
680.000000	80.718	-30.5619
690.000000	80.690	-31.4636
700.000000	80.666	-32.2919
710.000000	80.644	-33.0366
720.000000	80.623	-33.7032
730.000000	80.601	-34.3026
740.000000	80.574	-34.8229
750.000000	80.550	-35.2631
762.000000	80.527	-35.6606
775.000000	80.502	-35.9819
788.000000	80.478	-36.1828
800.000000	80.461	-36.2256
812.000000	80.451	-36.2174
825.000000	80.442	-36.0894
838.000000	80.439	-35.8264
850.000000	80.441	-35.5003
862.000000	80.451	-35.0869
875.000000	80.467	-34.5355
885.000000	80.484	-34.0380
900.000000	80.517	-33.1968
912.000000	80.551	-32.4592
925.000000	80.596	-31.5952
938.000000	80.650	-30.6504
950.000000	80.709	-29.7094
962.000000	80.805	-28.7986
975.000000	80.942	-28.7192
988.000000	81.021	-30.3827
1000.000000	81.044	-33.4587
1015.000000	81.116	-38.3552
1030.000000	81.225	-43.4006
1044.000000	81.336	-48.1357
1060.000000	81.470	-53.5891
1075.000000	81.602	-58.7523
1090.000000	81.737	-63.9836
1106.000000	81.883	-69.6319
1120.000000	82.010	-74.6163
1138.000000	82.177	-81.0728
1150.000000	82.289	-85.4105
1172.000000	82.497	-93.4583
1180.000000	82.572	-96.4019
1206.000000	82.812	-106.0302
1220.000000	82.940	-111.2464
1241.000000	83.134	-119.1214
1250.000000	83.220	-122.5293
1265.000000	83.364	-128.2572
1280.000000	83.506	-134.0482
1315.000000	83.810	-147.7343
1320.000000	83.851	-149.7047
1340.000000	84.009	-157.6084
1360.000000	84.157	-165.5375
1380.000000	84.297	-173.4879
1400.000000	84.428	178.5602
1430.000000	84.613	166.5953
1450.000000	84.726	158.5988
1475.000000	84.860	148.6063
1500.000000	84.985	138.6011
1525.000000	85.101	128.5993
1550.000000	85.208	118.6124
1575.000000	85.307	108.6350
1600.000000	85.400	98.6662
1625.000000	85.488	88.7397
1650.000000	85.570	78.8362
1675.000000	85.647	68.9555
1700.000000	85.719	59.0919
1725.000000	85.786	49.2468
1750.000000	85.850	39.4286
1775.000000	85.913	29.6317
1800.000000	85.974	19.8668
1825.000000	86.033	10.1337
1850.000000	86.091	0.4200
1875.000000	86.146	-9.2791
1900.000000	86.193	-18.9250
1925.000000	86.209	-28.2334
1950.000000	86.192	-35.8674
1975.000000	86.249	-39.9965
2000.000000	86.361	-40.8248
2030.000000	86.444	-40.1833
2060.000000	86.500	-39.1223
2090.000000	86.550	-37.8248
2120.000000	86.596	-36.2952
2140.000000	86.625	-35.1358
2180.000000	86.684	-32.4565
2200.000000	86.719	-30.9310
2240.000000	86.806	-27.5165
2270.000000	86.892	-24.6598
2300.000000	87.005	-21.5413
2330.000000	87.159	-18.1691
2360.000000	87.377	-14.7073
2400.000000	87.751	-10.4920
2430.000000	88.036	-7.8878
2470.000000	88.327	-4.8998
2500.000000	88.463	-2.6336
2540.000000	88.560	0.8055
2580.000000	88.603	4.8590
2620.000000	88.623	9.5523
2650.000000	88.639	13.4917
2690.000000	88.688	19.2782
2720.000000	88.764	23.9536
2760.000000	88.941	30.3450
2800.000000	89.178	36.4719
2850.000000	89.456	43.6767
2900.000000	89.623	50.9807
2950.000000	89.679	58.7748
3000.000000	89.681	67.0317
3040.000000	89.693	73.0001
3070.000000	89.689	75.1555
3110.000000	89.565	72.7686
3150.000000	89.397	66.0819
3200.000000	89.224	56.3837
3250.000000	89.063	46.8159
3300.000000	88.911	37.5490
3350.000000	88.781	28.5303
3400.000000	88.682	19.6460
3450.000000	88.611	10.7778
3500.000000	88.555	1.8506
3550.000000	88.496	-7.1320
3600.000000	88.425	-16.0990
3650.000000	88.347	-24.9915
3700.000000	88.271	-33.8113
3750.000000	88.195	-42.6055
3820.000000	88.084	-54.8920
3870.000000	87.995	-63.6158
3950.000000	87.841	-77.4353
4000.000000	87.741	-85.9715
4060.000000	87.620	-96.1100
4120.000000	87.501	-106.1395
4180.000000	87.389	-116.0605
4250.000000	87.269	-127.5118
4310.000000	87.176	-137.2473
4370.000000	87.093	-146.9299
4440.000000	87.007	-158.1741
4500.000000	86.941	-167.7755
4550.000000	86.892	-175.7610
4620.000000	86.835	173.0668
4680.000000	86.796	163.4740
4750.000000	86.759	152.2354
4820.000000	86.728	140.9124
4870.000000	86.706	132.7512
4940.000000	86.671	121.2061
5000.000000	86.631	111.1924
5080.000000	86.552	97.6755
5150.000000	86.447	85.7273
5220.000000	86.300	73.7262
5300.000000	86.070	60.0400
5380.000000	85.769	46.5200
5450.000000	85.452	34.9355
5520.000000	85.093	23.6707
5600.000000	84.647	11.2587
5700.000000	84.064	-3.5110
5800.000000	83.486	-17.4584
5900.000000	82.945	-30.6157
6000.000000	82.467	-42.7081
6080.000000	82.110	-49.6421
6150.000000	81.840	-48.4604
6220.000000	81.692	-36.8251
6300.000000	81.556	-15.0240
6400.000000	81.374	16.1432
6500.000000	81.231	48.5642
6600.000000	81.150	81.8019
6700.000000	81.137	115.7612
6800.000000	81.195	150.3912
6900.000000	81.327	-174.3916
7000.000000	81.534	-138.6433
7100.000000	81.819	-102.4469
7200.000000	82.184	-65.9138
7300.000000	82.630	-29.1545
7400.000000	83.153	7.6673
7500.000000	83.749	44.2427
7620.000000	84.540	86.3505
7750.000000	85.429	128.6815
