* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 6:05:44 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (POP Style, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	94.567	-137.9641
20.600000	94.558	-140.6626
20.900000	94.546	-143.5785
21.200001	94.533	-146.4794
21.400000	94.524	-148.3932
21.799999	94.506	-152.1769
22.000000	94.495	-154.0513
22.400000	94.471	-157.7757
22.700001	94.450	-160.5503
23.000000	94.429	-163.3062
23.299999	94.407	-166.0379
23.600000	94.385	-168.7413
24.000000	94.356	-172.3005
24.299999	94.333	-174.9402
24.700001	94.301	-178.4288
25.000000	94.276	178.9749
25.400000	94.242	175.5411
25.799999	94.207	172.1453
26.200001	94.172	168.7907
26.500000	94.145	166.2997
26.900000	94.109	163.0049
27.200001	94.081	160.5494
27.600000	94.044	157.2939
28.000000	94.007	154.0617
28.500000	93.960	150.0607
29.000000	93.912	146.1063
29.500000	93.864	142.1947
30.000000	93.815	138.3221
30.400000	93.777	135.2523
30.700001	93.748	132.9670
31.100000	93.709	129.9416
31.500000	93.669	126.9371
32.000000	93.619	123.2021
32.500000	93.569	119.4844
33.000000	93.520	115.7894
33.500000	93.471	112.1291
34.000000	93.423	108.5078
34.500000	93.375	104.9172
35.000000	93.328	101.3462
35.500000	93.280	97.7946
36.000000	93.234	94.2707
36.500000	93.189	90.7781
37.000000	93.146	87.3081
37.500000	93.102	83.8479
38.200001	93.038	79.0191
38.700001	92.991	75.5995
39.500000	92.919	70.2012
40.000000	92.876	66.8584
40.599998	92.826	62.8550
41.200001	92.776	58.8612
41.799999	92.728	54.8961
42.500000	92.674	50.3154
43.099998	92.628	46.4124
43.700001	92.580	42.5202
44.400002	92.521	37.9984
45.000000	92.473	34.1449
45.500000	92.436	30.9503
46.200001	92.388	26.5034
46.799999	92.348	22.7115
47.500000	92.299	18.3019
48.200001	92.252	13.9103
48.700001	92.218	10.7913
49.400002	92.171	6.4490
50.000000	92.131	2.7409
50.799999	92.080	-2.1892
51.500000	92.035	-6.4850
52.200001	91.989	-10.7681
53.000000	91.937	-15.6471
53.799999	91.888	-20.4913
54.500000	91.845	-24.6960
55.200001	91.806	-28.8677
56.000000	91.766	-33.6256
57.000000	91.706	-39.6302
58.000000	91.655	-45.5582
59.000000	91.591	-51.6058
60.000000	91.508	-57.8651
60.799999	91.473	-62.4616
61.500000	91.455	-66.2453
62.200001	91.428	-70.1506
63.000000	91.389	-74.7780
64.000000	91.340	-80.5245
65.000000	91.290	-86.2630
66.000000	91.240	-91.9904
67.000000	91.191	-97.6945
68.000000	91.143	-103.3812
69.000000	91.095	-109.0426
70.000000	91.047	-114.6880
71.000000	90.999	-120.3119
72.000000	90.953	-125.9034
73.000000	90.909	-131.4709
74.000000	90.864	-137.0284
75.000000	90.819	-142.5751
76.199997	90.764	-149.2005
77.500000	90.705	-156.3219
78.800003	90.644	-163.4313
80.000000	90.587	-169.9895
81.199997	90.533	-176.5211
82.500000	90.474	176.4628
83.800003	90.415	169.4734
85.000000	90.361	163.0292
86.199997	90.306	156.6091
87.500000	90.246	149.6820
88.500000	90.201	144.3719
90.000000	90.133	136.4574
91.199997	90.077	130.1352
92.500000	90.017	123.2822
93.800003	89.958	116.4788
95.000000	89.900	110.2416
96.199997	89.842	104.0206
97.500000	89.783	97.3104
98.800003	89.724	90.6195
100.000000	89.667	84.4626
101.500000	89.595	76.7784
103.000000	89.524	69.1326
104.400002	89.457	62.0322
106.000000	89.379	53.9547
107.500000	89.306	46.4107
109.000000	89.234	38.8885
110.599998	89.156	30.9088
112.000000	89.086	23.9606
113.800003	88.997	15.0668
115.000000	88.939	9.1526
117.199997	88.835	-1.6272
118.000000	88.795	-5.5315
120.599998	88.664	-18.1926
122.000000	88.592	-24.9551
124.099998	88.488	-35.0338
125.000000	88.443	-39.3395
126.500000	88.368	-46.5111
128.000000	88.291	-53.6582
131.500000	88.110	-70.2091
132.000000	88.085	-72.5598
134.000000	87.988	-81.9297
136.000000	87.894	-91.2609
138.000000	87.799	-100.5403
140.000000	87.701	-109.7461
143.000000	87.541	-123.5032
145.000000	87.434	-132.6331
147.500000	87.308	-143.9742
150.000000	87.182	-155.2527
152.500000	87.055	-166.4712
155.000000	86.927	-177.5841
157.500000	86.803	171.3600
160.000000	86.682	160.3680
162.500000	86.559	149.4226
165.000000	86.435	138.5234
167.500000	86.311	127.6958
170.000000	86.188	116.9351
172.500000	86.067	106.2300
175.000000	85.953	95.5663
177.500000	85.839	84.9392
180.000000	85.720	74.3804
182.500000	85.601	63.9104
185.000000	85.485	53.5204
187.500000	85.379	43.1630
190.000000	85.279	32.8384
192.500000	85.177	22.5593
195.000000	85.073	12.3215
197.500000	84.969	2.1395
200.000000	84.866	-7.9978
203.000000	84.745	-20.1300
206.000000	84.627	-32.1929
209.000000	84.504	-44.1311
212.000000	84.385	-55.9469
214.000000	84.310	-63.7898
218.000000	84.160	-79.5144
220.000000	84.085	-87.3282
224.000000	83.929	-102.7039
227.000000	83.828	-114.0605
230.000000	83.755	-125.3245
233.000000	83.705	-136.6045
236.000000	83.662	-147.9752
240.000000	83.584	-163.2535
243.000000	83.515	-174.7125
247.000000	83.422	170.1476
250.000000	83.350	158.8574
254.000000	83.250	143.9125
258.000000	83.149	129.1565
262.000000	83.057	114.5626
265.000000	83.005	103.7314
269.000000	82.959	89.4225
272.000000	82.933	78.6824
276.000000	82.904	64.2616
280.000000	82.882	49.8550
285.000000	82.863	31.8987
290.000000	82.840	13.9458
295.000000	82.806	-4.0145
300.000000	82.763	-21.9114
304.000000	82.730	-36.1407
307.000000	82.709	-46.7561
311.000000	82.681	-60.8436
315.000000	82.654	-74.8961
320.000000	82.618	-92.3911
325.000000	82.582	-109.8038
330.000000	82.550	-127.1577
335.000000	82.522	-144.4187
340.000000	82.494	-161.6135
345.000000	82.464	-178.7510
350.000000	82.435	164.1611
355.000000	82.413	147.1851
360.000000	82.389	130.2991
365.000000	82.362	113.4558
370.000000	82.331	96.6455
375.000000	82.300	79.9076
382.000000	82.263	56.6187
387.000000	82.238	40.0856
395.000000	82.193	13.7621
400.000000	82.163	-2.6042
406.000000	82.126	-22.1602
412.000000	82.092	-41.6049
418.000000	82.058	-60.9407
425.000000	82.015	-83.4028
431.000000	81.975	-102.5625
437.000000	81.932	-121.6064
444.000000	81.886	-143.6631
450.000000	81.848	-162.4636
455.000000	81.818	-178.0459
462.000000	81.773	160.2544
468.000000	81.734	141.7354
475.000000	81.690	120.2366
482.000000	81.654	98.8740
487.000000	81.630	83.7112
494.000000	81.601	62.5996
500.000000	81.578	44.5713
508.000000	81.550	20.6204
515.000000	81.527	-0.2595
522.000000	81.507	-21.0696
530.000000	81.489	-44.7388
538.000000	81.473	-68.2996
545.000000	81.459	-88.8369
552.000000	81.444	-109.2900
560.000000	81.430	-132.5557
570.000000	81.416	-161.4502
580.000000	81.401	169.8516
590.000000	81.378	141.2952
600.000000	81.351	112.8982
608.000000	81.330	90.3459
615.000000	81.312	70.7476
622.000000	81.293	51.2588
630.000000	81.272	29.0913
640.000000	81.252	1.5232
650.000000	81.241	-25.9121
660.000000	81.239	-53.1733
670.000000	81.234	-80.2759
680.000000	81.222	-107.2493
690.000000	81.203	-134.0923
700.000000	81.178	-160.7795
710.000000	81.155	172.7292
720.000000	81.136	146.4495
730.000000	81.114	120.3530
740.000000	81.087	94.3865
750.000000	81.059	68.5452
762.000000	81.028	37.7712
775.000000	81.000	4.7700
788.000000	80.974	-27.9062
800.000000	80.950	-57.8208
812.000000	80.930	-87.4973
825.000000	80.913	-119.3262
838.000000	80.903	-150.8286
850.000000	80.900	-179.6514
862.000000	80.900	151.6985
875.000000	80.903	120.8259
885.000000	80.909	97.2234
900.000000	80.928	62.1299
912.000000	80.954	34.3069
925.000000	80.989	4.3748
938.000000	81.026	-25.4141
950.000000	81.064	-52.7830
962.000000	81.108	-79.9817
975.000000	81.167	-109.2146
988.000000	81.235	-138.2175
1000.000000	81.302	-164.8462
1015.000000	81.389	161.9924
1030.000000	81.482	128.9890
1044.000000	81.575	98.4136
1060.000000	81.692	63.7690
1075.000000	81.808	31.5181
1090.000000	81.925	-0.6052
1106.000000	82.050	-34.7427
1120.000000	82.162	-64.4502
1138.000000	82.314	-102.3350
1150.000000	82.418	-127.3962
1172.000000	82.605	-173.0862
1180.000000	82.671	170.3511
1206.000000	82.882	116.7876
1220.000000	82.996	88.2117
1241.000000	83.169	45.7251
1250.000000	83.242	27.6279
1265.000000	83.359	-2.4365
1280.000000	83.471	-32.4023
1315.000000	83.716	-101.7510
1320.000000	83.750	-111.5654
1340.000000	83.884	-150.5605
1360.000000	84.014	170.8281
1380.000000	84.133	132.4595
1400.000000	84.241	94.2871
1430.000000	84.392	37.6138
1450.000000	84.489	0.3574
1475.000000	84.602	-45.7104
1500.000000	84.702	-91.4121
1525.000000	84.791	-136.7441
1550.000000	84.879	178.4966
1575.000000	84.972	134.3643
1600.000000	85.065	90.5469
1625.000000	85.148	46.6362
1650.000000	85.236	2.8042
1675.000000	85.334	-40.5298
1700.000000	85.438	-83.3408
1725.000000	85.534	-125.7871
1750.000000	85.613	-167.9834
1775.000000	85.678	150.1357
1800.000000	85.737	108.7578
1825.000000	85.798	67.9873
1850.000000	85.868	27.7476
1875.000000	85.950	-12.1440
1900.000000	86.051	-51.7988
1925.000000	86.177	-91.1904
1950.000000	86.323	-130.2422
1975.000000	86.477	-168.9390
2000.000000	86.623	152.6226
2030.000000	86.773	106.7134
2060.000000	86.893	61.0552
2090.000000	86.994	15.8735
2120.000000	87.085	-28.6484
2140.000000	87.140	-57.9639
2180.000000	87.237	-115.9746
2200.000000	87.280	-144.7568
2240.000000	87.367	158.1699
2270.000000	87.438	115.9590
2300.000000	87.519	74.3418
2330.000000	87.610	33.2856
2360.000000	87.704	-7.3887
2400.000000	87.826	-61.2632
2430.000000	87.913	-101.3804
