* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 7:15:21 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (POP Style, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	95.066	-93.8240
20.600000	95.054	-95.9856
20.900000	95.038	-98.3167
21.200001	95.021	-100.6345
21.400000	95.011	-102.1638
21.799999	94.991	-105.1861
22.000000	94.981	-106.6805
22.400000	94.958	-109.6378
22.700001	94.937	-111.8283
23.000000	94.914	-113.9946
23.299999	94.889	-116.1368
23.600000	94.863	-118.2555
24.000000	94.828	-121.0474
24.299999	94.802	-123.1188
24.700001	94.767	-125.8529
25.000000	94.740	-127.8825
25.400000	94.703	-130.5600
25.799999	94.665	-133.2044
26.200001	94.626	-135.8176
26.500000	94.596	-137.7585
26.900000	94.557	-140.3229
27.200001	94.528	-142.2291
27.600000	94.488	-144.7484
28.000000	94.448	-147.2427
28.500000	94.396	-150.3271
29.000000	94.344	-153.3752
29.500000	94.291	-156.3868
30.000000	94.238	-159.3625
30.400000	94.197	-161.7187
30.700001	94.166	-163.4727
31.100000	94.125	-165.7950
31.500000	94.085	-168.0993
32.000000	94.034	-170.9562
32.500000	93.982	-173.7884
33.000000	93.931	-176.5944
33.500000	93.879	-179.3692
34.000000	93.828	177.8899
34.500000	93.778	175.1771
35.000000	93.727	172.4810
35.500000	93.678	169.7975
36.000000	93.629	167.1354
36.500000	93.579	164.5039
37.000000	93.529	161.8961
37.500000	93.481	159.2911
38.200001	93.419	155.6347
38.700001	93.373	153.0479
39.500000	93.296	149.0182
40.000000	93.247	146.5505
40.599998	93.195	143.5896
41.200001	93.145	140.6149
41.799999	93.093	137.6509
42.500000	93.030	134.2322
43.099998	92.980	131.3312
43.700001	92.933	128.4467
44.400002	92.876	125.0936
45.000000	92.824	122.2314
45.500000	92.783	119.8648
46.200001	92.731	116.5908
46.799999	92.690	113.8079
47.500000	92.640	110.5639
48.200001	92.590	107.3258
48.700001	92.554	105.0260
49.400002	92.503	101.8278
50.000000	92.460	99.1013
50.799999	92.405	95.4809
51.500000	92.358	92.3353
52.200001	92.310	89.2163
53.000000	92.257	85.6536
53.799999	92.205	82.0885
54.500000	92.162	79.0030
55.200001	92.122	75.9261
56.000000	92.076	72.3965
57.000000	92.008	68.0453
58.000000	91.946	63.7004
59.000000	91.875	59.5087
60.000000	91.782	55.4553
60.799999	91.745	51.9619
61.500000	91.733	48.8226
62.200001	91.710	45.7907
63.000000	91.666	42.4160
64.000000	91.612	38.1843
65.000000	91.558	33.9850
66.000000	91.506	29.8170
67.000000	91.455	25.6595
68.000000	91.404	21.5208
69.000000	91.354	17.3981
70.000000	91.303	13.2870
71.000000	91.252	9.1858
72.000000	91.201	5.1055
73.000000	91.152	1.0470
74.000000	91.102	-2.9969
75.000000	91.051	-7.0123
76.199997	90.989	-11.8320
77.500000	90.926	-17.0470
78.800003	90.865	-22.2241
80.000000	90.808	-26.9922
81.199997	90.750	-31.7308
82.500000	90.687	-36.8422
83.800003	90.621	-41.9390
85.000000	90.561	-46.6265
86.199997	90.502	-51.3052
87.500000	90.440	-56.3564
88.500000	90.390	-60.2333
90.000000	90.317	-66.0372
91.199997	90.260	-70.6536
92.500000	90.197	-75.6172
93.800003	90.130	-80.5466
95.000000	90.069	-85.0908
96.199997	90.008	-89.6343
97.500000	89.942	-94.5367
98.800003	89.877	-99.4083
100.000000	89.818	-103.8929
101.500000	89.742	-109.4822
103.000000	89.665	-115.0455
104.400002	89.594	-120.2109
106.000000	89.513	-126.0841
107.500000	89.435	-131.5670
109.000000	89.359	-137.0367
110.599998	89.277	-142.8364
112.000000	89.205	-147.8939
113.800003	89.109	-154.3558
115.000000	89.044	-158.6371
117.199997	88.927	-166.4264
118.000000	88.886	-169.2497
120.599998	88.751	-178.4158
122.000000	88.673	176.6761
124.099998	88.560	169.3560
125.000000	88.511	166.2234
126.500000	88.432	161.0289
128.000000	88.351	155.8733
131.500000	88.160	143.9646
132.000000	88.132	142.2720
134.000000	88.022	135.5268
136.000000	87.917	128.8403
138.000000	87.813	122.2122
140.000000	87.699	115.5764
143.000000	87.534	105.6553
145.000000	87.425	99.1339
147.500000	87.284	91.0421
150.000000	87.148	83.0045
152.500000	87.010	75.0170
155.000000	86.871	67.1079
157.500000	86.732	59.2778
160.000000	86.595	51.5087
162.500000	86.461	43.8289
165.000000	86.335	36.2264
167.500000	86.222	28.6458
170.000000	86.110	21.0437
172.500000	85.997	13.4329
175.000000	85.879	5.8530
177.500000	85.759	-1.6337
180.000000	85.639	-9.0116
182.500000	85.526	-16.3671
185.000000	85.416	-23.7167
187.500000	85.306	-31.0253
190.000000	85.191	-38.3043
192.500000	85.073	-45.5477
195.000000	84.956	-52.7257
197.500000	84.838	-59.8420
200.000000	84.718	-66.8830
203.000000	84.573	-75.1957
206.000000	84.443	-83.3503
209.000000	84.347	-91.3875
212.000000	84.274	-99.5629
214.000000	84.220	-105.0589
218.000000	84.099	-116.1349
220.000000	84.042	-121.6333
224.000000	83.926	-132.5292
227.000000	83.839	-140.6357
230.000000	83.758	-148.6914
233.000000	83.672	-156.7465
236.000000	83.583	-164.7653
240.000000	83.472	-175.3586
243.000000	83.393	176.8088
247.000000	83.293	166.4143
250.000000	83.220	158.6479
254.000000	83.130	148.3176
258.000000	83.057	138.0090
262.000000	82.985	127.7195
265.000000	82.930	119.9929
269.000000	82.860	109.7587
