* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 6:09:03 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (Standard, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.083	-135.2785
20.600000	91.059	-137.6867
20.900000	91.031	-140.2964
21.200001	91.002	-142.8984
21.400000	90.984	-144.6158
21.799999	90.948	-148.0042
22.000000	90.930	-149.6762
22.400000	90.890	-152.9839
22.700001	90.858	-155.4404
23.000000	90.825	-157.8820
23.299999	90.792	-160.3111
23.600000	90.759	-162.7274
24.000000	90.717	-165.9262
24.299999	90.685	-168.3053
24.700001	90.642	-171.4473
25.000000	90.610	-173.7797
25.400000	90.567	-176.8569
25.799999	90.525	-179.8994
26.200001	90.484	177.0870
26.500000	90.453	174.8417
26.900000	90.411	171.8647
27.200001	90.378	169.6447
27.600000	90.334	166.7050
28.000000	90.292	163.7922
28.500000	90.240	160.1904
29.000000	90.190	156.6254
29.500000	90.139	153.0890
30.000000	90.089	149.5797
30.400000	90.049	146.7936
30.700001	90.020	144.7175
31.100000	89.980	141.9669
31.500000	89.940	139.2356
32.000000	89.889	135.8473
32.500000	89.840	132.4880
33.000000	89.794	129.1570
33.500000	89.751	125.8496
34.000000	89.707	122.5607
34.500000	89.662	119.2885
35.000000	89.617	116.0354
35.500000	89.572	112.8039
36.000000	89.529	109.5939
36.500000	89.487	106.4084
37.000000	89.445	103.2549
37.500000	89.404	100.1367
38.200001	89.350	95.8069
38.700001	89.313	92.7143
39.500000	89.256	87.7668
40.000000	89.219	84.6981
40.599998	89.173	81.0474
41.200001	89.129	77.4181
41.799999	89.087	73.8014
42.500000	89.043	69.5969
43.099998	89.006	66.0134
43.700001	88.969	62.4712
44.400002	88.923	58.4014
45.000000	88.882	54.9218
45.500000	88.848	51.9960
46.200001	88.806	47.8777
46.799999	88.775	44.3769
47.500000	88.739	40.3432
48.200001	88.702	36.3333
48.700001	88.676	33.4777
49.400002	88.640	29.4975
50.000000	88.610	26.0978
50.799999	88.569	21.5685
51.500000	88.534	17.6109
52.200001	88.502	13.6731
53.000000	88.465	9.2199
53.799999	88.428	4.7899
54.500000	88.394	0.8930
55.200001	88.361	-2.9866
56.000000	88.326	-7.3772
57.000000	88.281	-12.8947
58.000000	88.245	-18.3370
59.000000	88.201	-24.0362
60.000000	88.142	-29.9790
60.799999	88.110	-34.1263
61.500000	88.096	-37.4618
62.200001	88.083	-40.9952
63.000000	88.062	-45.2727
64.000000	88.025	-50.5939
65.000000	87.990	-55.9349
66.000000	87.955	-61.2466
67.000000	87.920	-66.4966
68.000000	87.887	-71.7455
69.000000	87.856	-76.9984
70.000000	87.825	-82.2415
71.000000	87.794	-87.4436
72.000000	87.761	-92.6121
73.000000	87.726	-97.7721
74.000000	87.691	-102.9320
75.000000	87.660	-108.0903
76.199997	87.624	-114.2632
77.500000	87.583	-120.8961
78.800003	87.545	-127.5347
80.000000	87.511	-133.6322
81.199997	87.475	-139.7012
82.500000	87.434	-146.2582
83.800003	87.393	-152.7769
85.000000	87.356	-158.7871
86.199997	87.320	-164.7814
87.500000	87.278	-171.2437
88.500000	87.247	-176.1970
90.000000	87.200	176.3981
91.199997	87.162	170.5062
92.500000	87.123	164.1408
93.800003	87.085	157.7745
95.000000	87.049	151.9148
96.199997	87.010	146.0604
97.500000	86.968	139.7572
98.800003	86.928	133.4893
100.000000	86.888	127.7263
101.500000	86.836	120.5427
103.000000	86.789	113.3826
104.400002	86.743	106.7138
106.000000	86.688	99.1228
107.500000	86.637	92.0503
109.000000	86.586	85.0157
110.599998	86.531	77.5322
112.000000	86.482	71.0019
113.800003	86.418	62.6614
115.000000	86.375	57.1400
117.199997	86.297	47.0552
118.000000	86.269	43.3915
120.599998	86.178	31.5488
122.000000	86.129	25.2163
124.099998	86.054	15.7463
125.000000	86.023	11.6940
126.500000	85.969	4.9573
128.000000	85.914	-1.7396
131.500000	85.788	-17.2672
132.000000	85.769	-19.4824
134.000000	85.688	-28.3086
136.000000	85.608	-37.0846
138.000000	85.531	-45.8035
140.000000	85.455	-54.3887
143.000000	85.350	-67.3542
145.000000	85.274	-75.9556
147.500000	85.175	-86.6097
150.000000	85.083	-97.1727
152.500000	84.994	-107.6815
155.000000	84.899	-118.1475
157.500000	84.799	-128.5607
160.000000	84.703	-138.8906
162.500000	84.608	-149.1589
165.000000	84.514	-159.4016
167.500000	84.423	-169.5647
170.000000	84.334	-179.6343
172.500000	84.243	170.3158
175.000000	84.150	160.3203
177.500000	84.064	150.3806
180.000000	83.980	140.4865
182.500000	83.889	130.6589
185.000000	83.792	120.9004
187.500000	83.704	111.1932
190.000000	83.625	101.5161
192.500000	83.548	91.8784
195.000000	83.473	82.2780
197.500000	83.397	72.7219
200.000000	83.320	63.2223
203.000000	83.229	51.8694
206.000000	83.141	40.5648
209.000000	83.058	29.3091
212.000000	82.978	18.1907
214.000000	82.921	10.8707
218.000000	82.803	-3.7429
220.000000	82.738	-11.0658
224.000000	82.609	-25.5161
227.000000	82.527	-36.1732
230.000000	82.469	-46.7373
233.000000	82.442	-57.2926
236.000000	82.430	-67.9506
240.000000	82.398	-82.3414
