* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 7:13:20 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (Standard, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.491	-99.7871
20.600000	90.468	-101.7931
20.900000	90.440	-103.9639
21.200001	90.411	-106.1265
21.400000	90.393	-107.5534
21.799999	90.359	-110.3685
22.000000	90.343	-111.7579
22.400000	90.308	-114.5059
22.700001	90.281	-116.5448
23.000000	90.252	-118.5674
23.299999	90.222	-120.5735
23.600000	90.193	-122.5620
24.000000	90.156	-125.1831
24.299999	90.128	-127.1257
24.700001	90.091	-129.6872
25.000000	90.062	-131.5893
25.400000	90.021	-134.1036
25.799999	89.980	-136.5943
26.200001	89.938	-139.0597
26.500000	89.908	-140.8898
26.900000	89.868	-143.3023
27.200001	89.839	-145.0913
27.600000	89.800	-147.4533
28.000000	89.762	-149.7955
28.500000	89.714	-152.7040
29.000000	89.666	-155.5901
29.500000	89.617	-158.4433
30.000000	89.568	-161.2580
30.400000	89.531	-163.4868
30.700001	89.503	-165.1495
31.100000	89.468	-167.3587
31.500000	89.433	-169.5588
32.000000	89.389	-172.2891
32.500000	89.344	-174.9872
33.000000	89.299	-177.6483
33.500000	89.254	179.7222
34.000000	89.209	177.1127
34.500000	89.163	174.5143
35.000000	89.118	171.9290
35.500000	89.079	169.3666
36.000000	89.043	166.8335
36.500000	89.009	164.3252
37.000000	88.975	161.8313
37.500000	88.939	159.3457
38.200001	88.886	155.8800
38.700001	88.846	153.4168
39.500000	88.781	149.5107
40.000000	88.746	147.0992
40.599998	88.707	144.2264
41.200001	88.666	141.3578
41.799999	88.623	138.4997
42.500000	88.575	135.2082
43.099998	88.537	132.4184
43.700001	88.501	129.6400
44.400002	88.462	126.4283
45.000000	88.431	123.7090
45.500000	88.404	121.4412
46.200001	88.364	118.2275
46.799999	88.329	115.4608
47.500000	88.292	112.2759
48.200001	88.255	109.1370
48.700001	88.228	106.9041
49.400002	88.191	103.7849
50.000000	88.160	101.1222
50.799999	88.122	97.5794
51.500000	88.090	94.4890
52.200001	88.058	91.4284
53.000000	88.023	87.9486
53.799999	87.989	84.4562
54.500000	87.961	81.4193
55.200001	87.932	78.4024
56.000000	87.897	74.9592
57.000000	87.855	70.6990
58.000000	87.812	66.4258
59.000000	87.766	62.5161
60.000000	87.717	58.8243
60.799999	87.691	55.2578
61.500000	87.680	51.8995
62.200001	87.664	48.7718
63.000000	87.638	45.4399
64.000000	87.607	41.2757
65.000000	87.573	37.1499
66.000000	87.540	33.0336
67.000000	87.508	28.9394
68.000000	87.475	24.8674
69.000000	87.443	20.7966
70.000000	87.411	16.7421
71.000000	87.380	12.7023
72.000000	87.348	8.6658
73.000000	87.318	4.6205
74.000000	87.292	0.5822
75.000000	87.265	-3.4269
76.199997	87.232	-8.2087
77.500000	87.194	-13.3897
78.800003	87.151	-18.5762
80.000000	87.112	-23.3610
81.199997	87.076	-28.1117
82.500000	87.038	-33.2241
83.800003	86.998	-38.3114
85.000000	86.962	-42.9960
86.199997	86.926	-47.6637
87.500000	86.890	-52.7167
88.500000	86.862	-56.5985
90.000000	86.815	-62.3864
91.199997	86.775	-66.9913
92.500000	86.731	-71.9932
93.800003	86.691	-76.9669
95.000000	86.655	-81.4985
96.199997	86.616	-86.0426
97.500000	86.577	-90.9944
98.800003	86.540	-95.8967
100.000000	86.501	-100.3972
101.500000	86.449	-106.0153
103.000000	86.399	-111.6008
104.400002	86.354	-116.8042
106.000000	86.302	-122.7333
107.500000	86.255	-128.2613
109.000000	86.207	-133.7736
110.599998	86.150	-139.6072
112.000000	86.097	-144.6761
113.800003	86.027	-151.1967
115.000000	85.984	-155.5542
117.199997	85.913	-163.4473
118.000000	85.886	-166.2924
120.599998	85.801	-175.4803
122.000000	85.752	179.6221
124.099998	85.675	172.3120
125.000000	85.641	169.1790
126.500000	85.583	163.9543
128.000000	85.527	158.7453
131.500000	85.401	146.7098
132.000000	85.382	144.9997
134.000000	85.309	138.1800
136.000000	85.238	131.4263
138.000000	85.163	124.7160
140.000000	85.080	117.9914
143.000000	84.963	107.9532
145.000000	84.883	101.3665
147.500000	84.782	93.1938
150.000000	84.679	85.0446
152.500000	84.569	76.9664
155.000000	84.464	68.9824
157.500000	84.373	61.0494
160.000000	84.286	53.1400
162.500000	84.207	45.3167
165.000000	84.129	37.5045
167.500000	84.046	29.6870
170.000000	83.959	21.8804
172.500000	83.870	14.1343
175.000000	83.775	6.4553
177.500000	83.683	-1.1190
180.000000	83.598	-8.5898
182.500000	83.516	-16.0377
185.000000	83.434	-23.5081
187.500000	83.354	-31.0160
190.000000	83.272	-38.4705
192.500000	83.189	-45.8394
195.000000	83.104	-53.1411
197.500000	83.019	-60.3690
200.000000	82.935	-67.5294
203.000000	82.843	-76.0133
206.000000	82.767	-84.4239
209.000000	82.700	-92.8367
212.000000	82.637	-101.3099
214.000000	82.605	-106.9385
218.000000	82.531	-118.1056
220.000000	82.488	-123.6994
224.000000	82.402	-134.7498
227.000000	82.341	-142.9601
230.000000	82.287	-151.1725
233.000000	82.241	-159.3898
236.000000	82.191	-167.5975
240.000000	82.117	-178.5142
243.000000	82.070	173.3835
247.000000	82.020	162.6658
250.000000	81.984	154.6497
254.000000	81.943	143.9795
258.000000	81.907	133.3538
262.000000	81.869	122.7832
265.000000	81.841	114.9246
269.000000	81.810	104.4915
272.000000	81.795	96.6625
276.000000	81.787	86.2206
280.000000	81.786	75.7969
