* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 25, 2025 4:41:44 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (Tp, Std, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.885	108.7526
20.600000	90.864	105.0522
20.900000	90.837	101.0396
21.200001	90.810	97.0304
21.400000	90.793	94.3767
21.799999	90.759	89.1155
22.000000	90.742	86.5050
22.400000	90.704	81.3146
22.700001	90.673	77.4437
23.000000	90.641	73.5905
23.299999	90.609	69.7568
23.600000	90.577	65.9444
24.000000	90.534	60.8942
24.299999	90.502	57.1294
24.700001	90.459	52.1385
25.000000	90.428	48.4191
25.400000	90.385	43.4975
25.799999	90.343	38.6227
26.200001	90.300	33.7896
26.500000	90.268	30.1854
26.900000	90.226	25.3993
27.200001	90.196	21.8232
27.600000	90.157	17.0764
28.000000	90.118	12.3580
28.500000	90.070	6.4984
29.000000	90.020	0.6728
29.500000	89.972	-5.1221
30.000000	89.926	-10.8796
30.400000	89.888	-15.4566
30.700001	89.858	-18.8753
31.100000	89.817	-23.4201
31.500000	89.774	-27.9526
32.000000	89.723	-33.5971
32.500000	89.674	-39.2097
33.000000	89.627	-44.7920
33.500000	89.580	-50.3556
34.000000	89.534	-55.9055
34.500000	89.490	-61.4318
35.000000	89.447	-66.9212
35.500000	89.406	-72.3723
36.000000	89.365	-77.7926
36.500000	89.326	-83.1879
37.000000	89.289	-88.5634
37.500000	89.251	-93.9272
38.200001	89.194	-101.4167
38.700001	89.155	-106.7227
39.500000	89.095	-115.0979
40.000000	89.059	-120.3008
40.599998	89.014	-126.5663
41.200001	88.972	-132.8407
41.799999	88.930	-139.0813
42.500000	88.884	-146.3147
43.099998	88.847	-152.4873
43.700001	88.812	-158.6339
44.400002	88.769	-165.7970
45.000000	88.734	-171.9507
45.500000	88.707	-177.0607
46.200001	88.669	175.8735
46.799999	88.633	169.8837
47.500000	88.592	162.9008
48.200001	88.556	155.9108
48.700001	88.531	150.9312
49.400002	88.494	143.9855
50.000000	88.462	138.0514
50.799999	88.422	130.1575
51.500000	88.389	123.2661
52.200001	88.359	116.4109
53.000000	88.324	108.6268
53.799999	88.291	100.8466
54.500000	88.259	94.0251
55.200001	88.225	87.2305
56.000000	88.190	79.5335
57.000000	88.148	69.9532
58.000000	88.106	60.4147
59.000000	88.062	50.7876
60.000000	88.009	40.9493
60.799999	87.982	33.4181
61.500000	87.968	27.1326
62.200001	87.953	20.8057
63.000000	87.930	13.4049
64.000000	87.900	4.1553
65.000000	87.870	-5.0349
66.000000	87.839	-14.1700
67.000000	87.807	-23.2648
68.000000	87.776	-32.3556
69.000000	87.746	-41.4307
70.000000	87.717	-50.4738
71.000000	87.687	-59.4752
