* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 25, 2025 4:58:53 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (Tp, Std, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.711	169.3712
20.600000	90.687	166.3627
20.900000	90.657	163.1003
21.200001	90.627	159.8401
21.400000	90.608	157.6819
21.799999	90.573	153.4050
22.000000	90.555	151.2851
22.400000	90.518	147.0781
22.700001	90.487	143.9485
23.000000	90.455	140.8395
23.299999	90.423	137.7507
23.600000	90.390	134.6816
24.000000	90.348	130.6172
24.299999	90.317	127.5872
24.700001	90.277	123.5695
25.000000	90.247	120.5750
25.400000	90.206	116.6139
25.799999	90.166	112.6949
26.200001	90.125	108.8169
26.500000	90.094	105.9295
26.900000	90.054	102.0985
27.200001	90.023	99.2359
27.600000	89.983	95.4355
28.000000	89.944	91.6611
28.500000	89.895	86.9878
29.000000	89.846	82.3590
29.500000	89.799	77.7608
30.000000	89.754	73.1875
30.400000	89.718	69.5506
30.700001	89.691	66.8384
31.100000	89.653	63.2443
31.500000	89.615	59.6747
32.000000	89.568	55.2436
32.500000	89.523	50.8428
33.000000	89.479	46.4670
33.500000	89.437	42.1113
34.000000	89.397	37.7731
34.500000	89.359	33.4553
35.000000	89.321	29.1660
35.500000	89.282	24.9132
36.000000	89.242	20.6957
36.500000	89.204	16.4973
37.000000	89.167	12.2951
37.500000	89.130	8.0802
38.200001	89.078	2.1914
38.700001	89.039	-1.9734
39.500000	88.976	-8.5683
40.000000	88.941	-12.6734
40.599998	88.906	-17.5868
41.200001	88.873	-22.4680
41.799999	88.838	-27.3155
42.500000	88.791	-32.9436
43.099998	88.753	-37.7407
43.700001	88.718	-42.5168
44.400002	88.675	-48.1049
45.000000	88.635	-52.9193
45.500000	88.606	-56.9119
46.200001	88.573	-62.4115
46.799999	88.548	-67.0619
47.500000	88.515	-72.4946
48.200001	88.480	-77.9558
48.700001	88.456	-81.8497
49.400002	88.423	-87.2719
50.000000	88.395	-91.8970
50.799999	88.357	-98.0370
51.500000	88.324	-103.3860
52.200001	88.292	-108.7204
53.000000	88.261	-114.7956
53.799999	88.228	-120.8516
54.500000	88.200	-126.1428
55.200001	88.175	-131.4104
56.000000	88.145	-137.4049
57.000000	88.104	-144.8741
58.000000	88.061	-152.2697
59.000000	88.044	-159.7981
60.000000	88.061	-167.3235
60.799999	88.028	-173.0986
61.500000	87.967	-178.1091
62.200001	87.922	176.8179
63.000000	87.897	171.0036
64.000000	87.865	163.7717
65.000000	87.835	156.5543
66.000000	87.803	149.3714
67.000000	87.768	142.2239
68.000000	87.739	135.0880
69.000000	87.708	127.9606
70.000000	87.677	120.8652
71.000000	87.648	113.7936
72.000000	87.621	106.7524
73.000000	87.592	99.7426
74.000000	87.558	92.7331
75.000000	87.524	85.7136
76.199997	87.490	77.3257
77.500000	87.454	68.3483
78.800003	87.419	59.3986
80.000000	87.388	51.1219
81.199997	87.354	42.9023
