* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 6:06:17 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Moca (Ultra Bass, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.523	-140.1053
20.600000	87.512	-142.4071
20.900000	87.497	-144.9017
21.200001	87.480	-147.3953
21.400000	87.470	-149.0473
21.799999	87.448	-152.3250
22.000000	87.437	-153.9513
22.400000	87.413	-157.1821
22.700001	87.395	-159.5883
23.000000	87.377	-161.9813
23.299999	87.358	-164.3609
23.600000	87.340	-166.7259
24.000000	87.315	-169.8537
24.299999	87.297	-172.1791
24.700001	87.273	-175.2525
25.000000	87.256	-177.5387
25.400000	87.235	179.4347
25.799999	87.214	176.4301
26.200001	87.193	173.4456
26.500000	87.176	171.2201
26.900000	87.153	168.2702
27.200001	87.135	166.0709
27.600000	87.111	163.1558
28.000000	87.089	160.2592
28.500000	87.061	156.6614
29.000000	87.033	153.0872
29.500000	87.005	149.5405
30.000000	86.978	146.0289
30.400000	86.957	143.2457
30.700001	86.942	141.1700
31.100000	86.920	138.4112
31.500000	86.899	135.6550
32.000000	86.873	132.2101
32.500000	86.848	128.7749
33.000000	86.825	125.3674
33.500000	86.801	121.9984
34.000000	86.778	118.6608
34.500000	86.753	115.3351
35.000000	86.730	112.0103
35.500000	86.710	108.7007
36.000000	86.691	105.4315
36.500000	86.673	102.2049
37.000000	86.655	98.9913
37.500000	86.636	95.7599
38.200001	86.608	91.2198
38.700001	86.586	88.0062
39.500000	86.544	82.9268
40.000000	86.517	79.7641
40.599998	86.488	75.9762
41.200001	86.464	72.2109
41.799999	86.443	68.4670
42.500000	86.419	64.1207
43.099998	86.394	60.4128
43.700001	86.369	56.6976
44.400002	86.346	52.3340
45.000000	86.330	48.6155
45.500000	86.312	45.5704
46.200001	86.279	41.3710
46.799999	86.252	37.7706
47.500000	86.229	33.5412
48.200001	86.208	29.3120
48.700001	86.190	26.3033
49.400002	86.165	22.1122
50.000000	86.146	18.5470
50.799999	86.122	13.8361
51.500000	86.099	9.7260
52.200001	86.075	5.6086
53.000000	86.051	0.9315
53.799999	86.027	-3.7201
54.500000	86.005	-7.8085
55.200001	85.984	-11.8607
56.000000	85.963	-16.4360
57.000000	85.935	-22.2147
58.000000	85.902	-27.9194
59.000000	85.878	-34.0454
60.000000	85.871	-40.3969
60.799999	85.843	-44.6295
61.500000	85.804	-48.0220
62.200001	85.777	-51.6982
63.000000	85.758	-56.1716
64.000000	85.724	-61.7123
65.000000	85.692	-67.2797
66.000000	85.662	-72.8269
67.000000	85.635	-78.3264
68.000000	85.608	-83.7892
69.000000	85.581	-89.2241
70.000000	85.557	-94.6722
71.000000	85.527	-100.0977
72.000000	85.498	-105.4974
73.000000	85.475	-110.8812
74.000000	85.454	-116.2351
75.000000	85.429	-121.5742
76.199997	85.394	-127.9555
77.500000	85.354	-134.8190
78.800003	85.318	-141.6311
80.000000	85.286	-147.9148
81.199997	85.254	-154.1931
82.500000	85.220	-160.9667
83.800003	85.186	-167.7142
85.000000	85.158	-173.9115
86.199997	85.127	179.9250
87.500000	85.092	173.2597
88.500000	85.064	168.1592
90.000000	85.023	160.5219
91.199997	84.996	154.4564
92.500000	84.963	147.9244
93.800003	84.921	141.3942
95.000000	84.890	135.3781
96.199997	84.862	129.3828
97.500000	84.826	122.9038
98.800003	84.789	116.4509
100.000000	84.757	110.5315
101.500000	84.716	103.1705
103.000000	84.680	95.8276
104.400002	84.643	88.9940
106.000000	84.600	81.2099
107.500000	84.559	73.9515
109.000000	84.519	66.7268
110.599998	84.477	59.0523
112.000000	84.438	52.3421
113.800003	84.388	43.7497
115.000000	84.356	38.0598
117.199997	84.300	27.6398
118.000000	84.279	23.8688
120.599998	84.209	11.7343
122.000000	84.172	5.2352
124.099998	84.119	-4.5238
125.000000	84.096	-8.7068
126.500000	84.059	-15.6597
128.000000	84.019	-22.5608
131.500000	83.923	-38.5414
132.000000	83.910	-40.8195
134.000000	83.856	-49.8980
136.000000	83.805	-58.9769
138.000000	83.759	-68.0850
140.000000	83.720	-77.0125
143.000000	83.643	-90.2515
145.000000	83.587	-99.1736
147.500000	83.521	-110.2494
150.000000	83.462	-121.2263
152.500000	83.405	-132.1482
155.000000	83.342	-143.0193
157.500000	83.277	-153.8549
160.000000	83.218	-164.6031
162.500000	83.160	-175.3013
165.000000	83.101	174.0485
167.500000	83.043	163.4517
170.000000	82.985	152.8868
172.500000	82.929	142.3629
175.000000	82.879	131.9131
177.500000	82.826	121.5182
180.000000	82.771	111.1807
182.500000	82.722	100.8574
185.000000	82.673	90.5908
187.500000	82.623	80.3966
190.000000	82.583	70.2448
192.500000	82.541	60.1360
195.000000	82.497	50.0125
197.500000	82.455	39.9210
200.000000	82.415	29.9182
203.000000	82.365	17.9510
206.000000	82.318	6.0037
209.000000	82.270	-5.8641
212.000000	82.209	-17.6759
214.000000	82.170	-25.5570
218.000000	82.120	-41.1730
220.000000	82.090	-48.8473
224.000000	82.018	-64.0403
227.000000	81.972	-75.2983
230.000000	81.941	-86.4723
233.000000	81.938	-97.7009
236.000000	81.960	-109.0112
240.000000	81.986	-124.1779
243.000000	81.977	-135.5778
247.000000	81.944	-150.6755
250.000000	81.920	-161.9141
254.000000	81.890	-176.7693
258.000000	81.859	168.4381
262.000000	81.824	153.8043
265.000000	81.804	142.9702
269.000000	81.801	128.6407
272.000000	81.819	117.8892
276.000000	81.853	103.4984
280.000000	81.884	89.0804
285.000000	81.917	71.0155
290.000000	81.943	52.9731
295.000000	81.963	35.0262
300.000000	81.980	17.1726
304.000000	81.993	2.9213
307.000000	81.999	-7.7334
311.000000	82.004	-21.8671
315.000000	82.009	-35.9552
320.000000	82.018	-53.5026
325.000000	82.030	-70.9480
330.000000	82.038	-88.3019
335.000000	82.046	-105.5780
340.000000	82.053	-122.7834
345.000000	82.061	-139.9139
350.000000	82.072	-156.9885
355.000000	82.081	-173.9921
360.000000	82.085	169.0796
365.000000	82.089	152.2114
370.000000	82.093	135.4160
375.000000	82.097	118.6991
382.000000	82.100	95.4448
387.000000	82.097	78.8960
395.000000	82.089	52.5881
400.000000	82.083	36.2312
406.000000	82.079	16.6866
412.000000	82.078	-2.7350
418.000000	82.073	-22.0621
425.000000	82.061	-44.5125
431.000000	82.048	-63.6658
437.000000	82.034	-82.7129
444.000000	82.018	-104.8264
450.000000	82.001	-123.6992
455.000000	81.986	-139.3599
462.000000	81.963	-161.1704
468.000000	81.945	-179.7649
475.000000	81.930	158.6667
482.000000	81.921	137.2463
487.000000	81.915	122.0337
494.000000	81.906	100.8086
500.000000	81.898	82.6753
508.000000	81.890	58.6448
515.000000	81.890	37.7666
522.000000	81.893	16.9988
530.000000	81.896	-6.6394
538.000000	81.896	-30.2007
545.000000	81.897	-50.7288
552.000000	81.901	-71.1494
560.000000	81.908	-94.3379
570.000000	81.915	-123.1604
580.000000	81.913	-151.8638
590.000000	81.905	179.5938
600.000000	81.899	151.2715
608.000000	81.894	128.7913
615.000000	81.888	109.2222
622.000000	81.879	89.7400
630.000000	81.866	67.5845
640.000000	81.856	40.0642
650.000000	81.861	12.7441
660.000000	81.872	-14.4028
670.000000	81.874	-41.4534
680.000000	81.867	-68.3682
690.000000	81.857	-95.0869
700.000000	81.845	-121.5427
710.000000	81.832	-147.7583
720.000000	81.819	-173.7693
730.000000	81.802	160.3640
740.000000	81.781	134.6248
750.000000	81.760	109.0464
762.000000	81.738	78.6279
775.000000	81.718	46.0146
788.000000	81.697	13.6550
800.000000	81.675	-16.0278
812.000000	81.655	-45.4888
825.000000	81.642	-77.1057
838.000000	81.636	-108.4192
850.000000	81.633	-137.1216
862.000000	81.631	-165.6665
875.000000	81.634	163.6155
885.000000	81.642	140.1753
900.000000	81.664	105.3308
912.000000	81.689	77.6848
925.000000	81.719	47.8931
938.000000	81.752	18.2454
950.000000	81.789	-8.9648
962.000000	81.833	-35.9746
975.000000	81.890	-64.9983
988.000000	81.955	-93.8215
1000.000000	82.017	-120.3130
1015.000000	82.099	-153.3003
1030.000000	82.187	173.9160
1044.000000	82.278	143.5747
1060.000000	82.390	109.1851
1075.000000	82.500	77.1238
1090.000000	82.610	45.1782
1106.000000	82.730	11.2566
1120.000000	82.838	-18.2136
1138.000000	82.984	-55.7793
1150.000000	83.083	-80.6599
1172.000000	83.260	-126.0728
1180.000000	83.323	-142.5334
1206.000000	83.523	164.2800
1220.000000	83.631	135.9092
1241.000000	83.794	93.7446
1250.000000	83.863	75.7903
1265.000000	83.973	45.9646
1280.000000	84.078	16.2402
1315.000000	84.308	-52.5220
1320.000000	84.340	-62.2471
1340.000000	84.468	-100.8926
1360.000000	84.590	-139.2725
1380.000000	84.698	-177.5767
1400.000000	84.794	144.2090
1430.000000	84.934	87.5483
1450.000000	85.023	50.2876
1475.000000	85.124	4.1143
1500.000000	85.211	-41.7373
1525.000000	85.291	-87.1392
1550.000000	85.371	-131.9102
1575.000000	85.451	-176.1011
1600.000000	85.527	140.0493
1625.000000	85.603	96.4688
1650.000000	85.687	53.3228
1675.000000	85.778	10.6865
1700.000000	85.873	-31.4404
1725.000000	85.962	-73.1929
1750.000000	86.034	-114.6846
1775.000000	86.092	-155.8750
1800.000000	86.143	163.4277
1825.000000	86.197	123.3418
1850.000000	86.257	83.7920
1875.000000	86.330	44.5996
1900.000000	86.422	5.6567
1925.000000	86.538	-33.0176
1950.000000	86.676	-71.3550
1975.000000	86.824	-109.3457
2000.000000	86.964	-147.0713
2030.000000	87.107	167.8813
2060.000000	87.222	123.0811
2090.000000	87.316	78.7158
2120.000000	87.396	34.9678
2140.000000	87.445	6.2495
2180.000000	87.540	-50.0884
2200.000000	87.583	-77.8750
2240.000000	87.662	-133.0107
2270.000000	87.726	-173.8496
2300.000000	87.801	145.8979
2330.000000	87.886	106.2256
2360.000000	87.975	66.9561
2400.000000	88.090	14.9761
2430.000000	88.173	-23.7070
2470.000000	88.281	-74.5947
2500.000000	88.363	-112.1318
2540.000000	88.471	-161.4927
2580.000000	88.571	149.6211
2620.000000	88.661	101.1104
2650.000000	88.723	65.1040
2690.000000	88.795	17.7627
2720.000000	88.843	-17.1660
2760.000000	88.894	-63.0996
2800.000000	88.921	-108.5605
2850.000000	88.916	-164.8281
2900.000000	88.878	139.9546
2950.000000	88.810	86.1440
3000.000000	88.712	33.5049
3040.000000	88.616	-8.0195
3070.000000	88.539	-38.8394
3110.000000	88.438	-79.3374
3150.000000	88.343	-118.9917
3200.000000	88.234	-167.4058
3250.000000	88.129	145.0679
3300.000000	88.017	98.1240
3350.000000	87.896	51.9160
3400.000000	87.767	6.7998
3450.000000	87.629	-37.1045
3500.000000	87.483	-80.0039
3550.000000	87.336	-122.1284
3600.000000	87.197	-163.6587
3650.000000	87.070	155.5718
3700.000000	86.956	115.8101
3750.000000	86.848	77.1147
3820.000000	86.698	24.2466
3870.000000	86.589	-12.8823
3950.000000	86.425	-70.9478
4000.000000	86.333	-106.0464
4060.000000	86.230	-146.9019
4120.000000	86.130	173.2373
4180.000000	86.028	134.0479
4250.000000	85.912	89.2109
4310.000000	85.813	51.3477
4370.000000	85.716	13.9248
4440.000000	85.619	-28.7412
4500.000000	85.548	-64.5942
4550.000000	85.497	-93.9966
4620.000000	85.440	-134.1440
4680.000000	85.407	-167.3945
4750.000000	85.387	155.3027
4820.000000	85.386	119.2324
4870.000000	85.394	93.9644
4940.000000	85.420	59.1792
5000.000000	85.461	30.1455
5080.000000	85.550	-7.0386
5150.000000	85.660	-38.1572
5220.000000	85.796	-68.3877
5300.000000	85.978	-102.2969
5380.000000	86.184	-135.4297
5450.000000	86.381	-163.4336
5520.000000	86.586	169.6387
5600.000000	86.812	139.8730
5700.000000	87.050	103.5078
5800.000000	87.204	68.0225
5900.000000	87.255	34.1621
6000.000000	87.199	2.6953
6080.000000	87.079	-20.7393
6150.000000	86.926	-40.2178
6220.000000	86.738	-58.8672
6300.000000	86.499	-79.0283
6400.000000	86.197	-102.0352
6500.000000	85.919	-122.3262
6600.000000	85.672	-140.3037
6700.000000	85.461	-156.1719
6800.000000	85.309	-169.1836
6900.000000	85.220	-179.2627
7000.000000	85.196	173.0918
7100.000000	85.241	167.3428
7200.000000	85.356	162.8359
7300.000000	85.539	159.2334
7400.000000	85.797	156.7725
7500.000000	86.135	155.7500
7620.000000	86.643	156.1816
7750.000000	87.275	157.4531
7880.000000	87.870	158.1582
8000.000000	88.214	158.1094
8120.000000	88.202	158.6484
8250.000000	87.707	161.8691
8380.000000	86.780	169.0156
8500.000000	85.685	179.2197
8620.000000	84.498	-167.2266
8750.000000	83.216	-148.5352
8850.000000	82.274	-131.1836
9000.000000	80.955	-100.9062
9120.000000	79.983	-73.9785
9250.000000	79.007	-42.9258
9380.000000	78.110	-9.7441
9500.000000	77.349	23.3018
9620.000000	76.647	58.9199
9750.000000	75.943	99.8945
9880.000000	75.289	142.5811
10000.000000	74.724	-176.8447
10150.000000	74.074	-124.0195
10300.000000	73.483	-68.2178
10440.000000	72.989	-12.7588
10600.000000	72.490	54.0698
10750.000000	72.087	118.7764
10900.000000	71.742	-175.3169
11060.000000	71.433	-102.8535
11200.000000	71.208	-36.5610
11380.000000	70.975	52.9946
11500.000000	70.855	114.6899
11720.000000	70.717	-130.1470
11800.000000	70.697	-87.6372
12060.000000	70.735	54.6084
12200.000000	70.817	135.5898
12410.000000	71.047	-98.1475
12500.000000	71.192	-43.1069
12650.000000	71.505	48.7246
12800.000000	71.902	141.6406
13150.000000	73.127	4.8760
13200.000000	73.344	38.4199
13400.000000	74.359	175.6777
13600.000000	75.666	-43.5928
13800.000000	77.318	95.8657
14000.000000	79.263	-122.0986
14300.000000	81.915	78.7114
14500.000000	82.545	-178.0845
14750.000000	81.372	-51.0635
15000.000000	78.710	121.7554
15250.000000	75.795	-34.4976
15500.000000	73.262	176.3159
15750.000000	71.146	30.3521
16000.000000	69.329	-113.4624
16250.000000	67.733	107.0898
16500.000000	66.311	-34.3784
16750.000000	64.976	-157.5007
17000.000000	63.576	69.6589
17250.000000	61.931	-47.8079
17500.000000	59.831	175.8999
17750.000000	57.181	42.3374
18000.000000	55.065	-129.3071
18250.000000	55.643	1.0979
18500.000000	56.944	-176.6279
18750.000000	57.562	88.5552
19000.000000	58.264	18.1313
19250.000000	59.345	-65.6746
19500.000000	60.407	-146.3247
19750.000000	61.153	92.3896
20000.000000	61.494	61.6418
