* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at 0.0 dBFS with no timing reference
* Dated: Apr 23, 2025 7:14:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Moca (Ultra Bass, Nuarl 7)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.959	-98.8041
20.600000	87.940	-100.6301
20.900000	87.919	-102.6006
21.200001	87.900	-104.5617
21.400000	87.889	-105.8577
21.799999	87.869	-108.4280
22.000000	87.858	-109.7051
22.400000	87.834	-112.2470
22.700001	87.812	-114.1415
23.000000	87.790	-116.0223
23.299999	87.767	-117.8859
23.600000	87.746	-119.7308
24.000000	87.721	-122.1645
24.299999	87.704	-123.9746
24.700001	87.681	-126.3746
25.000000	87.662	-128.1661
25.400000	87.635	-130.5405
25.799999	87.606	-132.8915
26.200001	87.578	-135.2137
26.500000	87.559	-136.9362
26.900000	87.534	-139.2114
27.200001	87.516	-140.9048
27.600000	87.492	-143.1482
28.000000	87.468	-145.3746
28.500000	87.439	-148.1311
29.000000	87.409	-150.8613
29.500000	87.379	-153.5766
30.000000	87.348	-156.2830
30.400000	87.323	-158.4348
30.700001	87.305	-160.0342
31.100000	87.283	-162.1440
31.500000	87.261	-164.2333
32.000000	87.235	-166.8375
32.500000	87.207	-169.4499
33.000000	87.180	-172.0588
33.500000	87.152	-174.6358
34.000000	87.123	-177.1709
34.500000	87.094	-179.6815
35.000000	87.069	177.8115
35.500000	87.048	175.3052
36.000000	87.027	172.8084
36.500000	87.003	170.3300
37.000000	86.976	167.8805
37.500000	86.949	165.4745
38.200001	86.918	162.1748
38.700001	86.896	159.8189
39.500000	86.858	155.9685
40.000000	86.834	153.5432
40.599998	86.808	150.6794
41.200001	86.785	147.8654
41.799999	86.761	145.0621
42.500000	86.730	141.8048
43.099998	86.700	139.0463
43.700001	86.673	136.2990
44.400002	86.651	133.0765
45.000000	86.635	130.3167
45.500000	86.617	128.0325
46.200001	86.582	124.8501
46.799999	86.550	122.1335
47.500000	86.519	118.9963
48.200001	86.493	115.8915
48.700001	86.474	113.6775
49.400002	86.448	110.5773
50.000000	86.427	107.9308
50.799999	86.397	104.4250
51.500000	86.369	101.3675
52.200001	86.344	98.3145
53.000000	86.316	94.8360
53.799999	86.286	91.3781
54.500000	86.265	88.3706
55.200001	86.242	85.3583
56.000000	86.209	81.9205
57.000000	86.176	77.6982
58.000000	86.143	73.4418
59.000000	86.151	69.4763
60.000000	86.188	65.8347
60.799999	86.141	62.4140
61.500000	86.066	59.1288
62.200001	86.015	56.0136
63.000000	85.987	52.6985
64.000000	85.957	48.5667
65.000000	85.928	44.4735
66.000000	85.896	40.3975
67.000000	85.861	36.3437
68.000000	85.828	32.3086
69.000000	85.796	28.2715
70.000000	85.761	24.2383
71.000000	85.727	20.2155
72.000000	85.697	16.2213
73.000000	85.669	12.2393
74.000000	85.638	8.2736
75.000000	85.610	4.3354
76.199997	85.581	-0.3533
77.500000	85.543	-5.4294
78.800003	85.496	-10.5356
80.000000	85.455	-15.2232
81.199997	85.420	-19.8317
82.500000	85.385	-24.8285
83.800003	85.351	-29.8263
85.000000	85.316	-34.4120
86.199997	85.280	-38.9796
87.500000	85.242	-43.8977
88.500000	85.213	-47.6738
90.000000	85.172	-53.2928
91.199997	85.134	-57.7516
92.500000	85.093	-62.5960
93.800003	85.057	-67.4257
95.000000	85.020	-71.8706
96.199997	84.981	-76.3161
97.500000	84.941	-81.0918
98.800003	84.902	-85.8172
100.000000	84.864	-90.1837
101.500000	84.820	-95.6365
103.000000	84.780	-101.0455
104.400002	84.744	-106.0661
106.000000	84.698	-111.7769
107.500000	84.654	-117.1134
109.000000	84.611	-122.4211
