* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 13, 2026 1:01:34 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pudding (ANC, Reference)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.306	134.0956
20.600000	91.348	131.2734
20.900000	91.401	128.1916
21.200001	91.454	125.1124
21.400000	91.486	123.0794
21.799999	91.535	119.0475
22.000000	91.554	117.0339
22.400000	91.587	112.9737
22.700001	91.613	109.8829
23.000000	91.646	106.7536
23.299999	91.681	103.5966
23.600000	91.716	100.4252
24.000000	91.755	96.1913
24.299999	91.777	93.0195
24.700001	91.800	88.8036
25.000000	91.817	85.6569
25.400000	91.845	81.4864
25.799999	91.877	77.3390
26.200001	91.909	73.1967
26.500000	91.930	70.0806
26.900000	91.953	65.9028
27.200001	91.967	62.7519
27.600000	91.982	58.5351
28.000000	91.996	54.3145
28.500000	92.010	49.0579
29.000000	92.019	43.8455
29.500000	92.027	38.6837
30.000000	92.036	33.5512
30.400000	92.046	29.4425
30.700001	92.053	26.3513
31.100000	92.059	22.2189
31.500000	92.057	18.0871
32.000000	92.044	12.9473
32.500000	92.024	7.8492
33.000000	92.009	2.7899
33.500000	92.002	-2.2378
34.000000	91.996	-7.2347
34.500000	91.983	-12.2003
35.000000	91.960	-17.1392
35.500000	91.930	-22.0648
36.000000	91.899	-26.9974
36.500000	91.872	-31.9531
37.000000	91.852	-36.9229
37.500000	91.838	-41.8645
38.200001	91.811	-48.6485
38.700001	91.777	-53.3967
39.500000	91.709	-60.9484
40.000000	91.675	-65.6778
40.599998	91.644	-71.3229
41.200001	91.609	-76.9080
41.799999	91.563	-82.4857
42.500000	91.509	-89.0295
43.099998	91.468	-94.5794
43.700001	91.426	-100.0147
44.400002	91.370	-106.3615
45.000000	91.324	-111.9405
45.500000	91.287	-116.6197
46.200001	91.230	-123.0057
46.799999	91.175	-128.3269
47.500000	91.123	-134.5362
48.200001	91.089	-140.7547
48.700001	91.060	-145.1469
49.400002	90.999	-151.2852
50.000000	90.938	-156.6133
50.799999	90.859	-163.6965
51.500000	90.787	-169.7547
52.200001	90.720	-175.7767
53.000000	90.668	177.3355
53.799999	90.617	170.5610
54.500000	90.553	164.6719
55.200001	90.492	158.7371
56.000000	90.437	151.9637
57.000000	90.363	143.5237
58.000000	90.294	135.0842
59.000000	90.226	126.7624
60.000000	90.151	118.5293
60.799999	90.090	111.9795
61.500000	90.038	106.2255
62.200001	89.992	100.4481
63.000000	89.941	93.8593
64.000000	89.869	85.6793
65.000000	89.784	77.6272
66.000000	89.704	69.6457
67.000000	89.639	61.6640
68.000000	89.560	53.7288
69.000000	89.467	45.8689
70.000000	89.385	38.0535
71.000000	89.314	30.1488
72.000000	89.242	22.2629
73.000000	89.161	14.4937
74.000000	89.077	6.7269
75.000000	89.005	-1.0323
76.199997	88.934	-10.3350
77.500000	88.843	-20.2999
78.800003	88.746	-30.1086
80.000000	88.654	-39.2521
81.199997	88.565	-48.3500
82.500000	88.487	-58.1151
83.800003	88.409	-67.8437
85.000000	88.317	-76.7521
86.199997	88.218	-85.5417
87.500000	88.111	-95.0801
88.500000	88.036	-102.4982
90.000000	87.940	-113.5389
91.199997	87.857	-122.3565
92.500000	87.758	-131.8064
93.800003	87.664	-141.1342
95.000000	87.591	-149.6594
96.199997	87.519	-158.1620
97.500000	87.443	-167.4830
98.800003	87.369	-176.7978
100.000000	87.287	174.7057
101.500000	87.169	164.0532
103.000000	87.058	153.5174
104.400002	86.974	143.8582
106.000000	86.871	132.9144
107.500000	86.761	122.5648
109.000000	86.670	112.2369
110.599998	86.572	101.3619
112.000000	86.479	91.8207
113.800003	86.356	79.6195
115.000000	86.276	71.5585
117.199997	86.148	56.8757
118.000000	86.103	51.5217
120.599998	85.952	34.2534
122.000000	85.871	25.0764
124.099998	85.756	11.1142
125.000000	85.720	5.1415
126.500000	85.654	-4.6460
128.000000	85.564	-14.3592
131.500000	85.367	-36.9011
132.000000	85.341	-40.0501
134.000000	85.238	-52.7225
136.000000	85.130	-65.4562
138.000000	85.034	-78.1367
140.000000	84.961	-90.6403
143.000000	84.829	-109.3914
145.000000	84.740	-121.9320
147.500000	84.623	-137.3350
150.000000	84.512	-152.5657
152.500000	84.395	-167.8335
155.000000	84.295	176.9468
157.500000	84.216	161.7156
160.000000	84.140	146.4236
162.500000	84.076	131.3010
165.000000	84.019	116.5303
167.500000	83.949	101.7953
170.000000	83.863	86.9717
172.500000	83.787	72.2574
175.000000	83.721	57.5895
177.500000	83.667	42.9904
180.000000	83.630	28.5270
182.500000	83.592	14.0201
185.000000	83.541	-0.5880
187.500000	83.485	-15.0536
190.000000	83.449	-29.3302
192.500000	83.421	-43.5465
195.000000	83.382	-57.7561
197.500000	83.337	-72.0034
200.000000	83.298	-86.2808
203.000000	83.264	-103.1102
206.000000	83.265	-119.9231
209.000000	83.280	-136.7631
212.000000	83.261	-153.4489
214.000000	83.236	-164.6315
218.000000	83.203	173.3041
220.000000	83.192	162.4093
224.000000	83.194	140.4777
227.000000	83.211	123.9404
230.000000	83.234	107.5525
233.000000	83.251	91.2045
236.000000	83.249	75.0067
240.000000	83.248	53.5442
243.000000	83.270	37.3931
247.000000	83.306	15.8889
250.000000	83.327	-0.1569
254.000000	83.336	-21.4141
258.000000	83.348	-42.6516
262.000000	83.377	-63.7876
265.000000	83.400	-79.5361
269.000000	83.431	-100.5016
272.000000	83.459	-116.1785
276.000000	83.492	-136.9312
280.000000	83.521	-157.6490
285.000000	83.554	176.5554
290.000000	83.594	150.9031
295.000000	83.637	125.3181
300.000000	83.698	99.8221
304.000000	83.750	79.6207
307.000000	83.794	64.5306
311.000000	83.857	44.3594
315.000000	83.915	24.2600
320.000000	83.976	-0.8477
325.000000	84.028	-25.9412
330.000000	84.107	-50.6996
335.000000	84.182	-75.3604
340.000000	84.242	-100.1760
345.000000	84.303	-124.8313
350.000000	84.365	-149.1497
355.000000	84.443	-173.3013
360.000000	84.525	162.4780
365.000000	84.605	138.3049
370.000000	84.658	114.3677
375.000000	84.688	90.3652
