* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 13, 2026 12:54:08 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Pudding (Reference)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.062	172.6900
20.600000	93.074	169.8176
20.900000	93.080	166.7312
21.200001	93.080	163.6536
21.400000	93.077	161.6037
21.799999	93.069	157.4725
22.000000	93.065	155.3798
22.400000	93.059	151.1367
22.700001	93.055	147.9265
23.000000	93.052	144.7310
23.299999	93.046	141.5913
23.600000	93.037	138.5392
24.000000	93.022	134.6162
24.299999	93.009	131.7500
24.700001	92.996	127.9334
25.000000	92.989	125.0123
25.400000	92.977	121.0063
25.799999	92.955	116.9339
26.200001	92.915	112.9153
26.500000	92.875	109.9828
26.900000	92.822	106.1441
27.200001	92.798	103.2374
27.600000	92.801	99.2131
28.000000	92.850	95.0420
28.500000	92.947	89.9908
29.000000	93.013	85.6271
29.500000	92.987	81.9266
30.000000	92.875	78.1090
30.400000	92.776	74.3953
30.700001	92.732	71.1782
31.100000	92.736	66.6597
31.500000	92.795	62.4273
32.000000	92.866	57.9840
32.500000	92.861	54.0602
33.000000	92.791	49.8282
33.500000	92.727	45.0550
34.000000	92.711	40.2500
34.500000	92.722	35.8322
35.000000	92.725	31.5767
35.500000	92.713	27.0618
36.000000	92.691	22.2951
36.500000	92.657	17.6645
37.000000	92.610	13.4037
37.500000	92.570	9.3701
38.200001	92.562	3.6491
38.700001	92.573	-0.5713
39.500000	92.550	-7.4913
40.000000	92.507	-11.9392
40.599998	92.465	-17.3364
41.200001	92.467	-22.6544
41.799999	92.495	-27.8523
42.500000	92.487	-33.7951
43.099998	92.420	-38.7126
43.700001	92.355	-43.4817
44.400002	92.341	-49.2434
45.000000	92.329	-54.6170
45.500000	92.278	-59.2203
46.200001	92.194	-65.2652
46.799999	92.201	-69.9695
47.500000	92.276	-75.4686
48.200001	92.281	-81.2868
48.700001	92.212	-85.4717
49.400002	92.090	-91.1922
50.000000	92.036	-96.0125
50.799999	92.014	-102.3973
51.500000	91.986	-107.9623
52.200001	91.969	-113.5287
53.000000	91.992	-119.8705
53.799999	91.996	-126.4157
54.500000	91.959	-132.3578
55.200001	91.903	-138.1384
56.000000	91.828	-144.5679
57.000000	91.710	-152.7827
58.000000	91.494	-160.3744
59.000000	91.359	-167.4183
60.000000	91.469	-174.5883
60.799999	91.519	179.3297
61.500000	91.483	173.6217
62.200001	91.425	167.8804
63.000000	91.356	161.5508
64.000000	91.276	153.6689
65.000000	91.215	145.7490
66.000000	91.165	138.0497
67.000000	91.134	130.5887
68.000000	91.079	123.2173
69.000000	91.001	115.8257
70.000000	90.930	108.4759
71.000000	90.859	101.1788
72.000000	90.800	93.8778
73.000000	90.753	86.6349
74.000000	90.664	79.4782
75.000000	90.545	72.2310
76.199997	90.434	63.4458
77.500000	90.314	54.2447
78.800003	90.196	45.0915
80.000000	90.137	36.8404
81.199997	90.099	28.5984
82.500000	90.056	19.4496
83.800003	90.026	10.2985
85.000000	89.978	1.7477
86.199997	89.914	-6.8458
87.500000	89.835	-16.0406
88.500000	89.780	-23.0066
90.000000	89.699	-33.2784
91.199997	89.624	-41.5263
92.500000	89.536	-50.5613
93.800003	89.430	-59.4822
95.000000	89.326	-67.6008
96.199997	89.232	-75.8809
97.500000	89.164	-84.8528
98.800003	89.100	-93.6141
100.000000	89.026	-101.5724
101.500000	88.923	-111.3967
103.000000	88.816	-121.2346
104.400002	88.713	-130.4989
106.000000	88.588	-141.1830
107.500000	88.481	-151.0496
109.000000	88.387	-160.8941
110.599998	88.296	-171.2407
112.000000	88.219	179.8513
113.800003	88.104	168.3181
115.000000	88.023	160.5816
117.199997	87.895	146.5139
118.000000	87.847	141.3961
120.599998	87.678	124.8796
122.000000	87.588	116.1674
124.099998	87.453	103.1672
125.000000	87.393	97.5847
126.500000	87.308	88.2587
128.000000	87.246	78.9388
131.500000	87.074	57.5050
132.000000	87.044	54.4395
134.000000	86.928	42.1884
136.000000	86.827	30.1180
138.000000	86.741	18.2413
140.000000	86.639	6.3653
143.000000	86.504	-11.7272
145.000000	86.456	-23.7247
147.500000	86.369	-38.4737
150.000000	86.248	-53.2385
152.500000	86.143	-67.8450
155.000000	86.037	-82.1708
157.500000	85.950	-96.5205
160.000000	85.866	-111.0505
162.500000	85.797	-125.5444
165.000000	85.745	-139.8372
167.500000	85.675	-154.1256
170.000000	85.589	-168.4126
172.500000	85.523	177.4454
175.000000	85.467	163.4240
177.500000	85.410	149.3884
180.000000	85.368	135.3602
182.500000	85.331	121.2802
185.000000	85.290	107.2739
187.500000	85.248	93.2937
190.000000	85.213	79.3586
192.500000	85.180	65.6144
195.000000	85.147	51.8842
197.500000	85.111	38.1720
200.000000	85.070	24.3687
203.000000	85.060	7.9554
206.000000	85.064	-8.3483
209.000000	85.061	-24.7012
212.000000	85.046	-40.8616
214.000000	85.030	-51.6625
218.000000	84.995	-73.3864
220.000000	84.988	-84.1620
224.000000	85.000	-105.6045
227.000000	85.019	-121.7766
230.000000	85.031	-137.8525
233.000000	85.039	-153.8523
236.000000	85.052	-169.8541
240.000000	85.063	168.8096
243.000000	85.065	152.8745
247.000000	85.079	131.6637
250.000000	85.098	115.8801
254.000000	85.115	94.8888
258.000000	85.118	73.9159
262.000000	85.118	52.9910
265.000000	85.129	37.3595
269.000000	85.151	16.5776
272.000000	85.168	0.9949
276.000000	85.184	-19.7457
280.000000	85.195	-40.3926
285.000000	85.223	-66.0726
290.000000	85.239	-91.6941
295.000000	85.255	-117.3193
