* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 13, 2026 12:59:05 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pudding (Reference)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	93.062	117.5200
20.600000	93.040	114.2295
20.900000	93.005	110.6654
21.200001	92.969	107.0504
21.400000	92.950	104.6087
21.799999	92.926	99.6533
22.000000	92.922	97.1542
22.400000	92.919	92.1551
22.700001	92.915	88.4256
23.000000	92.906	84.7185
23.299999	92.893	81.0323
23.600000	92.880	77.3671
24.000000	92.866	72.5134
24.299999	92.858	68.8934
24.700001	92.849	64.0746
25.000000	92.841	60.4550
25.400000	92.826	55.6295
25.799999	92.809	50.8500
26.200001	92.789	46.1670
26.500000	92.772	42.7197
26.900000	92.747	38.1603
27.200001	92.728	34.7203
27.600000	92.707	30.0622
28.000000	92.694	25.3395
28.500000	92.687	19.4507
29.000000	92.678	13.6681
29.500000	92.664	7.9651
30.000000	92.646	2.2758
30.400000	92.631	-2.2616
30.700001	92.618	-5.6355
31.100000	92.596	-10.0826
31.500000	92.570	-14.4905
32.000000	92.541	-20.0159
32.500000	92.525	-25.6063
33.000000	92.519	-31.2227
33.500000	92.507	-36.7870
34.000000	92.484	-42.2793
34.500000	92.458	-47.7516
35.000000	92.439	-53.2540
35.500000	92.429	-58.7639
36.000000	92.416	-64.2045
36.500000	92.392	-69.5282
37.000000	92.362	-74.7742
37.500000	92.338	-80.0419
38.200001	92.319	-87.5839
38.700001	92.307	-93.0535
39.500000	92.270	-101.6755
40.000000	92.244	-106.8789
40.599998	92.217	-113.0165
41.200001	92.193	-119.2493
41.799999	92.166	-125.6729
42.500000	92.129	-133.2033
43.099998	92.097	-139.4810
43.700001	92.066	-145.6115
44.400002	92.039	-152.7334
45.000000	92.018	-158.8628
45.500000	91.996	-163.9875
46.200001	91.960	-171.1927
46.799999	91.940	-177.3510
47.500000	91.925	175.5941
48.200001	91.894	168.6490
48.700001	91.859	163.6550
49.400002	91.814	156.5433
50.000000	91.788	150.4064
50.799999	91.751	142.3553
51.500000	91.704	135.4530
52.200001	91.658	128.5648
53.000000	91.624	120.6526
53.799999	91.587	112.7662
54.500000	91.542	105.8699
55.200001	91.494	98.9663
56.000000	91.443	91.1648
57.000000	91.372	81.5040
58.000000	91.303	71.7843
59.000000	91.246	62.0949
60.000000	91.192	52.4102
60.799999	91.149	44.7205
61.500000	91.116	38.0544
62.200001	91.082	31.4123
63.000000	91.026	23.8769
64.000000	90.941	14.6034
65.000000	90.862	5.3485
66.000000	90.792	-4.0262
67.000000	90.739	-13.3807
68.000000	90.680	-22.6132
69.000000	90.594	-31.8217
70.000000	90.527	-41.0795
71.000000	90.497	-50.3555
72.000000	90.449	-59.5747
73.000000	90.363	-68.7234
74.000000	90.272	-77.7595
75.000000	90.186	-86.7085
76.199997	90.125	-97.5458
77.500000	90.050	-109.2321
78.800003	89.941	-120.8786
80.000000	89.856	-131.6122
81.199997	89.758	-142.1211
82.500000	89.673	-153.6443
83.800003	89.593	-165.1082
85.000000	89.525	-175.6299
86.199997	89.461	173.9035
87.500000	89.363	162.7166
88.500000	89.276	154.1516
90.000000	89.157	141.2689
91.199997	89.085	130.9413
92.500000	88.998	119.8317
93.800003	88.899	108.7086
95.000000	88.803	98.5878
96.199997	88.693	88.5469
97.500000	88.579	77.5751
98.800003	88.488	66.5865
100.000000	88.404	56.4612
101.500000	88.298	43.9413
103.000000	88.194	31.6356
104.400002	88.105	20.2153
106.000000	87.994	7.0761
107.500000	87.912	-5.2336
109.000000	87.834	-17.4268
110.599998	87.715	-30.3265
112.000000	87.604	-41.6108
113.800003	87.488	-56.0502
115.000000	87.423	-65.6006
117.199997	87.315	-83.1825
118.000000	87.264	-89.6216
120.599998	87.065	-110.3199
122.000000	86.978	-121.3473
124.099998	86.870	-137.6367
125.000000	86.821	-144.6018
126.500000	86.721	-156.2511
128.000000	86.614	-167.9083
131.500000	86.413	165.0535
132.000000	86.385	161.2252
134.000000	86.271	145.9635
136.000000	86.158	130.6858
138.000000	86.058	115.4613
140.000000	85.972	100.4058
143.000000	85.838	77.9675
145.000000	85.746	63.0245
147.500000	85.649	44.4436
150.000000	85.548	25.8978
152.500000	85.434	7.3997
155.000000	85.347	-11.0560
157.500000	85.261	-29.3110
160.000000	85.171	-47.4808
162.500000	85.089	-65.5721
165.000000	85.024	-83.8075
167.500000	84.951	-101.7943
170.000000	84.863	-119.6930
172.500000	84.793	-137.6448
175.000000	84.737	-155.2434
177.500000	84.682	-172.7334
180.000000	84.609	169.5610
182.500000	84.544	151.7861
185.000000	84.518	134.1913
187.500000	84.480	116.5924
190.000000	84.426	98.8958
192.500000	84.382	81.2964
195.000000	84.348	63.8625
197.500000	84.315	46.5288
200.000000	84.279	29.2511
203.000000	84.244	8.4244
206.000000	84.223	-12.1393
209.000000	84.195	-32.5869
212.000000	84.160	-53.0884
214.000000	84.132	-66.6450
218.000000	84.112	-93.6611
220.000000	84.133	-107.0709
224.000000	84.219	-133.9220
227.000000	84.255	-154.3171
230.000000	84.256	-174.7529
233.000000	84.254	164.9083
236.000000	84.258	144.7527
240.000000	84.274	117.9878
243.000000	84.279	98.0247
247.000000	84.265	71.2410
250.000000	84.270	51.2578
254.000000	84.296	24.7513
258.000000	84.312	-1.5345
262.000000	84.329	-27.7194
265.000000	84.341	-47.3719
269.000000	84.350	-73.6492
272.000000	84.349	-93.2661
276.000000	84.351	-119.3315
280.000000	84.358	-145.3828
285.000000	84.363	-177.6509
290.000000	84.381	150.1455
295.000000	84.406	118.0027
300.000000	84.420	86.0095
304.000000	84.427	60.4902
307.000000	84.435	41.4263
311.000000	84.445	16.0884
315.000000	84.454	-9.1313
320.000000	84.464	-40.5747
325.000000	84.476	-71.9854
330.000000	84.503	-103.2920
335.000000	84.522	-134.4124
340.000000	84.507	-165.4414
345.000000	84.488	163.5151
350.000000	84.488	132.5747
355.000000	84.504	101.8936
360.000000	84.511	71.3569
365.000000	84.508	40.6829
370.000000	84.511	10.2058
375.000000	84.529	-19.8948
382.000000	84.553	-61.7849
387.000000	84.556	-91.6313
395.000000	84.569	-139.3081
400.000000	84.555	-169.0010
406.000000	84.536	155.3708
412.000000	84.534	119.8811
418.000000	84.528	84.5430
425.000000	84.514	43.7612
431.000000	84.507	8.9834
437.000000	84.494	-25.7522
444.000000	84.477	-66.2776
450.000000	84.471	-100.7083
455.000000	84.457	-129.1787
462.000000	84.441	-169.2434
468.000000	84.445	156.4866
475.000000	84.438	116.8184
482.000000	84.430	77.3213
487.000000	84.418	49.3359
494.000000	84.385	10.1699
500.000000	84.364	-23.3311
508.000000	84.356	-67.7002
515.000000	84.340	-106.2832
522.000000	84.319	-144.7939
530.000000	84.294	171.3574
538.000000	84.258	127.5823
545.000000	84.223	89.4868
552.000000	84.192	51.6567
560.000000	84.152	8.6101
570.000000	84.101	-44.9148
580.000000	84.054	-97.9761
590.000000	84.003	-150.7231
600.000000	83.957	156.7791
608.000000	83.907	115.0315
