* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 13, 2026 1:00:36 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pudding (TP, Reference)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.299	-155.2599
20.600000	91.342	-157.5025
20.900000	91.385	-159.9749
21.200001	91.427	-162.4529
21.400000	91.455	-164.0818
21.799999	91.513	-167.2753
22.000000	91.543	-168.8519
22.400000	91.608	-172.0163
22.700001	91.656	-174.4335
23.000000	91.702	-176.8969
23.299999	91.741	-179.3895
23.600000	91.771	178.1168
24.000000	91.800	174.8304
24.299999	91.817	172.4035
24.700001	91.842	169.2002
25.000000	91.867	166.8043
25.400000	91.908	163.6061
25.799999	91.949	160.4119
26.200001	91.978	157.2326
26.500000	91.989	154.8539
26.900000	91.991	151.6725
27.200001	91.991	149.2702
27.600000	91.998	146.0532
28.000000	92.016	142.8482
28.500000	92.043	138.8954
29.000000	92.058	134.9888
29.500000	92.054	131.0849
30.000000	92.041	127.1963
30.400000	92.031	124.1440
30.700001	92.025	121.9064
31.100000	92.016	118.9777
31.500000	92.005	116.0641
32.000000	91.990	112.3636
32.500000	91.977	108.5809
33.000000	91.966	104.7830
33.500000	91.955	101.0411
34.000000	91.939	97.3614
34.500000	91.923	93.7069
35.000000	91.906	90.0568
35.500000	91.889	86.4264
36.000000	91.868	82.8420
36.500000	91.843	79.3155
37.000000	91.817	75.8367
37.500000	91.792	72.3756
38.200001	91.760	67.4896
38.700001	91.738	63.9622
39.500000	91.695	58.3946
40.000000	91.661	55.0411
40.599998	91.615	51.1009
41.200001	91.571	47.1275
41.799999	91.533	43.0709
42.500000	91.491	38.3178
43.099998	91.453	34.3020
43.700001	91.416	30.3636
44.400002	91.378	25.8712
45.000000	91.344	22.0610
45.500000	91.314	18.8517
46.200001	91.272	14.2753
46.799999	91.243	10.3663
47.500000	91.214	5.9562
48.200001	91.174	1.6641
48.700001	91.135	-1.4293
49.400002	91.076	-5.8717
50.000000	91.034	-9.7234
50.799999	90.984	-14.7471
51.500000	90.932	-19.0280
52.200001	90.880	-23.3037
53.000000	90.834	-28.1904
53.799999	90.787	-33.0179
54.500000	90.740	-37.2502
55.200001	90.691	-41.5118
56.000000	90.634	-46.3125
57.000000	90.560	-52.2017
58.000000	90.487	-58.1091
59.000000	90.416	-63.9866
60.000000	90.350	-69.8702
60.799999	90.296	-74.5666
61.500000	90.252	-78.6351
62.200001	90.215	-82.6672
63.000000	90.165	-87.1917
64.000000	90.082	-92.7014
65.000000	89.990	-98.2454
66.000000	89.909	-103.8801
67.000000	89.854	-109.4814
68.000000	89.795	-115.0377
69.000000	89.709	-120.5629
70.000000	89.642	-126.0825
71.000000	89.613	-131.6208
72.000000	89.562	-137.1301
73.000000	89.478	-142.5826
74.000000	89.387	-147.8944
75.000000	89.297	-153.0962
76.199997	89.235	-159.5281
77.500000	89.161	-166.4433
78.800003	89.061	-173.3184
80.000000	88.978	-179.7152
81.199997	88.878	174.1110
82.500000	88.795	167.3231
83.800003	88.712	160.5923
85.000000	88.644	154.4541
86.199997	88.583	148.3707
87.500000	88.501	141.9054
88.500000	88.424	136.9420
90.000000	88.309	129.4370
91.199997	88.229	123.4083
92.500000	88.138	116.9698
93.800003	88.038	110.5614
