* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 1.000
* Format: 512k Log Swept Sine, 1 sweep at -14.9 dBFS with no timing reference
* Dated: Jun 13, 2026 1:03:16 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Pudding (WNR, Reference)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.314	-162.5486
20.600000	91.353	-164.5382
20.900000	91.409	-166.7661
21.200001	91.469	-169.0653
21.400000	91.506	-170.6225
21.799999	91.559	-173.7713
22.000000	91.574	-175.3511
22.400000	91.589	-178.4918
22.700001	91.598	179.1892
23.000000	91.613	176.9098
23.299999	91.637	174.6633
23.600000	91.671	172.4312
24.000000	91.720	169.4387
24.299999	91.756	167.1628
24.700001	91.798	164.0845
25.000000	91.824	161.7568
25.400000	91.854	158.6497
25.799999	91.878	155.5453
26.200001	91.898	152.4321
26.500000	91.911	150.0844
26.900000	91.930	146.9413
27.200001	91.947	144.5851
27.600000	91.971	141.4585
28.000000	91.992	138.3484
28.500000	92.008	134.4609
29.000000	92.011	130.5532
29.500000	92.008	126.6305
30.000000	92.000	122.7017
30.400000	91.989	119.5505
30.700001	91.981	117.1828
31.100000	91.972	114.0319
31.500000	91.971	110.9110
32.000000	91.985	107.0828
32.500000	92.009	103.3379
33.000000	92.029	99.6518
33.500000	92.027	95.9956
34.000000	91.999	92.3411
34.500000	91.958	88.6631
35.000000	91.922	84.9624
35.500000	91.902	81.2729
36.000000	91.890	77.6191
36.500000	91.873	73.9809
37.000000	91.849	70.3289
37.500000	91.826	66.6833
38.200001	91.798	61.6851
38.700001	91.772	58.1759
39.500000	91.715	52.5034
40.000000	91.681	48.9467
40.599998	91.647	44.8023
41.200001	91.610	40.7870
41.799999	91.563	36.7468
42.500000	91.509	31.9386
43.099998	91.466	27.8659
43.700001	91.421	23.8744
44.400002	91.366	19.1973
45.000000	91.323	15.1680
45.500000	91.288	11.8708
46.200001	91.225	7.3546
46.799999	91.164	3.4725
47.500000	91.107	-1.0981
48.200001	91.069	-5.6260
48.700001	91.040	-8.8395
49.400002	90.987	-13.3411
50.000000	90.933	-17.1580
50.799999	90.854	-22.1373
51.500000	90.790	-26.4730
52.200001	90.734	-30.8239
53.000000	90.668	-35.7490
53.799999	90.602	-40.5997
54.500000	90.554	-44.8123
55.200001	90.504	-49.0552
56.000000	90.437	-53.9434
57.000000	90.371	-59.9489
58.000000	90.311	-65.9417
59.000000	90.223	-72.0156
60.000000	90.136	-77.9920
60.799999	90.083	-82.7638
61.500000	90.040	-86.9041
62.200001	89.991	-90.9355
63.000000	89.921	-95.4592
64.000000	89.820	-101.1466
65.000000	89.735	-106.8242
66.000000	89.667	-112.5248
67.000000	89.600	-118.2789
68.000000	89.527	-123.8590
69.000000	89.445	-129.3279
70.000000	89.367	-134.8964
71.000000	89.300	-140.4775
72.000000	89.230	-145.9806
73.000000	89.154	-151.4265
74.000000	89.075	-156.8887
75.000000	89.001	-162.3453
76.199997	88.919	-168.6910
77.500000	88.830	-175.5361
78.800003	88.743	177.5535
80.000000	88.678	171.2177
81.199997	88.590	164.8370
82.500000	88.474	157.9501
83.800003	88.378	151.1053
85.000000	88.296	144.9105
86.199997	88.203	138.8171
87.500000	88.095	132.1539
88.500000	88.011	127.0375
90.000000	87.907	119.5150
91.199997	87.831	113.4870
92.500000	87.738	106.9242
93.800003	87.657	100.4943
95.000000	87.580	94.5620
96.199997	87.493	88.5706
97.500000	87.398	82.1202
98.800003	87.311	75.7621
100.000000	87.242	70.0443
101.500000	87.157	63.0245
103.000000	87.065	55.7476
104.400002	86.983	49.0856
106.000000	86.879	41.6080
107.500000	86.770	34.5521
109.000000	86.666	27.5656
110.599998	86.550	20.2220
112.000000	86.461	13.7094
113.800003	86.360	5.2243
115.000000	86.288	-0.3951
117.199997	86.141	-10.3916
118.000000	86.088	-13.9431
