* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Jun 25, 2025 5:10:31 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Quarks 2 (DSP)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.228	-18.4282
20.600000	88.167	-18.7751
20.900000	88.097	-19.1411
21.200001	88.027	-19.4950
21.400000	87.982	-19.7228
21.799999	87.895	-20.1600
22.000000	87.852	-20.3700
22.400000	87.767	-20.7749
22.700001	87.703	-21.0664
23.000000	87.639	-21.3481
23.299999	87.577	-21.6199
23.600000	87.515	-21.8819
24.000000	87.435	-22.2159
24.299999	87.376	-22.4552
24.700001	87.297	-22.7602
25.000000	87.239	-22.9794
25.400000	87.162	-23.2606
25.799999	87.087	-23.5307
26.200001	87.013	-23.7908
26.500000	86.959	-23.9792
26.900000	86.888	-24.2209
27.200001	86.835	-24.3946
27.600000	86.765	-24.6165
28.000000	86.697	-24.8281
28.500000	86.612	-25.0800
29.000000	86.531	-25.3181
29.500000	86.451	-25.5414
30.000000	86.373	-25.7519
30.400000	86.311	-25.9139
30.700001	86.266	-26.0330
31.100000	86.205	-26.1884
31.500000	86.146	-26.3385
32.000000	86.074	-26.5157
32.500000	86.003	-26.6807
33.000000	85.933	-26.8356
33.500000	85.864	-26.9823
34.000000	85.797	-27.1217
34.500000	85.733	-27.2559
35.000000	85.669	-27.3884
35.500000	85.605	-27.5188
36.000000	85.542	-27.6418
36.500000	85.480	-27.7522
37.000000	85.419	-27.8519
37.500000	85.361	-27.9486
38.200001	85.282	-28.0888
38.700001	85.226	-28.1898
39.500000	85.136	-28.3421
40.000000	85.081	-28.4307
40.599998	85.016	-28.5312
41.200001	84.954	-28.6237
41.799999	84.892	-28.7077
42.500000	84.821	-28.7991
43.099998	84.760	-28.8752
43.700001	84.699	-28.9506
44.400002	84.632	-29.0382
45.000000	84.575	-29.1121
45.500000	84.528	-29.1713
46.200001	84.464	-29.2494
46.799999	84.411	-29.3122
47.500000	84.351	-29.3814
48.200001	84.290	-29.4479
48.700001	84.247	-29.4945
49.400002	84.187	-29.5577
50.000000	84.137	-29.6086
50.799999	84.071	-29.6714
51.500000	84.015	-29.7247
52.200001	83.959	-29.7781
53.000000	83.895	-29.8368
53.799999	83.834	-29.8896
54.500000	83.781	-29.9322
55.200001	83.729	-29.9749
56.000000	83.670	-30.0248
57.000000	83.596	-30.0858
58.000000	83.524	-30.1389
59.000000	83.453	-30.1868
60.000000	83.384	-30.2400
60.799999	83.329	-30.2808
61.500000	83.281	-30.3081
62.200001	83.234	-30.3307
63.000000	83.181	-30.3599
64.000000	83.116	-30.4028
65.000000	83.051	-30.4424
66.000000	82.986	-30.4772
67.000000	82.922	-30.5082
68.000000	82.860	-30.5366
69.000000	82.799	-30.5599
70.000000	82.738	-30.5774
71.000000	82.677	-30.6005
72.000000	82.617	-30.6281
73.000000	82.557	-30.6523
74.000000	82.499	-30.6741
75.000000	82.442	-30.6936
76.199997	82.373	-30.7131
77.500000	82.299	-30.7252
78.800003	82.225	-30.7375
80.000000	82.158	-30.7483
81.199997	82.092	-30.7540
82.500000	82.022	-30.7562
83.800003	81.952	-30.7581
85.000000	81.888	-30.7563
86.199997	81.824	-30.7486
87.500000	81.756	-30.7362
88.500000	81.704	-30.7299
90.000000	81.626	-30.7263
91.199997	81.564	-30.7146
92.500000	81.497	-30.6972
93.800003	81.431	-30.6740
95.000000	81.370	-30.6470
96.199997	81.310	-30.6164
97.500000	81.246	-30.5850
98.800003	81.181	-30.5528
100.000000	81.122	-30.5179
101.500000	81.048	-30.4727
103.000000	80.975	-30.4252
104.400002	80.907	-30.3722
106.000000	80.830	-30.3050
107.500000	80.759	-30.2395
109.000000	80.686	-30.1696
110.599998	80.610	-30.0874
112.000000	80.545	-30.0092
113.800003	80.461	-29.9061
115.000000	80.406	-29.8336
117.199997	80.306	-29.6891
118.000000	80.269	-29.6328
120.599998	80.151	-29.4385
122.000000	80.089	-29.3305
124.099998	79.996	-29.1639
125.000000	79.956	-29.0874
126.500000	79.891	-28.9535
128.000000	79.826	-28.8116
131.500000	79.678	-28.4586
132.000000	79.657	-28.4058
134.000000	79.573	-28.1832
