* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: Jun 25, 2025 5:16:47 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Quarks 2 (DSP)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	88.406	-27.2952
20.600000	88.336	-27.6791
20.900000	88.256	-28.0860
21.200001	88.177	-28.4829
21.400000	88.126	-28.7406
21.799999	88.027	-29.2394
22.000000	87.979	-29.4805
22.400000	87.883	-29.9455
22.700001	87.810	-30.2791
23.000000	87.738	-30.6000
23.299999	87.666	-30.9088
23.600000	87.597	-31.2066
24.000000	87.506	-31.5887
24.299999	87.439	-31.8653
24.700001	87.351	-32.2222
25.000000	87.286	-32.4807
25.400000	87.199	-32.8123
25.799999	87.115	-33.1278
26.200001	87.033	-33.4273
26.500000	86.973	-33.6428
26.900000	86.893	-33.9207
27.200001	86.835	-34.1238
27.600000	86.757	-34.3885
28.000000	86.680	-34.6449
28.500000	86.587	-34.9503
29.000000	86.497	-35.2376
29.500000	86.408	-35.5107
30.000000	86.320	-35.7754
30.400000	86.251	-35.9826
30.700001	86.200	-36.1343
31.100000	86.134	-36.3300
31.500000	86.068	-36.5168
32.000000	85.989	-36.7380
32.500000	85.911	-36.9481
33.000000	85.834	-37.1507
33.500000	85.759	-37.3490
34.000000	85.685	-37.5447
34.500000	85.612	-37.7367
35.000000	85.541	-37.9224
35.500000	85.471	-38.0998
36.000000	85.403	-38.2696
36.500000	85.336	-38.4346
37.000000	85.271	-38.5956
37.500000	85.207	-38.7510
38.200001	85.119	-38.9572
38.700001	85.057	-39.0984
39.500000	84.960	-39.3202
40.000000	84.901	-39.4574
40.599998	84.831	-39.6202
41.200001	84.762	-39.7801
41.799999	84.695	-39.9353
42.500000	84.618	-40.1087
43.099998	84.554	-40.2524
43.700001	84.491	-40.3941
44.400002	84.419	-40.5570
45.000000	84.358	-40.6920
45.500000	84.308	-40.8002
46.200001	84.241	-40.9478
46.799999	84.185	-41.0747
47.500000	84.119	-41.2251
48.200001	84.053	-41.3739
48.700001	84.008	-41.4767
49.400002	83.945	-41.6161
50.000000	83.891	-41.7333
50.799999	83.822	-41.8885
51.500000	83.763	-42.0221
52.200001	83.704	-42.1507
53.000000	83.636	-42.2940
53.799999	83.570	-42.4397
54.500000	83.514	-42.5695
55.200001	83.459	-42.6990
56.000000	83.398	-42.8448
57.000000	83.322	-43.0169
58.000000	83.248	-43.1877
59.000000	83.176	-43.3685
60.000000	83.102	-43.5338
