* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 12, 2025 5:16:25 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Realme Air 6 Pro (ANC)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.051	-136.1142
20.600000	87.080	-136.7017
20.900000	87.112	-137.3279
21.200001	87.144	-137.9469
21.400000	87.166	-138.3558
21.799999	87.211	-139.1693
22.000000	87.233	-139.5746
22.400000	87.275	-140.3791
22.700001	87.303	-140.9724
23.000000	87.330	-141.5533
23.299999	87.356	-142.1203
23.600000	87.382	-142.6747
24.000000	87.417	-143.3992
24.299999	87.443	-143.9354
24.700001	87.475	-144.6447
25.000000	87.496	-145.1731
25.400000	87.521	-145.8725
25.799999	87.545	-146.5645
26.200001	87.569	-147.2467
26.500000	87.587	-147.7501
26.900000	87.611	-148.4074
27.200001	87.628	-148.8893
27.600000	87.649	-149.5182
28.000000	87.667	-150.1356
28.500000	87.687	-150.8973
29.000000	87.704	-151.6490
29.500000	87.719	-152.3857
30.000000	87.733	-153.1056
30.400000	87.744	-153.6740
30.700001	87.751	-154.0993
31.100000	87.761	-154.6667
31.500000	87.771	-155.2308
32.000000	87.780	-155.9191
32.500000	87.786	-156.5798
33.000000	87.786	-157.2232
33.500000	87.785	-157.8728
34.000000	87.786	-158.5371
34.500000	87.787	-159.1934
35.000000	87.787	-159.8097
35.500000	87.782	-160.3853
36.000000	87.778	-160.9554
36.500000	87.778	-161.5511
37.000000	87.779	-162.1616
37.500000	87.770	-162.7504
38.200001	87.744	-163.5218
38.700001	87.732	-164.0735
39.500000	87.742	-164.9786
40.000000	87.744	-165.5039
40.599998	87.717	-166.0613
41.200001	87.672	-166.5900
41.799999	87.638	-167.1482
42.500000	87.617	-167.8297
43.099998	87.598	-168.4015
43.700001	87.572	-168.9509
44.400002	87.539	-169.5706
45.000000	87.512	-170.0885
45.500000	87.489	-170.5140
46.200001	87.455	-171.0999
46.799999	87.420	-171.5874
47.500000	87.376	-172.1412
48.200001	87.340	-172.6884
48.700001	87.318	-173.0739
49.400002	87.286	-173.6044
50.000000	87.254	-174.0535
50.799999	87.206	-174.6362
51.500000	87.160	-175.1166
52.200001	87.114	-175.5817
53.000000	87.064	-176.1141
53.799999	87.012	-176.6399
54.500000	86.962	-177.1083
55.200001	86.915	-177.5937
56.000000	86.865	-178.1111
57.000000	86.794	-178.6391
58.000000	86.721	-179.1476
59.000000	86.653	-179.6765
60.000000	86.579	179.8183
60.799999	86.518	179.4074
61.500000	86.470	179.0622
62.200001	86.422	178.7550
63.000000	86.358	178.4228
64.000000	86.277	177.9839
65.000000	86.201	177.5576
66.000000	86.124	177.1570
67.000000	86.047	176.7762
68.000000	85.966	176.4078
69.000000	85.884	176.0587
70.000000	85.802	175.7380
71.000000	85.721	175.4277
72.000000	85.644	175.1314
73.000000	85.566	174.8497
74.000000	85.486	174.5914
75.000000	85.406	174.3388
76.199997	85.309	174.0349
77.500000	85.204	173.7362
78.800003	85.097	173.4753
80.000000	84.993	173.2549
81.199997	84.896	173.0645
82.500000	84.796	172.8483
83.800003	84.695	172.6644
85.000000	84.600	172.5353
86.199997	84.501	172.4004
87.500000	84.398	172.2584
88.500000	84.320	172.1575
90.000000	84.204	172.0550
91.199997	84.108	171.9635
92.500000	84.001	171.8595
93.800003	83.897	171.8312
95.000000	83.809	171.8066
96.199997	83.722	171.7939
97.500000	83.624	171.8058
98.800003	83.525	171.7819
100.000000	83.436	171.7679
101.500000	83.324	171.8386
103.000000	83.213	171.9250
104.400002	83.110	171.9764
106.000000	82.995	172.0576
107.500000	82.892	172.1509
109.000000	82.786	172.2609
110.599998	82.674	172.4337
112.000000	82.576	172.5984
113.800003	82.450	172.8022
115.000000	82.368	172.9304
117.199997	82.225	173.2122
118.000000	82.174	173.3327
120.599998	82.008	173.7485
122.000000	81.921	173.9484
124.099998	81.792	174.2974
125.000000	81.739	174.4619
126.500000	81.650	174.7598
128.000000	81.565	175.0665
131.500000	81.366	175.8332
132.000000	81.338	175.9567
134.000000	81.234	176.4477
136.000000	81.138	176.9010
138.000000	81.031	177.3215
140.000000	80.927	177.8352
143.000000	80.792	178.5774
145.000000	80.699	179.1127
147.500000	80.595	179.8210
150.000000	80.494	-179.4456
152.500000	80.407	-178.7825
155.000000	80.328	-178.1024
157.500000	80.249	-177.3736
160.000000	80.177	-176.6708
162.500000	80.112	-175.9498
165.000000	80.048	-175.2590
167.500000	79.991	-174.5681
170.000000	79.943	-173.8788
172.500000	79.901	-173.1820
175.000000	79.863	-172.4955
177.500000	79.833	-171.8542
180.000000	79.805	-171.2087
182.500000	79.779	-170.5846
185.000000	79.759	-169.9992
187.500000	79.737	-169.4303
190.000000	79.720	-168.8861
192.500000	79.712	-168.3177
195.000000	79.707	-167.7654
197.500000	79.699	-167.2727
200.000000	79.694	-166.8033
203.000000	79.693	-166.2668
206.000000	79.695	-165.7398
209.000000	79.699	-165.3290
212.000000	79.703	-164.9501
214.000000	79.708	-164.6454
218.000000	79.719	-164.0664
220.000000	79.725	-163.8067
224.000000	79.734	-163.3228
227.000000	79.738	-163.0325
230.000000	79.733	-162.7128
233.000000	79.732	-162.3611
236.000000	79.738	-162.0809
240.000000	79.739	-161.7956
243.000000	79.743	-161.5533
247.000000	79.758	-161.2493
250.000000	79.775	-161.0679
254.000000	79.800	-160.8916
258.000000	79.807	-160.7480
262.000000	79.800	-160.5723
265.000000	79.795	-160.4639
269.000000	79.791	-160.3359
272.000000	79.789	-160.2255
276.000000	79.787	-160.0715
280.000000	79.779	-159.9994
285.000000	79.773	-159.9581
290.000000	79.768	-159.8355
295.000000	79.750	-159.6503
300.000000	79.730	-159.5646
304.000000	79.720	-159.5439
307.000000	79.718	-159.5290
311.000000	79.721	-159.5293
315.000000	79.721	-159.5518
320.000000	79.708	-159.5854
325.000000	79.683	-159.6631
330.000000	79.655	-159.7256
335.000000	79.629	-159.7794
340.000000	79.598	-159.8156
345.000000	79.562	-159.8617
350.000000	79.528	-159.8919
355.000000	79.494	-159.8973
360.000000	79.456	-159.9479
365.000000	79.419	-159.9685
370.000000	79.385	-159.9558
375.000000	79.354	-159.9751
382.000000	79.316	-160.0715
387.000000	79.285	-160.1390
395.000000	79.226	-160.2640
400.000000	79.185	-160.3808
406.000000	79.137	-160.5431
412.000000	79.095	-160.6878
418.000000	79.057	-160.8517
425.000000	79.008	-161.0288
431.000000	78.961	-161.1784
437.000000	78.918	-161.3613
444.000000	78.869	-161.5849
450.000000	78.826	-161.7773
