* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), no input selected, R, volume: no control
* Format: 512k Log Swept Sine, 1 sweep at -8.1 dBFS with no timing reference
* Dated: May 12, 2025 5:25:30 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Realme Air 6 Pro (ANC)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	87.464	-128.8149
20.600000	87.498	-129.3741
20.900000	87.534	-129.9824
21.200001	87.570	-130.5886
21.400000	87.594	-130.9882
21.799999	87.642	-131.7715
22.000000	87.665	-132.1535
22.400000	87.706	-132.8955
22.700001	87.735	-133.4337
23.000000	87.763	-133.9592
23.299999	87.791	-134.4758
23.600000	87.819	-134.9865
24.000000	87.857	-135.6603
24.299999	87.885	-136.1592
24.700001	87.918	-136.8132
25.000000	87.940	-137.2946
25.400000	87.967	-137.9267
25.799999	87.992	-138.5514
26.200001	88.017	-139.1693
26.500000	88.035	-139.6254
26.900000	88.059	-140.2169
27.200001	88.075	-140.6453
27.600000	88.094	-141.1976
28.000000	88.111	-141.7364
28.500000	88.131	-142.4060
29.000000	88.150	-143.0765
29.500000	88.166	-143.7372
30.000000	88.178	-144.3754
30.400000	88.185	-144.8694
30.700001	88.191	-145.2332
31.100000	88.198	-145.7125
31.500000	88.206	-146.1855
32.000000	88.214	-146.7640
32.500000	88.219	-147.3254
33.000000	88.222	-147.8741
33.500000	88.225	-148.4167
34.000000	88.227	-148.9518
34.500000	88.227	-149.4708
35.000000	88.224	-149.9683
35.500000	88.220	-150.4495
36.000000	88.216	-150.9255
36.500000	88.212	-151.4006
37.000000	88.207	-151.8686
37.500000	88.198	-152.3208
38.200001	88.181	-152.9292
38.700001	88.167	-153.3575
39.500000	88.147	-154.0406
40.000000	88.134	-154.4569
40.599998	88.117	-154.9381
41.200001	88.099	-155.4054
41.799999	88.079	-155.8690
42.500000	88.054	-156.4050
43.099998	88.032	-156.8469
43.700001	88.009	-157.2643
44.400002	87.980	-157.7307
45.000000	87.953	-158.1242
45.500000	87.928	-158.4464
46.200001	87.894	-158.8867
46.799999	87.870	-159.2621
47.500000	87.843	-159.6901
48.200001	87.808	-160.0772
48.700001	87.776	-160.3352
49.400002	87.729	-160.7040
50.000000	87.693	-161.0210
50.799999	87.652	-161.4126
51.500000	87.607	-161.7619
52.200001	87.561	-162.1085
53.000000	87.519	-162.4484
53.799999	87.444	-162.9347
54.500000	87.340	-163.5465
55.200001	87.272	-163.9633
56.000000	87.273	-163.9901
57.000000	87.260	-164.0683
58.000000	87.193	-164.4406
59.000000	87.124	-164.7094
60.000000	87.049	-165.0043
60.799999	86.995	-165.2224
61.500000	86.946	-165.3951
62.200001	86.893	-165.5892
63.000000	86.833	-165.8077
64.000000	86.758	-166.0301
65.000000	86.683	-166.2290
66.000000	86.610	-166.4118
67.000000	86.533	-166.5872
68.000000	86.454	-166.7480
69.000000	86.376	-166.8859
70.000000	86.300	-167.0058
71.000000	86.226	-167.1234
72.000000	86.151	-167.2457
73.000000	86.076	-167.3283
74.000000	85.997	-167.3734
75.000000	85.916	-167.4384
76.199997	85.824	-167.5378
77.500000	85.722	-167.5946
78.800003	85.623	-167.6009
80.000000	85.535	-167.6026
