* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Jun 15, 2025 7:17:56 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: L Realme Buds Air 6 Pro
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.092	-52.6289
20.600000	90.104	-52.3933
20.900000	90.137	-52.2159
21.200001	90.186	-52.0642
21.400000	90.222	-51.9362
21.799999	90.288	-51.5195
22.000000	90.313	-51.2047
22.400000	90.344	-50.3635
22.700001	90.355	-49.6038
23.000000	90.365	-48.8212
23.299999	90.383	-48.1085
23.600000	90.419	-47.5457
24.000000	90.496	-47.0912
24.299999	90.568	-46.9399
24.700001	90.658	-46.8342
25.000000	90.705	-46.6929
25.400000	90.730	-46.2696
25.799999	90.726	-45.5442
26.200001	90.721	-44.6361
26.500000	90.728	-43.9546
26.900000	90.753	-43.1673
27.200001	90.774	-42.6888
27.600000	90.794	-42.1504
28.000000	90.807	-41.6387
28.500000	90.836	-40.9389
29.000000	90.891	-40.1369
29.500000	90.948	-39.2332
30.000000	90.972	-38.2613
30.400000	90.967	-37.4917
30.700001	90.959	-36.9473
31.100000	90.959	-36.2593
31.500000	90.976	-35.5563
32.000000	91.013	-34.5487
32.500000	91.040	-33.4060
33.000000	91.044	-32.2947
33.500000	91.027	-31.3437
34.000000	91.001	-30.4845
34.500000	90.976	-29.5656
35.000000	90.960	-28.5606
35.500000	90.957	-27.5674
36.000000	90.963	-26.6260
36.500000	90.967	-25.6443
37.000000	90.959	-24.5346
37.500000	90.937	-23.3442
38.200001	90.916	-21.7932
38.700001	90.928	-20.8492
39.500000	90.966	-19.4623
40.000000	90.966	-18.5535
40.599998	90.941	-17.3778
41.200001	90.927	-16.1513
41.799999	90.928	-14.8968
42.500000	90.900	-13.2630
43.099998	90.849	-11.6393
43.700001	90.819	-10.0344
44.400002	90.828	-8.5889
45.000000	90.838	-7.6096
45.500000	90.830	-6.6829
46.200001	90.802	-5.0434
46.799999	90.761	-3.5828
47.500000	90.688	-2.0886
48.200001	90.612	-0.5791
48.700001	90.572	0.6742
49.400002	90.540	2.5424
50.000000	90.524	3.9790
50.799999	90.501	5.5240
51.500000	90.470	6.7625
52.200001	90.433	8.1158
53.000000	90.388	9.8489
53.799999	90.320	11.7661
54.500000	90.241	13.5844
55.200001	90.166	15.4386
56.000000	90.100	17.4548
57.000000	90.059	19.8795
58.000000	90.068	22.4231
59.000000	90.083	24.8937
60.000000	90.018	27.2223
60.799999	89.904	29.2111
61.500000	89.800	30.9598
62.200001	89.703	32.5712
63.000000	89.601	34.4069
64.000000	89.502	36.9986
65.000000	89.443	39.5133
66.000000	89.416	41.7389
67.000000	89.357	44.0183
68.000000	89.245	46.6861
69.000000	89.119	49.5696
70.000000	89.002	52.2607
71.000000	88.949	54.6730
72.000000	88.915	57.1399
73.000000	88.850	59.8348
74.000000	88.764	62.3503
75.000000	88.669	64.8614
76.199997	88.568	68.0782
77.500000	88.453	71.5424
78.800003	88.315	75.2566
80.000000	88.210	78.2763
81.199997	88.109	81.3632
82.500000	87.959	84.7877
83.800003	87.828	88.0763
85.000000	87.783	90.9863
86.199997	87.811	93.6830
87.500000	87.746	97.7440
88.500000	87.598	101.1188
90.000000	87.349	105.7024
91.199997	87.232	108.8910
92.500000	87.163	112.2202
93.800003	87.079	115.3504
95.000000	87.022	118.4069
96.199997	86.925	121.6745
97.500000	86.814	125.3403
98.800003	86.699	129.1445
100.000000	86.577	132.5297
101.500000	86.456	136.5986
103.000000	86.320	140.8569
104.400002	86.186	144.7682
106.000000	86.074	149.1085
107.500000	86.001	153.0899
109.000000	85.937	157.4125
110.599998	85.840	162.2045
112.000000	85.709	165.9930
113.800003	85.545	170.8777
115.000000	85.461	174.3586
117.199997	85.321	-179.2226
118.000000	85.264	-176.9904
120.599998	85.069	-169.8687
122.000000	84.986	-165.8399
124.099998	84.891	-159.8818
125.000000	84.832	-157.3580
126.500000	84.717	-153.1122
128.000000	84.611	-148.8970
131.500000	84.346	-138.9694
132.000000	84.309	-137.5536
134.000000	84.203	-131.8626
136.000000	84.160	-126.1136
138.000000	84.060	-120.3339
140.000000	83.900	-114.3979
143.000000	83.738	-105.7575
145.000000	83.570	-100.1670
147.500000	83.404	-93.4050
150.000000	83.350	-86.7953
152.500000	83.388	-79.5287
155.000000	83.194	-72.6384
157.500000	83.001	-65.6588
160.000000	83.033	-58.2810
162.500000	82.976	-50.7067
165.000000	82.925	-43.4540
167.500000	82.855	-36.0928
170.000000	82.791	-29.0340
172.500000	82.744	-22.1113
175.000000	82.779	-15.1194
177.500000	82.830	-8.1936
180.000000	82.810	-1.2245
182.500000	82.762	5.4160
185.000000	82.732	12.0048
187.500000	82.737	18.8840
190.000000	82.729	25.5898
192.500000	82.687	31.9971
195.000000	82.660	38.7238
197.500000	82.650	45.5817
200.000000	82.627	51.6844
203.000000	82.637	59.1711
206.000000	82.645	67.1598
209.000000	82.633	74.9677
212.000000	82.642	82.6633
214.000000	82.658	87.8652
218.000000	82.671	98.2917
220.000000	82.664	103.4215
224.000000	82.666	113.8008
227.000000	82.650	121.5284
230.000000	82.663	128.2797
233.000000	82.674	135.2089
236.000000	82.687	142.4210
240.000000	82.732	152.5789
243.000000	82.712	160.0847
247.000000	82.693	169.6109
250.000000	82.712	176.7246
254.000000	82.726	-173.8020
258.000000	82.738	-164.4719
262.000000	82.744	-155.1120
265.000000	82.732	-148.0403
269.000000	82.719	-138.7118
272.000000	82.731	-131.7203
276.000000	82.772	-122.6562
280.000000	82.773	-113.5601
285.000000	82.704	-101.8612
290.000000	82.670	-90.2269
295.000000	82.663	-78.7502
300.000000	82.651	-67.3864
304.000000	82.647	-58.3203
307.000000	82.640	-51.5949
311.000000	82.615	-42.6190
315.000000	82.592	-33.6968
320.000000	82.566	-22.6039
325.000000	82.546	-11.4977
330.000000	82.532	-0.5020
335.000000	82.505	10.5413
340.000000	82.476	21.5079
345.000000	82.452	32.2675
350.000000	82.417	43.0061
355.000000	82.368	54.0437
360.000000	82.328	64.9890
365.000000	82.288	75.7225
370.000000	82.264	86.4850
375.000000	82.251	97.1913
382.000000	82.239	112.0251
387.000000	82.216	122.7362
395.000000	82.169	139.7621
400.000000	82.123	150.1873
406.000000	82.074	162.6802
412.000000	82.027	175.0322
418.000000	81.963	-172.4763
425.000000	81.905	-157.6677
431.000000	81.868	-144.9745
437.000000	81.823	-132.5098
444.000000	81.773	-118.2262
450.000000	81.750	-106.0122
455.000000	81.714	-95.7996
462.000000	81.662	-81.6282
468.000000	81.597	-69.3153
475.000000	81.517	-54.9768
482.000000	81.473	-40.9137
487.000000	81.448	-30.9298
494.000000	81.403	-16.9438
500.000000	81.364	-4.8741
508.000000	81.316	11.1249
515.000000	81.262	24.9038
522.000000	81.196	38.5953
530.000000	81.113	54.3691
538.000000	81.045	70.3169
545.000000	80.995	84.2690
552.000000	80.955	98.0011
560.000000	80.915	113.5668
570.000000	80.871	133.1031
580.000000	80.827	152.5076
590.000000	80.771	171.6471
600.000000	80.716	-169.3323
608.000000	80.657	-154.1351
615.000000	80.609	-140.8152
622.000000	80.566	-127.4615
630.000000	80.531	-112.2462
640.000000	80.496	-93.3625
650.000000	80.481	-74.5802
660.000000	80.448	-56.0212
670.000000	80.387	-37.6868
680.000000	80.345	-19.2705
690.000000	80.297	-0.8107
700.000000	80.232	17.6257
710.000000	80.176	36.0575
720.000000	80.146	54.3496
730.000000	80.118	72.4785
740.000000	80.089	90.6084
