* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), R, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -2.9 dBFS with no timing reference
* Dated: Jun 15, 2025 7:30:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R Realme Buds Air 6 Pro
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	90.545	-42.9817
20.600000	90.596	-42.6423
20.900000	90.644	-42.3614
21.200001	90.693	-42.0950
21.400000	90.732	-41.8812
21.799999	90.824	-41.2907
22.000000	90.871	-40.9049
22.400000	90.946	-39.9916
22.700001	90.971	-39.2452
23.000000	90.969	-38.5112
23.299999	90.947	-37.8425
23.600000	90.923	-37.2776
24.000000	90.913	-36.7037
24.299999	90.929	-36.3728
24.700001	90.976	-35.9474
25.000000	91.017	-35.5491
25.400000	91.065	-34.8276
25.799999	91.101	-33.9132
26.200001	91.136	-32.9531
26.500000	91.167	-32.3147
26.900000	91.215	-31.6584
27.200001	91.253	-31.2969
27.600000	91.294	-30.8673
28.000000	91.315	-30.3156
28.500000	91.315	-29.2357
29.000000	91.308	-27.7186
29.500000	91.320	-26.0616
30.000000	91.351	-24.6803
30.400000	91.376	-23.9329
30.700001	91.388	-23.5540
31.100000	91.394	-23.1454
31.500000	91.393	-22.6468
32.000000	91.399	-21.6907
32.500000	91.418	-20.4265
33.000000	91.442	-19.1308
33.500000	91.457	-17.9941
34.000000	91.465	-16.9837
34.500000	91.470	-15.9928
35.000000	91.471	-15.0100
35.500000	91.467	-14.0803
36.000000	91.460	-13.1611
36.500000	91.462	-12.1142
37.000000	91.474	-10.8597
37.500000	91.484	-9.4758
38.200001	91.466	-7.5960
38.700001	91.436	-6.3685
39.500000	91.403	-4.4893
40.000000	91.403	-3.3197
40.599998	91.400	-1.9124
41.200001	91.371	-0.4773
41.799999	91.323	0.9812
42.500000	91.281	2.6424
43.099998	91.260	4.0263
43.700001	91.234	5.4182
44.400002	91.198	7.0200
45.000000	91.191	8.3298
45.500000	91.201	9.4516
46.200001	91.215	11.2727
46.799999	91.211	13.0668
47.500000	91.182	15.1386
48.200001	91.119	16.9444
48.700001	91.058	18.0930
49.400002	90.986	19.6426
50.000000	90.962	21.0495
50.799999	90.953	23.2212
51.500000	90.912	25.3149
52.200001	90.843	27.2270
53.000000	90.775	29.0239
53.799999	90.723	30.8540
54.500000	90.663	32.7382
55.200001	90.595	34.7150
56.000000	90.560	36.8681
57.000000	90.547	39.4433
58.000000	90.497	41.8305
59.000000	90.482	44.0111
60.000000	90.412	46.7242
60.799999	90.281	49.2762
61.500000	90.184	51.4278
62.200001	90.132	53.4595
63.000000	90.102	55.7033
64.000000	90.052	58.4041
65.000000	89.963	61.1985
66.000000	89.868	64.0340
67.000000	89.805	66.8221
68.000000	89.736	69.6478
69.000000	89.656	72.5018
70.000000	89.566	75.3154
71.000000	89.453	78.0479
72.000000	89.352	80.8831
73.000000	89.265	83.7134
74.000000	89.196	86.3770
75.000000	89.144	89.0964
76.199997	89.072	92.4984
77.500000	88.952	96.3858
78.800003	88.820	100.1875
80.000000	88.712	103.7341
81.199997	88.620	107.3846
82.500000	88.509	111.1352
83.800003	88.408	114.7929
85.000000	88.319	118.3877
86.199997	88.228	121.9049
87.500000	88.117	125.6518
88.500000	88.022	128.6497
90.000000	87.920	133.0758
91.199997	87.841	136.5044
92.500000	87.713	140.2729
93.800003	87.598	144.2049
95.000000	87.540	147.8219
96.199997	87.482	151.3842
97.500000	87.364	155.2578
98.800003	87.226	159.0923
100.000000	87.126	162.7469
101.500000	87.028	167.4534
103.000000	86.931	172.0125
104.400002	86.813	176.0619
106.000000	86.697	-179.2437
107.500000	86.606	-174.7506
109.000000	86.475	-170.0295
110.599998	86.368	-165.2304
112.000000	86.275	-161.1419
113.800003	86.153	-155.7505
115.000000	86.071	-152.0300
117.199997	85.901	-145.1259
118.000000	85.845	-142.7117
120.599998	85.675	-134.9522
122.000000	85.608	-130.6380
124.099998	85.484	-124.2786
125.000000	85.409	-121.6307
126.500000	85.295	-117.1581
128.000000	85.213	-112.5435
131.500000	85.016	-101.8465
132.000000	84.995	-100.3347
134.000000	84.896	-94.2503
136.000000	84.783	-88.2300
138.000000	84.685	-82.2428
140.000000	84.601	-75.9860
143.000000	84.424	-66.7013
145.000000	84.337	-60.7615
147.500000	84.195	-52.9826
150.000000	84.019	-45.1623
152.500000	83.944	-36.9713
155.000000	83.950	-28.6478
157.500000	83.911	-20.9193
160.000000	83.702	-13.4427
162.500000	83.511	-5.8366
165.000000	83.479	0.9507
167.500000	83.518	7.6890
170.000000	83.510	14.8314
172.500000	83.483	22.0459
175.000000	83.476	29.6760
177.500000	83.428	37.4948
180.000000	83.392	44.7811
182.500000	83.360	52.0399
185.000000	83.343	59.2601
187.500000	83.336	66.5433
190.000000	83.331	73.9694
192.500000	83.315	81.2426
195.000000	83.314	87.9447
197.500000	83.282	94.4536
200.000000	83.194	101.5379
203.000000	83.161	110.6991
206.000000	83.238	119.6600
209.000000	83.294	128.2023
212.000000	83.301	136.1069
214.000000	83.306	141.5281
218.000000	83.364	152.5478
220.000000	83.378	157.7847
224.000000	83.333	167.9382
227.000000	83.283	175.7643
230.000000	83.242	-176.2472
233.000000	83.240	-168.3376
236.000000	83.271	-160.6512
240.000000	83.305	-150.4769
243.000000	83.313	-142.5079
247.000000	83.338	-132.0791
250.000000	83.340	-124.4212
254.000000	83.324	-113.9343
258.000000	83.353	-103.4771
262.000000	83.371	-93.4316
265.000000	83.369	-85.8226
269.000000	83.381	-75.7852
272.000000	83.378	-68.4100
276.000000	83.355	-58.4293
280.000000	83.316	-48.4122
285.000000	83.301	-35.7204
290.000000	83.344	-23.6158
295.000000	83.327	-11.6766
300.000000	83.313	0.4645
304.000000	83.329	10.1616
307.000000	83.339	17.3834
311.000000	83.331	26.9995
315.000000	83.312	36.4460
320.000000	83.293	48.1772
325.000000	83.260	60.0655
330.000000	83.224	72.1078
335.000000	83.192	84.0443
340.000000	83.170	95.8668
345.000000	83.148	107.3539
350.000000	83.122	119.0374
355.000000	83.100	130.8167
360.000000	83.061	142.4900
365.000000	83.019	154.0297
370.000000	82.978	165.2673
375.000000	82.951	176.5107
382.000000	82.914	-167.5291
387.000000	82.890	-156.3297
395.000000	82.826	-138.2958
400.000000	82.770	-126.6963
406.000000	82.712	-112.8771
412.000000	82.678	-99.6195
418.000000	82.651	-86.3425
425.000000	82.602	-70.8439
431.000000	82.521	-57.2451
437.000000	82.419	-43.9468
444.000000	82.394	-28.6536
450.000000	82.375	-15.3589
455.000000	82.360	-4.3965
462.000000	82.341	10.5491
468.000000	82.251	22.4379
475.000000	82.149	37.0913
482.000000	82.205	52.6075
487.000000	82.234	64.0468
494.000000	82.111	79.8287
500.000000	82.027	92.6345
508.000000	81.981	109.4692
515.000000	81.931	124.1672
522.000000	81.878	139.1072
530.000000	81.818	156.1161
538.000000	81.774	172.7189
545.000000	81.764	-172.5209
552.000000	81.758	-158.0098
560.000000	81.700	-141.8257
570.000000	81.612	-121.4661
580.000000	81.562	-100.8173
590.000000	81.495	-80.0166
600.000000	81.389	-59.7161
608.000000	81.333	-43.5546
615.000000	81.287	-29.2939
622.000000	81.260	-15.0671
630.000000	81.235	0.8344
640.000000	81.180	20.7098
650.000000	81.114	40.8177
660.000000	81.053	60.6614
670.000000	81.028	80.2617
680.000000	80.998	99.9550
690.000000	80.930	119.4354
700.000000	80.842	139.0022
710.000000	80.789	158.5225
720.000000	80.756	177.8967
730.000000	80.715	-162.7473
740.000000	80.680	-143.6481
750.000000	80.655	-124.5386
762.000000	80.604	-101.6055
775.000000	80.565	-76.8209
788.000000	80.544	-52.3563
800.000000	80.516	-30.0175
812.000000	80.486	-7.6367
825.000000	80.449	16.6317
838.000000	80.446	40.8208
850.000000	80.415	62.8667
862.000000	80.390	84.9937
875.000000	80.401	108.7646
885.000000	80.423	126.8738
900.000000	80.451	153.8567
912.000000	80.456	175.3367
