* Measurement data measured by REW V5.31.3
* Source: Aqua JM-1 Filtered
* Format: 
* Dated: Jun 6, 2025 11:30:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 85.0 dB
* Note: Format: Comma/Tab/Space delimited data 480 values loaded, 20 Hz to 20,186 Hz log spaced  LS Q     Fc   100.0 Hz  Gain   3.00 dB Q  0.707
* Measurement: Rollo Neutral Target
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz), SPL(dB)
20.000000, 8.230
20.299999, 8.219
20.600000, 8.206
20.900000, 8.192
21.200001, 8.178
21.400000, 8.169
21.799999, 8.150
22.000000, 8.141
22.400000, 8.123
22.700001, 8.110
23.000000, 8.097
23.299999, 8.083
23.600000, 8.070
24.000000, 8.052
24.299999, 8.039
24.700001, 8.022
25.000000, 8.009
25.400000, 7.991
25.799999, 7.974
26.200001, 7.956
26.500000, 7.943
26.900000, 7.926
27.200001, 7.913
27.600000, 7.895
28.000000, 7.878
28.500000, 7.856
29.000000, 7.835
29.500000, 7.813
30.000000, 7.792
30.400000, 7.775
30.700001, 7.762
31.100000, 7.745
31.500000, 7.728
32.000000, 7.708
32.500000, 7.687
33.000000, 7.667
33.500000, 7.646
34.000000, 7.626
34.500000, 7.606
35.000000, 7.587
35.500000, 7.567
36.000000, 7.548
36.500000, 7.529
37.000000, 7.510
37.500000, 7.492
38.200001, 7.466
38.700001, 7.448
39.500000, 7.419
40.000000, 7.401
40.599998, 7.380
41.200001, 7.359
41.799999, 7.339
42.500000, 7.315
43.099998, 7.294
43.700001, 7.274
44.400002, 7.251
45.000000, 7.231
45.500000, 7.215
46.200001, 7.192
46.799999, 7.172
47.500000, 7.149
48.200001, 7.127
48.700001, 7.110
49.400002, 7.088
50.000000, 7.068
50.799999, 7.042
51.500000, 7.019
52.200001, 6.996
53.000000, 6.970
53.799999, 6.944
54.500000, 6.920
55.200001, 6.897
56.000000, 6.870
57.000000, 6.836
58.000000, 6.801
59.000000, 6.766
60.000000, 6.730
60.799999, 6.702
61.500000, 6.676
62.200001, 6.650
63.000000, 6.621
64.000000, 6.583
65.000000, 6.545
66.000000, 6.506
67.000000, 6.467
68.000000, 6.427
69.000000, 6.387
70.000000, 6.346
71.000000, 6.305
72.000000, 6.263
73.000000, 6.221
74.000000, 6.178
75.000000, 6.134
76.199997, 6.082
77.500000, 6.025
78.800003, 5.966
80.000000, 5.912
81.199997, 5.858
82.500000, 5.798
83.800003, 5.738
85.000000, 5.682
86.199997, 5.626
87.500000, 5.565
88.500000, 5.518
90.000000, 5.448
91.199997, 5.391
92.500000, 5.330
93.800003, 5.269
95.000000, 5.212
96.199997, 5.156
97.500000, 5.096
98.800003, 5.035
100.000000, 4.980
101.500000, 4.911
103.000000, 4.843
104.400002, 4.780
106.000000, 4.709
107.500000, 4.644
109.000000, 4.579
110.599998, 4.511
112.000000, 4.453
113.800003, 4.379
115.000000, 4.331
117.199997, 4.245
118.000000, 4.214
120.599998, 4.118
122.000000, 4.067
124.099998, 3.994
125.000000, 3.963
126.500000, 3.914
128.000000, 3.865
131.500000, 3.759
132.000000, 3.744
134.000000, 3.687
136.000000, 3.633
138.000000, 3.582
140.000000, 3.533
