* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 7:51:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Std, TWS 6) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	84.375
20.299999	84.461
20.600000	84.490
20.900000	84.523
21.200001	84.544
21.400000	84.545
21.799999	84.536
22.000000	84.531
22.400000	84.499
22.700001	84.463
23.000000	84.424
23.299999	84.366
23.600000	84.325
24.000000	84.242
24.299999	84.215
24.700001	84.135
25.000000	84.085
25.400000	83.999
25.799999	83.931
26.200001	83.834
26.500000	83.766
26.900000	83.668
27.200001	83.624
27.600000	83.536
28.000000	83.480
28.500000	83.378
29.000000	83.285
29.500000	83.232
30.000000	83.163
30.400000	83.116
30.700001	83.085
31.100000	83.049
31.500000	83.026
32.000000	82.995
32.500000	82.963
33.000000	82.928
33.500000	82.892
34.000000	82.859
34.500000	82.822
35.000000	82.783
35.500000	82.750
36.000000	82.713
36.500000	82.672
37.000000	82.629
37.500000	82.599
38.200001	82.555
38.700001	82.519
39.500000	82.463
40.000000	82.430
40.599998	82.382
41.200001	82.345
41.799999	82.298
42.500000	82.248
43.099998	82.206
43.700001	82.158
44.400002	82.109
45.000000	82.081
45.500000	82.052
46.200001	82.013
46.799999	81.982
47.500000	81.950
48.200001	81.921
48.700001	81.902
49.400002	81.882
50.000000	81.860
50.799999	81.825
51.500000	81.792
52.200001	81.754
53.000000	81.698
53.799999	81.648
54.500000	81.607
55.200001	81.567
56.000000	81.520
57.000000	81.454
58.000000	81.387
59.000000	81.330
60.000000	81.269
60.799999	81.217
61.500000	81.177
62.200001	81.132
63.000000	81.080
64.000000	81.022
65.000000	80.950
66.000000	80.879
67.000000	80.806
68.000000	80.725
69.000000	80.646
70.000000	80.562
71.000000	80.459
72.000000	80.366
73.000000	80.266
74.000000	80.165
75.000000	80.045
76.199997	79.913
77.500000	79.753
78.800003	79.598
80.000000	79.455
81.199997	79.301
82.500000	79.128
83.800003	78.980
85.000000	78.815
86.199997	78.671
87.500000	78.542
88.500000	78.424
90.000000	78.252
91.199997	78.134
92.500000	78.041
93.800003	77.950
95.000000	77.862
96.199997	77.780
97.500000	77.702
98.800003	77.632
100.000000	77.575
101.500000	77.516
103.000000	77.452
104.400002	77.398
106.000000	77.342
107.500000	77.294
109.000000	77.246
110.599998	77.197
112.000000	77.153
113.800003	77.093
115.000000	77.049
117.199997	76.966
118.000000	76.933
120.599998	76.816
122.000000	76.748
124.099998	76.642
125.000000	76.594
126.500000	76.514
128.000000	76.433
131.500000	76.244
132.000000	76.219
134.000000	76.117
136.000000	76.020
138.000000	75.933
140.000000	75.853
143.000000	75.754
145.000000	75.706
147.500000	75.663
150.000000	75.639
152.500000	75.628
155.000000	75.628
157.500000	75.633
160.000000	75.639
162.500000	75.641
165.000000	75.638
167.500000	75.627
170.000000	75.612
172.500000	75.591
175.000000	75.565
177.500000	75.536
180.000000	75.503
182.500000	75.466
185.000000	75.426
187.500000	75.381
190.000000	75.333
192.500000	75.282
195.000000	75.228
197.500000	75.173
200.000000	75.117
203.000000	75.053
206.000000	74.993
209.000000	74.937
212.000000	74.885
214.000000	74.850
218.000000	74.784
220.000000	74.750
224.000000	74.678
227.000000	74.621
230.000000	74.562
233.000000	74.502
236.000000	74.442
240.000000	74.360
243.000000	74.302
247.000000	74.222
250.000000	74.162
254.000000	74.080
258.000000	73.994
262.000000	73.906
265.000000	73.838
269.000000	73.747
272.000000	73.682
276.000000	73.596
280.000000	73.515
285.000000	73.421
290.000000	73.337
295.000000	73.260
300.000000	73.187
304.000000	73.129
307.000000	73.083
311.000000	73.021
315.000000	72.955
320.000000	72.864
325.000000	72.766
330.000000	72.665
335.000000	72.565
340.000000	72.472
345.000000	72.393
350.000000	72.329
355.000000	72.282
360.000000	72.247
365.000000	72.217
370.000000	72.177
375.000000	72.125
382.000000	72.045
387.000000	71.981
395.000000	71.879
400.000000	71.826
406.000000	71.774
412.000000	71.737
418.000000	71.709
425.000000	71.679
431.000000	71.650
437.000000	71.615
444.000000	71.565
450.000000	71.515
455.000000	71.468
462.000000	71.394
468.000000	71.326
475.000000	71.243
482.000000	71.161
487.000000	71.106
494.000000	71.032
500.000000	70.970
508.000000	70.893
515.000000	70.828
522.000000	70.766
530.000000	70.707
538.000000	70.664
545.000000	70.644
552.000000	70.640
560.000000	70.656
570.000000	70.695
580.000000	70.744
590.000000	70.792
600.000000	70.826
608.000000	70.840
615.000000	70.842
622.000000	70.834
630.000000	70.813
640.000000	70.771
650.000000	70.717
660.000000	70.654
670.000000	70.591
680.000000	70.537
690.000000	70.499
700.000000	70.481
710.000000	70.480
720.000000	70.489
730.000000	70.501
740.000000	70.511
750.000000	70.517
762.000000	70.521
775.000000	70.525
788.000000	70.535
800.000000	70.552
812.000000	70.572
825.000000	70.593
838.000000	70.608
850.000000	70.614
862.000000	70.615
875.000000	70.616
885.000000	70.620
900.000000	70.640
912.000000	70.671
925.000000	70.721
938.000000	70.788
950.000000	70.862
962.000000	70.943
975.000000	71.038
988.000000	71.137
1000.000000	71.231
1015.000000	71.350
1030.000000	71.474
1044.000000	71.595
1060.000000	71.735
1075.000000	71.867
1090.000000	71.995
1106.000000	72.123
1120.000000	72.228
1138.000000	72.352
1150.000000	72.432
1172.000000	72.566
1180.000000	72.613
1206.000000	72.754
1220.000000	72.822
1241.000000	72.912
1250.000000	72.947
1265.000000	73.003
1280.000000	73.058
1315.000000	73.189
1320.000000	73.208
1340.000000	73.288
1360.000000	73.370
1380.000000	73.450
1400.000000	73.527
1430.000000	73.634
1450.000000	73.698
1475.000000	73.774
1500.000000	73.846
1525.000000	73.916
1550.000000	73.981
1575.000000	74.040
1600.000000	74.094
1625.000000	74.144
1650.000000	74.194
1675.000000	74.244
1700.000000	74.293
1725.000000	74.336
1750.000000	74.367
1775.000000	74.387
1800.000000	74.393
1825.000000	74.390
1850.000000	74.381
1875.000000	74.371
1900.000000	74.365
1925.000000	74.365
1950.000000	74.375
1975.000000	74.395
2000.000000	74.424
2030.000000	74.469
2060.000000	74.521
2090.000000	74.575
2120.000000	74.630
2140.000000	74.666
2180.000000	74.730
2200.000000	74.759
2240.000000	74.807
2270.000000	74.832
2300.000000	74.845
2330.000000	74.848
2360.000000	74.841
2400.000000	74.819
2430.000000	74.797
2470.000000	74.765
2500.000000	74.744
2540.000000	74.721
2580.000000	74.701
2620.000000	74.684
2650.000000	74.671
2690.000000	74.653
2720.000000	74.639
2760.000000	74.620
2800.000000	74.602
2850.000000	74.581
2900.000000	74.565
2950.000000	74.555
3000.000000	74.549
3040.000000	74.549
3070.000000	74.549
3110.000000	74.548
3150.000000	74.540
3200.000000	74.517
3250.000000	74.474
3300.000000	74.407
3350.000000	74.317
3400.000000	74.205
3450.000000	74.075
3500.000000	73.933
3550.000000	73.782
3600.000000	73.630
3650.000000	73.480
3700.000000	73.335
3750.000000	73.199
3820.000000	73.026
3870.000000	72.912
3950.000000	72.742
4000.000000	72.645
4060.000000	72.534
4120.000000	72.429
4180.000000	72.328
4250.000000	72.214
4310.000000	72.122
4370.000000	72.037
4440.000000	71.945
4500.000000	71.876
4550.000000	71.826
4620.000000	71.766
4680.000000	71.724
4750.000000	71.686
4820.000000	71.659
4870.000000	71.645
4940.000000	71.631
5000.000000	71.624
5080.000000	71.620
5150.000000	71.619
5220.000000	71.619
5300.000000	71.620
5380.000000	71.621
5450.000000	71.623
5520.000000	71.628
5600.000000	71.638
5700.000000	71.658
5800.000000	71.690
5900.000000	71.736
6000.000000	71.793
6080.000000	71.844
6150.000000	71.892
6220.000000	71.941
6300.000000	71.999
6400.000000	72.070
6500.000000	72.141
6600.000000	72.214
6700.000000	72.292
6800.000000	72.376
6900.000000	72.465
7000.000000	72.559
7100.000000	72.658
7200.000000	72.759
7300.000000	72.861
7400.000000	72.961
7500.000000	73.056
7620.000000	73.156
7750.000000	73.242
7880.000000	73.296
8000.000000	73.310
8120.000000	73.284
8250.000000	73.206
8380.000000	73.072
8500.000000	72.896
8620.000000	72.667
8750.000000	72.353
8850.000000	72.067
9000.000000	71.546
9120.000000	71.061
9250.000000	70.460
9380.000000	69.787
9500.000000	69.111
9620.000000	68.382
9750.000000	67.540
9880.000000	66.661
10000.000000	65.830
10150.000000	64.822
10300.000000	63.870
10440.000000	63.067
10600.000000	62.304
10750.000000	61.747
10900.000000	61.348
11060.000000	61.074
11200.000000	60.931
11380.000000	60.843
11500.000000	60.821
11720.000000	60.824
11800.000000	60.832
12060.000000	60.871
12200.000000	60.896
12410.000000	60.935
12500.000000	60.953
12650.000000	60.987
12800.000000	61.028
13150.000000	61.158
13200.000000	61.179
13400.000000	61.278
13600.000000	61.391
13800.000000	61.510
14000.000000	61.629
14300.000000	61.789
14500.000000	61.868
14750.000000	61.933
15000.000000	61.965
15250.000000	61.977
15500.000000	61.985
15750.000000	61.998
16000.000000	62.007
16250.000000	61.988
16500.000000	61.904
16750.000000	61.721
17000.000000	61.413
17250.000000	60.964
17500.000000	60.372
17750.000000	59.643
18000.000000	58.788
18250.000000	57.823
18500.000000	56.767
18750.000000	55.638
19000.000000	54.457
19250.000000	53.245
19500.000000	52.026
19750.000000	50.831
20000.000000	49.704
