* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 8:03:04 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Std, TWS 6) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	84.862
20.299999	84.929
20.600000	84.951
20.900000	84.974
21.200001	84.988
21.400000	84.987
21.799999	84.974
22.000000	84.969
22.400000	84.939
22.700001	84.905
23.000000	84.869
23.299999	84.817
23.600000	84.780
24.000000	84.706
24.299999	84.682
24.700001	84.610
25.000000	84.565
25.400000	84.488
25.799999	84.426
26.200001	84.338
26.500000	84.275
26.900000	84.183
27.200001	84.142
27.600000	84.058
28.000000	84.003
28.500000	83.903
29.000000	83.809
29.500000	83.755
30.000000	83.682
30.400000	83.630
30.700001	83.596
31.100000	83.555
31.500000	83.528
32.000000	83.490
32.500000	83.450
33.000000	83.406
33.500000	83.360
34.000000	83.318
34.500000	83.271
35.000000	83.221
35.500000	83.177
36.000000	83.128
36.500000	83.073
37.000000	83.013
37.500000	82.971
38.200001	82.909
38.700001	82.859
39.500000	82.782
40.000000	82.738
40.599998	82.679
41.200001	82.635
41.799999	82.582
42.500000	82.530
43.099998	82.488
43.700001	82.443
44.400002	82.400
45.000000	82.376
45.500000	82.353
46.200001	82.322
46.799999	82.298
47.500000	82.274
48.200001	82.251
48.700001	82.235
49.400002	82.218
50.000000	82.196
50.799999	82.161
51.500000	82.125
52.200001	82.082
53.000000	82.015
53.799999	81.953
54.500000	81.901
55.200001	81.848
56.000000	81.786
57.000000	81.698
58.000000	81.608
59.000000	81.534
60.000000	81.454
60.799999	81.389
61.500000	81.340
62.200001	81.289
63.000000	81.231
64.000000	81.169
65.000000	81.096
66.000000	81.027
67.000000	80.958
68.000000	80.884
69.000000	80.811
70.000000	80.735
71.000000	80.641
72.000000	80.555
73.000000	80.462
74.000000	80.367
75.000000	80.253
76.199997	80.126
77.500000	79.972
78.800003	79.820
80.000000	79.680
81.199997	79.528
82.500000	79.357
83.800003	79.212
85.000000	79.050
86.199997	78.909
87.500000	78.783
88.500000	78.669
90.000000	78.505
91.199997	78.393
92.500000	78.307
93.800003	78.224
95.000000	78.144
96.199997	78.072
97.500000	78.003
98.800003	77.943
100.000000	77.895
101.500000	77.844
103.000000	77.788
104.400002	77.740
106.000000	77.688
107.500000	77.640
109.000000	77.591
110.599998	77.536
112.000000	77.485
113.800003	77.413
115.000000	77.359
117.199997	77.256
118.000000	77.215
120.599998	77.070
122.000000	76.985
124.099998	76.856
125.000000	76.798
126.500000	76.702
128.000000	76.604
131.500000	76.378
132.000000	76.348
134.000000	76.227
136.000000	76.113
138.000000	76.011
140.000000	75.919
143.000000	75.805
145.000000	75.750
147.500000	75.702
150.000000	75.676
152.500000	75.670
155.000000	75.678
157.500000	75.697
160.000000	75.720
162.500000	75.743
165.000000	75.762
167.500000	75.776
170.000000	75.783
172.500000	75.783
175.000000	75.775
177.500000	75.760
180.000000	75.737
182.500000	75.707
185.000000	75.669
187.500000	75.623
190.000000	75.570
192.500000	75.512
195.000000	75.448
197.500000	75.380
200.000000	75.311
203.000000	75.229
206.000000	75.151
209.000000	75.078
212.000000	75.010
214.000000	74.966
218.000000	74.889
220.000000	74.851
224.000000	74.777
227.000000	74.722
230.000000	74.667
