* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 7:56:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Clr, TWS 6) L
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.804
20.299999	79.803
20.600000	79.796
20.900000	79.764
21.200001	79.738
21.400000	79.722
21.799999	79.643
22.000000	79.621
22.400000	79.550
22.700001	79.475
23.000000	79.410
23.299999	79.320
23.600000	79.261
24.000000	79.149
24.299999	79.114
24.700001	79.014
25.000000	78.952
25.400000	78.850
25.799999	78.769
26.200001	78.656
26.500000	78.576
26.900000	78.460
27.200001	78.409
27.600000	78.303
28.000000	78.236
28.500000	78.112
29.000000	77.998
29.500000	77.932
30.000000	77.846
30.400000	77.785
30.700001	77.746
31.100000	77.699
31.500000	77.669
32.000000	77.628
32.500000	77.587
33.000000	77.542
33.500000	77.496
34.000000	77.454
34.500000	77.408
35.000000	77.360
35.500000	77.319
36.000000	77.273
36.500000	77.223
37.000000	77.170
37.500000	77.134
38.200001	77.083
38.700001	77.043
39.500000	76.983
40.000000	76.950
40.599998	76.906
41.200001	76.873
41.799999	76.835
42.500000	76.797
43.099998	76.770
43.700001	76.742
44.400002	76.719
45.000000	76.709
45.500000	76.702
46.200001	76.698
46.799999	76.701
47.500000	76.708
48.200001	76.718
48.700001	76.726
49.400002	76.732
50.000000	76.739
50.799999	76.746
51.500000	76.748
52.200001	76.746
53.000000	76.737
53.799999	76.724
54.500000	76.712
55.200001	76.698
56.000000	76.681
57.000000	76.655
58.000000	76.629
59.000000	76.607
60.000000	76.584
60.799999	76.565
61.500000	76.550
62.200001	76.534
63.000000	76.516
64.000000	76.495
65.000000	76.468
66.000000	76.440
67.000000	76.410
68.000000	76.375
69.000000	76.337
70.000000	76.295
71.000000	76.239
72.000000	76.186
73.000000	76.127
74.000000	76.065
75.000000	75.989
76.199997	75.904
77.500000	75.800
78.800003	75.696
80.000000	75.602
81.199997	75.500
82.500000	75.388
83.800003	75.294
85.000000	75.193
86.199997	75.107
87.500000	75.033
88.500000	74.969
90.000000	74.882
91.199997	74.828
92.500000	74.789
93.800003	74.756
95.000000	74.728
96.199997	74.706
97.500000	74.690
98.800003	74.679
100.000000	74.674
101.500000	74.671
103.000000	74.671
104.400002	74.673
106.000000	74.676
107.500000	74.679
109.000000	74.680
110.599998	74.680
112.000000	74.676
113.800003	74.664
115.000000	74.651
117.199997	74.619
118.000000	74.604
120.599998	74.541
122.000000	74.500
124.099998	74.435
125.000000	74.404
126.500000	74.354
128.000000	74.303
131.500000	74.190
132.000000	74.176
134.000000	74.123
136.000000	74.079
138.000000	74.048
140.000000	74.029
143.000000	74.025
145.000000	74.041
147.500000	74.076
150.000000	74.128
152.500000	74.191
155.000000	74.261
157.500000	74.332
160.000000	74.399
162.500000	74.458
165.000000	74.508
167.500000	74.548
170.000000	74.578
172.500000	74.599
175.000000	74.613
177.500000	74.620
180.000000	74.622
182.500000	74.617
185.000000	74.608
187.500000	74.593
190.000000	74.574
192.500000	74.553
195.000000	74.529
197.500000	74.505
200.000000	74.482
203.000000	74.459
206.000000	74.442
209.000000	74.430
212.000000	74.424
214.000000	74.423
218.000000	74.421
220.000000	74.420
224.000000	74.413
227.000000	74.404
230.000000	74.390
233.000000	74.374
236.000000	74.353
240.000000	74.321
243.000000	74.293
247.000000	74.250
250.000000	74.212
254.000000	74.152
258.000000	74.083
262.000000	74.004
265.000000	73.941
269.000000	73.853
272.000000	73.789
276.000000	73.706
280.000000	73.631
285.000000	73.549
290.000000	73.482
295.000000	73.429
300.000000	73.386
304.000000	73.354
307.000000	73.331
311.000000	73.299
315.000000	73.265
320.000000	73.217
325.000000	73.162
330.000000	73.102
335.000000	73.042
340.000000	72.985
345.000000	72.937
350.000000	72.900
355.000000	72.874
360.000000	72.854
365.000000	72.832
370.000000	72.796
375.000000	72.742
382.000000	72.653
387.000000	72.582
395.000000	72.465
400.000000	72.405
406.000000	72.347
412.000000	72.307
418.000000	72.281
425.000000	72.260
431.000000	72.243
437.000000	72.221
444.000000	72.186
450.000000	72.148
455.000000	72.112
462.000000	72.052
468.000000	71.999
475.000000	71.936
482.000000	71.875
487.000000	71.834
494.000000	71.776
500.000000	71.726
508.000000	71.657
515.000000	71.593
522.000000	71.529
530.000000	71.461
538.000000	71.408
545.000000	71.376
552.000000	71.361
560.000000	71.365
570.000000	71.395
580.000000	71.441
590.000000	71.491
600.000000	71.531
608.000000	71.549
615.000000	71.554
622.000000	71.547
630.000000	71.527
640.000000	71.484
650.000000	71.427
660.000000	71.363
670.000000	71.299
680.000000	71.246
690.000000	71.211
700.000000	71.196
710.000000	71.200
720.000000	71.212
730.000000	71.225
740.000000	71.233
750.000000	71.233
762.000000	71.225
775.000000	71.213
788.000000	71.203
800.000000	71.201
812.000000	71.205
825.000000	71.214
