* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages 
* Dated: Jun 23, 2025 8:05:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Peak data from 65536-point 1/48 octave RTA using Rectangular window and 4 averages
* Measurement: Buds FE (Clr, TWS 6) R
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.484
20.299999	80.473
20.600000	80.463
20.900000	80.425
21.200001	80.397
21.400000	80.380
21.799999	80.301
22.000000	80.279
22.400000	80.211
22.700001	80.141
23.000000	80.082
23.299999	80.000
23.600000	79.947
24.000000	79.848
24.299999	79.817
24.700001	79.729
25.000000	79.674
25.400000	79.584
25.799999	79.511
26.200001	79.409
26.500000	79.336
26.900000	79.228
27.200001	79.180
27.600000	79.081
28.000000	79.017
28.500000	78.898
29.000000	78.787
29.500000	78.722
30.000000	78.636
30.400000	78.574
30.700001	78.534
31.100000	78.485
31.500000	78.453
32.000000	78.409
32.500000	78.364
33.000000	78.315
33.500000	78.265
34.000000	78.220
34.500000	78.171
35.000000	78.120
35.500000	78.076
36.000000	78.027
36.500000	77.974
37.000000	77.918
37.500000	77.879
38.200001	77.823
38.700001	77.779
39.500000	77.712
40.000000	77.673
40.599998	77.620
41.200001	77.580
41.799999	77.529
42.500000	77.478
43.099998	77.435
43.700001	77.387
44.400002	77.340
45.000000	77.314
45.500000	77.287
46.200001	77.252
46.799999	77.227
47.500000	77.201
48.200001	77.180
48.700001	77.167
49.400002	77.153
50.000000	77.138
50.799999	77.116
51.500000	77.096
52.200001	77.073
53.000000	77.041
53.799999	77.013
54.500000	76.992
55.200001	76.972
56.000000	76.950
57.000000	76.922
58.000000	76.896
59.000000	76.876
60.000000	76.857
60.799999	76.843
61.500000	76.833
62.200001	76.822
63.000000	76.811
64.000000	76.798
65.000000	76.781
66.000000	76.764
67.000000	76.744
68.000000	76.719
69.000000	76.690
70.000000	76.656
71.000000	76.608
72.000000	76.561
73.000000	76.505
74.000000	76.445
75.000000	76.369
76.199997	76.282
77.500000	76.175
78.800003	76.067
80.000000	75.969
81.199997	75.863
82.500000	75.747
83.800003	75.650
85.000000	75.547
86.199997	75.460
87.500000	75.386
88.500000	75.324
90.000000	75.241
91.199997	75.190
92.500000	75.155
93.800003	75.125
95.000000	75.101
96.199997	75.083
97.500000	75.069
98.800003	75.059
100.000000	75.053
101.500000	75.047
103.000000	75.042
104.400002	75.037
106.000000	75.031
107.500000	75.024
109.000000	75.015
110.599998	75.003
112.000000	74.989
113.800003	74.965
115.000000	74.943
117.199997	74.898
118.000000	74.878
