* Measurement data measured by REW V5.31.3
* Source: Microphone (JadeAudio JA11), MICROPHONE (Master Volume), L, volume: 0.250
* Format: 512k Log Swept Sine, 1 sweep at -8.9 dBFS with no timing reference
* Dated: May 8, 2026 4:34:01 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: R IE600 (AET07)
* Smoothing: 1/24 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.300 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.299999	91.929	148.0090
20.600000	91.893	147.8136
20.900000	91.847	147.5572
21.200001	91.792	147.2751
21.400000	91.752	147.0818
21.799999	91.664	146.7152
22.000000	91.617	146.5483
22.400000	91.526	146.2018
22.700001	91.463	145.9476
23.000000	91.410	145.6664
23.299999	91.363	145.3059
23.600000	91.317	144.9237
24.000000	91.249	144.4523
24.299999	91.185	144.1373
24.700001	91.083	143.8601
25.000000	90.999	143.7390
25.400000	90.893	143.5579
25.799999	90.803	143.3152
26.200001	90.728	142.9642
26.500000	90.679	142.6566
26.900000	90.611	142.2663
27.200001	90.556	142.0250
27.600000	90.482	141.7818
28.000000	90.412	141.5970
28.500000	90.335	141.3911
29.000000	90.264	141.1475
29.500000	90.184	140.8754
30.000000	90.094	140.5969
30.400000	90.020	140.3906
30.700001	89.965	140.2595
31.100000	89.893	140.1179
31.500000	89.821	139.9989
32.000000	89.730	139.8728
32.500000	89.641	139.7041
33.000000	89.556	139.5205
33.500000	89.474	139.3221
34.000000	89.390	139.1589
34.500000	89.304	139.0105
35.000000	89.221	138.8684
35.500000	89.144	138.7023
36.000000	89.070	138.5211
36.500000	88.998	138.3445
37.000000	88.927	138.1968
37.500000	88.857	138.0932
38.200001	88.758	137.9879
38.700001	88.685	137.9137
39.500000	88.570	137.7823
40.000000	88.502	137.7207
40.599998	88.419	137.6754
41.200001	88.331	137.6439
41.799999	88.243	137.5831
42.500000	88.145	137.4682
43.099998	88.063	137.3743
43.700001	87.982	137.3108
44.400002	87.890	137.2742
45.000000	87.815	137.2441
45.500000	87.752	137.2095
46.200001	87.664	137.1603
46.799999	87.591	137.1325
47.500000	87.506	137.1252
48.200001	87.421	137.1475
48.700001	87.362	137.1733
49.400002	87.282	137.1977
50.000000	87.215	137.1997
50.799999	87.125	137.1944
51.500000	87.048	137.2080
52.200001	86.973	137.2307
53.000000	86.890	137.2565
53.799999	86.804	137.2872
54.500000	86.728	137.3153
55.200001	86.653	137.3334
56.000000	86.573	137.3591
57.000000	86.479	137.4563
58.000000	86.383	137.5733
59.000000	86.277	137.6331
60.000000	86.183	137.7192
60.799999	86.115	137.7934
61.500000	86.052	137.8355
62.200001	85.986	137.8850
63.000000	85.914	137.9760
64.000000	85.830	138.1133
65.000000	85.746	138.2383
66.000000	85.659	138.3308
67.000000	85.575	138.4427
68.000000	85.494	138.5847
69.000000	85.416	138.7153
70.000000	85.345	138.8336
71.000000	85.269	138.9733
72.000000	85.190	139.1487
73.000000	85.115	139.2971
74.000000	85.045	139.3994
75.000000	84.974	139.5100
76.199997	84.883	139.7283
77.500000	84.803	139.9790
78.800003	84.716	140.2143
80.000000	84.638	140.3805
81.199997	84.560	140.5246
82.500000	84.476	140.7218
83.800003	84.400	140.9480
85.000000	84.331	141.1571
86.199997	84.260	141.3672
87.500000	84.186	141.5885
